School_Label,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Race_School
Ohio State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.090909091
Oklahoma,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.025641026
Oklahoma,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.205128205
Oklahoma,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.076923077
Oklahoma,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,19,0.487179487
Oklahoma,AA,45,SOCIAL SCIENCES.,College Major,7,0.179487179
Oklahoma,AA,42,PSYCHOLOGY.,College Major,1,0.025641026
Oklahoma,C,45,SOCIAL SCIENCES.,College Major,4,0.25
Oklahoma,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.0625
Oklahoma,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,8,0.5
Oklahoma,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.0625
Oklahoma,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.125
Oklahoma,H,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Oklahoma,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Oregon,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.05
Oregon,AA,42,PSYCHOLOGY.,College Major,2,0.05
Oregon,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.025
Oregon,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,22,0.55
Oregon,AA,45,SOCIAL SCIENCES.,College Major,2,0.05
Oregon,AA,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.025
Oregon,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.025
Oregon,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.175
Oregon,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.05
Oregon,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.090909091
Oregon,C,45,SOCIAL SCIENCES.,College Major,3,0.068181818
Oregon,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.068181818
Oregon,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,22,0.5
Oregon,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,6,0.136363636
Oregon,C,42,PSYCHOLOGY.,College Major,2,0.045454545
Oregon,C,13,EDUCATION.,College Major,1,0.022727273
Oregon,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.068181818
Oregon,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.142857143
Oregon,H,45,SOCIAL SCIENCES.,College Major,1,0.142857143
Oregon,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.285714286
Oregon,H,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.285714286
Oregon,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.142857143
Oregon,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,7,0.777777778
Oregon,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.222222222
Oregon State,AA,14,ENGINEERING.,College Major,2,0.046511628
Oregon State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.046511628
Oregon State,AA,45,SOCIAL SCIENCES.,College Major,5,0.11627907
Oregon State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,10,0.23255814
Oregon State,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,6,0.139534884
Oregon State,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,3,0.069767442
Oregon State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,7,0.162790698
Oregon State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,4,0.093023256
Oregon State,AA,13,EDUCATION.,College Major,1,0.023255814
Oregon State,AA,42,PSYCHOLOGY.,College Major,3,0.069767442
Oregon State,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.042553191
Oregon State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,8,0.170212766
Oregon State,C,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.021276596
Oregon State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,15,0.319148936
Oregon State,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.021276596
Oregon State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.042553191
Oregon State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,5,0.106382979
Oregon State,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.021276596
Oregon State,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.021276596
Oregon State,C,14,ENGINEERING.,College Major,2,0.042553191
Oregon State,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.021276596
Oregon State,C,45,SOCIAL SCIENCES.,College Major,6,0.127659574
Oregon State,C,42,PSYCHOLOGY.,College Major,1,0.021276596
Oregon State,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.021276596
Oregon State,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.333333333
Oregon State,H,45,SOCIAL SCIENCES.,College Major,1,0.333333333
Oregon State,H,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.333333333
Oregon State,O,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,1
Oregon State,PI,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.2
Oregon State,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.2
Oregon State,PI,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.2
Oregon State,PI,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.1
Oregon State,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.1
Oregon State,PI,45,SOCIAL SCIENCES.,College Major,1,0.1
Oregon State,PI,42,PSYCHOLOGY.,College Major,1,0.1
Rutgers,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,34,0.576271186
Rutgers,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.033898305
Rutgers,AA,42,PSYCHOLOGY.,College Major,1,0.016949153
Rutgers,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,3,0.050847458
Rutgers,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.016949153
Rutgers,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.033898305
Rutgers,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.016949153
Rutgers,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,12,0.203389831
Rutgers,AA,45,SOCIAL SCIENCES.,College Major,2,0.033898305
Rutgers,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.016949153
Rutgers,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.025641026
Rutgers,C,45,SOCIAL SCIENCES.,College Major,5,0.128205128
Rutgers,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,6,0.153846154
Rutgers,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,20,0.512820513
Rutgers,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.025641026
Rutgers,C,54,HISTORY.,College Major,1,0.025641026
Rutgers,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.051282051
Rutgers,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.025641026
Rutgers,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.051282051
San Jose State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.1
San Jose State,AA,14,ENGINEERING.,College Major,3,0.075
San Jose State,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,4,0.1
San Jose State,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.025
San Jose State,AA,13,EDUCATION.,College Major,1,0.025
San Jose State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.125
San Jose State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,11,0.275
San Jose State,AA,45,SOCIAL SCIENCES.,College Major,4,0.1
San Jose State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.15
San Jose State,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.025
San Jose State,C,54,HISTORY.,College Major,1,0.02
San Jose State,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,6,0.12
San Jose State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,13,0.26
San Jose State,C,14,ENGINEERING.,College Major,1,0.02
San Jose State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.16
San Jose State,C,42,PSYCHOLOGY.,College Major,3,0.06
San Jose State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,6,0.12
San Jose State,C,45,SOCIAL SCIENCES.,College Major,3,0.06
San Jose State,C,40,PHYSICAL SCIENCES.,College Major,1,0.02
San Jose State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,8,0.16
San Jose State,H,45,SOCIAL SCIENCES.,College Major,2,0.333333333
San Jose State,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.166666667
San Jose State,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.333333333
San Jose State,H,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.166666667
San Jose State,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.454545455
San Jose State,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.181818182
San Jose State,PI,45,SOCIAL SCIENCES.,College Major,1,0.090909091
San Jose State,PI,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.181818182
San Jose State,PI,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.090909091
South Carolina,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.03125
South Carolina,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.03125
South Carolina,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.03125
South Carolina,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.03125
South Carolina,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.03125
South Carolina,AA,54,HISTORY.,College Major,2,0.0625
South Carolina,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.1875
South Carolina,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,7,0.21875
South Carolina,AA,45,SOCIAL SCIENCES.,College Major,5,0.15625
South Carolina,AA,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.03125
South Carolina,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.03125
South Carolina,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.15625
South Carolina,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.352941176
South Carolina,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.058823529
South Carolina,C,45,SOCIAL SCIENCES.,College Major,2,0.117647059
South Carolina,C,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.058823529
South Carolina,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.058823529
South Carolina,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.176470588
South Carolina,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.176470588
Stanford,AA,4,ARCHITECTURE AND RELATED SERVICES.,College Major,1,0.047619048
Stanford,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.19047619
Stanford,AA,45,SOCIAL SCIENCES.,College Major,8,0.380952381
Stanford,AA,14,ENGINEERING.,College Major,1,0.047619048
Stanford,AA,54,HISTORY.,College Major,1,0.047619048
Stanford,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,3,0.142857143
Stanford,AA,42,PSYCHOLOGY.,College Major,3,0.142857143
Stanford,C,45,SOCIAL SCIENCES.,College Major,6,0.157894737
Stanford,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.026315789
Stanford,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.026315789
Stanford,C,14,ENGINEERING.,College Major,4,0.105263158
Stanford,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,2,0.052631579
Stanford,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,2,0.052631579
Stanford,C,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,12,0.315789474
Stanford,C,54,HISTORY.,College Major,1,0.026315789
Stanford,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,3,0.078947368
Stanford,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.052631579
Stanford,C,42,PSYCHOLOGY.,College Major,3,0.078947368
Stanford,C,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.026315789
Stanford,H,45,SOCIAL SCIENCES.,College Major,1,0.5
Stanford,H,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.5
Stanford,PI,45,SOCIAL SCIENCES.,College Major,1,0.5
Stanford,PI,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Texas,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.333333333
Texas,AA,33,CITIZENSHIP ACTIVITIES.,College Major,5,0.555555556
Texas,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.111111111
Texas,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.052631579
Texas,C,13,EDUCATION.,College Major,1,0.052631579
Texas,C,14,ENGINEERING.,College Major,2,0.105263158
Texas,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.105263158
Texas,C,40,PHYSICAL SCIENCES.,College Major,1,0.052631579
Texas,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,5,0.263157895
Texas,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,4,0.210526316
Texas,C,54,HISTORY.,College Major,1,0.052631579
Texas,C,45,SOCIAL SCIENCES.,College Major,2,0.105263158
Texas,H,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,1
Texas A&M,AA,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,20,0.408163265
Texas A&M,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,12,0.244897959
Texas A&M,AA,14,ENGINEERING.,College Major,1,0.020408163
Texas A&M,AA,45,SOCIAL SCIENCES.,College Major,2,0.040816327
Texas A&M,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,14,0.285714286
Texas A&M,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,7,0.225806452
Texas A&M,C,14,ENGINEERING.,College Major,8,0.258064516
Texas A&M,C,45,SOCIAL SCIENCES.,College Major,1,0.032258065
Texas A&M,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.193548387
Texas A&M,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.064516129
Texas A&M,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.225806452
Texas A&M,H,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,1
Utah State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.05
Utah State,AA,45,SOCIAL SCIENCES.,College Major,5,0.125
Utah State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.05
Utah State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,26,0.65
Utah State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.075
Utah State,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.025
Utah State,AA,42,PSYCHOLOGY.,College Major,1,0.025
Utah State,C,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.020408163
Utah State,C,14,ENGINEERING.,College Major,3,0.06122449
Utah State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,12,0.244897959
Utah State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,14,0.285714286
Utah State,C,13,EDUCATION.,College Major,1,0.020408163
Utah State,C,45,SOCIAL SCIENCES.,College Major,5,0.102040816
Utah State,C,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.020408163
Utah State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,11,0.224489796
Utah State,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.020408163
Utah State,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Utah State,H,42,PSYCHOLOGY.,College Major,1,0.333333333
Utah State,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.333333333
Utah State,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,10,1
Vanderbilt,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.083333333
Vanderbilt,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,5,0.416666667
Vanderbilt,AA,13,EDUCATION.,College Major,3,0.25
Vanderbilt,AA,14,ENGINEERING.,College Major,1,0.083333333
Vanderbilt,AA,45,SOCIAL SCIENCES.,College Major,1,0.083333333
Vanderbilt,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.083333333
Vanderbilt,C,14,ENGINEERING.,College Major,1,0.052631579
Vanderbilt,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,10,0.526315789
Vanderbilt,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.052631579
Vanderbilt,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.052631579
Vanderbilt,C,45,SOCIAL SCIENCES.,College Major,4,0.210526316
Vanderbilt,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.052631579
Vanderbilt,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.052631579
Vanderbilt,H,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,1
