School_Label,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Race_School
Florida State,AA,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.020833333
Florida State,C,14,ENGINEERING.,College Major,1,0.055555556
Florida State,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.055555556
Florida State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.166666667
Florida State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.055555556
Florida State,C,45,SOCIAL SCIENCES.,College Major,5,0.277777778
Florida State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.166666667
Florida State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,4,0.222222222
Georgia,AA,14,ENGINEERING.,College Major,2,0.037037037
Georgia,AA,42,PSYCHOLOGY.,College Major,3,0.055555556
Georgia,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,14,0.259259259
Georgia,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,11,0.203703704
Georgia,AA,13,EDUCATION.,College Major,1,0.018518519
Georgia,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.018518519
Georgia,AA,45,SOCIAL SCIENCES.,College Major,3,0.055555556
Georgia,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.018518519
Georgia,AA,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.018518519
Georgia,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.092592593
Georgia,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.037037037
Georgia,AA,54,HISTORY.,College Major,3,0.055555556
Georgia,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.12962963
Georgia,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,4,0.064516129
Georgia,C,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.016129032
Georgia,C,42,PSYCHOLOGY.,College Major,2,0.032258065
Georgia,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,6,0.096774194
Georgia,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.016129032
Georgia,C,13,EDUCATION.,College Major,3,0.048387097
Georgia,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,13,0.209677419
Georgia,C,14,ENGINEERING.,College Major,1,0.016129032
Georgia,C,54,HISTORY.,College Major,1,0.016129032
Georgia,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,5,0.080645161
Georgia,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,6,0.096774194
Georgia,C,45,SOCIAL SCIENCES.,College Major,6,0.096774194
Georgia,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,13,0.209677419
Kansas State,AA,13,EDUCATION.,College Major,2,0.060606061
Kansas State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.060606061
Kansas State,AA,14,ENGINEERING.,College Major,3,0.090909091
Kansas State,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.03030303
Kansas State,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.03030303
Kansas State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.090909091
Kansas State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.03030303
Kansas State,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.03030303
Kansas State,AA,45,SOCIAL SCIENCES.,College Major,17,0.515151515
Kansas State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.060606061
Kansas State,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,4,0.076923077
Kansas State,C,13,EDUCATION.,College Major,2,0.038461538
Kansas State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.038461538
Kansas State,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.038461538
Kansas State,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.019230769
Kansas State,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,3,0.057692308
Kansas State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,14,0.269230769
Kansas State,C,14,ENGINEERING.,College Major,5,0.096153846
Kansas State,C,40,PHYSICAL SCIENCES.,College Major,1,0.019230769
Kansas State,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,2,0.038461538
Kansas State,C,45,SOCIAL SCIENCES.,College Major,6,0.115384615
Kansas State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.038461538
Kansas State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,8,0.153846154
Kansas State,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Kansas State,PI,45,SOCIAL SCIENCES.,College Major,3,1
Louisiana State,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.018181818
Louisiana State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,20,0.363636364
Louisiana State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,19,0.345454545
Louisiana State,AA,13,EDUCATION.,College Major,1,0.018181818
Louisiana State,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.018181818
Louisiana State,AA,42,PSYCHOLOGY.,College Major,1,0.018181818
Louisiana State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.018181818
Louisiana State,AA,45,SOCIAL SCIENCES.,College Major,1,0.018181818
