School_Label,ID_Position,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_School_Position_Race
Boise State,DE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Boise State,DE,AA,42,PSYCHOLOGY.,College Major,1,0.5
Boise State,DE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Boise State,DL,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Boise State,DL,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Boise State,DT,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,DT,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.333333333
Boise State,DT,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.333333333
Boise State,DT,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Boise State,DT,O,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,FB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Boise State,FB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,LB,AA,45,SOCIAL SCIENCES.,College Major,1,1
Boise State,LB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.25
Boise State,LB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.5
Boise State,LB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.25
Boise State,LS,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,OG,AA,45,SOCIAL SCIENCES.,College Major,1,1
Boise State,OG,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Boise State,OL,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.5
Boise State,OL,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Boise State,OL,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.125
Boise State,OL,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.125
Boise State,OL,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.375
Boise State,OL,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.125
Boise State,OL,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.25
Boise State,OT,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,P,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Boise State,PK,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Boise State,PK,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Boise State,QB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.666666667
Boise State,QB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Boise State,RB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Boise State,RB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Boise State,RB,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,1
Boise State,S,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,1
Boise State,S,PI,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Boise State,TE,C,14,ENGINEERING.,College Major,1,0.2
Boise State,TE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.6
Boise State,TE,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.2
Boise State,WR,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.25
Boise State,WR,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.5
Boise State,WR,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.25
Boise State,WR,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.4
Boise State,WR,C,42,PSYCHOLOGY.,College Major,1,0.2
Boise State,WR,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.2
Boise State,WR,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.2
Clemson,CB,AA,14,ENGINEERING.,College Major,2,0.25
Clemson,CB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.25
Clemson,CB,AA,45,SOCIAL SCIENCES.,College Major,4,0.5
Clemson,DB,AA,42,PSYCHOLOGY.,College Major,1,0.5
Clemson,DB,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Clemson,DE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.25
Clemson,DE,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.25
Clemson,DE,AA,45,SOCIAL SCIENCES.,College Major,2,0.5
Clemson,DE,C,14,ENGINEERING.,College Major,2,1
Clemson,DT,AA,14,ENGINEERING.,College Major,1,0.142857143
Clemson,DT,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.285714286
Clemson,DT,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.142857143
Clemson,DT,AA,45,SOCIAL SCIENCES.,College Major,2,0.285714286
Clemson,DT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.142857143
Clemson,FB,AA,45,SOCIAL SCIENCES.,College Major,1,1
Clemson,LB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.222222222
Clemson,LB,AA,45,SOCIAL SCIENCES.,College Major,6,0.666666667
Clemson,LB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.111111111
Clemson,LB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Clemson,LS,C,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.25
Clemson,LS,C,14,ENGINEERING.,College Major,1,0.25
Clemson,LS,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.5
Clemson,OC,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.333333333
Clemson,OC,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.333333333
Clemson,OC,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Clemson,OG,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.333333333
Clemson,OG,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.333333333
Clemson,OG,AA,45,SOCIAL SCIENCES.,College Major,1,0.333333333
Clemson,OG,C,14,ENGINEERING.,College Major,2,0.666666667
Clemson,OG,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.333333333
Clemson,OL,AA,13,EDUCATION.,College Major,1,1
Clemson,OL,C,14,ENGINEERING.,College Major,1,1
Clemson,OT,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.5
Clemson,OT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Clemson,OT,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.5
Clemson,OT,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Clemson,P,C,14,ENGINEERING.,College Major,1,0.5
Clemson,P,C,45,SOCIAL SCIENCES.,College Major,1,0.5
Clemson,PK,C,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.5
Clemson,PK,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.5
Clemson,PK,O,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Clemson,QB,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Clemson,QB,AA,54,HISTORY.,College Major,1,0.5
Clemson,QB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,1
Clemson,RB,AA,13,EDUCATION.,College Major,1,0.333333333
Clemson,RB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.333333333
Clemson,RB,AA,45,SOCIAL SCIENCES.,College Major,1,0.333333333
Clemson,S,AA,14,ENGINEERING.,College Major,1,0.25
Clemson,S,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.25
Clemson,S,AA,45,SOCIAL SCIENCES.,College Major,1,0.25
Clemson,S,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.25
Clemson,S,C,14,ENGINEERING.,College Major,1,0.5
Clemson,S,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Clemson,TE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Clemson,TE,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Clemson,TE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.5
Clemson,TE,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.5
Clemson,WR,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.166666667
Clemson,WR,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.333333333
Clemson,WR,AA,45,SOCIAL SCIENCES.,College Major,1,0.166666667
Clemson,WR,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.333333333
Clemson,WR,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.6
Clemson,WR,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.4
Clemson,WR,H,45,SOCIAL SCIENCES.,College Major,1,1
Florida,DB,AA,45,SOCIAL SCIENCES.,College Major,4,1
Florida,DB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Florida,DL,AA,45,SOCIAL SCIENCES.,College Major,6,1
Florida,DL,C,45,SOCIAL SCIENCES.,College Major,1,1
Florida,K,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.333333333
Florida,K,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.333333333
Florida,K,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Florida,LB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.142857143
Florida,LB,AA,45,SOCIAL SCIENCES.,College Major,6,0.857142857
Florida,LS,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.333333333
Florida,LS,C,45,SOCIAL SCIENCES.,College Major,1,0.333333333
Florida,LS,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Florida,OL,AA,42,PSYCHOLOGY.,College Major,1,0.2
Florida,OL,AA,45,SOCIAL SCIENCES.,College Major,4,0.8
Florida,OL,C,45,SOCIAL SCIENCES.,College Major,3,0.75
Florida,OL,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.25
Florida,OL,PI,45,SOCIAL SCIENCES.,College Major,1,1
Florida,QB,AA,45,SOCIAL SCIENCES.,College Major,1,1
Florida,RB,AA,45,SOCIAL SCIENCES.,College Major,2,1
Florida,RB,C,45,SOCIAL SCIENCES.,College Major,1,1
Florida,TE,AA,45,SOCIAL SCIENCES.,College Major,1,1
Florida,WR,AA,45,SOCIAL SCIENCES.,College Major,6,1
Florida,WR,C,45,SOCIAL SCIENCES.,College Major,1,1
Florida State,DB,AA,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,College Major,1,0.1
Florida State,DB,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,2,0.2
Florida State,DB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.1
Florida State,DB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.2
Florida State,DB,AA,45,SOCIAL SCIENCES.,College Major,3,0.3
Florida State,DB,AA,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.1
Florida State,DB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Florida State,DE,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.25
Florida State,DE,AA,45,SOCIAL SCIENCES.,College Major,3,0.75
Florida State,DE,C,45,SOCIAL SCIENCES.,College Major,2,1
Florida State,DT,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.285714286
Florida State,DT,AA,45,SOCIAL SCIENCES.,College Major,5,0.714285714
Florida State,FB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.333333333
Florida State,FB,AA,45,SOCIAL SCIENCES.,College Major,2,0.666666667
Florida State,FB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Florida State,K,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Florida State,LB,AA,13,EDUCATION.,College Major,1,0.142857143
Florida State,LB,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.142857143
Florida State,LB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.142857143
Florida State,LB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.285714286
Florida State,LB,AA,45,SOCIAL SCIENCES.,College Major,1,0.142857143
Florida State,LB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.142857143
Florida State,LS,C,45,SOCIAL SCIENCES.,College Major,1,1
Florida State,OL,AA,45,SOCIAL SCIENCES.,College Major,3,0.5
Florida State,OL,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.5
Florida State,OL,C,14,ENGINEERING.,College Major,1,0.166666667
Florida State,OL,C,45,SOCIAL SCIENCES.,College Major,2,0.333333333
Florida State,OL,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.166666667
Florida State,OL,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.166666667
Florida State,OL,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.166666667
Florida State,P,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,1
Florida State,QB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,1
Florida State,QB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.5
Florida State,QB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Florida State,RB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Florida State,RB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.5
Florida State,TE,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Florida State,TE,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Florida State,TE,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,1
Florida State,WR,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.166666667
Florida State,WR,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.5
Florida State,WR,AA,45,SOCIAL SCIENCES.,College Major,1,0.166666667
Florida State,WR,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.166666667
Florida State,WR,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Georgia,CB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.4
Georgia,CB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.2
Georgia,CB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.2
Georgia,CB,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.2
Georgia,CB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.5
Georgia,CB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.5
Georgia,DB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.5
Georgia,DB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.5
Georgia,DE,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.5
Georgia,DE,AA,54,HISTORY.,College Major,2,0.5
Georgia,DE,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.5
Georgia,DE,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Georgia,FB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.333333333
Georgia,FB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.333333333
Georgia,FB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.333333333
Georgia,FB,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.5
Georgia,FB,C,45,SOCIAL SCIENCES.,College Major,1,0.5
Georgia,FS,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Georgia,FS,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.5
Georgia,FS,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,1
Georgia,ILB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.2
Georgia,ILB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.2
Georgia,ILB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.4
Georgia,ILB,AA,42,PSYCHOLOGY.,College Major,1,0.2
Georgia,ILB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.5
Georgia,ILB,C,45,SOCIAL SCIENCES.,College Major,1,0.25
Georgia,ILB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.25
Georgia,LS,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.333333333
Georgia,LS,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.333333333
Georgia,LS,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.333333333
Georgia,OC,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.5
Georgia,OC,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.5
Georgia,OG,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Georgia,OG,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Georgia,OG,C,13,EDUCATION.,College Major,1,0.333333333
Georgia,OG,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.666666667
Georgia,OL,C,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.5
Georgia,OL,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.5
Georgia,OLB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.125
Georgia,OLB,AA,14,ENGINEERING.,College Major,1,0.125
Georgia,OLB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.25
Georgia,OLB,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.125
Georgia,OLB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.25
Georgia,OLB,AA,42,PSYCHOLOGY.,College Major,1,0.125
Georgia,OLB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.5
Georgia,OLB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Georgia,OT,AA,45,SOCIAL SCIENCES.,College Major,1,0.5
Georgia,OT,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Georgia,OT,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.4
Georgia,OT,C,45,SOCIAL SCIENCES.,College Major,1,0.2
Georgia,OT,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.4
Georgia,P,C,14,ENGINEERING.,College Major,1,0.2
Georgia,P,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.2
Georgia,P,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,1,0.2
Georgia,P,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.4
