"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"238",210,1997,11,"1997-11-17","36-063","MIA","","BUF","W 30-13","*",18,24,0.429,234,2,1,115.6,9.75,9.54,2,-2,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-13",30,13
"239",211,1997,12,"1997-11-23","36-069","MIA","@","NWE","L 24-27","*",38,60,0.388,389,0,3,61,6.48,4.23,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","24-27",24,27
"240",212,1997,13,"1997-11-30","36-076","MIA","@","OAK","W 34-16","*",19,34,0.358,241,2,1,85.5,7.09,6.94,2,-1,-0.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","34-16",34,16
"241",213,1997,14,"1997-12-07","36-083","MIA","","DET","W 33-30","*",24,39,0.381,310,2,1,92.9,7.95,7.82,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","33-30",33,30
"242",214,1997,15,"1997-12-14","36-090","MIA","@","IND","L 0-41","*",7,15,0.318,71,0,0,60.7,4.73,4.73,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","0-41",0,41
"243",215,1997,16,"1997-12-22","36-098","MIA","","NWE","L 12-14","*",28,44,0.389,275,1,1,79.3,6.25,5.68,2,-2,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","12-14",12,14
"246",216,1998,1,"1998-09-06","36-356","MIA","@","IND","W 24-15","*",13,24,0.351,135,1,0,84.5,5.63,6.46,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-15",24,15
"247",217,1998,2,"1998-09-13","36-363","MIA","","BUF","W 13-7","*",14,26,0.35,159,1,0,85.3,6.12,6.88,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","13-7",13,7
"248",218,1998,3,"1998-09-20","37-005","MIA","","PIT","W 21-0","*",14,22,0.389,113,1,0,91.7,5.14,6.05,1,-2,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","21-0",21,0
"249",219,1998,4,"1998-10-04","37-019","MIA","@","NYJ","L 9-20","*",13,31,0.295,121,1,2,37.2,3.9,1.65,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","9-20",9,20
