"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"27",25,1984,14,"1984-12-02","23-078","MIA","","RAI","L 34-45","*",35,57,0.38,470,4,2,96.4,8.25,8.07,1,-4,-4,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","34-45",34,45
"28",26,1984,15,"1984-12-09","23-085","MIA","@","IND","W 35-17","*",29,41,0.414,404,4,1,124.4,9.85,10.71,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","35-17",35,17
"29",27,1984,16,"1984-12-17","23-093","MIA","","DAL","W 28-21","*",23,40,0.365,340,4,2,97.9,8.5,8.25,2,-3,-1.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-21",28,21
"32",28,1985,1,"1985-09-08","23-358","MIA","@","HOU","L 23-26","*",13,24,0.351,159,0,2,40.1,6.63,2.88,2,-1,-0.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","23-26",23,26
"33",29,1985,2,"1985-09-15","24-000","MIA","","IND","W 30-13","*",29,48,0.377,329,2,0,94.9,6.85,7.69,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-13",30,13
"34",30,1985,3,"1985-09-22","24-007","MIA","","KAN","W 31-0","*",23,35,0.397,258,2,1,94.7,7.37,7.23,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-0",31,0
"35",31,1985,4,"1985-09-29","24-014","MIA","@","DEN","W 30-26","*",25,43,0.368,390,3,0,111.6,9.07,10.47,1,-2,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-26",30,26
"36",32,1985,5,"1985-10-06","24-021","MIA","","PIT","W 24-20","*",27,45,0.375,277,1,3,57.4,6.16,3.6,4,-4,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-20",24,20
"37",33,1985,6,"1985-10-14","24-029","MIA","@","NYJ","L 7-23","*",13,23,0.361,136,0,1,55.7,5.91,3.96,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","7-23",7,23
"38",34,1985,7,"1985-10-20","24-035","MIA","","TAM","W 41-38","*",27,39,0.409,302,3,1,107,7.74,8.13,2,-2,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","41-38",41,38
"39",35,1985,8,"1985-10-27","24-042","MIA","@","DET","L 21-31","*",23,44,0.343,247,2,2,65.2,5.61,4.48,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","21-31",21,31
"40",36,1985,9,"1985-11-03","24-049","MIA","@","NWE","L 13-17","*",15,33,0.312,171,0,2,36.3,5.18,2.45,2,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","13-17",13,17
"41",37,1985,10,"1985-11-10","24-056","MIA","","NYJ","W 21-17","*",21,37,0.362,362,3,3,83.4,9.78,7.76,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","21-17",21,17
"42",38,1985,11,"1985-11-17","24-063","MIA","@","IND","W 34-20","*",22,37,0.373,330,1,0,97.8,8.92,9.46,2,-4,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","34-20",34,20
"43",39,1985,12,"1985-11-24","24-070","MIA","@","BUF","W 23-14","*",22,31,0.415,233,2,2,87.2,7.52,5.9,2,-1,-0.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","23-14",23,14
"44",40,1985,13,"1985-12-02","24-078","MIA","","CHI","W 38-24","*",14,27,0.341,270,3,1,108.6,10,10.56,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","38-24",38,24
"45",41,1985,14,"1985-12-08","24-084","MIA","@","GNB","W 34-24","*",30,44,0.405,345,5,1,120,7.84,9.09,4,4,1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","34-24",34,24
"46",42,1985,15,"1985-12-16","24-092","MIA","","NWE","W 30-27","*",17,33,0.34,192,1,1,66.7,5.82,5.06,5,-18,-3.6,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-27",30,27
"47",43,1985,16,"1985-12-22","24-098","MIA","","BUF","W 28-0","*",15,24,0.385,136,2,1,88.2,5.67,5.46,2,4,2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-0",28,0
"50",44,1986,1,"1986-09-07","24-357","MIA","@","SDG","L 28-50","*",23,36,0.39,290,3,0,116.7,8.06,9.72,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","28-50",28,50
"51",45,1986,2,"1986-09-14","24-364","MIA","","IND","W 30-10","*",17,29,0.37,254,1,1,84.6,8.76,7.9,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-10",30,10
"52",46,1986,3,"1986-09-21","25-006","MIA","@","NYJ","L 45-51","*",30,50,0.375,448,6,2,112.3,8.96,9.56,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","45-51",45,51
"53",47,1986,4,"1986-09-28","25-013","MIA","","SFO","L 16-31","*",27,46,0.37,301,1,4,49.3,6.54,3.07,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","16-31",16,31
"54",48,1986,5,"1986-10-05","25-020","MIA","@","NWE","L 7-34","*",13,23,0.361,167,1,3,54.3,7.26,2.26,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","7-34",7,34
"55",49,1986,6,"1986-10-12","25-027","MIA","","BUF","W 27-14","*",24,41,0.369,337,1,1,83.1,8.22,7.61,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","27-14",27,14
"56",50,1986,7,"1986-10-19","25-034","MIA","","RAI","L 28-30","*",20,32,0.385,286,3,2,96.6,8.94,8,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","28-30",28,30
"57",51,1986,8,"1986-10-26","25-041","MIA","@","IND","W 17-13","*",23,42,0.354,243,1,0,79.8,5.79,6.26,4,-8,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","17-13",17,13
"58",52,1986,9,"1986-11-02","25-048","MIA","","HOU","W 28-7","*",12,29,0.293,220,4,2,79,7.59,7.24,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-7",28,7
"59",53,1986,10,"1986-11-10","25-056","MIA","@","CLE","L 16-26","*",22,39,0.361,295,2,1,87,7.56,7.44,1,5,5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","16-26",16,26
"60",54,1986,11,"1986-11-16","25-062","MIA","@","BUF","W 34-24","*",39,54,0.419,404,4,0,118.1,7.48,8.96,1,-3,-3,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","34-24",34,24
"61",55,1986,12,"1986-11-24","25-070","MIA","","NYJ","W 45-3","*",29,36,0.446,288,4,0,137,8,10.22,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","45-3",45,3
"62",56,1986,13,"1986-11-30","25-076","MIA","","ATL","L 14-20","*",20,40,0.333,303,2,4,52.4,7.58,4.08,2,8,4,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","14-20",14,20
"63",57,1986,14,"1986-12-07","25-083","MIA","@","NOR","W 31-27","*",27,41,0.397,241,3,0,105.8,5.88,7.34,2,-5,-2.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-27",31,27
"64",58,1986,15,"1986-12-14","25-090","MIA","@","RAM","W 37-31","*",29,46,0.387,403,5,1,118.3,8.76,9.96,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","37-31",37,31
"65",59,1986,16,"1986-12-22","25-098","MIA","","NWE","L 27-34","*",23,39,0.371,266,3,2,83.9,6.82,6.05,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","27-34",27,34
"68",60,1987,1,"1987-09-13","25-363","MIA","@","NWE","L 21-28","*",19,37,0.339,165,3,2,68,4.46,3.65,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","21-28",21,28
"69",61,1987,2,"1987-09-20","26-005","MIA","@","IND","W 23-10","*",23,32,0.418,254,3,0,126.3,7.94,9.81,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","23-10",23,10
"70",62,1987,6,"1987-10-25","26-040","MIA","","BUF","L 31-34","*",24,36,0.4,303,4,0,129.7,8.42,10.64,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","31-34",31,34
"71",63,1987,7,"1987-11-01","26-047","MIA","","PIT","W 35-24","*",25,31,0.446,332,4,2,124,10.71,10.39,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","35-24",35,24
"72",64,1987,8,"1987-11-08","26-054","MIA","@","CIN","W 20-14","*",26,41,0.388,262,1,0,89.7,6.39,6.88,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","20-14",20,14
"73",65,1987,9,"1987-11-15","26-061","MIA","","IND","L 21-40","*",14,34,0.292,194,2,1,67.5,5.71,5.56,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","21-40",21,40
"74",66,1987,10,"1987-11-22","26-068","MIA","@","DAL","W 20-14","*",22,39,0.361,265,1,1,75.3,6.79,6.15,2,-4,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","20-14",20,14
"75",67,1987,11,"1987-11-29","26-075","MIA","@","BUF","L 0-27","*",13,28,0.317,165,0,3,25.7,5.89,1.07,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","0-27",0,27
"76",68,1987,12,"1987-12-07","26-083","MIA","","NYJ","W 37-28","*",29,40,0.42,293,1,0,101.4,7.33,7.83,2,2,1,1,0,0,NA,0,1,6,"Dan Marino",TRUE,"W","37-28",37,28
"77",69,1987,13,"1987-12-13","26-089","MIA","@","PHI","W 28-10","*",25,39,0.391,376,3,1,110.6,9.64,10.03,3,-2,-0.67,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-10",28,10
"78",70,1987,14,"1987-12-20","26-096","MIA","","WAS","W 23-21","*",22,50,0.306,393,3,1,83.2,7.86,8.16,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","23-21",23,21
"79",71,1987,15,"1987-12-28","26-104","MIA","","NWE","L 10-24","*",21,37,0.362,243,1,2,63.2,6.57,4.68,2,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","10-24",10,24
"82",72,1988,1,"1988-09-04","26-355","MIA","@","CHI","L 7-34","*",9,22,0.29,113,1,0,72.7,5.14,6.05,2,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","7-34",7,34
"83",73,1988,2,"1988-09-11","26-362","MIA","@","BUF","L 6-9","*",22,34,0.393,221,0,0,83.1,6.5,6.5,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","6-9",6,9
"84",74,1988,3,"1988-09-18","27-003","MIA","","GNB","W 24-17","*",22,33,0.4,261,2,2,85.5,7.91,6.39,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-17",24,17
"85",75,1988,4,"1988-09-25","27-010","MIA","@","IND","L 13-15","*",22,35,0.386,276,2,1,94.5,7.89,7.74,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","13-15",13,15
"86",76,1988,5,"1988-10-02","27-017","MIA","","MIN","W 24-7","*",20,37,0.351,264,2,3,61.1,7.14,4.57,5,-12,-2.4,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-7",24,7
"87",77,1988,6,"1988-10-09","27-024","MIA","@","RAI","W 24-14","*",14,36,0.28,175,1,1,52.4,4.86,4.17,3,-4,-1.33,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-14",24,14
"88",78,1988,7,"1988-10-16","27-031","MIA","","SDG","W 31-28","*",26,45,0.366,329,1,0,88.1,7.31,7.76,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-28",31,28
"89",79,1988,8,"1988-10-23","27-038","MIA","","NYJ","L 30-44","*",35,60,0.368,521,3,5,68.8,8.68,5.93,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","30-44",30,44
"90",80,1988,9,"1988-10-30","27-045","MIA","@","TAM","W 17-14","*",27,46,0.37,266,2,0,89.6,5.78,6.65,3,-4,-1.33,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","17-14",17,14
"91",81,1988,10,"1988-11-06","27-052","MIA","@","NWE","L 10-21","*",29,51,0.362,359,1,2,69,7.04,5.67,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","10-21",10,21
"92",82,1988,11,"1988-11-14","27-060","MIA","","BUF","L 6-31","*",19,30,0.388,224,1,3,57.5,7.47,3.63,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","6-31",6,31
"93",83,1988,12,"1988-11-20","27-066","MIA","","NWE","L 3-6","*",19,29,0.396,169,0,0,81,5.83,5.83,1,6,6,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","3-6",3,6
"94",84,1988,13,"1988-11-27","27-073","MIA","@","NYJ","L 34-38","*",17,35,0.327,353,5,0,124.2,10.09,12.94,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","34-38",34,38
"95",85,1988,14,"1988-12-04","27-080","MIA","","IND","L 28-31","*",26,32,0.448,304,3,1,124.5,9.5,9.97,1,1,1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","28-31",28,31
"96",86,1988,15,"1988-12-12","27-088","MIA","","CLE","W 38-31","*",30,50,0.375,404,4,3,87.4,8.08,6.98,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","38-31",38,31
"97",87,1988,16,"1988-12-18","27-094","MIA","@","PIT","L 24-40","*",17,31,0.354,195,0,2,47.1,6.29,3.39,1,-3,-3,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","24-40",24,40
