"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","punt_attempts","punting_yards","yards_per_punt","punts_blocked","player","started","outcome","score","team_score","opponent_score"
"84",74,2005,10,"2005-11-20","28-109","NWE","","NOR","W 24-17",15,29,0.341,222,3,0,111.6,7.66,9.72,1,5,5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","24-17",24,17
"85",75,2005,11,"2005-11-27","28-116","NWE","@","KAN","L 16-26",22,40,0.355,248,1,4,42.5,6.2,2.2,1,15,15,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","16-26",16,26
"86",76,2005,12,"2005-12-04","28-123","NWE","","NYJ","W 16-3",27,37,0.422,271,0,0,93.4,7.32,7.32,4,19,4.75,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","16-3",16,3
"87",77,2005,13,"2005-12-11","28-130","NWE","@","BUF","W 35-7",29,38,0.433,329,2,2,97.4,8.66,7.34,4,17,4.25,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","35-7",35,7
"88",78,2005,14,"2005-12-17","28-136","NWE","","TAM","W 28-0",20,31,0.392,258,3,0,122.8,8.32,10.26,3,6,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","28-0",28,0
"89",79,2005,15,"2005-12-26","28-145","NWE","@","NYJ","W 31-21",18,29,0.383,185,2,1,89,6.38,6.21,3,7,2.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-21",31,21
"90",80,2005,16,"2006-01-01","28-151","NWE","","MIA","L 26-28",3,8,0.273,37,1,1,52.6,4.63,1.5,1,2,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","26-28",26,28
"93",81,2006,1,"2006-09-10","29-038","NWE","","BUF","W 19-17",11,23,0.324,163,2,1,82.3,7.09,6.87,5,3,0.6,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","19-17",19,17
"94",82,2006,2,"2006-09-17","29-045","NWE","@","NYJ","W 24-17",15,29,0.341,220,1,1,73.9,7.59,6.72,1,-1,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","24-17",24,17
"95",83,2006,3,"2006-09-24","29-052","NWE","","DEN","L 7-17",31,55,0.36,320,1,0,79.4,5.82,6.18,2,7,3.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","7-17",7,17
"96",84,2006,4,"2006-10-01","29-059","NWE","@","CIN","W 38-13",15,26,0.366,188,2,1,89.9,7.23,7.04,2,21,10.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-13",38,13
"97",85,2006,5,"2006-10-08","29-066","NWE","","MIA","W 20-10",16,29,0.356,140,2,0,91.2,4.83,6.21,4,-3,-0.75,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","20-10",20,10
"98",86,2006,6,"2006-10-22","29-080","NWE","@","BUF","W 28-6",18,27,0.4,195,2,0,112.4,7.22,8.7,2,2,1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","28-6",28,6
"99",87,2006,7,"2006-10-30","29-088","NWE","@","MIN","W 31-7",29,43,0.403,372,4,1,115.6,8.65,9.47,1,1,1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-7",31,7
"100",88,2006,8,"2006-11-05","29-094","NWE","","IND","L 20-27",20,35,0.364,201,0,4,34,5.74,0.6,3,13,4.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","20-27",20,27
"101",89,2006,9,"2006-11-12","29-101","NWE","","NYJ","L 14-17",24,36,0.4,253,1,1,84.6,7.03,6.33,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","14-17",14,17
"102",90,2006,10,"2006-11-19","29-108","NWE","@","GNB","W 35-0",20,31,0.392,244,4,0,128.2,7.87,10.45,4,6,1.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","35-0",35,0
"103",91,2006,11,"2006-11-26","29-115","NWE","","CHI","W 17-13",22,33,0.4,267,1,2,76.2,8.09,5.97,6,12,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","17-13",17,13
"104",92,2006,12,"2006-12-03","29-122","NWE","","DET","W 28-21",27,38,0.415,305,0,1,83.8,8.03,6.84,6,9,1.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","28-21",28,21
