"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","punt_attempts","punting_yards","yards_per_punt","punts_blocked","player","started","outcome","score","team_score","opponent_score"
"154",134,2010,5,"2010-10-17","33-075","NWE","","BAL","W 23-20",27,44,0.38,292,1,2,69.5,6.64,5.05,2,1,0.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-20",23,20
"155",135,2010,6,"2010-10-24","33-082","NWE","@","SDG","W 23-20",19,32,0.373,159,1,0,82.7,4.97,5.59,2,1,0.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-20",23,20
"156",136,2010,7,"2010-10-31","33-089","NWE","","MIN","W 28-18",16,27,0.372,240,1,0,100.8,8.89,9.63,4,-3,-0.75,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","28-18",28,18
"157",137,2010,8,"2010-11-07","33-096","NWE","@","CLE","L 14-34",19,36,0.345,224,2,0,90.5,6.22,7.33,1,1,1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","14-34",14,34
"158",138,2010,9,"2010-11-14","33-103","NWE","@","PIT","W 39-26",30,43,0.411,350,3,0,117.4,8.14,9.53,1,3,3,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","39-26",39,26
"159",139,2010,10,"2010-11-21","33-110","NWE","","IND","W 31-28",19,25,0.432,186,2,0,123.1,7.44,9.04,4,-2,-0.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-28",31,28
"160",140,2010,11,"2010-11-25","33-114","NWE","@","DET","W 45-24",21,27,0.438,341,4,0,158.3,12.63,15.59,4,1,0.25,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","45-24",45,24
"161",141,2010,12,"2010-12-06","33-125","NWE","","NYJ","W 45-3",21,29,0.42,326,4,0,148.9,11.24,14,1,3,3,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","45-3",45,3
"162",142,2010,13,"2010-12-12","33-131","NWE","@","CHI","W 36-7",27,40,0.403,369,2,0,113.4,9.23,10.23,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","36-7",36,7
"163",143,2010,14,"2010-12-19","33-138","NWE","","GNB","W 31-27",15,24,0.385,163,2,0,110.2,6.79,8.46,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-27",31,27
"164",144,2010,15,"2010-12-26","33-145","NWE","@","BUF","W 34-3",15,27,0.357,140,3,0,107,5.19,7.41,3,13,4.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-3",34,3
"165",145,2010,16,"2011-01-02","33-152","NWE","","MIA","W 38-7",10,16,0.385,199,2,0,145.6,12.44,14.94,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-7",38,7
"168",146,2011,1,"2011-09-12","34-040","NWE","@","MIA","W 38-24",32,48,0.4,517,4,1,121.6,10.77,11.5,1,3,3,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-24",38,24
"169",147,2011,2,"2011-09-18","34-046","NWE","","SDG","W 35-21",31,40,0.437,423,3,0,135.7,10.58,12.08,2,3,1.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","35-21",35,21
"170",148,2011,3,"2011-09-25","34-053","NWE","@","BUF","L 31-34",30,45,0.4,387,4,4,86.1,8.6,6.38,1,5,5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","31-34",31,34
"171",149,2011,4,"2011-10-02","34-060","NWE","@","OAK","W 31-19",16,30,0.348,226,2,0,100.1,7.53,8.87,1,-1,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-19",31,19
"172",150,2011,5,"2011-10-09","34-067","NWE","","NYJ","W 30-21",24,33,0.421,321,1,1,100.7,9.73,8.97,1,3,3,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","30-21",30,21
"173",151,2011,6,"2011-10-16","34-074","NWE","","DAL","W 20-16",27,41,0.397,289,2,2,82.3,7.05,5.83,4,17,4.25,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","20-16",20,16
"174",152,2011,7,"2011-10-30","34-088","NWE","@","PIT","L 17-25",24,35,0.407,198,2,0,101.8,5.66,6.8,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","17-25",17,25
"175",153,2011,8,"2011-11-06","34-095","NWE","","NYG","L 20-24",28,49,0.364,342,2,2,75.4,6.98,5.96,1,5,5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","20-24",20,24
"176",154,2011,9,"2011-11-13","34-102","NWE","@","NYJ","W 37-16",26,39,0.4,329,3,0,118.4,8.44,9.97,3,2,0.67,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","37-16",37,16
"177",155,2011,10,"2011-11-21","34-110","NWE","","KAN","W 34-3",15,27,0.357,234,2,0,109.2,8.67,10.15,2,10,5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-3",34,3
"178",156,2011,11,"2011-11-27","34-116","NWE","@","PHI","W 38-20",24,34,0.414,361,3,0,134.6,10.62,12.38,5,28,5.6,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-20",38,20
"179",157,2011,12,"2011-12-04","34-123","NWE","","IND","W 31-24",29,38,0.433,289,2,0,114.9,7.61,8.66,3,7,2.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-24",31,24
"180",158,2011,13,"2011-12-11","34-130","NWE","@","WAS","W 34-27",22,37,0.373,357,3,1,107.6,9.65,10.05,4,8,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-27",34,27
"181",159,2011,14,"2011-12-18","34-137","NWE","@","DEN","W 41-23",23,34,0.404,320,2,0,117.3,9.41,10.59,6,2,0.33,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","41-23",41,23
"182",160,2011,15,"2011-12-24","34-143","NWE","","MIA","W 27-24",27,46,0.37,304,1,0,85.8,6.61,7.04,9,17,1.89,2,0,0,NA,0,2,12,0,0,NA,0,"Tom Brady",TRUE,"W","27-24",27,24
"183",161,2011,16,"2012-01-01","34-151","NWE","","BUF","W 49-21",23,35,0.397,338,3,1,113.7,9.66,10.09,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","49-21",49,21
"186",162,2012,1,"2012-09-09","35-037","NWE","@","TEN","W 34-13",23,31,0.426,236,2,0,117.1,7.61,8.9,2,1,0.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-13",34,13
"187",163,2012,2,"2012-09-16","35-044","NWE","","ARI","L 18-20",28,46,0.378,316,1,1,79.6,6.87,6.33,1,-1,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","18-20",18,20
"188",164,2012,3,"2012-09-23","35-051","NWE","@","BAL","L 30-31",28,41,0.406,335,1,0,101.2,8.17,8.66,2,7,3.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","30-31",30,31
"189",165,2012,4,"2012-09-30","35-058","NWE","@","BUF","W 52-28",22,36,0.379,340,3,0,120.1,9.44,11.11,1,4,4,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","52-28",52,28
"190",166,2012,5,"2012-10-07","35-065","NWE","","DEN","W 31-21",23,31,0.426,223,1,0,104.6,7.19,7.84,4,-2,-0.5,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","31-21",31,21
"191",167,2012,6,"2012-10-14","35-072","NWE","@","SEA","L 23-24",36,58,0.383,395,2,2,79.3,6.81,5.95,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","23-24",23,24
"192",168,2012,7,"2012-10-21","35-079","NWE","","NYJ","W 29-26",26,42,0.382,259,2,0,95.2,6.17,7.12,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","29-26",29,26
"193",169,2012,8,"2012-10-28","35-086","NWE","@","STL","W 45-7",23,35,0.397,304,4,0,131.1,8.69,10.97,1,3,3,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","45-7",45,7
"194",170,2012,9,"2012-11-11","35-100","NWE","","BUF","W 37-31",23,38,0.377,237,2,0,96.1,6.24,7.29,1,-1,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","37-31",37,31
"195",171,2012,10,"2012-11-18","35-107","NWE","","IND","W 59-24",24,35,0.407,331,3,0,127.2,9.46,11.17,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","59-24",59,24
"196",172,2012,11,"2012-11-22","35-111","NWE","@","NYJ","W 49-19",18,27,0.4,323,3,0,144.5,11.96,14.19,3,5,1.67,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"W","49-19",49,19
"197",173,2012,12,"2012-12-02","35-121","NWE","@","MIA","W 23-16",24,40,0.375,238,1,1,74.8,5.95,5.33,4,-1,-0.25,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-16",23,16
"198",174,2012,13,"2012-12-10","35-129","NWE","","HOU","W 42-14",21,35,0.375,296,4,0,125.4,8.46,10.74,1,6,6,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","42-14",42,14
"199",175,2012,14,"2012-12-16","35-135","NWE","","SFO","L 34-41",36,65,0.356,443,1,2,68.9,6.82,5.74,3,11,3.67,1,0,0,NA,0,1,6,0,0,NA,0,"Tom Brady",TRUE,"L","34-41",34,41
"200",176,2012,15,"2012-12-23","35-142","NWE","@","JAX","W 23-16",24,41,0.369,267,2,2,73.9,6.51,5.29,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-16",23,16
"201",177,2012,16,"2012-12-30","35-149","NWE","","MIA","W 28-0",22,36,0.379,284,2,0,104.4,7.89,9,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","28-0",28,0
"204",178,2013,1,"2013-09-08","36-036","NWE","@","BUF","W 23-21",29,52,0.358,288,2,1,76.4,5.54,5.44,4,-4,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-21",23,21
"205",179,2013,2,"2013-09-12","36-040","NWE","","NYJ","W 13-10",19,39,0.328,185,1,0,71,4.74,5.26,2,-2,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","13-10",13,10
"206",180,2013,3,"2013-09-22","36-050","NWE","","TAM","W 23-3",25,36,0.41,225,2,1,92.9,6.25,6.11,5,5,1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","23-3",23,3
"207",181,2013,4,"2013-09-29","36-057","NWE","@","ATL","W 30-23",20,31,0.392,316,2,0,119.8,10.19,11.48,5,-2,-0.4,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","30-23",30,23
"208",182,2013,5,"2013-10-06","36-064","NWE","@","CIN","L 6-13",18,38,0.321,197,0,1,52.2,5.18,4,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","6-13",6,13
"209",183,2013,6,"2013-10-13","36-071","NWE","","NOR","W 30-27",25,43,0.368,269,1,1,74.7,6.26,5.67,2,16,8,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","30-27",30,27
"210",184,2013,7,"2013-10-20","36-078","NWE","@","NYJ","L 27-30",22,46,0.324,228,0,1,53.5,4.96,3.98,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","27-30",27,30
"211",185,2013,8,"2013-10-27","36-085","NWE","","MIA","W 27-17",13,22,0.371,116,1,1,69.5,5.27,4.14,4,5,1.25,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","27-17",27,17
