URL,player_imageurl
http://www.okstate.com/sports/m-footbl/mtt/thyer_caleb00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/6913310.jpeg
http://www.okstate.com/sports/m-footbl/mtt/calvin_barnett_796921.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121147.jpeg
http://www.okstate.com/sports/m-footbl/mtt/gravelle_cameron00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/8887811.jpeg
http://www.okstate.com/sports/m-footbl/mtt/labrue_casey00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/6912977.jpeg
http://www.okstate.com/sports/m-footbl/mtt/moore_charlie00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121522.jpeg
http://www.okstate.com/sports/m-footbl/mtt/dinkins_chris00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5616022.jpeg
http://www.okstate.com/sports/m-footbl/mtt/donaldson_chris00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5616023.jpeg
http://www.okstate.com/sports/m-footbl/mtt/chris_grisbhy_804117.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121383.jpeg
http://www.okstate.com/sports/m-footbl/mtt/littlehead_christian00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/7967146.jpeg
http://www.okstate.com/sports/m-footbl/mtt/schroeder_christian00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121587.jpeg
http://www.okstate.com/sports/m-footbl/mtt/major_chuck00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5616176.jpeg
http://www.okstate.com/sports/m-footbl/mtt/chelf_clint00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121184.jpeg
http://www.okstate.com/sports/m-footbl/mtt/cody_peterson_819702.html,http://grfx.cstv.com/schools/okst/graphics/mtt-logo.gif
http://www.okstate.com/sports/m-footbl/mtt/phillips_cody00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/7967265.jpeg
http://www.okstate.com/sports/m-footbl/mtt/ellis_colby00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/7966815.jpeg
http://www.okstate.com/sports/m-footbl/mtt/chelf_colton00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/6912552.jpeg
http://www.okstate.com/sports/m-footbl/mtt/sinko_connor00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121621.jpeg
http://www.okstate.com/sports/m-footbl/mtt/cooper_bassett_423237.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/7966606.jpeg
http://www.okstate.com/sports/m-footbl/mtt/corey_bennett_796922.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/8887654.jpeg
http://www.okstate.com/sports/m-footbl/mtt/martin_dj00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5616189.jpeg
http://www.okstate.com/sports/m-footbl/mtt/fooks_dameron00.html,http://grfx.cstv.com/schools/okst/graphics/mtt-logo.gif
http://www.okstate.com/sports/m-footbl/mtt/davis_damian00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/3392687.jpeg
http://www.okstate.com/sports/m-footbl/mtt/bailey_dan00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5615983.jpeg
http://www.okstate.com/sports/m-footbl/mtt/cooley_daniel00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121211.jpeg
http://www.okstate.com/sports/m-footbl/mtt/koenig_daniel00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121467.jpeg
http://www.okstate.com/sports/m-footbl/mtt/hart_darius00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/5616071.jpeg
http://www.okstate.com/sports/m-footbl/mtt/glidden_david00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121370.jpeg
http://www.okstate.com/sports/m-footbl/mtt/paulsen_david00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/7967260.jpeg
http://www.okstate.com/sports/m-footbl/mtt/collins_davidell00.html,http://grfx.cstv.com/photos/schools/okst/sports/m-footbl/auto_headshot/9121201.jpeg
