ModelName,ModelsHobbies
Genevieve Morton,Yoga
Juliana Martins,Yoga
Oluchi Onweagba,Yoga
Yvette Sylvander,Yoga
Jeisa Chiminazzo,Writing
Natasha Barnard,Writing
Emily DiDonato,Web-Browsing
Margaux Hemingway,Watersports
Sue Peterson,Water-Skiing
Irina Shayk,Walking
Rita Tellone,Wakeboarding
Angie Everhart,Volleyball
Anna Getaneh,Volleyball
Anne Vyalitsyna,Volleyball
Carla Campbell,Volleyball
Jessica Van Der Steen,Visiting Museums
Cheryl Tiegs,Travelling
Irina Gerasimenko,Travelling
Lujan Fernandez,Travelling
Jessica Van Der Steen,The Beach
Anna Getaneh,Tennis
Cheryl Tiegs,Tennis
Isabeli Fontana,Tennis
Jarah Mariano,Tennis
Rachel Roberts,Tennis
Shakara Ledard,Tennis
Angie Everhart,Swimming
Aya Thorgren,Swimming
Carla Campbell,Swimming
Lujan Fernandez,Swimming
Rachel Roberts,Swimming
Steffi Graf,Swimming
Tanga Moreau,Swimming
Ana Paula Lemes,Surfing
Anne Vyalitsyna,Surfing
Carla Campbell,Surfing
Melissa Baker,Surfing
Rita Tellone,Surfing
Lujan Fernandez,Soul Music
Rachel Roberts,Soccer
Naomi Campbell,Snowboarding
Isabeli Fontana,Skiing
Rachel Roberts,Skiing
Sarah O'Hare,Skiing
Stephanie Seymour,Skiing
Shakara Ledard,Skateboarding
Lujan Fernandez,Singing
Steffi Graf,Singing
Niki Taylor,Shopping
Sarah O'Hare,Shopping
Fernanda Tavares,Scuba Diving
Tanga Moreau,Scuba Diving
Aline Nakashima,Saxaphone
Lujan Fernandez,Sailing
Aya Thorgren,Running
Genevieve Morton,Running
Irina Gerasimenko,Running
Lujan Fernandez,Running
Tanga Moreau,Running
Bernadette Swann,Rollerblading
Jeisa Chiminazzo,Rollerblading
Juliana Martins,Rollerblading
Niki Taylor,Rollerblading
Stephanie Seymour,Rollerblading
Carla Campbell,Reading
Cheryl Tiegs,Reading
Irina Gerasimenko,Reading
Lujan Fernandez,Reading
Cheryl Tiegs,Pottery
Carla Campbell,Playing Pool
Stephanie Seymour,Playing Pool
Aline Nakashima,Playing Piano
Natasha Barnard,Playing Piano
Niki Taylor,Playing Piano
Steffi Graf,Playing Piano
Natasha Barnard,Playing Nintendo
Shakara Ledard,Playing Guitar
Aline Nakashima,Playing Flute
Stephanie Seymour,Playing Backgammon
Fernanda Motta,Pilates
Cheryl Tiegs,Photography
Genevieve Morton,Photography
Ana Paula Lemes,Painting
Jeisa Chiminazzo,Painting
Natasha Barnard,Painting
Sarah O'Hare,Painting
Stephanie Seymour,Painting
Kate James,Music
Lujan Fernandez,Music
Lujan Fernandez,Music
Aya Thorgren,Movies
Jeisa Chiminazzo,Movies
Shakara Ledard,Movies
Cheryl Tiegs,Motorcycle Riding
Frankie Rayder,Marathon Running
Fernanda Motta,Kickboxing
Marisa Miller,Karate
Jeisa Chiminazzo,Judo
Carla Campbell,Jetskiing
Rachel Roberts,Jetskiing
Tanga Moreau,Jetskiing
Angie Everhart,Ice Skating
Carla Campbell,Horseback Riding
Cheryl Tiegs,Horseback Riding
Isabeli Fontana,Horseback Riding
Lujan Fernandez,Horseback Riding
Petra Nemcova,Horseback Riding
Steffi Graf,Horseback Riding
Genevieve Morton,Hiking
Irina Gerasimenko,Hiking
Juliana Martins,Hiking
Kate James,Guitar Playing
Isabeli Fontana,Golf
Jeisa Chiminazzo,Go-Cart Racing
Maria Joao,Furniture Collecting
Irina Gerasimenko,Friends
Kirby Griffin,Field Hockey
Irina Gerasimenko,Family
Niki Taylor,Family
Lujan Fernandez,Excercising
Tanga Moreau,Excercising
Carla Campbell,Drawing
Kate James,Drawing
Aya Thorgren,Dancing
Fernanda Tavares,Dancing
Jeisa Chiminazzo,Dancing
Melania Knauss,Dancing
Sunny Bippus,Dancing
Aya Thorgren,Cycling
Stephanie Seymour,Cycling
Cheryl Tiegs,Cooking
Jeisa Chiminazzo,Cooking
Marisa Miller,Cooking
Sarah O'Hare,Cooking
Tanga Moreau,Cooking
Aya Thorgren,Concerts
Roshumba Williams,Car Racing
Dominique Piek,Capoeira
Juliana Martins,Camping
Jenna de Rosnay,Boxing
Aya Thorgren,Bowling
Jarah Mariano,Bowling
Jessica Van Der Steen,Biking
Naomi Campbell,Biking
Adaora Akubilo,
Akure Wall,
Alicia Hall,
Alyssa Miller,
Amber Noelle Ehresmann,
Amber Smith,
Amy Wesson,
Ana Beatriz Barros,
Ana Paula Araujo,
Andrea Orme,
Angela Lindvall,
Ann Peterson,
Ann Simonton,
Annette Molen,
Annie Morton,
Apollonia van Ravenstein,
Ariel Meredith,
Ashley Richardson,
Audrey Quock,
Aurelie Claudel,
Babette March,
Bar Refaeli,
Barbara Carrera,
Barbara Minty,
Barbra Ehn,
Beri Smither,
Beyonce Knowles,
Brandi Quinones,
Bridget Hall,
Britta Dubbels,
Brooklyn Decker,
Caprice Bourret,
Carla Maria,
Carmen Luisa Vela,
Carol Alt,
Carol Latimer,
Carolyn Murphy,
Carre Otis,
Chandra North,
Charissa Craig,
Christie Brinkley,
Christine Teigen,
Cindy Crawford,
Cintia Dicker,
Coco Mitchell,
Crystal Renn,
Cynthia Korman,
Damaris Lewis,
Daniela Pestova,
Daniella Sarahyba,
Dara Torres,
Dayle Haddon,
Ehrinn Cummings,
Elle Macpherson,
Elsa Benitez,
Erin Gray,
Estella Warren,
Estelle Lefebure,
Esti Ginzburg,
Eva Herzigova,
Gabrielle Reece,
Gail O'Neill,
Georgianna Robertson,
Hannah Davis,
Heidi Klum,
Hilary Rhoda,
Hilary Safire,
Hina Tama,
Ingrid Seynhaeve,
Irina Pantaeva,
Izabel Goulart,
Jamee Becker,
Jane Gill,
Janelle Fishman,
Jean Pelton,
Jenny Brunt,
Jesse Sanders,
Jessica Gomes,
Jessica Hart,
Jessica Perez,
Jessica White,
Jocelyn Javits,
Josie Maran,
Judit Masco,
Julie Henderson,
Julie Ordon,
Kadra Ahmed Omar,
Kara Young,
Karen Alexander,
Karen Mulder,
Kate Bock,
Kate Upton,
Kathryn Redding,
Kathy Ireland,
Kathy Loghry,
Kay Hughes,
Kelly Emberg,
Kenza Fourati,
Kim Alexis,
Kim Cloutier,
Kim Lemanton,
Kristy Hinze,
Kylie Bax,
Laetitia Casta,
Lana Ogilvie,
Lena Kansbod,
Libby Otis,
Lorraine Pascale,
Louise Forsling,
Louise Vyent,
Lucia Dvorska,
Lynn Brophy,
Maggie Smith,
Malia Jones,
Mallory Snyder,
Manon von Gerkan,
Maria von Hartz,
Marilyn Tindall,
Mary Sturdevant,
May Andersen,
Melissa Haro,
Melissa Keller,
Michaela Bercu,
Micheline Lee,
Michelle Alves,
Michelle Behennah,
Michelle Lombardo,
Michelle Vawer,
Molly Sims,
Monica Bellucci,
Monika Schnarre,
Monique Moura de Carvalho,
Navia Nguyenm,
Nina Agdal,
Noemie Lenoir,
Pania Rose,
Patricia Velasquez,
Paula Warner,
Paulette Kieon,
Paulina Porizkova,
Pixie Petersen,
Quiana Grant,
Rachel Hunter,
Raica Oliveira,
Rebecca Romijn,
Reka Ebergenyi,
Renee Simonsen,
Roberta Little,
Rosie de la Cruz,
Sabrina Barnett,
Samantha Jones,
Sarah Nursey,
Selita Ebanks,
Shana Zadrick,
Shannan Click,
Shelia Roscoe,
Shirley Mallmann,
Sonia Dara,
Stacey Williams,
Suzy Smith,
Talisa Soto,
Tamara Spoelder,
Tannia Rubiano,
Tori Praver,
Turia Mau,
Tyra Banks,
Valeria Mazza,
Vanessa Lorenzo,
Vendela Kirsebom,
Veronica Blume,
Veronica Varekova,
Vicky Howard,
Yamila Diaz,
Yasmeen Ghauri,
Yasmin Brunet,
Yesica Toscanini,
Yvonne Sylvander,
Zoe Duchesne,
