ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Experience,Hometown/Prior_School,Player_URL,Photo_URL
FBALL,UF,2005-2006,20,Joe Cohen,Joe,Cohen,DT,6/2/13,275,JR,2L,Melbourne/Palm Bay,http://www.gatorzone.com/football/bios.php?sub=team&bio=cohen.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=cohen.html
FBALL,UF,2005-2006,20,Anthony Gay,Anthony,Gay,RB,5/9/13,171,SO,HS,Orlando/Jones,http://www.gatorzone.com/football/bios.php?sub=team&bio=gay.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=gay.html
FBALL,UF,2005-2006,21,DeShawn Wynn,DeShawn,Wynn,RB,5/11/13,230,JR,2L,"Cincinnati, Ohio/Reading",http://www.gatorzone.com/football/bios.php?sub=team&bio=wynn.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=wynn.html
FBALL,UF,2005-2006,22,Reggie Lewis,Reggie,Lewis,CB,5/10/13,195,JR,2L,Jacksonville/First Coast,http://www.gatorzone.com/football/bios.php?sub=team&bio=lewis.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=lewis.html
FBALL,UF,2005-2006,23,Dawayne Grace,Dawayne,Grace,CB,6/1/13,190,RFR,SQ,Jacksonville/Ed White,http://www.gatorzone.com/football/bios.php?sub=team&bio=grace.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=grace.html
FBALL,UF,2005-2006,23,Cade Holliday,Cade,Holliday,WR,5/11/13,184,FR,HS,Gainesville/Green Hope (N.C.),http://www.gatorzone.com/football/bios.php?sub=team&bio=holliday.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=holliday.html
FBALL,UF,2005-2006,25,Skyler Thornton,Skyler,Thornton,RB,5/11/13,209,JR,2L,"LaGrange, Ga./LaGrange",http://www.gatorzone.com/football/bios.php?sub=team&bio=thornton.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=thornton.html
FBALL,UF,2005-2006,26,Jermaine McCollum,Jermaine,McCollum,CB,5/9/13,185,JR,2L,Miami/Southridge,http://www.gatorzone.com/football/bios.php?sub=team&bio=mccollum_j.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mccollum_j.html
FBALL,UF,2005-2006,27,DaJuan Lawrence,DaJuan,Lawrence,RB,5/5/13,180,JR,SQ,Miami/Carol City,http://www.gatorzone.com/football/bios.php?sub=team&bio=lawrence.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=lawrence.html
FBALL,UF,2005-2006,28,Kyle Morgan,Kyle,Morgan,WR,6/2/13,225,SR,1L,Melbourne/Melbourne Central Catholic,http://www.gatorzone.com/football/bios.php?sub=team&bio=morgan.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=morgan.html
FBALL,UF,2005-2006,29,Eric Rutledge,Eric,Rutledge,HB,6/1/00,240,SO,IL,Gainesville/P.K. Yonge,http://www.gatorzone.com/football/bios.php?sub=team&bio=rutledge.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=rutledge.html
FBALL,UF,2005-2006,30,Earl Everett,Earl,Everett,LB,6/2/13,231,JR,2L,Webster/South Sumter,http://www.gatorzone.com/football/bios.php?sub=team&bio=everett.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=everett.html
FBALL,UF,2005-2006,31,Charles Brown,Charles,Brown,WR,5/7/13,180,RFR,SQ,"Williamsburg, Va./York",http://www.gatorzone.com/football/bios.php?sub=team&bio=brown_c.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=brown_c.html
FBALL,UF,2005-2006,31,Moise Paul,Moise,Paul,FS/SS,6/2/13,204,JR,TR,"Brooklyn, N.Y./New Utrecht HS/Northland C.C.",http://www.gatorzone.com/football/bios.php?sub=team&bio=paul.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=paul.html
FBALL,UF,2005-2006,32,Reggie Nelson,Reggie,Nelson,S,6/1/13,175,SO,TR,Melbourne/Palm Bay/Coffeyville (Kan.) JC,http://www.gatorzone.com/football/bios.php?sub=team&bio=nelson_r.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=nelson_r.html
FBALL,UF,2005-2006,33,Kestahn Moore,Kestahn,Moore,RB,5/10/13,205,FR,HS,"Arlington, Texas/Mansfield Summit",http://www.gatorzone.com/football/bios.php?sub=team&bio=moore_k.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=moore_k.html
FBALL,UF,2005-2006,34,Lamont Sheppard,Lamont,Sheppard,CB,5/9/13,185,RFR,SQ,Jacksonville/Raines,http://www.gatorzone.com/football/bios.php?sub=team&bio=sheppard_l.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=sheppard_l.html
FBALL,UF,2005-2006,34,Dorian Munroe,Dorian,Munroe,S,6/1/00,191,FR,HS,Miami/Coral Reef,http://www.gatorzone.com/football/bios.php?sub=team&bio=munroe.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=munroe.html
FBALL,UF,2005-2006,35,Darryon Robinson,Darryon,Robinson,LB,6/1/00,235,JR,SQ,Gainesville/Eastside,http://www.gatorzone.com/football/bios.php?sub=team&bio=robinson.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=robinson.html
FBALL,UF,2005-2006,35,Eric Sledge,Eric,Sledge,LB,6/2/13,195,FR,HS,Apopka/Apopka,http://www.gatorzone.com/football/bios.php?sub=team&bio=sledge.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=sledge.html
FBALL,UF,2005-2006,36,Nick Brooks,Nick,Brooks,CB,6/1/00,197,JR,SQ,"Warner Robins, Ga./Northside",http://www.gatorzone.com/football/bios.php?sub=team&bio=brooks.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=brooks.html
FBALL,UF,2005-2006,37,Kalvin Baker,Kalvin,Baker,LB,6/1/00,245,FR,HS,"Columbus, Ga./Pacelli Catholic",http://www.gatorzone.com/football/bios.php?sub=team&bio=baker_k.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=baker_k.html
FBALL,UF,2005-2006,37,Tim Higgins,Tim,Higgins,WR,5/7/13,175,SO,SQ,"Northville, Mich./Northville",http://www.gatorzone.com/football/bios.php?sub=team&bio=higgins.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=higgins.html
FBALL,UF,2005-2006,38,Jonathan Phillips,Jonathan,Phillips,K,5/11/13,200,FR,HS,Wellington/Wellington,http://www.gatorzone.com/football/bios.php?sub=team&bio=phillips.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=phillips.html
FBALL,UF,2005-2006,38,Taurean Wiggins,Taurean,Wiggins,CB,6/1/00,179,FR,HS,Jacksonville/Wolfson,http://www.gatorzone.com/football/bios.php?sub=team&bio=wiggins_taurean.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=wiggins_taurean.html
FBALL,UF,2005-2006,39,Greg Broeren,Greg,Broeren,RB/DB,6/1/00,185,FR,HS,"Champaign, Ill./Centennial HS",http://www.gatorzone.com/football/bios.php?sub=team&bio=broeren.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=broeren.html
FBALL,UF,2005-2006,39,Chris Hetland,Chris,Hetland,K,6/1/00,185,JR,SQ,"Leesburg, Ga./Lee County",http://www.gatorzone.com/football/bios.php?sub=team&bio=hetland.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=hetland.html
FBALL,UF,2005-2006,40,Brandon Siler,Brandon,Siler,LB,6/2/13,239,SO,1L,Orlando/Orlando Evans,http://www.gatorzone.com/football/bios.php?sub=team&bio=siler.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=siler.html
FBALL,UF,2005-2006,41,Jamaal Deveaux,Jamaal,Deveaux,LB,6/1/00,228,FR,HS,Port St. Lucie/Centennial,http://www.gatorzone.com/football/bios.php?sub=team&bio=deveaux.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=deveaux.html
FBALL,UF,2005-2006,41,Ryan Stamper,Ryan,Stamper,LB,6/1/13,217,FR,HS,Jacksonville/First Coast,http://www.gatorzone.com/football/bios.php?sub=team&bio=stamper.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=stamper.html
FBALL,UF,2005-2006,42,Billy Latsko,Billy,Latsko,LB,5/10/13,230,JR,2L,Gainesville/Buchholz,http://www.gatorzone.com/football/bios.php?sub=team&bio=latsko.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=latsko.html
FBALL,UF,2005-2006,43,Darryl Gresham Jr.,Darryl,Gresham,LB,6/1/13,251,FR,HS,"Roanoke, Va./William Fleming",http://www.gatorzone.com/football/bios.php?sub=team&bio=gresham.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=gresham.html
FBALL,UF,2005-2006,43,James Smith,James,Smith Jr.,LS,6/3/13,225,RFR,SQ,Gainesville/Buchholz,http://www.gatorzone.com/football/bios.php?sub=team&bio=smith_j.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=smith_j.html
FBALL,UF,2005-2006,44,Marcus Thomas,Marcus,Thomas,DT,6/3/13,285,JR,2L,Jacksonville/Mandarin,http://www.gatorzone.com/football/bios.php?sub=team&bio=thomas_m.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=thomas_m.html
FBALL,UF,2005-2006,45,Roderick Blackett,Roderick,Blackett,LB,5/10/13,222,FR,HS,Pompano Beach/Blanche Ely,http://www.gatorzone.com/football/bios.php?sub=team&bio=blackett.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=blackett.html
