ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,4-Jun,260,JR,"Randallstown, MD",Randallstown,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
ND,FBALL,2005-2006,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,2-Jun,203,JR,"Burke, VA",Burke,VA,Robinson,http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2005-2006,49,Matt Augustyn,Augustyn,Matt,Running back,3-Jun,220,JR,"Chevy Chase, MD",Chevy Chase,MD,Our Lady of Good Counsel,http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2005-2006,58,Abdel Banda,Banda,Abdel,Linebacker,1-Jun,220,SO,"Morristown, NJ",Morristown,NJ,Delbarton,http://www.und.com/sports/m-footbl/mtt/banda_abdel00.html
ND,FBALL,2005-2006,90,Brian Beidatsch,Beidatsch,Brian,Defensive Line,3-Jun,294,SR,"Milwaukee, WI",Milwaukee,WI,Marquette,http://www.und.com/sports/m-footbl/mtt/beidatsch_brian00.html
ND,FBALL,2005-2006,59,James Bent,Bent,James,Offensive Line,2-Jun,265,SR,"Mishawaka, IN",Mishawaka,IN,Mishawaka,http://www.und.com/sports/m-footbl/mtt/bent_james00.html
ND,FBALL,2005-2006,53,Joseph Boland,Boland,Joseph,Linebacker,2-Jun,242,SR,"Drexel Hill, PA",Drexel Hill,PA,Monsignor Bonner,http://www.und.com/sports/m-footbl/mtt/boland_joseph00.html
ND,FBALL,2005-2006,71,James Bonelli,Bonelli,James,Offensive Line,5-Jun,280,SR,"Camarillo, CA",Camarillo,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/bonelli_james00.html
ND,FBALL,2005-2006,56,Nick Borseti,Borseti,Nick,Linebacker,4-Jun,238,JR,"Saugus, MA",Saugus,MA,St. John's Prep,http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2005-2006,7,Darrin Bragg,Bragg,Darrin,Wide Receiver,1-Jun,192,SO,"San Jose, CA",San Jose,CA,Bellarmine Prep,http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2005-2006,52,Joe Brockington,Brockington,Joe,Linebacker,1-Jun,212,JR,"Palmyra, PA",Palmyra,PA,Palmyra,http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2005-2006,94,Justin Brown,Brown,Justin,Defensive Line,3-Jun,247,SO,"Clinton, MD",Clinton,MD,Bishop McNamara,http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2005-2006,27,David Bruton,Bruton,David,Defensive Back,2-Jun,187,FR,"Miamisburg, OH",Miamisburg,OH,Miamisburg,http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2005-2006,91,Craig Cardillo,Cardillo,Craig,Kicker,Jun-00,175,JR,"Hauppauge, NY",Hauppauge,NY,Hauppauge,http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
ND,FBALL,2005-2006,89,John Carlson,Carlson,John,Tight End,6-Jun,254,JR,"Litchfield, MN",Litchfield,MN,Litchfield,http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2005-2006,31,Jake Carney,Carney,Jake,Defensive Back,Jun-00,187,SR,"Lexington, KY",Lexington,KY,Lexington Catholic,http://www.und.com/sports/m-footbl/mtt/carney_jake00.html
ND,FBALL,2005-2006,93,Dan Chervanick,Chervanick,Dan,Defensive Line,1-Jun,259,SR,"Leesport, PA",Leesport,PA,Holy Name,http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
ND,FBALL,2005-2006,40,Maurice Crum Jr.,Crum Jr.,Maurice,Linebacker,Jun-00,220,SO,"Riverview, FL",Riverview,FL,Tamba Bay Tech,http://www.und.com/sports/m-footbl/mtt/crumjr_maurice00.html
ND,FBALL,2005-2006,60,Casey Cullen,Cullen,Casey,Defensive Line,1-Jun,238,JR,"Victoria, TX",Victoria,TX,St. Joseph,http://www.und.com/sports/m-footbl/mtt/cullen_casey00.html
ND,FBALL,2005-2006,72,Paul Duncan,Duncan,Paul,Offensive Line,7-Jun,292,FR,"Dallas, GA",Dallas,GA,East Paulding,http://www.und.com/sports/m-footbl/mtt/duncan_paul00.html
ND,FBALL,2005-2006,24,Brandon Erickson,Erickson,Brandon,Wide Receiver,Jun-00,178,SO,"Marlboro, NJ",Marlboro,NJ,Marlboro,http://www.und.com/sports/m-footbl/mtt/erickson_brandon00.html
ND,FBALL,2005-2006,88,Anthony Fasano,Fasano,Anthony,Tight End,5-Jun,255,SR,"Verona, NJ",Verona,NJ,Verona,http://www.und.com/sports/m-footbl/mtt/fasano_anthony00.html
ND,FBALL,2005-2006,15,Leo Ferrine,Ferrine,Leo,Defensive Back,Jun-00,186,SO,"Springfield, NJ",Springfield,NJ,St. Peter's Prep,http://www.und.com/sports/m-footbl/mtt/ferrine_leo00.html
ND,FBALL,2005-2006,54,David Fitzgerald,Fitzgerald,David,Offensive Line,4-Jun,293,SR,"Godfrey, IL",Godfrey,IL,Marquette Catholic,http://www.und.com/sports/m-footbl/mtt/fitzgerald_david00.html
ND,FBALL,2005-2006,19,D.J. Fitzpatrick,Fitzpatrick,D.J.,Kicker/Punter,2-Jun,206,SR,"Granger, IN",Granger,IN,Marian,http://www.und.com/sports/m-footbl/mtt/fitzpatrick_dj00.html
ND,FBALL,2005-2006,87,Marcus Freeman,Freeman,Marcus,Tight End,3-Jun,245,SR,"St. Paul, MN",St. Paul,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/freeman_marcus00.html
ND,FBALL,2005-2006,75,Chris Frome,Frome,Chris,Defensive Line,5-Jun,268,SR,"Saugus, CA",Saugus,CA,Newhall Hart,http://www.und.com/sports/m-footbl/mtt/frome_chris00.html
ND,FBALL,2005-2006,45,Carl Gioia,Gioia,Carl,Kicker,10-May,183,JR,"Valparaiso, IN",Valparaiso,IN,Valparaiso,http://www.und.com/sports/m-footbl/mtt/gioia_carl00.html
ND,FBALL,2005-2006,17,Dan Gorski,Gorski,Dan,Quarterback,3-Jun,196,FR,"Omaha, NE",Omaha,NE,Creighton Prep,http://www.und.com/sports/m-footbl/mtt/gorski_dan00.html
ND,FBALL,2005-2006,11,David Grimes,Grimes,David,Wide Receiver,Jun-00,170,FR,"Detroit, MI",Detroit,MI,DePorres,http://www.und.com/sports/m-footbl/mtt/grimes_david00.html
ND,FBALL,2005-2006,92,Derrell Hand,Hand,Derrell,Defensive Line,3-Jun,301,FR,"Philadelphia, PA",Philadelphia,PA,West Catholic,http://www.und.com/sports/m-footbl/mtt/hand_derrell00.html
ND,FBALL,2005-2006,36,Brandon Harris,Harris,Brandon,Defensive Back,Jun-00,198,SR,"New Orleans, LA",New Orleans,LA,Benjamin Franklin,http://www.und.com/sports/m-footbl/mtt/harris_brandon00.html
ND,FBALL,2005-2006,68,Ryan Harris,Harris,Ryan,Offensive Line,5-Jun,288,JR,"St. Paul, MN",St. Paul,MN,Cretin Derham Hall,http://www.und.com/sports/m-footbl/mtt/harris_ryan00.html
ND,FBALL,2005-2006,29,LaBrose Hedgemon II,Hedgemon II,LaBrose,Defensive Back,9-May,190,JR,"Hoover, AL",Hoover,AL,Hoover,http://www.und.com/sports/m-footbl/mtt/hedgemonii_labrose01.html
ND,FBALL,2005-2006,6,Ray Herring,Herring,Ray,Defensive Back,Jun-00,199,FR,"Melbourne, FL",Melbourne,FL,Holy Trinity,http://www.und.com/sports/m-footbl/mtt/herring_ray00.html
ND,FBALL,2005-2006,85,Joey Hiben,Hiben,Joey,Tight End,4-Jun,253,FR,"Chaska, MN",Chaska,MN,Waconia,http://www.und.com/sports/m-footbl/mtt/hiben_joey00.html
ND,FBALL,2005-2006,1,D.J. Hord,Hord,D.J.,Wide Receiver,1-Jun,198,FR,"Lee's Summit, MO",Lee's Summit,MO,Rockhurst,http://www.und.com/sports/m-footbl/mtt/hord_dj00.html
ND,FBALL,2005-2006,33,Justin Hoskins,Hoskins,Justin,Running Back,10-May,186,SO,"Grand Rapids, MI",Grand Rapids,MI,Creston,http://www.und.com/sports/m-footbl/mtt/hoskins_justin00.html
ND,FBALL,2005-2006,39,Brandon Hoyte,Hoyte,Brandon,Linebacker,Jun-00,236,SR,"Parlin, NJ",Parlin,NJ,Sayreville War Memorial,http://www.und.com/sports/m-footbl/mtt/hoyte_brandon00.html
ND,FBALL,2005-2006,26,Wade Iams,Iams,Wade,Defensive Back,9-May,188,SO,"Mishawaka, IN",Mishawaka,IN,Penn,http://www.und.com/sports/m-footbl/mtt/iams_wade00.html
ND,FBALL,2005-2006,8,Junior Jabbie,Jabbie,Junior,Running Back,Jun-00,188,SO,"Parlin, NJ",Parlin,NJ,The Hun School,http://www.und.com/sports/m-footbl/mtt/jabbie_junior00.html
ND,FBALL,2005-2006,61,J.J. Jansen,Jansen,J.J.,Snapper,3-Jun,242,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/jansen_jj00.html
ND,FBALL,2005-2006,32,Jeff Jenkins,Jenkins,Jeff,Running Back,Jun-00,232,SR,"Ann Arbor, MI",Ann Arbor,MI,Huron,http://www.und.com/sports/m-footbl/mtt/jenkins_jeff00.html
ND,FBALL,2005-2006,69,Neil Kennedy,Kennedy,Neil,Defensive Line,11-May,260,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/kennedy_neil00.html
ND,FBALL,2005-2006,35,Tim Kenney,Kenney,Tim,Defensive Back,Jun-00,180,JR,"Belvidere, IL",Belvidere,IL,Belvidere,http://www.und.com/sports/m-footbl/mtt/kenney_tim00.html
ND,FBALL,2005-2006,96,Pat Kuntz,Kuntz,Pat,Defensive Line,2-Jun,267,FR,"Indianapolis, IN",Indianapolis,IN,Roncalli,http://www.und.com/sports/m-footbl/mtt/kuntz_pat00.html
ND,FBALL,2005-2006,20,Terrail Lambert,Lambert,Terrail,Defensive Back,11-May,188,SO,"Oxnard, CA",Oxnard,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/lambert_terrail00.html
ND,FBALL,2005-2006,66,Derek Landri,Landri,Derek,Defensive Line,3-Jun,263,SR,"Concord, CA",Concord,CA,De La Salle,http://www.und.com/sports/m-footbl/mtt/landri_derek00.html
