ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Year,Height,Weight,Experience,Hometown/Prior_School,Player_URL
BAMA,FBALL,2008-2009,82,Earl Alexander,Earl,Alexander,Wide Receiver,,6/4/13,216,,Phenix City (Central),http://www.rolltide.com/sports/m-footbl/mtt/alexander_earl00.html
BAMA,FBALL,2008-2009,32,Eryk Anders,Eryk,Anders,Linebacker,,6/2/13,227,,"San Antonio, Texas (Smithson Valley)",http://www.rolltide.com/sports/m-footbl/mtt/anders_eryk00.html
BAMA,FBALL,2008-2009,28,Javier Arenas,Javier,Arenas,Defensive Back,,5/9/13,198,,"Tampa, Fla. (Robinson)",http://www.rolltide.com/sports/m-footbl/mtt/arenas_javier00.html
BAMA,FBALL,2008-2009,4,Mark Barron,Mark,Barron,Defensive Back,,6/2/13,215,,Mobile (St. Paul's),http://www.rolltide.com/sports/m-footbl/mtt/barron_mark00.html
BAMA,FBALL,2008-2009,94,Undra Billingsley,Undra,Billingsley,Defensive Line,,6/3/13,275,,Birmingham (Woodlawn),http://www.rolltide.com/sports/m-footbl/mtt/billingsley_undra00.html
BAMA,FBALL,2008-2009,67,John Michael Boswell,John Michael,Boswell,Offensive Line,,6/5/13,300,,Northport (Tuscaloosa County),http://www.rolltide.com/sports/m-footbl/mtt/boswell_johnmichael00.html
BAMA,FBALL,2008-2009,87,Drew Bullard,Drew,Bullard,Linebacker,,6/3/13,240,,"Florence, Ala. (Florence)",http://www.rolltide.com/sports/m-footbl/mtt/bullard_drew00.html
BAMA,FBALL,2008-2009,59,Antoine Caldwell,Antoine,Caldwell,Offensive Line,,6/3/13,305,,"Montgomery, Ala. (Lee)",http://www.rolltide.com/sports/m-footbl/mtt/caldwell_antoine00.html
BAMA,FBALL,2008-2009,70,Evan Cardwell,Evan,Cardwell,Offensive Line,,6/2/13,279,,"Killen, Ala. (Brooks)",http://www.rolltide.com/sports/m-footbl/mtt/cardwell_evan00.html
BAMA,FBALL,2008-2009,99,Josh Chapman,Josh,Chapman,Defensive Line,,6/1/13,303,,"Hoover, Ala. (Hoover)",http://www.rolltide.com/sports/m-footbl/mtt/chapman_josh00.html
BAMA,FBALL,2008-2009,62,Terrence Cody,Terrence,Cody,Defensive Line,,6/5/13,365,,"Ft. Meyers, Fla. (Gulf Coast C.C.)",http://www.rolltide.com/sports/m-footbl/mtt/cody_terrence00.html
BAMA,FBALL,2008-2009,38,Glen Coffee,Glen,Coffee,Running Back,,6/1/13,198,,"Ft. Walton Beach, Fla. (Ft. Walton Beach)",http://www.rolltide.com/sports/m-footbl/mtt/coffee_glen00.html
BAMA,FBALL,2008-2009,57,Marcel Dareus,Marcel,Dareus,Defensive Line,,6/3/13,280,,Huffman (Huffman),http://www.rolltide.com/sports/m-footbl/mtt/dareus_marcel00.html
BAMA,FBALL,2008-2009,16,Thomas Darrah,Thomas,Darrah,Quarterback,,6/6/13,212,,"Newnan, Ga. (Newnan)",http://www.rolltide.com/sports/m-footbl/mtt/darrah_thomas00.html
