ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Year,Height,Weight,Hometown/Last_School,Last_School,Player_URL
UGA,FBALL,2011-2012,91,Scott Eichler,Scott,Eichler,PK,JR,5/11/13,184,"Oakwood, Ga./West Hall",,http://www.georgiadogs.com/sports/m-footbl/mtt/eichler_scott01.html
UGA,FBALL,2011-2012,15,Eric Elliot,Eric,Elliot,CB,SR,5/9/13,188,"Kennesaw, Ga./Kennesaw Mountain",,http://www.georgiadogs.com/sports/m-footbl/mtt/elliot_eric00.html
UGA,FBALL,2011-2012,6,Michael Erdman,Michael,Erdman,WR,RS FR,5/10/13,191,"Merritt Island, Fla./Central Catholic",,http://www.georgiadogs.com/sports/m-footbl/mtt/erdman_michael00.html
UGA,FBALL,2011-2012,97,Adam Erickson,Adam,Erickson,P,RS FR,5/10/13,168,"Athens, Ga./Clarke Central HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/erickson_adam00.html
UGA,FBALL,2011-2012,95,Reuben Faloughi,Reuben,Faloughi,OLB,RS SO,6/5/13,255,"Martinez, Ga./Evans",,http://www.georgiadogs.com/sports/m-footbl/mtt/faloughi_reuben00.html
UGA,FBALL,2011-2012,89,Bruce Figgins,Bruce,Figgins,FB,SR,6/4/13,272,"Columbus, Ga./Shaw",,http://www.georgiadogs.com/sports/m-footbl/mtt/figgins_bruce00.html
UGA,FBALL,2011-2012,69,Ty Frix,Ty,Frix,SN,JR,6/1/00,213,"Calhoun, Ga./Calhoun",,http://www.georgiadogs.com/sports/m-footbl/mtt/frix_ty00.html
UGA,FBALL,2011-2012,72,Kenarious Gates,Kenarious,Gates,OG,SO,6/5/13,328,"Grantville, Ga./Greenville",,http://www.georgiadogs.com/sports/m-footbl/mtt/gates_kenarious00.html
UGA,FBALL,2011-2012,99,Kwame Geathers,Kwame,Geathers,N,RS SO,6/6/13,350,"Georgetown, S.C./Carvers Bay",,http://www.georgiadogs.com/sports/m-footbl/mtt/geathers_kwame00.html
UGA,FBALL,2011-2012,35,Michael Gilliard,Michael,Gilliard,ILB,JR,6/2/13,220,"Valdosta, Ga./Valdosta",,http://www.georgiadogs.com/sports/m-footbl/mtt/gilliard_michael00.html
UGA,FBALL,2011-2012,71,Cordy Glenn,Cordy,Glenn,OT,SR,6/5/13,348,"Riverdale, Ga./Riverdale",,http://www.georgiadogs.com/sports/m-footbl/mtt/glenn_cordy00.html
UGA,FBALL,2011-2012,43,Merritt Hall,Merritt,Hall,FB,FR,5/11/13,216,"Alpharetta, Ga./Wesleyan School",,http://www.georgiadogs.com/sports/m-footbl/mtt/hall_merritt00.html
UGA,FBALL,2011-2012,43,Quintavius Harrow,Quintavius,Harrow,DB,FR,5/11/13,183,"Columbus, Ga./Carver H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/harrow_quintavius00.html
UGA,FBALL,2011-2012,20,Brandon Harton,Brandon,Harton,TB,RS SO,5/6/13,174,"Reidsville, Ga./Tattnall County",,http://www.georgiadogs.com/sports/m-footbl/mtt/harton_brandon00.html
UGA,FBALL,2011-2012,12,Austin Herod,Austin,Herod,SS,RS SO,5/10/13,191,"Woodstock, Ga./Etowah",,http://www.georgiadogs.com/sports/m-footbl/mtt/herod_austin00.html
UGA,FBALL,2011-2012,52,Amarlo Herrera,Amarlo,Herrera,LB,FR,6/2/13,231,"College Park, Ga./North Clayton H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/herrera_amarlo00.html
UGA,FBALL,2011-2012,75,Kolton Houston,Kolton,Houston,OG,RS FR,6/5/13,291,"Buford, Ga./Buford HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/houston_kolton00.html
UGA,FBALL,2011-2012,90,Ethan Jackson,Ethan,Jackson,P,FR,5/11/13,182,"Sandersville, Ga./Washington County",,http://www.georgiadogs.com/sports/m-footbl/mtt/jackson_ethan00.html
UGA,FBALL,2011-2012,6,John Jenkins,John,Jenkins,NG,JR,6/3/13,351,"Meriden, Conn./Francis T. Maloney/Gulf Coast (Miss.) CC",,http://www.georgiadogs.com/sports/m-footbl/mtt/jenkins_john00.html
UGA,FBALL,2011-2012,94,Billy Johnson,Billy,Johnson,SN,SR,6/1/00,239,"Braselton, Ga./Buford",,http://www.georgiadogs.com/sports/m-footbl/mtt/johnson_billy00.html
UGA,FBALL,2011-2012,98,Cody Johnson,Cody,Johnson,P,RS FR,6/1/13,200,"Marietta, Ga./Lassiter/Troy",,http://www.georgiadogs.com/sports/m-footbl/mtt/johnson_cody00.html
UGA,FBALL,2011-2012,93,Abry Jones,Abry,Jones,DE,JR,6/3/13,309,"Warner Robbins, Ga./Northside",,http://www.georgiadogs.com/sports/m-footbl/mtt/jones_abry00.html
UGA,FBALL,2011-2012,60,Ben Jones,Ben,Jones,C,SR,6/3/13,316,"Centreville, Ala./Bibb County",,http://www.georgiadogs.com/sports/m-footbl/mtt/jones_ben00.html
UGA,FBALL,2011-2012,29,Jarvis Jones,Jarvis,Jones,OLB,RS SO,6/3/13,241,"Columbus, Ga./Carver/Southern California",,http://www.georgiadogs.com/sports/m-footbl/mtt/jones_jarvis00.html
UGA,FBALL,2011-2012,7,Jesse Jones,Jesse,Jones,S,FR,6/1/00,190,"Alto, Ga./Habersham Central",,http://www.georgiadogs.com/sports/m-footbl/mtt/jones_jesse00.html
UGA,FBALL,2011-2012,33,Kyle Karempelis,Kyle,Karempelis,TB,FR,5/9/13,180,"Roswell, Ga./Wesleyan School",,http://www.georgiadogs.com/sports/m-footbl/mtt/karempelis_kyle00.html
UGA,FBALL,2011-2012,12,Tavarres King,Tavarres,King,FLK,JR,6/1/13,192,"Mount Airy, Ga./Habersham Central",,http://www.georgiadogs.com/sports/m-footbl/mtt/king_tavarres00.html
UGA,FBALL,2011-2012,85,Greg Lanier,Greg,Lanier,SE,SR,6/1/13,189,"Clarksville, Ga./Habersham Central",,http://www.georgiadogs.com/sports/m-footbl/mtt/lanier_greg00.html
UGA,FBALL,2011-2012,64,Dallas Lee,Dallas,Lee,OG,RS SO,6/4/13,300,"Buford, Ga./Buford HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/lee_dallas00.html
UGA,FBALL,2011-2012,16,Christian LeMay,Christian,LeMay,QB,FR,6/2/13,198,"Matthews, N.C./Butler",,http://www.georgiadogs.com/sports/m-footbl/mtt/lemay_christian00.html
UGA,FBALL,2011-2012,99,Jamie Lindley,Jamie,Lindley,K,JR,5/11/13,177,"Savannah, Ga./Savannah Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/lindley_jamie00.html
UGA,FBALL,2011-2012,74,Austin Long,Austin,Long,OT,RS SO,6/5/13,304,"Memphis, Tenn./Briarcrest Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/long_austin00.html
UGA,FBALL,2011-2012,66,Hunter Long,Hunter,Long,OL,FR,6/4/13,300,"Eads, Tenn./Briarcrest Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/long_hunter00.html
UGA,FBALL,2011-2012,83,Jack Loonam,Jack,Loonam,TE,FR,6/1/00,215,"Lexington, S.C./Lexington",,http://www.georgiadogs.com/sports/m-footbl/mtt/loonam_jack00.html
UGA,FBALL,2011-2012,85,Derrick Lott,Derrick,Lott,DE,RS SO,6/4/13,303,"Kennesaw, Ga./North Cobb HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/lott_derrick00.html
UGA,FBALL,2011-2012,10,Jordan Love,Jordan,Love,CB,RS SO,6/1/00,190,"Glen Allen, Va./Deep Run",,http://www.georgiadogs.com/sports/m-footbl/mtt/love_jordan00.html
UGA,FBALL,2011-2012,88,Ricky Lowe,Ricky,Lowe,OLB,JR,6/7/13,258,"Duluth, Ga./Duluth",,http://www.georgiadogs.com/sports/m-footbl/mtt/lowe_ricky00.html
UGA,FBALL,2011-2012,88,Arthur Lynch,Arthur,Lynch,TE,RS SO,6/5/13,272,"Dartmouth, Mass./Dartmouth",,http://www.georgiadogs.com/sports/m-footbl/mtt/lynch_arthur00.html
UGA,FBALL,2011-2012,24,Ken Malcome,Ken,Malcome,TB,RS FR,6/1/00,226,"Decatur, Ga./Southwest Dekalb HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/malcome_ken00.html
UGA,FBALL,2011-2012,27,Nick Marshall,Nick,Marshall,ATH,FR,6/1/13,195,"Rochelle, Ga./Wilcox County",,http://www.georgiadogs.com/sports/m-footbl/mtt/marshall_nick00.html
UGA,FBALL,2011-2012,14,Hutson Mason,Hutson,Mason,QB,SO,6/3/13,196,"Marietta, Ga./Lassiter HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/mason_hutson00.html
UGA,FBALL,2011-2012,58,Taylor Maxey,Taylor,Maxey,ILB,FR,5/10/13,220,"Statham, Ga./North Oconee",,http://www.georgiadogs.com/sports/m-footbl/mtt/maxey_taylor00.html
UGA,FBALL,2011-2012,25,Rhett McGowan,Rhett,McGowan,SE,RS FR,6/1/00,190,"Calhoun, Ga./Calhoun HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/mcgowan_rhett00.html
UGA,FBALL,2011-2012,70,Eddie McQuillen,Eddie,McQuillen,OT,FR,6/8/13,264,"Newnan, Ga./Trinity Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/mcquillen_eddie00.html
UGA,FBALL,2011-2012,26,Malcolm Mitchell,Malcolm,Mitchell,WR,FR,6/1/13,184,"Valdosta, Ga./Valdosta H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/mitchell_malcolm00.html
UGA,FBALL,2011-2012,39,Corey Moore,Corey,Moore,DB,FR,6/2/13,207,"Griffin, Ga./Griffin H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/moore_corey00.html
UGA,FBALL,2011-2012,92,Dexter Morant,Dexter,Morant,DE,RS FR,6/7/13,245,"Manning, S.C./Manning HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/morant_dexter01.html
UGA,FBALL,2011-2012,27,Greg Mulkey,Greg,Mulkey,FB,FR,6/3/13,230,"Fairmount, Ga./Sonoraville",,http://www.georgiadogs.com/sports/m-footbl/mtt/mulkey_greg00.html
UGA,FBALL,2011-2012,11,Aaron Murray,Aaron,Murray,QB,RS SO,6/1/13,211,"Tampa, Fla./Plant",,http://www.georgiadogs.com/sports/m-footbl/mtt/murray_aaron00.html
UGA,FBALL,2011-2012,11,Connor Norman,Connor,Norman,SS,RS FR,5/10/13,208,"Duluth, Ga./Peachtree Ridge HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/norman_connor00.html
