Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,142115,Boise State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,19,18,1,0,0,0,0,0,0,1,1,0,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2009-2010,142115,Boise State University,First major,Physical Sciences,'40',Bachelor's degree,23,16,7,0,0,0,1,1,0,0,0,0,0,0,0,21,14,7,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,142115,Boise State University,First major,Visual and Performing Arts,'50',Bachelor's degree,88,25,63,1,1,0,5,2,3,0,0,0,3,2,1,73,20,53,5,2,3,0,0,0,1,0,1,3,0,3,2,0,2
2009-2010,142115,Boise State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,31,13,18,1,1,0,0,0,0,1,0,1,8,1,7,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,History,'54',Bachelor's degree,34,19,15,1,1,0,1,0,1,0,0,0,2,1,1,29,16,13,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,142115,Boise State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,24,10,14,1,0,1,0,0,0,0,0,0,2,0,2,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,Psychology,'42',Bachelor's degree,100,31,69,0,0,0,6,2,4,1,0,1,3,0,3,83,27,56,6,2,4,0,0,0,1,0,1,6,2,4,0,0,0
2009-2010,142115,Boise State University,First major,Social Sciences,'45',Bachelor's degree,147,73,74,1,1,0,3,2,1,2,1,1,8,5,3,126,60,66,3,2,1,0,0,0,0,0,0,6,3,3,1,1,0
2009-2010,142115,Boise State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,465,287,178,3,3,0,18,11,7,5,3,2,27,16,11,376,232,144,18,11,7,0,0,0,1,1,0,19,14,5,16,7,9
2009-2010,142115,Boise State University,First major,Education,'13',Bachelor's degree,223,54,169,1,0,1,4,0,4,0,0,0,9,1,8,199,51,148,4,0,4,0,0,0,0,0,0,10,2,8,0,0,0
2009-2010,142115,Boise State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,81,27,54,1,1,0,2,0,2,0,0,0,8,0,8,66,25,41,2,0,2,0,0,0,0,0,0,2,0,2,2,1,1
2009-2010,142115,Boise State University,First major,Mathematics and Statistics,'27',Bachelor's degree,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,32,7,25,0,0,0,1,0,1,0,0,0,3,2,1,27,5,22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2009-2010,142115,Boise State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,44,10,34,1,0,1,0,0,0,0,0,0,1,1,0,38,9,29,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
2009-2010,142115,Boise State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,155,74,81,1,1,0,7,1,6,4,4,0,11,6,5,121,56,65,7,1,6,0,0,0,1,0,1,9,5,4,1,1,0
2009-2010,142115,Boise State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,283,87,196,4,1,3,7,1,6,7,2,5,8,4,4,233,64,169,7,1,6,0,0,0,0,0,0,11,5,6,13,10,3
2009-2010,217882,Clemson University,First major,Engineering,'14',Bachelor's degree,556,456,100,3,3,0,14,11,3,47,35,12,2,2,0,449,371,78,14,11,3,0,0,0,2,2,0,25,22,3,14,10,4
2009-2010,217882,Clemson University,First major,English Language and Literature/Letters,'23',Bachelor's degree,143,34,109,1,0,1,0,0,0,5,3,2,2,0,2,122,26,96,0,0,0,0,0,0,0,0,0,12,4,8,1,1,0
2009-2010,217882,Clemson University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,116,62,54,2,1,1,0,0,0,9,7,2,0,0,0,93,48,45,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0
2009-2010,217882,Clemson University,First major,Psychology,'42',Bachelor's degree,161,38,123,1,0,1,1,1,0,21,2,19,5,3,2,122,29,93,1,1,0,0,0,0,0,0,0,11,3,8,0,0,0
2009-2010,217882,Clemson University,First major,Social Sciences,'45',Bachelor's degree,273,165,108,1,1,0,3,1,2,30,17,13,6,1,5,202,124,78,3,1,2,0,0,0,2,0,2,19,15,4,10,6,4
2009-2010,217882,Clemson University,First major,Architecture and Related Services,'04',Bachelor's degree,78,53,25,0,0,0,2,1,1,6,4,2,1,0,1,62,44,18,2,1,1,0,0,0,0,0,0,7,4,3,0,0,0
2009-2010,217882,Clemson University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,57,50,7,0,0,0,1,1,0,0,0,0,0,0,0,42,40,2,1,1,0,0,0,0,0,0,0,4,4,0,10,5,5
2009-2010,217882,Clemson University,First major,Education,'13',Bachelor's degree,223,52,171,0,0,0,2,1,1,9,6,3,0,0,0,197,42,155,2,1,1,0,0,0,1,0,1,13,3,10,1,0,1
2009-2010,217882,Clemson University,First major,Mathematics and Statistics,'27',Bachelor's degree,25,13,12,0,0,0,2,2,0,1,0,1,0,0,0,20,11,9,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0
2009-2010,217882,Clemson University,First major,Physical Sciences,'40',Bachelor's degree,60,42,18,0,0,0,2,2,0,2,1,1,1,1,0,46,31,15,2,2,0,0,0,0,2,1,1,6,5,1,1,1,0
2009-2010,217882,Clemson University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,207,75,132,1,0,1,0,0,0,6,0,6,2,0,2,185,69,116,0,0,0,0,0,0,0,0,0,13,6,7,0,0,0
2009-2010,217882,Clemson University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,201,88,113,1,0,1,10,5,5,15,3,12,4,3,1,159,71,88,10,5,5,0,0,0,0,0,0,12,6,6,0,0,0
2009-2010,217882,Clemson University,First major,Health Professions and Related Programs,'51',Bachelor's degree,280,41,239,2,0,2,2,1,1,27,4,23,4,1,3,218,32,186,2,1,1,0,0,0,0,0,0,26,3,23,1,0,1
2009-2010,217882,Clemson University,First major,Natural Resources and Conservation,'03',Bachelor's degree,57,45,12,0,0,0,0,0,0,1,1,0,1,0,1,49,40,9,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0
2009-2010,217882,Clemson University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,706,429,277,2,1,1,7,4,3,38,22,16,13,11,2,605,364,241,7,4,3,0,0,0,1,1,0,37,23,14,3,3,0
2009-2010,217882,Clemson University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,33,24,9,1,1,0,0,0,0,2,2,0,1,1,0,28,19,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,217882,Clemson University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,65,14,51,0,0,0,2,0,2,2,0,2,4,1,3,50,11,39,2,0,2,0,0,0,0,0,0,6,2,4,1,0,1
2009-2010,217882,Clemson University,First major,History,'54',Bachelor's degree,79,45,34,0,0,0,1,1,0,2,2,0,2,1,1,64,35,29,0,0,0,1,1,0,1,0,1,8,6,2,1,0,1
2009-2010,217882,Clemson University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,20,11,9,0,0,0,0,0,0,3,0,3,0,0,0,16,10,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2009-2010,217882,Clemson University,First major,Visual and Performing Arts,'50',Bachelor's degree,110,48,62,0,0,0,1,0,1,6,1,5,1,1,0,89,36,53,1,0,1,0,0,0,2,1,1,11,9,2,0,0,0
2009-2010,198419,Duke University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,12,11,1,0,0,0,0,0,0,2,2,0,1,1,0,9,8,1,,,,,,,,,,0,0,0,0,0,0
2009-2010,198419,Duke University,First major,English Language and Literature/Letters,'23',Bachelor's degree,73,22,51,0,0,0,11,1,10,11,1,10,4,2,2,42,15,27,,,,,,,,,,3,2,1,2,1,1
2009-2010,198419,Duke University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,39,13,26,1,1,0,7,1,6,3,0,3,1,0,1,24,9,15,,,,,,,,,,3,2,1,0,0,0
2009-2010,198419,Duke University,First major,Physical Sciences,'40',Bachelor's degree,65,36,29,0,0,0,14,8,6,6,3,3,6,5,1,32,16,16,,,,,,,,,,0,0,0,7,4,3
2009-2010,198419,Duke University,First major,Psychology,'42',Bachelor's degree,161,49,112,0,0,0,24,5,19,31,9,22,7,2,5,84,27,57,,,,,,,,,,5,4,1,10,2,8
2009-2010,198419,Duke University,First major,Engineering,'14',Bachelor's degree,242,183,59,1,0,1,91,73,18,4,2,2,10,7,3,116,87,29,,,,,,,,,,6,4,2,14,10,4
2009-2010,198419,Duke University,First major,Natural Resources and Conservation,'03',Bachelor's degree,18,6,12,0,0,0,4,1,3,1,0,1,2,1,1,10,3,7,,,,,,,,,,1,1,0,0,0,0
2009-2010,198419,Duke University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,121,38,83,0,0,0,19,5,14,14,5,9,6,3,3,75,22,53,,,,,,,,,,3,3,0,4,0,4
