Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,155399,Kansas State University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,242,25,217,1,0,1,4,2,2,5,1,4,6,2,4,217,20,197,,,,,,,,,,8,0,8,1,0,1
2009-2010,155399,Kansas State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,89,3,86,1,0,1,2,0,2,0,0,0,3,0,3,77,3,74,,,,,,,,,,4,0,4,2,0,2
2009-2010,155399,Kansas State University,First major,Mathematics and Statistics,'27',Bachelor's degree,15,12,3,0,0,0,0,0,0,0,0,0,1,1,0,13,11,2,,,,,,,,,,0,0,0,1,0,1
2009-2010,155399,Kansas State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,24,1,23,0,0,0,1,0,1,2,0,2,1,0,1,19,1,18,,,,,,,,,,1,0,1,0,0,0
2009-2010,155399,Kansas State University,First major,Architecture and Related Services,'04',Bachelor's degree,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,,,,,,,,,,0,0,0,0,0,0
2009-2010,155399,Kansas State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,114,72,42,1,1,0,3,1,2,0,0,0,3,2,1,103,66,37,,,,,,,,,,3,1,2,1,1,0
2009-2010,155399,Kansas State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,39,35,4,0,0,0,3,2,1,2,2,0,0,0,0,32,30,2,,,,,,,,,,0,0,0,2,1,1
2009-2010,155399,Kansas State University,First major,Education,'13',Bachelor's degree,351,79,272,2,0,2,2,0,2,4,1,3,17,2,15,317,72,245,,,,,,,,,,9,4,5,0,0,0
2009-2010,155399,Kansas State University,First major,Engineering,'14',Bachelor's degree,319,276,43,0,0,0,4,3,1,7,7,0,10,8,2,274,237,37,,,,,,,,,,13,12,1,11,9,2
2009-2010,155399,Kansas State University,First major,History,'54',Bachelor's degree,34,21,13,0,0,0,0,0,0,0,0,0,2,2,0,30,18,12,,,,,,,,,,2,1,1,0,0,0
2009-2010,155399,Kansas State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,44,11,33,1,1,0,0,0,0,2,0,2,3,2,1,38,8,30,,,,,,,,,,0,0,0,0,0,0
2009-2010,155399,Kansas State University,First major,Physical Sciences,'40',Bachelor's degree,24,14,10,0,0,0,1,0,1,0,0,0,1,0,1,18,11,7,,,,,,,,,,2,2,0,2,1,1
2009-2010,155399,Kansas State University,First major,Social Sciences,'45',Bachelor's degree,341,216,125,2,1,1,6,4,2,36,26,10,18,14,4,259,162,97,,,,,,,,,,14,7,7,6,2,4
2009-2010,155399,Kansas State University,First major,Transportation and Materials Moving,'49',Bachelor's degree,24,20,4,0,0,0,0,0,0,1,1,0,1,1,0,21,17,4,,,,,,,,,,0,0,0,1,1,0
2009-2010,155399,Kansas State University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,386,206,180,5,3,2,1,0,1,3,0,3,9,6,3,361,197,164,,,,,,,,,,6,0,6,1,0,1
2009-2010,155399,Kansas State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,137,36,101,1,0,1,1,0,1,8,4,4,3,1,2,120,31,89,,,,,,,,,,4,0,4,0,0,0
2009-2010,155399,Kansas State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,24,2,22,1,0,1,1,0,1,2,1,1,1,0,1,16,1,15,,,,,,,,,,1,0,1,2,0,2
2009-2010,155399,Kansas State University,First major,Mechanic and Repair Technologies/Technicians,'47',Bachelor's degree,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,,,,,,,,,,2,2,0,0,0,0
2009-2010,155399,Kansas State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,,,,,,,,,,0,0,0,0,0,0
2009-2010,155399,Kansas State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,,,,,,,,,,0,0,0,0,0,0
2009-2010,155399,Kansas State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,41,14,27,0,0,0,0,0,0,1,1,0,1,1,0,37,11,26,,,,,,,,,,2,1,1,0,0,0
2009-2010,155399,Kansas State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,,,,,,,,,,0,0,0,0,0,0
2009-2010,155399,Kansas State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,112,48,64,0,0,0,2,2,0,1,0,1,3,1,2,100,42,58,,,,,,,,,,3,1,2,3,2,1
2009-2010,155399,Kansas State University,First major,Psychology,'42',Bachelor's degree,61,18,43,0,0,0,2,0,2,1,0,1,3,1,2,53,16,37,,,,,,,,,,2,1,1,0,0,0
2009-2010,155399,Kansas State University,First major,Visual and Performing Arts,'50',Bachelor's degree,93,18,75,0,0,0,0,0,0,0,0,0,1,0,1,86,16,70,,,,,,,,,,5,1,4,1,1,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,English Language and Literature/Letters,'23',Bachelor's degree,155,53,102,1,0,1,2,0,2,22,3,19,2,1,1,123,45,78,2,0,2,0,0,0,0,0,0,5,4,1,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Health Professions and Related Programs,'51',Bachelor's degree,53,2,51,0,0,0,0,0,0,2,0,2,2,0,2,48,2,46,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,History,'54',Bachelor's degree,122,71,51,1,1,0,2,1,1,8,5,3,2,1,1,103,58,45,2,1,1,0,0,0,0,0,0,6,5,1,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Natural Resources and Conservation,'03',Bachelor's degree,34,23,11,0,0,0,1,0,1,0,0,0,3,1,2,27,21,6,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Engineering,'14',Bachelor's degree,386,318,68,2,2,0,18,16,2,17,10,7,12,9,3,296,252,44,18,16,2,0,0,0,1,1,0,11,9,2,29,19,10
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,19,1,18,0,0,0,0,0,0,2,0,2,0,0,0,17,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,42,14,28,0,0,0,0,0,0,4,0,4,4,2,2,30,10,20,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,10,5,5,0,0,0,0,0,0,1,0,1,1,0,1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Psychology,'42',Bachelor's degree,191,50,141,2,0,2,5,1,4,22,3,19,3,1,2,155,43,112,5,1,4,0,0,0,0,0,0,2,2,0,2,0,2
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Social Sciences,'45',Bachelor's degree,323,164,159,2,0,2,6,4,2,50,17,33,9,7,2,243,129,114,6,4,2,0,0,0,2,0,2,9,5,4,2,2,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Visual and Performing Arts,'50',Bachelor's degree,139,46,93,1,1,0,4,0,4,6,1,5,6,3,3,115,37,78,4,0,4,0,0,0,1,1,0,3,2,1,3,1,2
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,187,91,96,3,2,1,9,4,5,30,13,17,7,4,3,132,64,68,9,4,5,0,0,0,0,0,0,3,2,1,3,2,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Architecture and Related Services,'04',Bachelor's degree,89,31,58,0,0,0,0,0,0,4,3,1,0,0,0,81,26,55,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,378,193,185,1,0,1,32,19,13,33,8,25,12,4,8,290,157,133,32,19,13,0,0,0,1,0,1,5,2,3,4,3,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Education,'13',Bachelor's degree,411,83,328,0,0,0,4,2,2,31,7,24,14,3,11,352,69,283,4,2,2,0,0,0,0,0,0,8,1,7,2,1,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Mathematics and Statistics,'27',Bachelor's degree,31,16,15,0,0,0,0,0,0,1,1,0,1,1,0,29,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Philosophy and Religious Studies,'38',Bachelor's degree,26,17,9,1,0,1,0,0,0,0,0,0,1,0,1,23,16,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,873,500,373,5,1,4,23,11,12,39,14,25,24,12,12,745,445,300,23,11,12,0,0,0,0,0,0,15,8,7,22,9,13
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,373,104,269,0,0,0,7,3,4,45,17,28,7,1,6,305,82,223,7,3,4,0,0,0,1,1,0,6,0,6,2,0,2
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,28,27,1,0,0,0,4,4,0,7,7,0,0,0,0,16,15,1,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,370,208,162,1,0,1,11,7,4,48,22,26,7,4,3,285,166,119,11,7,4,0,0,0,2,0,2,9,4,5,7,5,2
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,94,26,68,1,0,1,4,2,2,3,1,2,9,3,6,75,20,55,4,2,2,0,0,0,0,0,0,1,0,1,1,0,1
2009-2010,159391,Louisiana State University and Agricultural & Mechanical College,First major,Physical Sciences,'40',Bachelor's degree,50,28,22,1,0,1,0,0,0,2,0,2,0,0,0,44,26,18,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1
2009-2010,147767,Northwestern University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,91,42,49,0,0,0,38,16,22,2,1,1,2,1,1,40,20,20,38,16,22,0,0,0,1,0,1,6,2,4,2,2,0
2009-2010,147767,Northwestern University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,21,9,12,0,0,0,2,2,0,8,3,5,1,0,1,6,3,3,2,2,0,0,0,0,0,0,0,4,1,3,0,0,0
2009-2010,147767,Northwestern University,First major,English Language and Literature/Letters,'23',Bachelor's degree,69,17,52,0,0,0,7,2,5,3,1,2,6,1,5,49,12,37,7,2,5,0,0,0,0,0,0,4,1,3,0,0,0
2009-2010,147767,Northwestern University,First major,Psychology,'42',Bachelor's degree,193,47,146,0,0,0,36,5,31,23,4,19,16,4,12,100,30,70,36,5,31,0,0,0,3,0,3,7,2,5,8,2,6
2009-2010,147767,Northwestern University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,67,24,43,0,0,0,6,1,5,2,1,1,4,2,2,51,19,32,6,1,5,0,0,0,1,0,1,3,1,2,0,0,0
2009-2010,147767,Northwestern University,First major,Natural Resources and Conservation,'03',Bachelor's degree,13,4,9,0,0,0,1,0,1,1,0,1,0,0,0,9,3,6,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
2009-2010,147767,Northwestern University,First major,Engineering,'14',Bachelor's degree,286,202,84,0,0,0,64,41,23,6,0,6,15,12,3,156,115,41,64,41,23,0,0,0,2,0,2,8,4,4,35,30,5
2009-2010,147767,Northwestern University,First major,Health Professions and Related Programs,'51',Bachelor's degree,49,15,34,0,0,0,11,6,5,4,0,4,1,0,1,28,8,20,11,6,5,0,0,0,1,1,0,3,0,3,1,0,1
2009-2010,147767,Northwestern University,First major,Legal Professions and Studies,'22',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,147767,Northwestern University,First major,Mathematics and Statistics,'27',Bachelor's degree,59,44,15,0,0,0,9,6,3,3,2,1,2,2,0,34,25,9,9,6,3,0,0,0,0,0,0,3,3,0,8,6,2
2009-2010,147767,Northwestern University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,28,16,12,0,0,0,2,2,0,2,1,1,2,1,1,20,12,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2
2009-2010,147767,Northwestern University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,33,17,16,0,0,0,4,2,2,2,2,0,3,2,1,22,10,12,4,2,2,0,0,0,1,0,1,1,1,0,0,0,0
2009-2010,147767,Northwestern University,First major,Physical Sciences,'40',Bachelor's degree,24,15,9,0,0,0,3,2,1,0,0,0,0,0,0,20,12,8,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0
2009-2010,147767,Northwestern University,First major,Social Sciences,'45',Bachelor's degree,461,266,195,1,0,1,99,60,39,14,5,9,41,20,21,232,141,91,99,60,39,0,0,0,4,2,2,34,22,12,36,16,20
2009-2010,147767,Northwestern University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,13,6,7,0,0,0,1,0,1,2,0,2,1,1,0,7,3,4,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0
2009-2010,147767,Northwestern University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,368,133,235,0,0,0,36,9,27,18,6,12,43,10,33,242,96,146,36,9,27,0,0,0,0,0,0,21,11,10,8,1,7
2009-2010,147767,Northwestern University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,25,20,5,0,0,0,5,3,2,0,0,0,0,0,0,15,13,2,5,3,2,0,0,0,1,0,1,1,1,0,3,3,0
2009-2010,147767,Northwestern University,First major,Education,'13',Bachelor's degree,15,7,8,0,0,0,0,0,0,1,1,0,1,1,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,147767,Northwestern University,First major,History,'54',Bachelor's degree,79,38,41,0,0,0,5,4,1,4,1,3,6,3,3,53,22,31,5,4,1,0,0,0,0,0,0,6,4,2,5,4,1
2009-2010,147767,Northwestern University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,147767,Northwestern University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,98,30,68,0,0,0,12,1,11,17,10,7,6,1,5,58,17,41,12,1,11,0,0,0,0,0,0,4,1,3,1,0,1
2009-2010,147767,Northwestern University,First major,Visual and Performing Arts,'50',Bachelor's degree,225,90,135,0,0,0,17,8,9,10,4,6,9,1,8,177,74,103,17,8,9,0,0,0,1,0,1,9,3,6,2,0,2
2009-2010,204796,Ohio State University-Main Campus,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,41,12,29,0,0,0,1,0,1,18,7,11,2,0,2,17,3,14,,,,,,,,,,2,1,1,1,1,0
2009-2010,204796,Ohio State University-Main Campus,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,52,48,4,0,0,0,2,2,0,3,3,0,2,2,0,37,34,3,,,,,,,,,,2,2,0,6,5,1
2009-2010,204796,Ohio State University-Main Campus,First major,Philosophy and Religious Studies,'38',Bachelor's degree,43,35,8,0,0,0,2,2,0,3,3,0,1,1,0,35,27,8,,,,,,,,,,2,2,0,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Transportation and Materials Moving,'49',Bachelor's degree,46,39,7,1,1,0,4,3,1,1,1,0,1,1,0,37,32,5,,,,,,,,,,1,1,0,1,0,1
2009-2010,204796,Ohio State University-Main Campus,First major,Visual and Performing Arts,'50',Bachelor's degree,366,164,202,0,0,0,9,3,6,21,7,14,12,9,3,310,136,174,,,,,,,,,,8,7,1,6,2,4
2009-2010,204796,Ohio State University-Main Campus,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,251,93,158,2,0,2,10,3,7,11,6,5,18,6,12,195,72,123,,,,,,,,,,11,6,5,4,0,4
2009-2010,204796,Ohio State University-Main Campus,First major,Health Professions and Related Programs,'51',Bachelor's degree,792,163,629,3,0,3,40,22,18,37,14,23,15,3,12,666,116,550,,,,,,,,,,21,6,15,10,2,8
2009-2010,204796,Ohio State University-Main Campus,First major,Social Sciences,'45',Bachelor's degree,1254,700,554,6,3,3,71,42,29,121,56,65,48,21,27,938,535,403,,,,,,,,,,35,20,15,35,23,12
2009-2010,204796,Ohio State University-Main Campus,First major,Architecture and Related Services,'04',Bachelor's degree,99,70,29,2,0,2,8,4,4,4,3,1,4,4,0,75,54,21,,,,,,,,,,2,1,1,4,4,0
2009-2010,204796,Ohio State University-Main Campus,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,597,319,278,1,0,1,87,50,37,32,12,20,17,8,9,432,233,199,,,,,,,,,,9,5,4,19,11,8
2009-2010,204796,Ohio State University-Main Campus,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,548,222,326,1,0,1,15,3,12,51,13,38,15,7,8,449,192,257,,,,,,,,,,15,6,9,2,1,1
2009-2010,204796,Ohio State University-Main Campus,First major,Education,'13',Bachelor's degree,247,89,158,2,0,2,7,3,4,3,1,2,3,1,2,228,82,146,,,,,,,,,,3,2,1,1,0,1
2009-2010,204796,Ohio State University-Main Campus,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,0,0,0,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,770,230,540,4,1,3,30,7,23,79,26,53,17,7,10,624,183,441,,,,,,,,,,12,3,9,4,3,1
2009-2010,204796,Ohio State University-Main Campus,First major,History,'54',Bachelor's degree,195,135,60,0,0,0,2,1,1,10,4,6,6,4,2,174,125,49,,,,,,,,,,3,1,2,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,26,11,15,0,0,0,3,0,3,0,0,0,0,0,0,23,11,12,,,,,,,,,,0,0,0,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Mathematics and Statistics,'27',Bachelor's degree,56,37,19,0,0,0,2,1,1,2,2,0,0,0,0,46,30,16,,,,,,,,,,2,2,0,4,2,2
2009-2010,204796,Ohio State University-Main Campus,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,85,39,46,1,1,0,4,1,3,3,1,2,5,2,3,66,31,35,,,,,,,,,,6,3,3,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Natural Resources and Conservation,'03',Bachelor's degree,78,39,39,0,0,0,1,0,1,2,1,1,2,0,2,71,38,33,,,,,,,,,,1,0,1,1,0,1
2009-2010,204796,Ohio State University-Main Campus,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,102,84,18,1,1,0,1,1,0,5,5,0,3,1,2,91,75,16,,,,,,,,,,1,1,0,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Psychology,'42',Bachelor's degree,505,152,353,2,0,2,32,12,20,51,9,42,13,4,9,388,123,265,,,,,,,,,,11,4,7,8,0,8
2009-2010,204796,Ohio State University-Main Campus,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,414,260,154,1,1,0,4,2,2,7,2,5,12,7,5,376,242,134,,,,,,,,,,11,6,5,3,0,3
2009-2010,204796,Ohio State University-Main Campus,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1562,947,615,3,2,1,83,51,32,51,25,26,23,13,10,1202,731,471,,,,,,,,,,30,19,11,170,106,64
2009-2010,204796,Ohio State University-Main Campus,First major,Engineering,'14',Bachelor's degree,889,762,127,0,0,0,65,49,16,31,26,5,26,25,1,706,612,94,,,,,,,,,,21,14,7,40,36,4
2009-2010,204796,Ohio State University-Main Campus,First major,English Language and Literature/Letters,'23',Bachelor's degree,295,123,172,1,1,0,7,4,3,18,7,11,8,2,6,252,104,148,,,,,,,,,,7,3,4,2,2,0
2009-2010,204796,Ohio State University-Main Campus,First major,Physical Sciences,'40',Bachelor's degree,99,61,38,0,0,0,8,2,6,3,2,1,0,0,0,83,53,30,,,,,,,,,,5,4,1,0,0,0
2009-2010,204796,Ohio State University-Main Campus,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,86,12,74,0,0,0,0,0,0,21,2,19,3,1,2,61,8,53,,,,,,,,,,1,1,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,28,24,4,2,2,0,2,1,1,1,0,1,0,0,0,16,16,0,2,1,1,0,0,0,0,0,0,0,0,0,7,5,2
2009-2010,207388,Oklahoma State University-Main Campus,First major,Engineering,'14',Bachelor's degree,301,234,67,25,19,6,13,8,5,6,2,4,4,4,0,231,185,46,13,8,5,0,0,0,0,0,0,0,0,0,22,16,6
2009-2010,207388,Oklahoma State University-Main Campus,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,99,94,5,4,4,0,1,1,0,3,3,0,5,5,0,86,81,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,English Language and Literature/Letters,'23',Bachelor's degree,55,17,38,3,2,1,0,0,0,2,0,2,0,0,0,50,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Natural Resources and Conservation,'03',Bachelor's degree,16,8,8,2,2,0,0,0,0,0,0,0,1,1,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Philosophy and Religious Studies,'38',Bachelor's degree,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1091,639,452,104,65,39,17,8,9,47,29,18,23,14,9,852,497,355,17,8,9,0,0,0,0,0,0,0,0,0,48,26,22
2009-2010,207388,Oklahoma State University-Main Campus,First major,Health Professions and Related Programs,'51',Bachelor's degree,140,35,105,16,7,9,3,1,2,5,1,4,4,2,2,112,24,88,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,127,59,68,15,4,11,1,0,1,6,4,2,4,1,3,99,49,50,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1
2009-2010,207388,Oklahoma State University-Main Campus,First major,Psychology,'42',Bachelor's degree,127,40,87,14,9,5,1,1,0,8,2,6,3,2,1,98,25,73,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2
2009-2010,207388,Oklahoma State University-Main Campus,First major,Social Sciences,'45',Bachelor's degree,179,94,85,18,9,9,3,0,3,11,7,4,4,3,1,139,72,67,3,0,3,0,0,0,0,0,0,0,0,0,4,3,1
2009-2010,207388,Oklahoma State University-Main Campus,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,199,100,99,28,16,12,5,4,1,5,1,4,9,5,4,148,73,75,5,4,1,0,0,0,0,0,0,0,0,0,4,1,3
2009-2010,207388,Oklahoma State University-Main Campus,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,344,17,327,38,2,36,1,0,1,8,1,7,5,0,5,289,14,275,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3
2009-2010,207388,Oklahoma State University-Main Campus,First major,History,'54',Bachelor's degree,37,25,12,2,2,0,1,0,1,0,0,0,0,0,0,34,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Mathematics and Statistics,'27',Bachelor's degree,18,10,8,4,1,3,0,0,0,1,1,0,0,0,0,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,19,6,13,3,0,3,0,0,0,0,0,0,1,0,1,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Visual and Performing Arts,'50',Bachelor's degree,71,24,47,7,6,1,2,1,1,2,0,2,3,2,1,53,14,39,2,1,1,0,0,0,0,0,0,0,0,0,4,1,3
2009-2010,207388,Oklahoma State University-Main Campus,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,285,128,157,19,12,7,1,0,1,1,0,1,5,4,1,257,111,146,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1
2009-2010,207388,Oklahoma State University-Main Campus,First major,Architecture and Related Services,'04',Bachelor's degree,48,31,17,6,2,4,2,1,1,1,1,0,1,0,1,36,27,9,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2
2009-2010,207388,Oklahoma State University-Main Campus,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,148,51,97,12,6,6,3,1,2,5,1,4,4,3,1,122,40,82,3,1,2,0,0,0,0,0,0,0,0,0,2,0,2
2009-2010,207388,Oklahoma State University-Main Campus,First major,Education,'13',Bachelor's degree,275,91,184,28,15,13,4,1,3,5,3,2,4,0,4,233,72,161,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1
2009-2010,207388,Oklahoma State University-Main Campus,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,29,8,21,1,0,1,2,0,2,0,0,0,1,1,0,25,7,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,58,56,2,2,2,0,1,1,0,1,1,0,2,2,0,51,49,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
