Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,142115,Boise State University,Mathematics,'27.0000',Bachelor's degree,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,29,21,8,27,19,8,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,16,8,8,14,6,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Philosophy and Religion,'38.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Physical Sciences,'40.0000',Bachelor's degree,4,4,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Protective Services,'43.0000',Bachelor's degree,25,14,11,24,14,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Psychology,'42.0000',Bachelor's degree,23,11,12,21,9,12,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Public Administration and Services,'44.0000',Bachelor's degree,22,5,17,21,5,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Social Sciences and History,'45.0000',Bachelor's degree,110,65,45,106,63,43,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0
1988-1999,142115,Boise State University,Transportation and Material Moving Workers,'49.0000',Bachelor's degree,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,142115,Boise State University,Visual and Performing Arts,'50.0000',Bachelor's degree,48,19,29,45,18,27,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0
1988-1999,217882,Clemson University,Agricultural Business and Production,'01.0000',Bachelor's degree,15,14,1,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Agricultural Sciences,'02.0000',Bachelor's degree,63,34,29,62,34,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1988-1999,217882,Clemson University,Architecture and Related Programs,'04.0000',Bachelor's degree,80,61,19,74,56,18,3,3,0,1,1,0,0,0,0,0,0,0,2,1,1
1988-1999,217882,Clemson University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,62,41,21,55,39,16,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Business and Management,'06.0000',Bachelor's degree,518,275,243,496,264,232,15,7,8,0,0,0,1,0,1,1,0,1,5,4,1
1988-1999,217882,Clemson University,Computer and Information Sciences,'11.0000',Bachelor's degree,88,52,36,72,46,26,12,3,9,0,0,0,0,0,0,0,0,0,4,3,1
1988-1999,217882,Clemson University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,19,17,2,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Education,'13.0000',Bachelor's degree,207,43,164,200,38,162,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Engineering,'14.0000',Bachelor's degree,505,413,92,464,386,78,20,8,12,4,3,1,2,2,0,0,0,0,15,14,1
1988-1999,217882,Clemson University,Engineering-Related Technologies,'15.0000',Bachelor's degree,75,64,11,68,59,9,5,3,2,0,0,0,1,1,0,0,0,0,1,1,0
1988-1999,217882,Clemson University,English Language and Literature/Letters,'23.0000',Bachelor's degree,39,10,29,38,10,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,9,4,5,8,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Health Sciences,'18.0000',Bachelor's degree,91,1,90,84,1,83,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Mathematics,'27.0000',Bachelor's degree,62,21,41,56,19,37,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0
1988-1999,217882,Clemson University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,75,23,52,72,22,50,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
1988-1999,217882,Clemson University,Physical Sciences,'40.0000',Bachelor's degree,33,22,11,30,20,10,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,217882,Clemson University,Precision Production Trades,'48.0000',Bachelor's degree,15,5,10,14,4,10,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Psychology,'42.0000',Bachelor's degree,33,9,24,31,9,22,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,217882,Clemson University,Social Sciences and History,'45.0000',Bachelor's degree,108,55,53,102,52,50,4,2,2,0,0,0,2,1,1,0,0,0,0,0,0
1988-1999,198419,Duke University,Allied Health,'17.0000',Bachelor's degree,35,9,26,30,7,23,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0
1988-1999,198419,Duke University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,54,16,38,48,14,34,0,0,0,2,1,1,4,1,3,0,0,0,0,0,0
1988-1999,198419,Duke University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,119,49,70,102,44,58,0,0,0,1,,1,11,4,7,0,,,5,1,4
1988-1999,198419,Duke University,Computer and Information Sciences,'11.0000',Bachelor's degree,32,23,9,27,21,6,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0
1988-1999,198419,Duke University,Engineering,'14.0000',Bachelor's degree,171,130,41,155,117,38,4,2,2,3,3,0,7,6,1,0,0,0,2,2,0
1988-1999,198419,Duke University,English Language and Literature/Letters,'23.0000',Bachelor's degree,136,51,85,123,49,74,7,1,6,0,0,0,0,0,0,0,0,0,3,1,2
1988-1999,198419,Duke University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,32,7,25,32,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,198419,Duke University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,198419,Duke University,Mathematics,'27.0000',Bachelor's degree,33,22,11,30,20,10,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
1988-1999,198419,Duke University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,198419,Duke University,Philosophy and Religion,'38.0000',Bachelor's degree,32,20,12,30,19,11,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,198419,Duke University,Physical Sciences,'40.0000',Bachelor's degree,59,36,23,45,28,17,1,0,1,0,0,0,11,7,4,0,0,0,2,1,1
1988-1999,198419,Duke University,Psychology,'42.0000',Bachelor's degree,192,72,120,160,61,99,11,1,10,10,3,7,9,7,2,0,0,0,2,0,2
1988-1999,198419,Duke University,Public Administration and Services,'44.0000',Bachelor's degree,76,33,43,69,28,41,6,4,2,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,198419,Duke University,Social Sciences and History,'45.0000',Bachelor's degree,571,338,233,504,299,205,23,13,10,16,11,5,11,7,4,1,0,1,16,8,8
1988-1999,198419,Duke University,Visual and Performing Arts,'50.0000',Bachelor's degree,50,13,37,46,12,34,0,0,0,1,0,1,2,1,1,0,0,0,1,0,1
1988-1999,134097,Florida State University,Allied Health,'17.0000',Bachelor's degree,15,4,11,11,3,8,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Architecture and Related Programs,'04.0000',Bachelor's degree,67,5,62,60,5,55,2,0,2,3,0,3,0,0,0,0,0,0,2,0,2
1988-1999,134097,Florida State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,13,7,6,12,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,94,55,39,76,44,32,4,3,1,6,3,3,6,3,3,0,0,0,2,2,0
1988-1999,134097,Florida State University,Business and Management,'06.0000',Bachelor's degree,1186,684,502,1096,636,460,35,13,22,24,20,4,7,2,5,0,0,0,24,13,11
1988-1999,134097,Florida State University,Communications,'09.0000',Bachelor's degree,296,88,208,256,77,179,17,5,12,17,6,11,2,0,2,0,0,0,4,0,4
