Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Business and Management,'06.0000',Bachelor's degree,671,388,283,584,347,237,36,16,20,7,4,3,12,3,9,1,0,1,31,18,13
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Communications,'09.0000',Bachelor's degree,195,65,130,165,59,106,20,2,18,2,2,0,1,0,1,1,0,1,6,2,4
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,'11.0000',Bachelor's degree,39,29,10,32,25,7,0,0,0,1,1,0,2,0,2,0,0,0,4,3,1
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,13,11,2,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Education,'13.0000',Bachelor's degree,316,33,283,297,33,264,13,0,13,2,0,2,0,0,0,2,0,2,2,0,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,'14.0000',Bachelor's degree,285,246,39,203,174,29,2,2,0,7,6,1,19,17,2,2,2,0,52,45,7
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Engineering-Related Technologies,'15.0000',Bachelor's degree,58,52,6,49,46,3,6,3,3,1,1,0,0,0,0,0,0,0,2,2,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,English Language and Literature/Letters,'23.0000',Bachelor's degree,124,32,92,115,30,85,3,0,3,3,1,2,1,1,0,0,0,0,2,0,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages and Literatures,'16.0000',Bachelor's degree,32,9,23,26,8,18,3,1,2,0,0,0,0,0,0,0,0,0,3,0,3
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Health Sciences,'18.0000',Bachelor's degree,30,23,7,25,19,6,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics,'19.0000',Bachelor's degree,115,0,115,104,0,104,8,0,8,0,0,0,1,0,1,0,0,0,2,0,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Law (non-first professional),'22.0000',Bachelor's degree,13,8,5,12,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,408,229,179,378,215,163,22,10,12,4,3,1,1,0,1,0,0,0,3,1,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,'27.0000',Bachelor's degree,35,18,17,27,15,12,3,0,3,2,2,0,2,1,1,0,0,0,1,0,1
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,'38.0000',Bachelor's degree,9,6,3,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,'40.0000',Bachelor's degree,19,11,8,16,11,5,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Protective Services,'43.0000',Bachelor's degree,53,34,19,43,28,15,9,5,4,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,'42.0000',Bachelor's degree,155,49,106,145,42,103,5,3,2,4,4,0,1,0,1,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Public Administration and Services,'44.0000',Bachelor's degree,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences and History,'45.0000',Bachelor's degree,203,112,91,183,105,78,13,5,8,2,1,1,2,0,2,0,0,0,3,1,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,'50.0000',Bachelor's degree,88,30,58,82,26,56,2,2,0,1,1,0,3,1,2,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Allied Health,'17.0000',Bachelor's degree,88,15,73,81,12,69,0,0,0,2,1,1,5,2,3,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,13,6,7,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,53,34,19,32,23,9,4,2,2,3,2,1,12,7,5,0,0,0,2,0,2
1988-1999,147767,Northwestern University,Business and Management,'06.0000',Bachelor's degree,37,8,29,32,6,26,3,0,3,0,0,0,1,1,0,1,1,0,0,0,0
1988-1999,147767,Northwestern University,Communications,'09.0000',Bachelor's degree,344,125,219,301,114,187,25,4,21,3,2,1,11,3,8,0,0,0,4,2,2
1988-1999,147767,Northwestern University,Computer and Information Sciences,'11.0000',Bachelor's degree,33,24,9,21,17,4,6,2,4,1,1,0,4,3,1,0,0,0,1,1,0
1988-1999,147767,Northwestern University,Education,'13.0000',Bachelor's degree,36,16,20,36,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Engineering,'14.0000',Bachelor's degree,250,183,67,179,140,39,39,17,22,3,3,0,20,16,4,0,0,0,9,7,2
1988-1999,147767,Northwestern University,English Language and Literature/Letters,'23.0000',Bachelor's degree,101,39,62,89,35,54,3,1,2,1,1,0,8,2,6,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,41,14,27,34,13,21,4,1,3,2,0,2,1,0,1,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Health Sciences,'18.0000',Bachelor's degree,57,28,29,29,13,16,2,1,1,0,0,0,25,13,12,0,0,0,1,1,0
1988-1999,147767,Northwestern University,Mathematics,'27.0000',Bachelor's degree,24,15,9,18,11,7,2,1,1,0,0,0,4,3,1,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,26,11,15,23,10,13,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0
1988-1999,147767,Northwestern University,Philosophy and Religion,'38.0000',Bachelor's degree,23,11,12,20,9,11,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Physical Sciences,'40.0000',Bachelor's degree,28,24,4,23,20,3,1,0,1,1,1,0,2,2,0,0,0,0,1,1,0
1988-1999,147767,Northwestern University,Psychology,'42.0000',Bachelor's degree,76,16,60,51,11,40,13,1,12,1,0,1,8,4,4,2,0,2,1,0,1
1988-1999,147767,Northwestern University,Public Administration and Services,'44.0000',Bachelor's degree,88,30,58,69,20,49,15,8,7,0,0,0,2,1,1,0,0,0,2,1,1
1988-1999,147767,Northwestern University,Social Sciences and History,'45.0000',Bachelor's degree,504,294,210,425,256,169,24,7,17,6,3,3,39,21,18,0,0,0,10,7,3
1988-1999,147767,Northwestern University,Theological Studies/Religious Vocations,'39.0000',Bachelor's degree,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,147767,Northwestern University,Visual and Performing Arts,'50.0000',Bachelor's degree,160,64,96,141,56,85,5,4,1,4,2,2,7,1,6,0,0,0,3,1,2
1988-1999,204796,Ohio State University-Main Campus,Agricultural Business and Production,'01.0000',Bachelor's degree,74,64,10,73,63,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1988-1999,204796,Ohio State University-Main Campus,Agricultural Sciences,'02.0000',Bachelor's degree,181,108,73,173,104,69,3,,3,3,2,1,1,1,,0,0,0,1,1,
1988-1999,204796,Ohio State University-Main Campus,Allied Health,'17.0000',Bachelor's degree,259,51,208,246,49,197,5,,5,2,1,1,2,,2,0,0,0,4,1,3
1988-1999,204796,Ohio State University-Main Campus,Architecture and Related Programs,'04.0000',Bachelor's degree,107,90,17,98,82,16,1,1,,0,,,3,2,1,0,0,0,5,5,
1988-1999,204796,Ohio State University-Main Campus,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,5,2,3,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,,
1988-1999,204796,Ohio State University-Main Campus,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,197,97,100,183,91,92,4,2,2,2,1,1,6,2,4,1,1,,1,,1
1988-1999,204796,Ohio State University-Main Campus,Business (Admin Support),'07.0000',Bachelor's degree,89,62,27,71,51,20,9,6,3,1,1,,3,,3,0,0,0,5,4,1
1988-1999,204796,Ohio State University-Main Campus,Business and Management,'06.0000',Bachelor's degree,982,665,317,901,611,290,25,14,11,11,6,5,20,14,6,1,1,,24,19,5
1988-1999,204796,Ohio State University-Main Campus,Communications,'09.0000',Bachelor's degree,562,206,356,529,199,330,13,4,9,3,1,2,3,,3,1,1,,3,1,2
1988-1999,204796,Ohio State University-Main Campus,Computer and Information Sciences,'11.0000',Bachelor's degree,132,112,20,107,91,16,5,2,3,2,2,,3,3,,0,0,0,15,14,1
1988-1999,204796,Ohio State University-Main Campus,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,54,38,16,53,37,16,0,0,0,1,1,,0,0,0,0,0,0,0,,
1988-1999,204796,Ohio State University-Main Campus,Education,'13.0000',Bachelor's degree,794,237,557,771,226,545,16,5,11,2,2,,0,,,0,,,5,4,1
1988-1999,204796,Ohio State University-Main Campus,Engineering,'14.0000',Bachelor's degree,702,605,97,622,537,85,10,7,3,7,5,2,22,19,3,0,0,0,41,37,4
1988-1999,204796,Ohio State University-Main Campus,English Language and Literature/Letters,'23.0000',Bachelor's degree,175,58,117,171,58,113,2,,2,0,,,1,,1,1,,1,0,,
1988-1999,204796,Ohio State University-Main Campus,Foreign Languages and Literatures,'16.0000',Bachelor's degree,67,22,45,63,22,41,2,,2,0,,,2,,2,0,0,0,0,,
1988-1999,204796,Ohio State University-Main Campus,Health Sciences,'18.0000',Bachelor's degree,302,60,242,273,54,219,14,4,10,0,,,13,2,11,2,,2,0,,
1988-1999,204796,Ohio State University-Main Campus,Home Economics,'19.0000',Bachelor's degree,261,23,238,240,20,220,13,1,12,2,,2,3,,3,1,,1,2,2,
1988-1999,204796,Ohio State University-Main Campus,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,438,273,165,405,254,151,14,8,6,4,3,1,8,4,4,1,1,,6,3,3
1988-1999,204796,Ohio State University-Main Campus,Mathematics,'27.0000',Bachelor's degree,57,32,25,52,29,23,3,1,2,0,0,0,1,1,,0,0,0,1,1,
1988-1999,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,23,7,16,21,6,15,1,,1,0,0,0,0,0,0,0,0,0,1,1,
1988-1999,204796,Ohio State University-Main Campus,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,19,13,6,19,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,204796,Ohio State University-Main Campus,Philosophy and Religion,'38.0000',Bachelor's degree,16,12,4,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1988-1999,204796,Ohio State University-Main Campus,Physical Sciences,'40.0000',Bachelor's degree,80,64,16,72,61,11,2,1,1,0,0,0,0,0,0,4,1,3,2,1,1
1988-1999,204796,Ohio State University-Main Campus,Psychology,'42.0000',Bachelor's degree,227,90,137,215,86,129,5,1,4,4,3,1,2,,2,1,,1,0,,
1988-1999,204796,Ohio State University-Main Campus,Public Administration and Services,'44.0000',Bachelor's degree,75,17,58,69,14,55,6,3,3,0,,,0,,,0,0,0,0,,
1988-1999,204796,Ohio State University-Main Campus,Social Sciences and History,'45.0000',Bachelor's degree,488,281,207,438,258,180,38,16,22,5,3,2,3,1,2,0,0,0,4,3,1
1988-1999,204796,Ohio State University-Main Campus,Transportation and Material Moving Workers,'49.0000',Bachelor's degree,94,86,8,89,82,7,3,3,,1,,1,1,1,,0,0,0,0,0,0
1988-1999,204796,Ohio State University-Main Campus,Visual and Performing Arts,'50.0000',Bachelor's degree,211,106,105,191,97,94,2,1,1,5,2,3,9,4,5,1,1,,3,1,2
1988-1999,204796,Ohio State University-Main Campus,Vocational Home Economics,'20.0000',Bachelor's degree,46,27,19,42,26,16,2,1,1,0,0,0,0,0,0,1,,1,1,,1
1988-1999,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,'01.0000',Bachelor's degree,87,70,17,80,64,16,1,1,0,1,1,0,0,0,0,0,0,0,5,4,1
1988-1999,207388,Oklahoma State University-Main Campus,Agricultural Sciences,'02.0000',Bachelor's degree,98,71,27,90,65,25,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1
1988-1999,207388,Oklahoma State University-Main Campus,Architecture and Related Programs,'04.0000',Bachelor's degree,53,42,11,43,33,10,0,0,0,0,0,0,1,1,0,0,0,0,9,8,1
1988-1999,207388,Oklahoma State University-Main Campus,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,82,51,31,75,47,28,3,1,2,0,0,0,1,1,0,1,1,0,2,1,1
1988-1999,207388,Oklahoma State University-Main Campus,Business (Admin Support),'07.0000',Bachelor's degree,13,1,12,12,1,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Business and Management,'06.0000',Bachelor's degree,750,428,322,626,355,271,5,1,4,6,3,3,9,6,3,11,7,4,93,56,37
1988-1999,207388,Oklahoma State University-Main Campus,Communications,'09.0000',Bachelor's degree,97,36,61,92,35,57,1,0,1,1,0,1,0,0,0,2,0,2,1,1,0
1988-1999,207388,Oklahoma State University-Main Campus,Communications Technologies,'10.0000',Bachelor's degree,42,27,15,38,25,13,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,'11.0000',Bachelor's degree,36,27,9,21,14,7,0,0,0,0,0,0,2,2,0,1,1,0,12,10,2
1988-1999,207388,Oklahoma State University-Main Campus,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,11,10,1,10,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Education,'13.0000',Bachelor's degree,332,103,229,314,98,216,7,2,5,0,0,0,0,0,0,11,3,8,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Engineering,'14.0000',Bachelor's degree,314,289,25,175,158,17,4,2,2,2,2,0,18,15,3,4,4,0,111,108,3
1988-1999,207388,Oklahoma State University-Main Campus,Engineering-Related Technologies,'15.0000',Bachelor's degree,128,123,5,105,102,3,1,0,1,0,0,0,3,3,0,4,4,0,15,14,1
1988-1999,207388,Oklahoma State University-Main Campus,English Language and Literature/Letters,'23.0000',Bachelor's degree,51,20,31,50,19,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Foreign Languages and Literatures,'16.0000',Bachelor's degree,10,2,8,8,2,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1988-1999,207388,Oklahoma State University-Main Campus,Health Sciences,'18.0000',Bachelor's degree,36,10,26,36,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Home Economics,'19.0000',Bachelor's degree,163,10,153,158,10,148,1,0,1,0,0,0,3,0,3,1,0,1,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,15,13,2,14,12,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,204,111,93,181,100,81,4,2,2,2,2,0,3,0,3,0,0,0,14,7,7
1988-1999,207388,Oklahoma State University-Main Campus,Mathematics,'27.0000',Bachelor's degree,26,16,10,20,13,7,1,0,1,0,0,0,2,1,1,0,0,0,3,2,1
1988-1999,207388,Oklahoma State University-Main Campus,Military Services,'28.0000',Bachelor's degree,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,207388,Oklahoma State University-Main Campus,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,19,4,15,19,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Philosophy and Religion,'38.0000',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Physical Sciences,'40.0000',Bachelor's degree,17,12,5,16,11,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Protective Services,'43.0000',Bachelor's degree,15,12,3,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,207388,Oklahoma State University-Main Campus,Psychology,'42.0000',Bachelor's degree,82,29,53,80,29,51,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1988-1999,207388,Oklahoma State University-Main Campus,Social Sciences and History,'45.0000',Bachelor's degree,159,76,83,150,72,78,6,3,3,0,0,0,0,0,0,3,1,2,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Theological Studies/Religious Vocations,'39.0000',Bachelor's degree,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,'50.0000',Bachelor's degree,28,17,11,27,16,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,209542,Oregon State University,Agricultural Business and Production,'01.0000',Bachelor's degree,78,51,27,69,43,26,1,1,,0,,,1,1,,2,2,,0,,
1988-1999,209542,Oregon State University,Agricultural Sciences,'02.0000',Bachelor's degree,78,47,31,60,34,26,0,0,0,2,1,1,2,0,2,3,2,1,7,7,0
1988-1999,209542,Oregon State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,209542,Oregon State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,98,45,53,76,33,43,0,0,0,1,1,0,11,7,4,2,1,1,5,2,3
1988-1999,209542,Oregon State University,Business and Management,'06.0000',Bachelor's degree,533,294,239,447,245,202,0,0,0,8,6,2,37,15,22,8,4,4,26,20,6
1988-1999,209542,Oregon State University,Communications,'09.0000',Bachelor's degree,43,24,19,39,21,18,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0
1988-1999,209542,Oregon State University,Computer and Information Sciences,'11.0000',Bachelor's degree,76,59,17,56,46,10,0,0,0,0,0,0,4,3,1,2,1,1,13,8,5
1988-1999,209542,Oregon State University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,70,56,14,61,49,12,0,0,0,1,0,1,0,0,0,2,1,1,4,4,0
1988-1999,209542,Oregon State University,Education,'13.0000',Bachelor's degree,374,133,241,339,120,219,4,3,1,0,0,0,4,1,3,6,1,5,3,1,2
1988-1999,209542,Oregon State University,Engineering,'14.0000',Bachelor's degree,314,274,40,238,209,29,0,0,0,2,2,0,37,29,8,6,5,1,26,24,2
1988-1999,209542,Oregon State University,Engineering-Related Technologies,'15.0000',Bachelor's degree,38,37,1,37,36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,209542,Oregon State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,131,64,67,112,53,59,7,4,3,2,1,1,1,1,0,5,3,2,2,1,1
1988-1999,209542,Oregon State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,12,5,7,9,3,6,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1988-1999,209542,Oregon State University,Health Sciences,'18.0000',Bachelor's degree,107,46,61,89,37,52,1,1,0,0,0,0,10,4,6,3,1,2,3,2,1
1988-1999,209542,Oregon State University,Home Economics,'19.0000',Bachelor's degree,142,12,130,130,12,118,3,0,3,0,0,0,4,0,4,4,0,4,1,0,1
1988-1999,209542,Oregon State University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,40,17,23,29,12,17,2,2,0,2,0,2,4,2,2,2,1,1,0,0,0
1988-1999,209542,Oregon State University,Mathematics,'27.0000',Bachelor's degree,34,27,7,27,22,5,0,0,0,0,0,0,4,4,0,0,0,0,2,1,1
1988-1999,209542,Oregon State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,60,35,25,51,30,21,0,0,0,2,2,0,3,1,2,0,0,0,1,1,0
1988-1999,209542,Oregon State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,14,5,9,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,209542,Oregon State University,Philosophy and Religion,'38.0000',Bachelor's degree,7,6,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,209542,Oregon State University,Physical Sciences,'40.0000',Bachelor's degree,27,21,6,25,20,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1988-1999,209542,Oregon State University,Psychology,'42.0000',Bachelor's degree,75,33,42,69,30,39,1,0,1,2,1,1,0,0,0,1,0,1,1,1,0
1988-1999,209542,Oregon State University,Social Sciences and History,'45.0000',Bachelor's degree,233,155,78,194,127,67,3,3,0,3,2,1,11,6,5,8,7,1,9,7,2
1988-1999,209542,Oregon State University,Visual and Performing Arts,'50.0000',Bachelor's degree,33,8,25,29,6,23,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0
1988-1999,186380,Rutgers University-New Brunswick,Agricultural Sciences,'02.0000',Bachelor's degree,97,37,60,85,30,55,3,2,1,2,1,1,2,1,1,0,0,0,3,2,1
1988-1999,186380,Rutgers University-New Brunswick,Allied Health,'17.0000',Bachelor's degree,21,3,18,14,2,12,0,0,0,3,1,2,3,0,3,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Architecture and Related Programs,'04.0000',Bachelor's degree,70,47,23,57,38,19,1,1,0,1,1,0,4,4,0,0,0,0,2,1,1
1988-1999,186380,Rutgers University-New Brunswick,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,46,22,24,25,10,15,14,9,5,5,3,2,2,0,2,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,403,193,210,300,145,155,17,6,11,18,10,8,45,20,25,0,0,0,7,3,4
1988-1999,186380,Rutgers University-New Brunswick,Business and Management,'06.0000',Bachelor's degree,511,198,313,421,176,245,32,5,27,10,4,6,25,6,19,0,0,0,11,1,10
1988-1999,186380,Rutgers University-New Brunswick,Communications,'09.0000',Bachelor's degree,361,113,248,312,100,212,25,9,16,10,1,9,8,2,6,0,0,0,1,0,1
1988-1999,186380,Rutgers University-New Brunswick,Computer and Information Sciences,'11.0000',Bachelor's degree,154,106,48,101,73,28,2,2,0,4,3,1,28,19,9,0,0,0,16,7,9
1988-1999,186380,Rutgers University-New Brunswick,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,25,14,11,24,13,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Education,'13.0000',Bachelor's degree,125,53,72,116,47,69,4,2,2,4,4,0,1,0,1,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Engineering,'14.0000',Bachelor's degree,452,376,76,332,278,54,11,9,2,12,9,3,62,48,14,0,0,0,29,27,2
1988-1999,186380,Rutgers University-New Brunswick,English Language and Literature/Letters,'23.0000',Bachelor's degree,379,124,255,325,108,217,18,3,15,8,2,6,9,2,7,0,0,0,1,0,1
1988-1999,186380,Rutgers University-New Brunswick,Foreign Languages and Literatures,'16.0000',Bachelor's degree,121,22,99,80,17,63,9,1,8,25,3,22,2,0,2,0,0,0,2,0,2
1988-1999,186380,Rutgers University-New Brunswick,Health Sciences,'18.0000',Bachelor's degree,144,41,103,119,31,88,4,0,4,7,3,4,12,7,5,0,0,0,1,0,1
1988-1999,186380,Rutgers University-New Brunswick,Home Economics,'19.0000',Bachelor's degree,32,2,30,24,1,23,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,6,0,6,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Mathematics,'27.0000',Bachelor's degree,77,34,43,61,26,35,5,4,1,1,0,1,5,2,3,0,0,0,3,1,2
1988-1999,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,6,1,5,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Philosophy and Religion,'38.0000',Bachelor's degree,42,33,9,36,29,7,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Physical Sciences,'40.0000',Bachelor's degree,88,64,24,72,52,20,5,4,1,3,3,0,5,3,2,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Protective Services,'43.0000',Bachelor's degree,42,26,16,33,23,10,7,3,4,2,0,2,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Psychology,'42.0000',Bachelor's degree,431,92,339,359,81,278,32,3,29,14,4,10,19,4,15,0,0,0,1,0,1
1988-1999,186380,Rutgers University-New Brunswick,Public Administration and Services,'44.0000',Bachelor's degree,20,2,18,15,2,13,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0
1988-1999,186380,Rutgers University-New Brunswick,Social Sciences and History,'45.0000',Bachelor's degree,1397,792,605,1099,633,466,104,44,60,58,41,17,81,38,43,4,2,2,18,11,7
1988-1999,186380,Rutgers University-New Brunswick,Visual and Performing Arts,'50.0000',Bachelor's degree,184,40,144,142,28,114,12,4,8,10,3,7,12,1,11,1,0,1,2,1,1
1988-1999,122755,San Jose State University,Allied Health,'17.0000',Bachelor's degree,65,4,61,44,3,41,1,0,1,6,1,5,13,0,13,1,0,1,0,0,0
1988-1999,122755,San Jose State University,Architecture and Related Programs,'04.0000',Bachelor's degree,42,4,38,27,1,26,0,0,0,2,0,2,11,2,9,2,1,1,0,0,0
1988-1999,122755,San Jose State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,122755,San Jose State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,57,29,28,36,18,18,1,0,1,1,0,1,16,10,6,1,0,1,2,1,1
1988-1999,122755,San Jose State University,Business and Management,'06.0000',Bachelor's degree,906,400,506,546,259,287,20,9,11,56,25,31,221,73,148,21,11,10,42,23,19
1988-1999,122755,San Jose State University,Communications,'09.0000',Bachelor's degree,289,127,162,214,94,120,20,8,12,18,10,8,24,10,14,5,2,3,8,3,5
1988-1999,122755,San Jose State University,Computer and Information Sciences,'11.0000',Bachelor's degree,113,77,36,29,21,8,0,0,0,3,1,2,63,42,21,2,2,0,16,11,5
1988-1999,122755,San Jose State University,Education,'13.0000',Bachelor's degree,72,25,47,50,17,33,0,0,0,9,6,3,10,2,8,3,0,3,0,0,0
