Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,English Language and Literature/Letters,'23',Bachelor's degree,First major,141,45,96,112,39,73,18,4,14,3,0,3,3,0,3,0,0,0,5,2,3,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,'01',Bachelor's degree,First major,27,23,4,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Biological Science/Life Sciences,'26',Bachelor's degree,First major,284,138,146,212,107,105,26,5,21,11,3,8,26,15,11,2,2,0,3,3,0,4,3,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,'11',Bachelor's degree,First major,49,39,10,28,23,5,3,2,1,2,2,0,9,8,1,0,0,0,0,0,0,7,4,3
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,78,60,18,71,56,15,1,0,1,2,1,1,1,0,1,0,0,0,1,1,0,2,2,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,'14',Bachelor's degree,First major,413,329,84,289,234,55,26,16,10,11,10,1,18,14,4,2,2,0,9,8,1,58,45,13
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,'27',Bachelor's degree,First major,24,11,13,19,8,11,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,7,2,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages and Literatures,'16',Bachelor's degree,First major,32,12,20,21,6,15,3,1,2,2,0,2,1,0,1,0,0,0,5,5,0,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Health Professions and Related Sciences,'51',Bachelor's degree,First major,64,1,63,58,1,57,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,First major,28,1,27,21,0,21,3,1,2,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,'38',Bachelor's degree,First major,11,5,6,7,2,5,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Business Management and Administrative Services,'52',Bachelor's degree,First major,1032,579,453,804,469,335,64,17,47,23,13,10,63,33,30,1,1,0,18,14,4,59,32,27
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Education,'13',Bachelor's degree,First major,411,94,317,348,77,271,42,11,31,7,2,5,4,2,2,0,0,0,6,2,4,4,0,4
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics- General,'19',Bachelor's degree,First major,91,3,88,81,2,79,5,1,4,0,0,0,2,0,2,0,0,0,2,0,2,1,0,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,254,109,145,211,89,122,32,15,17,1,1,0,2,0,2,0,0,0,7,4,3,1,0,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,'40',Bachelor's degree,First major,53,34,19,43,28,15,4,1,3,1,1,0,3,3,0,0,0,0,2,1,1,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,'42',Bachelor's degree,First major,181,47,134,157,42,115,15,3,12,0,0,0,6,2,4,0,0,0,2,0,2,1,0,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences and History,'45',Bachelor's degree,First major,258,135,123,207,111,96,32,12,20,5,3,2,3,2,1,2,1,1,6,5,1,3,1,2
2000-2001,147767,Northwestern University,Communications,'09',Bachelor's degree,First major,243,91,152,166,70,96,28,7,21,9,4,5,24,2,22,0,0,0,11,6,5,5,2,3
2000-2001,147767,Northwestern University,Computer and Information Sciences,'11',Bachelor's degree,First major,67,54,13,36,30,6,1,1,0,3,3,0,18,12,6,1,1,0,4,4,0,4,3,1
2000-2001,147767,Northwestern University,Education,'13',Bachelor's degree,First major,32,7,25,23,6,17,1,0,1,1,0,1,6,1,5,0,0,0,0,0,0,1,0,1
2000-2001,147767,Northwestern University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,23,5,18,15,3,12,0,0,0,1,0,1,5,1,4,0,0,0,2,1,1,0,0,0
2000-2001,147767,Northwestern University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,147767,Northwestern University,Mathematics,'27',Bachelor's degree,First major,34,21,13,24,14,10,3,2,1,1,0,1,4,3,1,0,0,0,1,1,0,1,1,0
2000-2001,147767,Northwestern University,Philosophy and Religion,'38',Bachelor's degree,First major,28,19,9,21,16,5,2,0,2,0,0,0,2,1,1,0,0,0,2,1,1,1,1,0
2000-2001,147767,Northwestern University,Business Management and Administrative Services,'52',Bachelor's degree,First major,46,13,33,30,12,18,3,1,2,2,0,2,6,0,6,1,0,1,3,0,3,1,0,1
2000-2001,147767,Northwestern University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,4,0,4,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2000-2001,147767,Northwestern University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,18,2,16,11,0,11,2,0,2,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
2000-2001,147767,Northwestern University,Visual and Performing Arts,'50',Bachelor's degree,First major,208,73,135,161,61,100,7,2,5,6,2,4,20,5,15,1,1,0,10,0,10,3,2,1
2000-2001,147767,Northwestern University,English Language and Literature/Letters,'23',Bachelor's degree,First major,217,80,137,151,63,88,20,6,14,7,2,5,23,3,20,1,0,1,12,6,6,3,0,3
2000-2001,147767,Northwestern University,Psychology,'42',Bachelor's degree,First major,148,54,94,106,36,70,11,3,8,2,2,0,22,10,12,0,0,0,4,2,2,3,1,2
2000-2001,147767,Northwestern University,Public Administration and Services,'44',Bachelor's degree,First major,27,5,22,14,4,10,4,0,4,3,0,3,4,1,3,0,0,0,2,0,2,0,0,0
2000-2001,147767,Northwestern University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,15,5,10,9,3,6,3,1,2,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0
2000-2001,147767,Northwestern University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,121,57,64,59,26,33,4,0,4,4,2,2,51,28,23,0,0,0,2,1,1,1,0,1
2000-2001,147767,Northwestern University,Engineering,'14',Bachelor's degree,First major,283,184,99,158,110,48,11,6,5,8,4,4,58,33,25,3,2,1,12,9,3,33,20,13
2000-2001,147767,Northwestern University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,26,17,9,18,13,5,0,0,0,0,0,0,4,3,1,1,0,1,1,0,1,2,1,1
2000-2001,147767,Northwestern University,Physical Sciences,'40',Bachelor's degree,First major,19,13,6,12,10,2,0,0,0,0,0,0,5,2,3,1,1,0,1,0,1,0,0,0
2000-2001,147767,Northwestern University,Social Sciences and History,'45',Bachelor's degree,First major,440,261,179,270,158,112,19,10,9,18,11,7,93,56,37,1,1,0,18,12,6,21,13,8
2000-2001,204796,Ohio State University-Main Campus,Health Professions and Related Sciences,'51',Bachelor's degree,First major,522,106,416,431,86,345,29,4,25,12,2,10,40,11,29,0,0,0,2,0,2,8,3,5
2000-2001,204796,Ohio State University-Main Campus,Home Economics- General,'19',Bachelor's degree,First major,730,222,508,626,185,441,45,12,33,8,2,6,33,18,15,3,1,2,6,2,4,9,2,7
2000-2001,204796,Ohio State University-Main Campus,Mathematics,'27',Bachelor's degree,First major,50,34,16,36,24,12,2,2,0,3,2,1,4,2,2,0,0,0,1,1,0,4,3,1
2000-2001,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,13,5,8,9,4,5,2,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Architecture and Related Programs,'04',Bachelor's degree,First major,93,68,25,77,58,19,1,1,0,3,1,2,3,2,1,1,1,0,0,0,0,8,5,3
2000-2001,204796,Ohio State University-Main Campus,Biological Science/Life Sciences,'26',Bachelor's degree,First major,279,131,148,222,101,121,16,5,11,8,6,2,29,17,12,1,1,0,1,1,0,2,0,2
2000-2001,204796,Ohio State University-Main Campus,Communications,'09',Bachelor's degree,First major,470,200,270,391,181,210,54,10,44,4,3,1,13,4,9,1,1,0,2,1,1,5,0,5
2000-2001,204796,Ohio State University-Main Campus,Computer and Information Sciences,'11',Bachelor's degree,First major,190,156,34,118,104,14,3,3,0,2,2,0,33,22,11,0,0,0,3,2,1,31,23,8
2000-2001,204796,Ohio State University-Main Campus,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,122,62,60,112,59,53,1,0,1,1,0,1,3,1,2,0,0,0,1,0,1,4,2,2
2000-2001,204796,Ohio State University-Main Campus,Engineering,'14',Bachelor's degree,First major,564,454,110,416,341,75,17,10,7,8,8,0,42,29,13,3,3,0,6,5,1,72,58,14
2000-2001,204796,Ohio State University-Main Campus,Foreign Languages and Literatures,'16',Bachelor's degree,First major,171,67,104,137,55,82,6,2,4,9,3,6,9,5,4,1,0,1,4,0,4,5,2,3
2000-2001,204796,Ohio State University-Main Campus,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,20,10,10,18,9,9,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Philosophy and Religion,'38',Bachelor's degree,First major,41,33,8,37,31,6,1,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Physical Sciences,'40',Bachelor's degree,First major,77,57,20,64,47,17,3,3,0,2,1,1,4,4,0,0,0,0,0,0,0,4,2,2
2000-2001,204796,Ohio State University-Main Campus,Agricultural Business and Production,'01',Bachelor's degree,First major,120,89,31,99,77,22,11,7,4,0,0,0,4,1,3,1,1,0,2,0,2,3,3,0
2000-2001,204796,Ohio State University-Main Campus,Business Management and Administrative Services,'52',Bachelor's degree,First major,986,561,425,744,432,312,31,18,13,8,3,5,57,31,26,1,0,1,9,7,2,136,70,66
2000-2001,204796,Ohio State University-Main Campus,English Language and Literature/Letters,'23',Bachelor's degree,First major,339,120,219,304,108,196,22,6,16,4,2,2,5,1,4,2,1,1,2,2,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,62,41,21,52,35,17,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Public Administration and Services,'44',Bachelor's degree,First major,59,3,56,52,1,51,5,1,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Transporation and Material Moving Workers,'49',Bachelor's degree,First major,56,52,4,48,45,3,4,4,0,0,0,0,1,1,0,0,0,0,1,0,1,2,2,0
2000-2001,204796,Ohio State University-Main Campus,Visual and Performing Arts,'50',Bachelor's degree,First major,260,105,155,226,92,134,10,2,8,5,3,2,13,5,8,0,0,0,2,2,0,4,1,3
2000-2001,204796,Ohio State University-Main Campus,Agricultural Sciences,'02',Bachelor's degree,First major,167,80,87,156,76,80,0,0,0,4,2,2,1,0,1,0,0,0,2,1,1,4,1,3
2000-2001,204796,Ohio State University-Main Campus,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,56,9,47,32,4,28,20,5,15,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1
2000-2001,204796,Ohio State University-Main Campus,Education,'13',Bachelor's degree,First major,339,92,247,324,84,240,5,3,2,1,0,1,2,1,1,0,0,0,5,3,2,2,1,1
2000-2001,204796,Ohio State University-Main Campus,Engineering-Related Technologies,'15',Bachelor's degree,First major,9,8,1,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Psychology,'42',Bachelor's degree,First major,463,109,354,382,89,293,31,4,27,12,2,10,16,5,11,3,1,2,9,2,7,10,6,4
2000-2001,204796,Ohio State University-Main Campus,Social Sciences and History,'45',Bachelor's degree,First major,1048,576,472,817,463,354,101,49,52,25,9,16,42,15,27,3,1,2,17,10,7,43,29,14
2000-2001,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,'11',Bachelor's degree,First major,43,38,5,20,19,1,0,0,0,1,1,0,2,2,0,2,1,1,0,0,0,18,15,3
2000-2001,207388,Oklahoma State University-Main Campus,Mathematics,'27',Bachelor's degree,First major,18,8,10,15,7,8,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Psychology,'42',Bachelor's degree,First major,108,33,75,96,32,64,2,0,2,2,1,1,1,0,1,6,0,6,0,0,0,1,0,1
2000-2001,207388,Oklahoma State University-Main Campus,Social Sciences and History,'45',Bachelor's degree,First major,136,75,61,104,59,45,13,7,6,2,1,1,1,1,0,16,7,9,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Agricultural Sciences,'02',Bachelor's degree,First major,228,116,112,211,107,104,0,0,0,1,0,1,1,0,1,13,8,5,0,0,0,2,1,1
2000-2001,207388,Oklahoma State University-Main Campus,Architecture and Related Programs,'04',Bachelor's degree,First major,37,30,7,24,20,4,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,10,7,3
2000-2001,207388,Oklahoma State University-Main Campus,Engineering,'14',Bachelor's degree,First major,279,233,46,167,138,29,9,6,3,5,4,1,9,8,1,11,8,3,0,0,0,78,69,9
2000-2001,207388,Oklahoma State University-Main Campus,Engineering-Related Technologies,'15',Bachelor's degree,First major,98,94,4,79,77,2,1,1,0,0,0,0,6,5,1,11,10,1,0,0,0,1,1,0
2000-2001,207388,Oklahoma State University-Main Campus,Health Professions and Related Sciences,'51',Bachelor's degree,First major,27,2,25,26,2,24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Home Economics- General,'19',Bachelor's degree,First major,199,10,189,163,9,154,5,0,5,3,0,3,4,0,4,20,1,19,0,0,0,4,0,4
2000-2001,207388,Oklahoma State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,15,8,7,13,6,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,'01',Bachelor's degree,First major,79,50,29,75,48,27,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Biological Science/Life Sciences,'26',Bachelor's degree,First major,170,74,96,136,56,80,5,3,2,3,3,0,3,0,3,20,11,9,0,0,0,3,1,2
2000-2001,207388,Oklahoma State University-Main Campus,Communications,'09',Bachelor's degree,First major,121,44,77,100,38,62,3,0,3,5,0,5,2,1,1,6,2,4,0,0,0,5,3,2
2000-2001,207388,Oklahoma State University-Main Campus,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,14,6,8,12,5,7,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Business Management and Administrative Services,'52',Bachelor's degree,First major,818,444,374,607,332,275,25,10,15,13,10,3,23,10,13,58,31,27,0,0,0,92,51,41
2000-2001,207388,Oklahoma State University-Main Campus,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,32,19,13,25,16,9,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,1,0,1
2000-2001,207388,Oklahoma State University-Main Campus,Education,'13',Bachelor's degree,First major,283,92,191,242,74,168,8,2,6,6,2,4,1,0,1,21,12,9,0,0,0,5,2,3
2000-2001,207388,Oklahoma State University-Main Campus,English Language and Literature/Letters,'23',Bachelor's degree,First major,56,19,37,50,17,33,0,0,0,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Foreign Languages and Literatures,'16',Bachelor's degree,First major,20,3,17,14,2,12,0,0,0,1,0,1,2,1,1,3,0,3,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Philosophy and Religion,'38',Bachelor's degree,First major,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Physical Sciences,'40',Bachelor's degree,First major,19,12,7,15,10,5,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Protective Services,'43',Bachelor's degree,First major,38,32,6,34,29,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0
2000-2001,207388,Oklahoma State University-Main Campus,Transporation and Material Moving Workers,'49',Bachelor's degree,First major,66,60,6,57,52,5,3,2,1,1,1,0,1,1,0,2,2,0,0,0,0,2,2,0
2000-2001,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,'50',Bachelor's degree,First major,71,35,36,58,28,30,2,1,1,1,1,0,0,0,0,4,2,2,0,0,0,6,3,3
2000-2001,209542,Oregon State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,22,5,17,14,2,12,0,0,0,2,2,0,2,0,2,2,0,2,2,1,1,0,0,0
2000-2001,209542,Oregon State University,Business Management and Administrative Services,'52',Bachelor's degree,First major,342,226,116,258,169,89,2,1,1,8,4,4,32,20,12,1,1,0,26,20,6,15,11,4
2000-2001,209542,Oregon State University,Computer and Information Sciences,'11',Bachelor's degree,First major,62,56,6,36,35,1,1,1,0,2,1,1,5,3,2,1,1,0,7,7,0,10,8,2
2000-2001,209542,Oregon State University,Engineering,'14',Bachelor's degree,First major,377,314,63,293,247,46,0,0,0,7,6,1,19,15,4,5,4,1,32,28,4,21,14,7
2000-2001,209542,Oregon State University,English Language and Literature/Letters,'23',Bachelor's degree,First major,92,38,54,77,30,47,1,1,0,2,1,1,3,1,2,2,1,1,5,3,2,2,1,1
2000-2001,209542,Oregon State University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,22,9,13,17,6,11,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,1,1,0
2000-2001,209542,Oregon State University,Mathematics,'27',Bachelor's degree,First major,21,10,11,18,9,9,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
2000-2001,209542,Oregon State University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,103,44,59,62,27,35,1,1,0,2,2,0,25,9,16,2,1,1,7,4,3,4,0,4
2000-2001,209542,Oregon State University,Philosophy and Religion,'38',Bachelor's degree,First major,15,7,8,10,3,7,0,0,0,1,1,0,0,0,0,1,0,1,3,3,0,0,0,0
2000-2001,209542,Oregon State University,Agricultural Business and Production,'01',Bachelor's degree,First major,68,40,28,59,34,25,0,0,0,1,0,1,1,0,1,1,1,0,5,4,1,1,1,0
2000-2001,209542,Oregon State University,Education,'13',Bachelor's degree,First major,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,209542,Oregon State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,155,50,105,118,38,80,6,5,1,11,2,9,4,0,4,0,0,0,14,5,9,2,0,2
2000-2001,209542,Oregon State University,Psychology,'42',Bachelor's degree,First major,72,23,49,58,21,37,0,0,0,2,1,1,3,1,2,1,0,1,8,0,8,0,0,0
2000-2001,209542,Oregon State University,Social Sciences and History,'45',Bachelor's degree,First major,125,90,35,96,66,30,2,1,1,3,2,1,8,7,1,1,1,0,14,13,1,1,0,1
2000-2001,209542,Oregon State University,Agricultural Sciences,'02',Bachelor's degree,First major,116,47,69,97,42,55,0,0,0,4,1,3,2,1,1,2,0,2,7,3,4,4,0,4
2000-2001,209542,Oregon State University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,176,73,103,135,52,83,2,0,2,4,3,1,18,9,9,2,2,0,11,6,5,4,1,3
2000-2001,209542,Oregon State University,Home Economics- General,'19',Bachelor's degree,First major,176,17,159,142,12,130,1,1,0,7,2,5,12,1,11,2,0,2,11,1,10,1,0,1
2000-2001,209542,Oregon State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,111,53,58,84,39,45,1,0,1,3,2,1,9,5,4,5,4,1,6,1,5,3,2,1
2000-2001,209542,Oregon State University,Physical Sciences,'40',Bachelor's degree,First major,28,24,4,22,20,2,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,2,1,1
2000-2001,209542,Oregon State University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,162,98,64,132,82,50,1,0,1,6,2,4,3,2,1,7,5,2,10,5,5,3,2,1
2000-2001,209542,Oregon State University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,178,54,124,125,36,89,1,0,1,3,2,1,31,9,22,5,3,2,9,2,7,4,2,2
2000-2001,209542,Oregon State University,Visual and Performing Arts,'50',Bachelor's degree,First major,86,37,49,63,24,39,1,0,1,3,2,1,5,4,1,1,1,0,9,6,3,4,0,4
2000-2001,186380,Rutgers University-New Brunswick,Computer and Information Sciences,'11',Bachelor's degree,First major,336,256,80,108,95,13,9,7,2,7,6,1,155,111,44,0,0,0,28,21,7,29,16,13
2000-2001,186380,Rutgers University-New Brunswick,Engineering,'14',Bachelor's degree,First major,410,302,108,202,156,46,34,22,12,16,14,2,97,67,30,0,0,0,30,22,8,31,21,10
2000-2001,186380,Rutgers University-New Brunswick,Philosophy and Religion,'38',Bachelor's degree,First major,43,26,17,31,20,11,2,1,1,2,2,0,1,0,1,0,0,0,7,3,4,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Protective Services,'43',Bachelor's degree,First major,199,118,81,120,70,50,33,20,13,22,11,11,11,6,5,0,0,0,13,11,2,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Public Administration and Services,'44',Bachelor's degree,First major,19,1,18,11,1,10,2,0,2,2,0,2,1,0,1,0,0,0,3,0,3,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Architecture and Related Programs,'04',Bachelor's degree,First major,27,17,10,20,14,6,1,1,0,3,2,1,1,0,1,0,0,0,1,0,1,1,0,1
2000-2001,186380,Rutgers University-New Brunswick,Foreign Languages and Literatures,'16',Bachelor's degree,First major,126,22,104,62,11,51,8,1,7,35,5,30,11,1,10,0,0,0,8,3,5,2,1,1
2000-2001,186380,Rutgers University-New Brunswick,Mathematics,'27',Bachelor's degree,First major,68,36,32,37,19,18,0,0,0,3,2,1,11,6,5,1,0,1,11,6,5,5,3,2
2000-2001,186380,Rutgers University-New Brunswick,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,112,21,91,58,8,50,26,8,18,14,2,12,0,0,0,0,0,0,12,3,9,2,0,2
2000-2001,186380,Rutgers University-New Brunswick,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,109,50,59,92,43,49,4,1,3,4,2,2,2,1,1,0,0,0,6,2,4,1,1,0
2000-2001,186380,Rutgers University-New Brunswick,English Language and Literature/Letters,'23',Bachelor's degree,First major,316,98,218,204,72,132,27,4,23,18,5,13,29,11,18,1,0,1,35,6,29,2,0,2
2000-2001,186380,Rutgers University-New Brunswick,Health Professions and Related Sciences,'51',Bachelor's degree,First major,218,75,143,67,20,47,22,7,15,22,7,15,95,37,58,0,0,0,10,3,7,2,1,1
2000-2001,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,13,7,6,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,1
2000-2001,186380,Rutgers University-New Brunswick,Psychology,'42',Bachelor's degree,First major,516,113,403,328,73,255,45,9,36,30,5,25,68,16,52,0,0,0,40,10,30,5,0,5
2000-2001,186380,Rutgers University-New Brunswick,Social Sciences and History,'45',Bachelor's degree,First major,1178,588,590,688,367,321,97,34,63,85,46,39,176,76,100,4,1,3,100,49,51,28,15,13
2000-2001,186380,Rutgers University-New Brunswick,Agricultural Sciences,'02',Bachelor's degree,First major,87,26,61,69,19,50,3,2,1,3,2,1,4,2,2,0,0,0,7,1,6,1,0,1
2000-2001,186380,Rutgers University-New Brunswick,Biological Science/Life Sciences,'26',Bachelor's degree,First major,482,194,288,234,107,127,42,12,30,41,20,21,103,37,66,0,0,0,53,16,37,9,2,7
2000-2001,186380,Rutgers University-New Brunswick,Business Management and Administrative Services,'52',Bachelor's degree,First major,365,183,182,211,115,96,15,5,10,15,8,7,85,37,48,0,0,0,23,13,10,16,5,11
2000-2001,186380,Rutgers University-New Brunswick,Communications,'09',Bachelor's degree,First major,442,140,302,262,96,166,43,13,30,43,11,32,50,11,39,0,0,0,34,9,25,10,0,10
2000-2001,186380,Rutgers University-New Brunswick,Education,'13',Bachelor's degree,First major,79,27,52,54,15,39,8,4,4,1,0,1,11,7,4,1,1,0,4,0,4,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Physical Sciences,'40',Bachelor's degree,First major,97,64,33,63,45,18,4,2,2,3,2,1,10,5,5,1,1,0,11,6,5,5,3,2
2000-2001,186380,Rutgers University-New Brunswick,Visual and Performing Arts,'50',Bachelor's degree,First major,251,82,169,185,56,129,4,4,0,16,9,7,18,6,12,0,0,0,25,7,18,3,0,3
2000-2001,122755,San Jose State University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,80,24,56,31,10,21,2,0,2,3,2,1,28,6,22,0,0,0,10,3,7,6,3,3
2000-2001,122755,San Jose State University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,42,19,23,24,8,16,0,0,0,9,3,6,6,5,1,0,0,0,3,3,0,0,0,0
2000-2001,122755,San Jose State University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,41,13,28,14,5,9,0,0,0,15,5,10,4,2,2,0,0,0,4,0,4,4,1,3
2000-2001,122755,San Jose State University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,219,24,195,72,4,68,10,2,8,29,4,25,79,12,67,1,0,1,28,2,26,0,0,0
2000-2001,122755,San Jose State University,Mathematics,'27',Bachelor's degree,First major,16,7,9,2,1,1,0,0,0,2,1,1,9,5,4,0,0,0,3,0,3,0,0,0
2000-2001,122755,San Jose State University,Psychology,'42',Bachelor's degree,First major,183,42,141,74,13,61,7,0,7,36,12,24,30,7,23,1,0,1,26,8,18,9,2,7
2000-2001,122755,San Jose State University,Visual and Performing Arts,'50',Bachelor's degree,First major,262,109,153,101,37,64,7,4,3,39,21,18,55,23,32,4,3,1,46,18,28,10,3,7
2000-2001,122755,San Jose State University,Computer and Information Sciences,'11',Bachelor's degree,First major,210,127,83,18,10,8,2,2,0,3,3,0,127,79,48,0,0,0,17,10,7,43,23,20
