Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2004-2005,100858,Auburn University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',23,18,5,19,17,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,1
2004-2005,100858,Auburn University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',154,16,138,141,16,125,10,0,10,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,History,'54',70,45,25,66,42,24,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Natural resources and conservation.,'03',36,27,9,34,25,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Philosophy and religious studies.,'38',11,8,3,10,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Psychology.,'42',167,34,133,152,30,122,13,2,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',184,125,59,177,123,54,2,0,2,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',161,78,83,138,70,68,11,4,7,5,1,4,3,1,2,2,1,1,1,0,1,1,1,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',167,51,116,155,48,107,9,3,6,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Mathematics and statistics.,'27',12,10,2,10,8,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',12,3,9,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Public administration and social service professions.,'44',50,15,35,38,11,27,11,4,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Visual and performing arts.,'50',169,51,118,156,44,112,7,5,2,2,0,2,2,1,1,0,0,0,1,1,0,1,0,1
2004-2005,100858,Auburn University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1008,644,364,931,599,332,38,22,16,6,4,2,14,8,6,3,1,2,4,2,2,12,8,4
2004-2005,100858,Auburn University,Bachelor's degree,First major,Education.,'13',368,80,288,338,69,269,16,7,9,3,1,2,3,0,3,2,0,2,4,2,2,2,1,1
2004-2005,100858,Auburn University,Bachelor's degree,First major,Engineering.,'14',576,478,98,505,431,74,32,18,14,10,7,3,14,9,5,4,3,1,4,3,1,7,7,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,English language and literature/letters.,'23',147,50,97,133,48,85,11,2,9,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',152,5,147,142,4,138,6,1,5,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
2004-2005,100858,Auburn University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',38,12,26,31,11,20,1,0,1,3,0,3,1,1,0,1,0,1,0,0,0,1,0,1
2004-2005,100858,Auburn University,Bachelor's degree,First major,Social sciences.,'45',306,176,130,275,159,116,22,13,9,2,1,1,3,1,2,0,0,0,2,0,2,2,2,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Architecture and related services.,'04',87,56,31,76,49,27,7,5,2,1,0,1,2,1,1,0,0,0,0,0,0,1,1,0
2004-2005,100858,Auburn University,Bachelor's degree,First major,Physical sciences.,'40',19,15,4,17,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2004-2005,142115,Boise State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',359,194,165,297,163,134,4,3,1,13,4,9,13,7,6,6,3,3,19,11,8,7,3,4
2004-2005,142115,Boise State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',93,39,54,78,30,48,2,2,0,4,3,1,0,0,0,1,1,0,8,3,5,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Engineering.,'14',74,66,8,60,52,8,0,0,0,2,2,0,3,3,0,0,0,0,6,6,0,3,3,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,English language and literature/letters.,'23',57,16,41,47,14,33,0,0,0,5,0,5,0,0,0,1,0,1,3,2,1,1,0,1
2004-2005,142115,Boise State University,Bachelor's degree,First major,Public administration and social service professions.,'44',39,10,29,38,10,28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',75,63,12,62,56,6,0,0,0,2,2,0,4,1,3,0,0,0,5,4,1,2,0,2
2004-2005,142115,Boise State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',7,5,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Physical sciences.,'40',15,8,7,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Psychology.,'42',66,24,42,57,21,36,1,1,0,2,0,2,2,1,1,1,1,0,1,0,1,2,0,2
2004-2005,142115,Boise State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Education.,'13',147,32,115,132,29,103,1,1,0,7,1,6,0,0,0,0,0,0,7,1,6,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',27,8,19,15,5,10,1,0,1,5,1,4,0,0,0,1,0,1,4,1,3,1,1,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',199,43,156,165,35,130,1,0,1,10,2,8,5,1,4,1,0,1,13,2,11,4,3,1
2004-2005,142115,Boise State University,Bachelor's degree,First major,History,'54',30,20,10,26,18,8,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',70,43,27,62,39,23,1,1,0,3,1,2,3,2,1,0,0,0,1,0,1,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Natural resources and conservation.,'03',3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Security and protective services.,'43',79,33,46,65,26,39,1,1,0,4,2,2,3,1,2,3,2,1,3,1,2,0,0,0
