Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',40,9,31,38,8,30,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,History,'54',46,29,17,42,27,15,1,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Transportation and materials moving.,'49',33,30,3,31,29,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',129,62,67,113,53,60,3,2,1,4,1,3,1,0,1,0,0,0,4,3,1,4,3,1
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Biological and biomedical sciences.,'26',448,202,246,335,156,179,43,8,35,9,7,2,37,17,20,1,1,0,13,10,3,10,3,7
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Education.,'13',465,122,343,386,103,283,48,11,37,8,2,6,7,1,6,1,0,1,12,3,9,3,2,1
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Engineering.,'14',350,291,59,251,219,32,22,12,10,14,11,3,15,14,1,3,2,1,7,7,0,38,26,12
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',31,0,31,26,0,26,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Natural resources and conservation.,'03',27,16,11,24,16,8,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Philosophy and religious studies.,'38',30,21,9,24,18,6,2,1,1,0,0,0,1,1,0,1,0,1,2,1,1,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Psychology.,'42',266,72,194,220,63,157,21,1,20,7,2,5,7,2,5,3,1,2,5,2,3,3,1,2
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',220,53,167,185,41,144,16,3,13,10,6,4,2,0,2,0,0,0,3,0,3,4,3,1
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Mathematics and statistics.,'27',41,23,18,35,20,15,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',36,14,22,23,9,14,6,1,5,2,1,1,2,1,1,0,0,0,3,2,1,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Social sciences.,'45',383,207,176,314,172,142,31,14,17,17,11,6,7,3,4,0,0,0,12,5,7,2,2,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Architecture and related services.,'04',102,41,61,93,40,53,2,0,2,1,0,1,3,1,2,0,0,0,2,0,2,1,0,1
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Computer and information sciences and support services.,'11',49,46,3,38,37,1,3,1,2,1,1,0,3,3,0,1,1,0,2,2,0,1,1,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,English language and literature/letters.,'23',261,82,179,210,63,147,26,10,16,9,4,5,3,0,3,0,0,0,12,4,8,1,1,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',100,5,95,86,5,81,6,0,6,2,0,2,3,0,3,0,0,0,2,0,2,1,0,1
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Physical sciences.,'40',50,29,21,44,26,18,2,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Visual and performing arts.,'50',154,59,95,121,46,75,2,2,0,4,2,2,5,2,3,0,0,0,11,2,9,11,5,6
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',906,499,407,773,439,334,41,18,23,19,10,9,30,16,14,0,0,0,19,5,14,24,11,13
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',48,12,36,41,10,31,0,0,0,4,1,3,0,0,0,0,0,0,3,1,2,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,History,'54',108,61,47,92,54,38,9,2,7,2,1,1,1,1,0,0,0,0,4,3,1,0,0,0
2006-2007,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',411,215,196,347,183,164,44,21,23,6,4,2,3,1,2,1,1,0,8,4,4,2,1,1
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',18,13,5,12,10,2,0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,2,0,2
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Education.,'13',7,0,7,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',37,15,22,26,10,16,0,0,0,5,2,3,5,2,3,0,0,0,1,1,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',25,1,24,14,1,13,3,0,3,1,0,1,4,0,4,0,0,0,1,0,1,2,0,2
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',22,19,3,16,15,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,2,1,1
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Public administration and social service professions.,'44',56,14,42,39,10,29,5,1,4,3,1,2,7,1,6,0,0,0,2,1,1,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',102,48,54,49,21,28,1,0,1,2,1,1,43,24,19,0,0,0,4,1,3,3,1,2
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',385,137,248,244,94,150,26,12,14,33,12,21,40,8,32,1,1,0,29,8,21,12,2,10
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',17,10,7,10,5,5,4,2,2,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',22,6,16,13,4,9,2,0,2,0,0,0,2,0,2,0,0,0,4,1,3,1,1,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Engineering.,'14',297,225,72,156,118,38,9,7,2,5,2,3,59,45,14,0,0,0,16,13,3,52,40,12
2006-2007,147767,Northwestern University,Bachelor's degree,First major,History,'54',93,45,48,71,38,33,1,0,1,2,0,2,13,5,8,0,0,0,6,2,4,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Mathematics and statistics.,'27',28,16,12,16,12,4,0,0,0,2,1,1,5,1,4,0,0,0,2,0,2,3,2,1
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Natural resources and conservation.,'03',13,10,3,8,6,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Social sciences.,'45',416,227,189,222,125,97,23,10,13,27,8,19,88,53,35,1,1,0,21,11,10,34,19,15
2006-2007,147767,Northwestern University,Bachelor's degree,First major,English language and literature/letters.,'23',69,20,49,48,13,35,1,1,0,2,1,1,11,3,8,1,0,1,6,2,4,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Legal professions and studies.,'22',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Philosophy and religious studies.,'38',29,21,8,20,15,5,0,0,0,0,0,0,8,5,3,0,0,0,1,1,0,0,0,0
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Physical sciences.,'40',34,22,12,22,17,5,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,7,3,4
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Psychology.,'42',174,43,131,106,25,81,7,3,4,13,2,11,32,10,22,0,0,0,11,3,8,5,0,5
2006-2007,147767,Northwestern University,Bachelor's degree,First major,Visual and performing arts.,'50',244,94,150,182,71,111,12,7,5,6,3,3,15,3,12,0,0,0,28,10,18,1,0,1
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',302,173,129,272,160,112,18,7,11,5,1,4,2,2,0,1,1,0,1,1,0,3,1,2
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Architecture and related services.,'04',98,58,40,81,48,33,2,1,1,4,3,1,4,2,2,1,1,0,1,0,1,5,3,2
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',51,10,41,26,0,26,22,9,13,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Biological and biomedical sciences.,'26',544,239,305,383,175,208,22,10,12,15,8,7,88,30,58,3,1,2,13,9,4,20,6,14
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',550,216,334,427,170,257,65,25,40,12,4,8,20,7,13,1,0,1,13,7,6,12,3,9
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Engineering technologies/technicians.,'15',3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1274,788,486,991,619,372,48,27,21,21,11,10,72,36,36,3,2,1,27,17,10,112,76,36
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',750,216,534,608,183,425,78,16,62,20,6,14,23,5,18,4,0,4,7,3,4,10,3,7
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,History,'54',214,161,53,194,145,49,5,4,1,4,3,1,4,4,0,2,1,1,5,4,1,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',32,15,17,22,11,11,4,4,0,1,0,1,1,0,1,0,0,0,4,0,4,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Transportation and materials moving.,'49',45,40,5,33,29,4,6,6,0,2,1,1,3,3,0,0,0,0,0,0,0,1,1,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Visual and performing arts.,'50',299,118,181,247,101,146,17,7,10,7,2,5,12,4,8,1,0,1,10,4,6,5,0,5
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',256,87,169,203,68,135,10,2,8,15,6,9,19,7,12,2,1,1,6,3,3,1,0,1
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',657,147,510,532,112,420,58,15,43,11,4,7,38,9,29,3,0,3,11,4,7,4,3,1
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Natural resources and conservation.,'03',74,34,40,73,34,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',64,49,15,54,44,10,5,3,2,1,1,0,0,0,0,0,0,0,1,0,1,3,1,2
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Psychology.,'42',461,128,333,356,100,256,53,15,38,10,4,6,29,7,22,3,0,3,5,2,3,5,0,5
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Education.,'13',231,85,146,204,78,126,7,3,4,1,0,1,11,4,7,1,0,1,5,0,5,2,0,2
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,English language and literature/letters.,'23',297,120,177,248,103,145,27,12,15,8,3,5,7,0,7,2,1,1,5,1,4,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Mathematics and statistics.,'27',58,40,18,48,32,16,1,0,1,1,1,0,2,2,0,0,0,0,4,4,0,2,1,1
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Philosophy and religious studies.,'38',46,39,7,40,33,7,0,0,0,2,2,0,3,3,0,0,0,0,1,1,0,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Social sciences.,'45',1229,679,550,889,516,373,139,53,86,47,20,27,63,28,35,5,5,0,38,22,16,48,35,13
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Computer and information sciences and support services.,'11',142,128,14,101,95,6,1,1,0,2,1,1,15,11,4,0,0,0,6,5,1,17,15,2
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Engineering.,'14',714,612,102,535,453,82,27,21,6,10,9,1,51,45,6,1,1,0,16,13,3,74,70,4
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',80,42,38,64,34,30,6,4,2,2,2,0,6,1,5,2,1,1,0,0,0,0,0,0
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Physical sciences.,'40',90,58,32,72,49,23,4,1,3,0,0,0,8,7,1,1,0,1,1,0,1,4,1,3
2006-2007,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Public administration and social service professions.,'44',82,8,74,58,4,54,9,2,7,4,1,3,5,0,5,2,1,1,4,0,4,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1033,601,432,791,463,328,42,22,20,26,18,8,17,11,6,107,63,44,0,0,0,50,24,26
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Computer and information sciences and support services.,'11',28,28,0,20,20,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,5,5,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Engineering technologies/technicians.,'15',102,97,5,85,80,5,3,3,0,2,2,0,0,0,0,8,8,0,0,0,0,4,4,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Engineering.,'14',279,222,57,222,181,41,6,2,4,4,3,1,11,5,6,12,10,2,0,0,0,24,21,3
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',271,19,252,215,13,202,6,1,5,5,1,4,3,1,2,34,1,33,0,0,0,8,2,6
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Mathematics and statistics.,'27',19,14,5,14,10,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,3,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Physical sciences.,'40',29,18,11,23,13,10,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Security and protective services.,'43',47,44,3,40,37,3,0,0,0,1,1,0,1,1,0,5,5,0,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Transportation and materials moving.,'49',65,59,6,54,49,5,1,1,0,2,2,0,2,2,0,3,2,1,0,0,0,3,3,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',190,56,134,156,46,110,8,3,5,6,1,5,1,0,1,16,5,11,0,0,0,3,1,2
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',113,26,87,91,22,69,5,2,3,4,1,3,0,0,0,11,1,10,0,0,0,2,0,2
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',74,31,43,60,21,39,3,3,0,1,0,1,1,1,0,9,6,3,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Architecture and related services.,'04',42,26,16,31,17,14,0,0,0,1,1,0,1,0,1,5,5,0,0,0,0,4,3,1
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',9,5,4,7,4,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Biological and biomedical sciences.,'26',219,96,123,174,76,98,4,2,2,5,1,4,5,5,0,25,11,14,0,0,0,6,1,5
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',22,9,13,18,9,9,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,1,0,1
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,History,'54',37,22,15,28,16,12,0,0,0,3,2,1,1,1,0,5,3,2,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',19,8,11,18,8,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Social sciences.,'45',191,87,104,152,67,85,9,5,4,5,2,3,2,2,0,20,11,9,0,0,0,3,0,3
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',313,166,147,272,146,126,2,1,1,6,3,3,0,0,0,29,15,14,0,0,0,4,1,3
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Education.,'13',310,101,209,274,81,193,7,6,1,3,2,1,1,1,0,21,9,12,0,0,0,4,2,2
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,English language and literature/letters.,'23',64,31,33,58,29,29,1,1,0,1,0,1,1,0,1,3,1,2,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Natural resources and conservation.,'03',11,9,2,9,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Philosophy and religious studies.,'38',7,6,1,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Psychology.,'42',131,34,97,106,29,77,4,2,2,2,0,2,2,0,2,11,1,10,0,0,0,6,2,4
2006-2007,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Visual and performing arts.,'50',87,39,48,72,32,40,4,2,2,2,1,1,2,1,1,6,3,3,0,0,0,1,0,1
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',505,319,186,403,245,158,1,1,0,23,20,3,39,29,10,3,2,1,20,13,7,16,9,7
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Education.,'13',48,14,34,42,12,30,0,0,0,1,0,1,1,0,1,0,0,0,4,2,2,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',176,78,98,111,53,58,3,1,2,9,6,3,40,14,26,4,2,2,5,2,3,4,0,4
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Visual and performing arts.,'50',113,47,66,96,41,55,0,0,0,3,1,2,4,1,3,0,0,0,9,4,5,1,0,1
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',207,100,107,179,86,93,0,0,0,6,3,3,2,2,0,2,0,2,11,6,5,7,3,4
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',97,87,10,70,64,6,1,1,0,2,1,1,9,8,1,1,1,0,8,8,0,6,4,2
2006-2007,209542,Oregon State University,Bachelor's degree,First major,English language and literature/letters.,'23',113,39,74,95,32,63,3,1,2,2,0,2,2,1,1,2,2,0,7,1,6,2,2,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',38,12,26,35,11,24,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',79,16,63,60,11,49,2,0,2,2,0,2,7,2,5,1,0,1,6,2,4,1,1,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,History,'54',44,33,11,38,27,11,0,0,0,1,1,0,2,2,0,2,2,0,1,1,0,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Natural resources and conservation.,'03',195,107,88,163,88,75,1,0,1,3,3,0,7,4,3,6,5,1,12,6,6,3,1,2
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Mathematics and statistics.,'27',23,15,8,18,10,8,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',129,69,60,105,56,49,1,0,1,3,2,1,13,7,6,1,1,0,3,1,2,3,2,1
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',17,12,5,13,10,3,0,0,0,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Social sciences.,'45',153,85,68,116,61,55,2,2,0,7,5,2,7,4,3,7,5,2,11,7,4,3,1,2
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',13,7,6,2,2,0,2,2,0,4,1,3,2,1,1,2,1,1,1,0,1,0,0,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',186,86,100,128,59,69,0,0,0,7,6,1,33,11,22,2,1,1,8,5,3,8,4,4
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Engineering.,'14',496,416,80,395,334,61,4,3,1,11,6,5,52,45,7,1,1,0,25,22,3,8,5,3
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',328,28,300,272,17,255,3,1,2,18,4,14,14,3,11,3,2,1,14,1,13,4,0,4
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',169,58,111,130,45,85,4,2,2,7,1,6,6,4,2,2,0,2,18,6,12,2,0,2
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Physical sciences.,'40',59,40,19,50,32,18,0,0,0,2,2,0,3,2,1,0,0,0,3,3,0,1,1,0
2006-2007,209542,Oregon State University,Bachelor's degree,First major,Psychology.,'42',106,38,68,85,28,57,0,0,0,5,3,2,6,3,3,0,0,0,9,4,5,1,0,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',131,46,85,75,24,51,24,10,14,11,3,8,15,8,7,0,0,0,5,1,4,1,0,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Mathematics and statistics.,'27',82,48,34,39,26,13,4,1,3,4,2,2,29,15,14,0,0,0,5,4,1,1,0,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',94,31,63,75,28,47,3,0,3,6,1,5,8,2,6,0,0,0,2,0,2,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',445,234,211,211,127,84,36,14,22,20,5,15,146,78,68,0,0,0,13,4,9,19,6,13
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Computer and information sciences and support services.,'11',155,120,35,87,73,14,13,9,4,11,6,5,31,23,8,0,0,0,7,6,1,6,3,3
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Education.,'13',169,103,66,114,73,41,18,12,6,10,4,6,21,10,11,0,0,0,6,4,2,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',114,25,89,67,17,50,8,3,5,22,1,21,8,0,8,0,0,0,8,4,4,1,0,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',58,11,47,14,2,12,16,2,14,9,2,7,16,5,11,1,0,1,2,0,2,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,History,'54',284,173,111,210,131,79,18,10,8,19,11,8,21,12,9,0,0,0,15,8,7,1,1,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Natural resources and conservation.,'03',62,25,37,48,23,25,5,0,5,3,2,1,4,0,4,0,0,0,2,0,2,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Philosophy and religious studies.,'38',86,47,39,59,33,26,3,1,2,6,3,3,14,8,6,1,0,1,3,2,1,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Architecture and related services.,'04',36,21,15,30,20,10,0,0,0,3,1,2,2,0,2,0,0,0,1,0,1,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Biological and biomedical sciences.,'26',555,230,325,221,101,120,37,7,30,38,16,22,225,94,131,1,0,1,18,9,9,15,3,12
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Engineering.,'14',440,364,76,187,168,19,38,23,15,30,23,7,142,117,25,0,0,0,13,12,1,30,21,9
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,English language and literature/letters.,'23',277,84,193,198,56,142,18,7,11,14,5,9,26,6,20,0,0,0,21,10,11,0,0,0
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',535,164,371,337,116,221,44,11,33,41,8,33,76,19,57,3,1,2,29,7,22,5,2,3
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',49,7,42,34,6,28,2,0,2,4,1,3,8,0,8,0,0,0,0,0,0,1,0,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Physical sciences.,'40',85,51,34,49,31,18,5,3,2,4,3,1,18,8,10,0,0,0,7,5,2,2,1,1
2006-2007,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Psychology.,'42',537,142,395,335,90,245,34,7,27,50,18,32,85,21,64,0,0,0,28,4,24,5,2,3
