"","Year","ID_School","Graduates"
"115","1985-1986","ORE",2291
"116","1985-1986","ORE.ST",2821
"117","1985-1986","OSU",6664
"118","1985-1986","RUT",4906
"119","1985-1986","SCAR",2911
"120","1985-1986","SJ.ST",3458
"121","1985-1986","SMU",1458
"122","1985-1986","STAN",1649
"123","1985-1986","TAM",6141
"124","1985-1986","UGA",3835
"125","1985-1986","UM",5024
"126","1985-1986","UNC",3017
"127","1985-1986","UOFM",1610
"128","1985-1986","USC",2754
"129","1985-1986","UT",6863
"130","1985-1986","UTA.ST",1465
"131","1985-1986","VANDY",1209
"132","1986-1987","AUB",3298
"133","1986-1987","BAMA",2247
"134","1986-1987","BOS.ST",855
"135","1986-1987","CLEM",2099
"136","1986-1987","DUKE",1654
"137","1986-1987","FLA",5260
"138","1986-1987","FSU",3360
"139","1986-1987","GTOWN",1399
"140","1986-1987","KAN.ST",2672
"141","1986-1987","LOUIS",1554
"142","1986-1987","LSU",3173
"143","1986-1987","ND",1863
"144","1986-1987","NEB",2937
"145","1986-1987","NWST",2025
"146","1986-1987","OK",2455
"147","1986-1987","OKSTATE",3137
"148","1986-1987","ORE",2274
"149","1986-1987","ORE.ST",2808
"150","1986-1987","OSU",6853
"151","1986-1987","RUT",5148
"152","1986-1987","SCAR",2910
"153","1986-1987","SJ.ST",3470
"154","1986-1987","SMU",1401
"155","1986-1987","STAN",1628
"156","1986-1987","TAM",6064
"157","1986-1987","UGA",3871
"158","1986-1987","UM",4981
"159","1986-1987","UNC",3272
"160","1986-1987","UOFM",1813
"161","1986-1987","USC",2774
"162","1986-1987","UT",6751
"163","1986-1987","UTA.ST",1576
"164","1986-1987","VANDY",1245
"165","1987-1988","AUB",3437
"166","1987-1988","BAMA",2000
"167","1987-1988","BOS.ST",820
"168","1987-1988","CLEM",1927
"169","1987-1988","DUKE",1587
"170","1987-1988","FLA",5001
"171","1987-1988","GTOWN",1437
"172","1987-1988","KAN.ST",2570
"173","1987-1988","LOUIS",1686
"174","1987-1988","LSU",3095
"175","1987-1988","ND",1888
"176","1987-1988","NEB",2770
"177","1987-1988","NWST",1938
"178","1987-1988","OK",2318
"179","1987-1988","OKSTATE",2713
"180","1987-1988","ORE",2476
"181","1987-1988","ORE.ST",2636
"182","1987-1988","OSU",6749
"183","1987-1988","RUT",4866
"184","1987-1988","SCAR",2818
"185","1987-1988","SJ.ST",3196
"186","1987-1988","SMU",1449
"187","1987-1988","STAN",1786
"188","1987-1988","TAM",5809
"189","1987-1988","UGA",3810
"190","1987-1988","UM",4995
"191","1987-1988","UNC",3196
"192","1987-1988","UOFM",1933
"193","1987-1988","USC",2774
"194","1987-1988","UT",6708
"195","1987-1988","UTA.ST",1476
"196","1987-1988","VANDY",1187
"197","1988-1999","AUB",3571
"198","1988-1999","BAMA",2135
"199","1988-1999","BOS.ST",807
"200","1988-1999","CLEM",2099
"201","1988-1999","DUKE",1596
"202","1988-1999","FLA",5394
"203","1988-1999","FSU",4008
"204","1988-1999","GTOWN",1502
"205","1988-1999","KAN.ST",2588
"206","1988-1999","LOUIS",1697
"207","1988-1999","LSU",3149
"208","1988-1999","ND",1888
"209","1988-1999","NEB",2783
"210","1988-1999","NWST",1983
"211","1988-1999","OK",2219
"212","1988-1999","OKSTATE",2872
"213","1988-1999","ORE",2643
"214","1988-1999","ORE.ST",2620
"215","1988-1999","OSU",6717
"216","1988-1999","RUT",5234
"217","1988-1999","SCAR",2910
"218","1988-1999","SJ.ST",3408
"219","1988-1999","SMU",1352
"220","1988-1999","STAN",1621
"221","1988-1999","TAM",5892
"222","1988-1999","UGA",3822
"223","1988-1999","UM",5356
"224","1988-1999","UNC",3527
"225","1988-1999","UOFM",1708
"226","1988-1999","USC",3119
"227","1988-1999","UT",6725
"228","1988-1999","UTA.ST",1348
"229","1988-1999","VANDY",1193
"230","1989-1990","AUB",3513
"231","1989-1990","BAMA",2404
"232","1989-1990","BOS.ST",909
"233","1989-1990","CLEM",2063
"234","1989-1990","DUKE",1612
"235","1989-1990","FLA",5431
"236","1989-1990","FSU",4395
"237","1989-1990","GTOWN",1417
"238","1989-1990","KAN.ST",2474
"239","1989-1990","LOUIS",1654
"240","1989-1990","LSU",3087
"241","1989-1990","ND",1931
"242","1989-1990","NEB",2729
"243","1989-1990","NWST",1946
"244","1989-1990","OK",2455
"245","1989-1990","OKSTATE",2792
"246","1989-1990","ORE",2770
"247","1989-1990","ORE.ST",2691
"248","1989-1990","OSU",6983
"249","1989-1990","RUT",5415
"250","1989-1990","SCAR",2919
"251","1989-1990","SJ.ST",3452
"252","1989-1990","SMU",1180
"253","1989-1990","STAN",1693
"254","1989-1990","TAM",6321
"255","1989-1990","UGA",4043
"256","1989-1990","UM",5601
"257","1989-1990","UNC",3591
"258","1989-1990","UOFM",1742
"259","1989-1990","USC",3119
"260","1989-1990","UT",7146
"261","1989-1990","UTA.ST",1437
"262","1989-1990","VANDY",1174
"263","1990-1991","AUB",3879
"264","1990-1991","BAMA",2650
"265","1990-1991","BOS.ST",918
"266","1990-1991","CLEM",2330
"267","1990-1991","DUKE",1566
"268","1990-1991","FLA",5498
"269","1990-1991","FSU",4842
"270","1990-1991","GTOWN",1438
"271","1990-1991","KAN.ST",2685
"272","1990-1991","LOUIS",1859
"273","1990-1991","LSU",3057
"274","1990-1991","ND",1908
"275","1990-1991","NEB",2766
"276","1990-1991","NWST",2068
"277","1990-1991","OK",2407
"278","1990-1991","OKSTATE",2665
"279","1990-1991","ORE",2656
"280","1990-1991","ORE.ST",2917
"281","1990-1991","OSU",6844
"282","1990-1991","RUT",5109
"283","1990-1991","SCAR",3049
"284","1990-1991","SJ.ST",3677
"285","1990-1991","SMU",1289
"286","1990-1991","STAN",1470
"287","1990-1991","TAM",6744
"288","1990-1991","UGA",4329
"289","1990-1991","UM",5477
"290","1990-1991","UNC",3538
"291","1990-1991","UOFM",1820
"292","1990-1991","USC",3181
"293","1990-1991","UT",7492
"294","1990-1991","UTA.ST",1501
"295","1990-1991","VANDY",1169
"296","1991-1992","AUB",4193
"297","1991-1992","BAMA",2957
"298","1991-1992","BOS.ST",997
"299","1991-1992","CLEM",2602
"300","1991-1992","DUKE",1465
"301","1991-1992","FLA",5459
"302","1991-1992","FSU",5587
"303","1991-1992","GTOWN",1468
"304","1991-1992","KAN.ST",3013
"305","1991-1992","LOUIS",1951
"306","1991-1992","LSU",3189
"307","1991-1992","ND",1876
"308","1991-1992","NEB",2965
"309","1991-1992","NWST",1956
"310","1991-1992","OK",2490
"311","1991-1992","OKSTATE",2692
"312","1991-1992","ORE",2998
"313","1991-1992","ORE.ST",2927
"314","1991-1992","OSU",7214
"315","1991-1992","RUT",5232
"316","1991-1992","SCAR",3062
"317","1991-1992","SJ.ST",4012
"318","1991-1992","SMU",1295
"319","1991-1992","STAN",1669
"320","1991-1992","TAM",6929
"321","1991-1992","UGA",4363
"322","1991-1992","UM",5341
"323","1991-1992","UNC",3655
"324","1991-1992","UOFM",1824
"325","1991-1992","USC",3217
"326","1991-1992","UT",7666
"327","1991-1992","UTA.ST",1653
"328","1991-1992","VANDY",1238
"329","1992-1993","AUB",3991
"330","1992-1993","BAMA",2930
"331","1992-1993","BOS.ST",1120
"332","1992-1993","CLEM",2698
"333","1992-1993","DUKE",1287
"334","1992-1993","FLA",5147
"335","1992-1993","FSU",5279
"336","1992-1993","GTOWN",1345
"337","1992-1993","KAN.ST",3087
"338","1992-1993","LOUIS",1918
"339","1992-1993","LSU",3029
"340","1992-1993","ND",1750
"341","1992-1993","NEB",2932
"342","1992-1993","NWST",1767
"343","1992-1993","OK",2327
"344","1992-1993","OKSTATE",2631
"345","1992-1993","ORE",2667
"346","1992-1993","ORE.ST",2520
"347","1992-1993","OSU",7522
"348","1992-1993","RUT",4789
"349","1992-1993","SCAR",3052
"350","1992-1993","SJ.ST",4206
"351","1992-1993","SMU",1305
"352","1992-1993","STAN",1612
"353","1992-1993","TAM",6233
"354","1992-1993","UGA",4367
"355","1992-1993","UM",4947
"356","1992-1993","UNC",3119
"357","1992-1993","UOFM",1737
"358","1992-1993","USC",3052
"359","1992-1993","UT",7368
"360","1992-1993","UTA.ST",1771
"361","1992-1993","VANDY",1111
"362","1993-1994","AUB",3990
"363","1993-1994","BAMA",3043
"364","1993-1994","BOS.ST",1205
"365","1993-1994","CLEM",2715
"366","1993-1994","DUKE",1648
"367","1993-1994","FLA",5651
"368","1993-1994","FSU",5368
"369","1993-1994","GTOWN",1546
"370","1993-1994","KAN.ST",3159
"371","1993-1994","LOUIS",1919
"372","1993-1994","LSU",3154
"373","1993-1994","ND",1880
"374","1993-1994","NEB",3073
"375","1993-1994","NWST",1872
"376","1993-1994","OK",2286
"377","1993-1994","OKSTATE",2762
"378","1993-1994","ORE",2923
"379","1993-1994","ORE.ST",2598
"380","1993-1994","OSU",7182
"381","1993-1994","RUT",5225
"382","1993-1994","SCAR",3182
"383","1993-1994","SJ.ST",4271
"384","1993-1994","SMU",1219
"385","1993-1994","STAN",1747
"386","1993-1994","TAM",6933
"387","1993-1994","UGA",4939
"388","1993-1994","UM",5487
"389","1993-1994","UNC",3610
"390","1993-1994","UOFM",1851
"391","1993-1994","USC",3194
"392","1993-1994","UT",7497
"393","1993-1994","UTA.ST",1954
"394","1993-1994","VANDY",1223
"395","1994-1995","AUB",3527
"396","1994-1995","BAMA",2785
"397","1994-1995","BOS.ST",1252
"398","1994-1995","CLEM",2537
"399","1994-1995","DUKE",1494
"400","1994-1995","FLA",5707
"401","1994-1995","FSU",5225
"402","1994-1995","GTOWN",1562
"403","1994-1995","KAN.ST",3024
"404","1994-1995","LOUIS",1766
"405","1994-1995","LSU",3149
"406","1994-1995","ND",1915
"407","1994-1995","NEB",2890
"408","1994-1995","NWST",1968
"409","1994-1995","OK",2328
"410","1994-1995","OKSTATE",2560
"411","1994-1995","ORE",2871
"412","1994-1995","ORE.ST",2497
"413","1994-1995","OSU",7017
"414","1994-1995","RUT",5028
"415","1994-1995","SCAR",2904
"416","1994-1995","SJ.ST",3975
"417","1994-1995","SMU",1183
"418","1994-1995","STAN",1615
"419","1994-1995","TAM",7081
"420","1994-1995","UGA",4714
"421","1994-1995","UM",4981
"422","1994-1995","UNC",3506
"423","1994-1995","UOFM",1809
"424","1994-1995","USC",3388
"425","1994-1995","UT",7189
"426","1994-1995","UTA.ST",2200
"427","1994-1995","VANDY",1720
"428","1995-1996","AUB",3586
"429","1995-1996","BAMA",2684
"430","1995-1996","BOS.ST",1264
"431","1995-1996","CLEM",2501
"432","1995-1996","DUKE",1560
"433","1995-1996","FLA",6087
"434","1995-1996","FSU",5279
"435","1995-1996","GTOWN",1593
"436","1995-1996","KAN.ST",2895
"437","1995-1996","LOUIS",1818
"438","1995-1996","LSU",3005
"439","1995-1996","ND",1943
"440","1995-1996","NEB",2834
"441","1995-1996","NWST",1955
"442","1995-1996","OK",2235
"443","1995-1996","OKSTATE",2303
"444","1995-1996","ORE",2857
"445","1995-1996","ORE.ST",2379
"446","1995-1996","OSU",6632
"447","1995-1996","RUT",5040
"448","1995-1996","SCAR",2961
"449","1995-1996","SJ.ST",3816
"450","1995-1996","SMU",1267
"451","1995-1996","STAN",1719
"452","1995-1996","TAM",7131
"453","1995-1996","UGA",4733
"454","1995-1996","UM",5413
"455","1995-1996","UNC",3620
"456","1995-1996","UOFM",1782
"457","1995-1996","USC",3388
"458","1995-1996","UT",7136
"459","1995-1996","UTA.ST",2315
"460","1995-1996","VANDY",1296
"461","1996-1997","AUB",3672
"462","1996-1997","BAMA",2683
"463","1996-1997","BOS.ST",1244
"464","1996-1997","CLEM",2489
"465","1996-1997","DUKE",1517
"466","1996-1997","FLA",6659
"467","1996-1997","FSU",5428
"468","1996-1997","GTOWN",1601
"469","1996-1997","KAN.ST",3078
"470","1996-1997","LOUIS",1836
"471","1996-1997","LSU",2978
"472","1996-1997","ND",2030
"473","1996-1997","NEB",2851
"474","1996-1997","NWST",2054
"475","1996-1997","OK",2603
"476","1996-1997","OKSTATE",2760
"477","1996-1997","ORE",3011
"478","1996-1997","ORE.ST",2286
"479","1996-1997","OSU",6464
"480","1996-1997","RUT",5061
"481","1996-1997","SCAR",3054
"482","1996-1997","SJ.ST",4090
"483","1996-1997","SMU",1277
"484","1996-1997","STAN",1704
"485","1996-1997","TAM",7158
"486","1996-1997","UGA",4678
"487","1996-1997","UM",5284
"488","1996-1997","UNC",3537
"489","1996-1997","UOFM",1705
"490","1996-1997","UT",7005
"491","1996-1997","UTA.ST",2442
"492","1996-1997","VANDY",1322
"493","1997-1998","AUB",3735
"494","1997-1998","BAMA",2677
"495","1997-1998","BOS.ST",1332
"496","1997-1998","CLEM",2474
"497","1997-1998","DUKE",1644
"498","1997-1998","FLA",6653
"499","1997-1998","FSU",5515
"500","1997-1998","GTOWN",1657
"501","1997-1998","KAN.ST",3104
"502","1997-1998","LOUIS",1694
"503","1997-1998","LSU",3122
"504","1997-1998","ND",1943
"505","1997-1998","NEB",2940
"506","1997-1998","NWST",2002
"507","1997-1998","OK",2546
"508","1997-1998","OKSTATE",2623
"509","1997-1998","ORE",3128
"510","1997-1998","ORE.ST",2341
"511","1997-1998","OSU",6371
"512","1997-1998","RUT",5286
"513","1997-1998","SCAR",2932
"514","1997-1998","SJ.ST",4028
"515","1997-1998","SMU",1282
"516","1997-1998","STAN",1694
"517","1997-1998","TAM",7325
"518","1997-1998","UGA",5243
"519","1997-1998","UM",5264
"520","1997-1998","UNC",3669
"521","1997-1998","UOFM",1657
"522","1997-1998","USC",3675
"523","1997-1998","UT",7648
"524","1997-1998","UTA.ST",2583
"525","1997-1998","VANDY",1400
"526","1998-1999","AUB",3921
"527","1998-1999","BAMA",2743
"528","1998-1999","BOS.ST",1359
"529","1998-1999","CLEM",2528
"530","1998-1999","DUKE",1575
"531","1998-1999","FLA",6684
"532","1998-1999","FSU",5554
"533","1998-1999","GTOWN",1649
"534","1998-1999","KAN.ST",3178
"535","1998-1999","LOUIS",1732
"536","1998-1999","LSU",3451
"537","1998-1999","ND",1920
"538","1998-1999","NEB",2876
"539","1998-1999","NWST",2040
"540","1998-1999","OK",2622
"541","1998-1999","OKSTATE",4905
"542","1998-1999","ORE",2959
"543","1998-1999","ORE.ST",2499
"544","1998-1999","OSU",6819
"545","1998-1999","RUT",5263
"546","1998-1999","SCAR",2865
"547","1998-1999","SJ.ST",4099
"548","1998-1999","SMU",1424
"549","1998-1999","STAN",1687
"550","1998-1999","TAM",7226
"551","1998-1999","UGA",5225
"552","1998-1999","UM",5124
"553","1998-1999","UNC",3407
"554","1998-1999","UOFM",1769
"555","1998-1999","USC",3502
"556","1998-1999","UT",7932
"557","1998-1999","UTA.ST",2726
"558","1998-1999","VANDY",1407
"559","1999-2000","AUB",4182
"560","1999-2000","BAMA",2569
"561","1999-2000","BOS.ST",1400
"562","1999-2000","CLEM",2554
"563","1999-2000","DUKE",1599
"564","1999-2000","FLA",7654
"565","1999-2000","FSU",5342
"566","1999-2000","GTOWN",1564
"567","1999-2000","KAN.ST",3154
"568","1999-2000","LOUIS",1750
"569","1999-2000","LSU",3830
"570","1999-2000","ND",2001
"571","1999-2000","NEB",3115
"572","1999-2000","NWST",2007
"573","1999-2000","OK",2748
"574","1999-2000","OKSTATE",2836
"575","1999-2000","ORE",3066
"576","1999-2000","ORE.ST",2599
"577","1999-2000","OSU",6746
"578","1999-2000","RUT",5601
"579","1999-2000","SCAR",2973
"580","1999-2000","SJ.ST",3956
"581","1999-2000","SMU",1246
"582","1999-2000","STAN",1737
"583","1999-2000","TAM",7512
"584","1999-2000","UGA",4867
"585","1999-2000","UM",5603
"586","1999-2000","UNC",3387
"587","1999-2000","UOFM",1740
"588","1999-2000","USC",3814
"589","1999-2000","UT",7826
"590","1999-2000","UTA.ST",2648
"591","1999-2000","VANDY",1369
"592","2000-2001","AUB",3875
"593","2000-2001","BAMA",2577
"594","2000-2001","BOS.ST",1374
"595","2000-2001","CLEM",2726
"596","2000-2001","DUKE",1589
"597","2000-2001","FLA",7663
"598","2000-2001","FSU",5470
"599","2000-2001","GTOWN",1619
"600","2000-2001","KAN.ST",3280
"601","2000-2001","LOUIS",1819
"602","2000-2001","LSU",4025
"603","2000-2001","ND",1954
"604","2000-2001","NEB",2997
"605","2000-2001","NWST",2001
"606","2000-2001","OK",2738
"607","2000-2001","OKSTATE",2978
"608","2000-2001","ORE",2894
"609","2000-2001","ORE.ST",2510
"610","2000-2001","OSU",7306
"611","2000-2001","RUT",5493
"612","2000-2001","SCAR",3181
"613","2000-2001","SJ.ST",3951
"614","2000-2001","SMU",1179
"615","2000-2001","STAN",1676
"616","2000-2001","TAM",7493
"617","2000-2001","UGA",4871
"618","2000-2001","UM",5606
"619","2000-2001","UNC",3407
"620","2000-2001","UOFM",1750
"621","2000-2001","USC",3746
"622","2000-2001","UT",7655
"623","2000-2001","UTA.ST",2644
"624","2000-2001","VANDY",1302
"625","2001-2002","AUB",3625
"626","2001-2002","BAMA",2685
"627","2001-2002","BOS.ST",1455
"628","2001-2002","CLEM",2809
"629","2001-2002","DUKE",1579
"630","2001-2002","FLA",7775
"631","2001-2002","FSU",5912
"632","2001-2002","GTOWN",1666
"633","2001-2002","KAN.ST",3369
"634","2001-2002","LOUIS",1851
"635","2001-2002","LSU",4401
"636","2001-2002","ND",1985
"637","2001-2002","NEB",2897
"638","2001-2002","NWST",1978
"639","2001-2002","OK",2892
"640","2001-2002","OKSTATE",3001
"641","2001-2002","ORE",2903
"642","2001-2002","ORE.ST",2670
"643","2001-2002","OSU",7350
"644","2001-2002","RUT",5778
"645","2001-2002","SCAR",3164
"646","2001-2002","SJ.ST",4072
"647","2001-2002","SMU",1260
"648","2001-2002","STAN",1692
"649","2001-2002","TAM",7698
"650","2001-2002","UGA",5429
"651","2001-2002","UM",5720
"652","2001-2002","UNC",3560
"653","2001-2002","UOFM",1912
"654","2001-2002","USC",3866
"655","2001-2002","UT",7866
"656","2001-2002","UTA.ST",2582
"657","2001-2002","VANDY",1393
"658","2002-2003","AUB",3688
"659","2002-2003","BAMA",2892
"660","2002-2003","BOS.ST",1905
"661","2002-2003","CLEM",3004
"662","2002-2003","DUKE",1502
"663","2002-2003","FLA",7975
"664","2002-2003","FSU",6335
"665","2002-2003","GTOWN",1636
"666","2002-2003","KAN.ST",3387
"667","2002-2003","LOUIS",1825
"668","2002-2003","LSU",4429
"669","2002-2003","ND",2111
"670","2002-2003","NEB",2980
"671","2002-2003","NWST",2084
"672","2002-2003","OK",3009
"673","2002-2003","OKSTATE",3223
"674","2002-2003","ORE",3277
"675","2002-2003","ORE.ST",2944
"676","2002-2003","OSU",7903
"677","2002-2003","RUT",5841
"678","2002-2003","SCAR",3054
"679","2002-2003","SJ.ST",3867
"680","2002-2003","SMU",1430
"681","2002-2003","STAN",1788
"682","2002-2003","TAM",8285
"683","2002-2003","UGA",5741
"684","2002-2003","UM",5939
"685","2002-2003","UNC",3741
"686","2002-2003","UOFM",2053
"687","2002-2003","USC",4053
"688","2002-2003","UT",8397
"689","2002-2003","UTA.ST",2412
"690","2002-2003","VANDY",1552
"691","2003-2004","AUB",3917
"692","2003-2004","BAMA",3024
"693","2003-2004","BOS.ST",1308
"694","2003-2004","CLEM",3020
"695","2003-2004","DUKE",1539
"696","2003-2004","FLA",8574
"697","2003-2004","FSU",6578
"698","2003-2004","GTOWN",1670
"699","2003-2004","KAN.ST",3371
"700","2003-2004","LOUIS",1890
"701","2003-2004","LSU",4312
"702","2003-2004","ND",2052
"703","2003-2004","NEB",3119
"704","2003-2004","NWST",1999
"705","2003-2004","OK",3282
"706","2003-2004","OKSTATE",3388
"707","2003-2004","ORE",3335
"708","2003-2004","ORE.ST",3078
"709","2003-2004","OSU",8288
"710","2003-2004","RUT",5734
"711","2003-2004","SCAR",2991
"712","2003-2004","SJ.ST",3854
"713","2003-2004","SMU",1397
"714","2003-2004","STAN",1713
"715","2003-2004","TAM",7914
"716","2003-2004","UGA",5769
"717","2003-2004","UM",5923
"718","2003-2004","UNC",3715
"719","2003-2004","UOFM",2155
"720","2003-2004","USC",4344
"721","2003-2004","UT",8917
"722","2003-2004","UTA.ST",2363
"723","2003-2004","VANDY",1514
"724","2004-2005","AUB",3917
"725","2004-2005","BAMA",2931
"726","2004-2005","BOS.ST",1642
"727","2004-2005","CLEM",3005
"728","2004-2005","DUKE",1448
"729","2004-2005","FLA",8417
"730","2004-2005","FSU",6856
"731","2004-2005","GTOWN",1679
"732","2004-2005","KAN.ST",3612
"733","2004-2005","LOUIS",2148
"734","2004-2005","LSU",4449
"735","2004-2005","ND",2167
"736","2004-2005","NEB",3267
"737","2004-2005","NWST",2083
"738","2004-2005","OK",3637
"739","2004-2005","OKSTATE",3549
"740","2004-2005","ORE",3570
"741","2004-2005","ORE.ST",3177
"742","2004-2005","OSU",8124
"743","2004-2005","RUT",5948
"744","2004-2005","SCAR",3260
"745","2004-2005","SJ.ST",4259
"746","2004-2005","SMU",1491
"747","2004-2005","STAN",1790
"748","2004-2005","TAM",7711
"749","2004-2005","UGA",6160
"750","2004-2005","UM",5880
"751","2004-2005","UNC",3888
"752","2004-2005","UOFM",2392
"753","2004-2005","USC",4139
"754","2004-2005","UT",8836
"755","2004-2005","UTA.ST",2609
"756","2004-2005","VANDY",1519
"757","2005-2006","AUB",4032
"758","2005-2006","BAMA",2815
"759","2005-2006","BOS.ST",1748
"760","2005-2006","CLEM",2957
"761","2005-2006","DUKE",1469
"762","2005-2006","FLA",8255
"763","2005-2006","FSU",6938
"764","2005-2006","GTOWN",1705
"765","2005-2006","KAN.ST",3444
"766","2005-2006","LOUIS",2253
"767","2005-2006","LSU",4385
"768","2005-2006","ND",2072
"769","2005-2006","NEB",3187
"770","2005-2006","NWST",2097
"771","2005-2006","OK",3873
"772","2005-2006","OKSTATE",3698
"773","2005-2006","ORE",3704
"774","2005-2006","ORE.ST",3351
"775","2005-2006","OSU",8384
"776","2005-2006","RUT",5774
"777","2005-2006","SCAR",3571
"778","2005-2006","SJ.ST",4257
"779","2005-2006","SMU",1583
"780","2005-2006","STAN",1756
"781","2005-2006","TAM",8163
"782","2005-2006","UGA",6060
"783","2005-2006","UM",5614
"784","2005-2006","UNC",3773
"785","2005-2006","UOFM",2452
"786","2005-2006","USC",4269
"787","2005-2006","UT",8942
"788","2005-2006","UTA.ST",3230
"789","2005-2006","VANDY",1499
"790","2006-2007","AUB",3799
"791","2006-2007","BAMA",3131
"792","2006-2007","BOS.ST",1829
"793","2006-2007","CLEM",2946
"794","2006-2007","DUKE",1530
"795","2006-2007","FLA",8568
"796","2006-2007","FSU",7189
"797","2006-2007","GTOWN",1674
"798","2006-2007","KAN.ST",3550
"799","2006-2007","LOUIS",2328
"800","2006-2007","LSU",4617
"801","2006-2007","ND",2073
"802","2006-2007","NEB",3217
"803","2006-2007","NWST",2089
"804","2006-2007","OK",3888
"805","2006-2007","OKSTATE",3712
"806","2006-2007","ORE",3721
"807","2006-2007","ORE.ST",3294
"808","2006-2007","OSU",8643
"809","2006-2007","RUT",5569
"810","2006-2007","SCAR",3725
"811","2006-2007","SJ.ST",4043
"812","2006-2007","SMU",1661
"813","2006-2007","STAN",1709
"814","2006-2007","TAM",8132
"815","2006-2007","UGA",6203
"816","2006-2007","UM",5941
"817","2006-2007","UNC",3787
"818","2006-2007","UOFM",2460
"819","2006-2007","USC",4676
"820","2006-2007","UT",8521
"821","2006-2007","UTA.ST",2853
"822","2006-2007","VANDY",1468
"823","2007-2008","AUB",3763
"824","2007-2008","BAMA",3398
"825","2007-2008","BOS.ST",1840
"826","2007-2008","CLEM",3075
"827","2007-2008","DUKE",1505
"828","2007-2008","FLA",8737
"829","2007-2008","FSU",7615
"830","2007-2008","GTOWN",1730
"831","2007-2008","KAN.ST",3450
"832","2007-2008","LOUIS",2298
"833","2007-2008","LSU",4600
"834","2007-2008","ND",2087
"835","2007-2008","NEB",3246
"836","2007-2008","NWST",2037
