"","Year","ID_School","Graduates"
"1","1979-1980","AUB",3177
"2","1979-1980","BAMA",2317
"3","1979-1980","BOS.ST",707
"4","1979-1980","CLEM",1793
"5","1979-1980","DUKE",1583
"6","1979-1980","FLA",5040
"7","1979-1980","FSU",3631
"8","1979-1980","GTOWN",1322
"9","1979-1980","KAN.ST",2655
"10","1979-1980","LOUIS",1326
"11","1979-1980","LSU",2743
"12","1979-1980","ND",1697
"13","1979-1980","NEB",2629
"14","1979-1980","NWST",1707
"15","1979-1980","OK",2199
"16","1979-1980","OKSTATE",2993
"17","1979-1980","ORE",2263
"18","1979-1980","ORE.ST",2668
"19","1979-1980","OSU",6496
"20","1979-1980","PENNSTATE",7655
"21","1979-1980","RUT",4528
"22","1979-1980","SCAR",2825
"23","1979-1980","SJ.ST",4104
"24","1979-1980","SMU",1201
"25","1979-1980","STAN",1640
"26","1979-1980","TAM",5102
"27","1979-1980","UGA",3713
"28","1979-1980","UM",4845
"29","1979-1980","UNC",3064
"30","1979-1980","UOFM",1782
"31","1979-1980","USC",2428
"32","1979-1980","UT",6594
"33","1979-1980","UTA.ST",1374
"34","1979-1980","VANDY",1338
"35","1983-1984","AUB",3070
"36","1983-1984","BAMA",2510
"37","1983-1984","BOS.ST",840
"38","1983-1984","CLEM",1867
"39","1983-1984","DUKE",1560
"40","1983-1984","FLA",4670
"41","1983-1984","GTOWN",1280
"42","1983-1984","KAN.ST",2817
"43","1983-1984","LOUIS",1441
"44","1983-1984","LSU",3234
"45","1983-1984","ND",1858
"46","1983-1984","NEB",2882
"47","1983-1984","NWST",1833
"48","1983-1984","OK",2357
"49","1983-1984","OKSTATE",2920
"50","1983-1984","ORE",2447
"51","1983-1984","ORE.ST",2870
"52","1983-1984","OSU",6874
"53","1983-1984","RUT",4358
"54","1983-1984","SCAR",3050
"55","1983-1984","SJ.ST",3614
"56","1983-1984","SMU",1334
"57","1983-1984","STAN",1637
"58","1983-1984","TAM",5874
"59","1983-1984","UGA",3417
"60","1983-1984","UM",5337
"61","1983-1984","UNC",3178
"62","1983-1984","UOFM",1722
"63","1983-1984","USC",2797
"64","1983-1984","UT",6993
"65","1983-1984","UTA.ST",1473
"66","1983-1984","VANDY",1167
"67","1984-1985","AUB",3148
"68","1984-1985","BAMA",2448
"69","1984-1985","BOS.ST",821
"70","1984-1985","CLEM",2099
"71","1984-1985","DUKE",1471
"72","1984-1985","FLA",5332
"73","1984-1985","FSU",3645
"74","1984-1985","GTOWN",1427
"75","1984-1985","KAN.ST",2881
"76","1984-1985","LOUIS",1410
"77","1984-1985","LSU",3344
"78","1984-1985","ND",1857
"79","1984-1985","NEB",3024
"80","1984-1985","NWST",1944
"81","1984-1985","OK",2403
"82","1984-1985","OKSTATE",3271
"83","1984-1985","ORE",2287
"84","1984-1985","ORE.ST",2910
"85","1984-1985","OSU",6885
"86","1984-1985","RUT",4669
"87","1984-1985","SCAR",2914
"88","1984-1985","SJ.ST",3518
"89","1984-1985","SMU",1401
"90","1984-1985","STAN",1637
"91","1984-1985","TAM",6233
"92","1984-1985","UGA",4075
"93","1984-1985","UM",4976
"94","1984-1985","UNC",3189
"95","1984-1985","UOFM",1717
"96","1984-1985","USC",2797
"97","1984-1985","UT",6958
"98","1984-1985","UTA.ST",1496
"99","1984-1985","VANDY",1206
"100","1985-1986","AUB",3163
"101","1985-1986","BAMA",2263
"102","1985-1986","BOS.ST",835
"103","1985-1986","CLEM",2160
"104","1985-1986","DUKE",1570
"105","1985-1986","FLA",5645
"106","1985-1986","GTOWN",1418
"107","1985-1986","KAN.ST",2822
"108","1985-1986","LOUIS",1487
"109","1985-1986","LSU",3263
"110","1985-1986","ND",1902
"111","1985-1986","NEB",3008
"112","1985-1986","NWST",1859
"113","1985-1986","OK",2420
"114","1985-1986","OKSTATE",3185
