"","country","rk","from_summer_games","to_summer_games","participants_summer_games","sports_summer_games","gold_summer_games","silver_summer_games","bronze_summer_games","total_summer_games","from_winter_games","to_winter_games","participants_winter_games","sports_winter_games","gold_winter_games","silver_winter_games","bronze_winter_games","total_winter_games","country_url"
"9","Armenia","9","1996","2012","93","13","1","2","9","12","1994","2010","25","5","","","","","http://www.sports-reference.com/olympics/countries/ARM/"
"14","Azerbaijan","14","1996","2012","143","16","6","5","15","26","1998","2010","10","2","","","","","http://www.sports-reference.com/olympics/countries/AZE/"
"19","Belarus","19","1996","2012","537","25","12","24","40","76","1994","2010","149","10","1","4","4","9","http://www.sports-reference.com/olympics/countries/BLR/"
"68","Estonia","68","1920","2012","234","22","9","9","15","33","1928","2010","79","8","4","2","1","7","http://www.sports-reference.com/olympics/countries/EST/"
"76","Georgia","76","1996","2012","124","18","6","5","14","25","1994","2010","14","4","","","","","http://www.sports-reference.com/olympics/countries/GEO/"
"103","Kazakhstan","103","1996","2012","433","24","16","17","19","52","1994","2010","167","9","1","3","2","6","http://www.sports-reference.com/olympics/countries/KAZ/"
"107","Kyrgyzstan","107","1996","2012","110","13","","1","2","3","1994","2010","6","4","","","","","http://www.sports-reference.com/olympics/countries/KGZ/"
"109","Latvia","109","1924","2012","239","20","3","11","5","19","1924","2010","169","12","","2","1","3","http://www.sports-reference.com/olympics/countries/LAT/"
"115","Lithuania","115","1924","2012","258","18","6","5","10","21","1928","2010","18","5","","","","","http://www.sports-reference.com/olympics/countries/LTU/"
"129","Moldova","130","1996","2012","101","10","","2","5","7","1994","2010","14","4","","","","","http://www.sports-reference.com/olympics/countries/MDA/"
"164","Russia","165","1900","2012","1,637","33","134","126","145","405","1994","2010","489","15","36","29","26","91","http://www.sports-reference.com/olympics/countries/RUS/"
"197","Tajikistan","198","1996","2012","38","10","","1","2","3","2002","2010","1","1","","","","","http://www.sports-reference.com/olympics/countries/TJK/"
"206","Turkmenistan","207","1996","2012","33","8","","","","","","","","","","","","","http://www.sports-reference.com/olympics/countries/TKM/"
"209","Ukraine","210","1996","2012","817","29","33","27","55","115","1994","2010","174","13","1","1","3","5","http://www.sports-reference.com/olympics/countries/UKR/"
"216","Uzbekistan","217","1996","2012","228","17","5","5","10","20","1994","2010","19","3","1","","","1","http://www.sports-reference.com/olympics/countries/UZB/"
