"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"22","Football","Entity","Houston Texans","http://www.sportsfangraph.com/team/houston-texans",2012-12-06,"Rank",22,NA
"23","Football","Entity","Detroit Lions","http://www.sportsfangraph.com/team/detroit-lions",2012-12-06,"Rank",23,NA
"24","Football","Entity","Seattle Seahawks","http://www.sportsfangraph.com/team/seattle-seahawks",2012-12-06,"Rank",24,NA
"25","Football","Entity","Louisiana State Universit...","http://www.sportsfangraph.com/team/lsu",2012-12-06,"Rank",25,NA
"26","Football","Entity","Kansas City Chiefs","http://www.sportsfangraph.com/team/kansas-city-chiefs",2012-12-06,"Rank",26,NA
"27","Football","Entity","Cleveland Browns","http://www.sportsfangraph.com/team/cleveland-browns",2012-12-06,"Rank",27,NA
"28","Football","Entity","Cincinnati Bengals","http://www.sportsfangraph.com/team/cincinnati-bengals",2012-12-06,"Rank",28,NA
"29","Football","Entity","Carolina Panthers","http://www.sportsfangraph.com/team/carolina-panthers",2012-12-06,"Rank",29,NA
"30","Football","Entity","Tampa Bay Buccaneers","http://www.sportsfangraph.com/team/tampa-bay-buccaneers",2012-12-06,"Rank",30,NA
"31","Football","Entity","University of Oregon Foot...","http://www.sportsfangraph.com/team/university-of-oregon-football",2012-12-06,"Rank",31,NA
"32","Football","Entity","Tennessee Titans","http://www.sportsfangraph.com/team/tennessee-titans",2012-12-06,"Rank",32,NA
"33","Football","Entity","Australian Football Leagu...","http://www.sportsfangraph.com/team/afl",2012-12-06,"Rank",33,NA
"34","Football","Entity","Arizona Cardinals","http://www.sportsfangraph.com/team/arizona-cardinals",2012-12-06,"Rank",34,NA
"35","Football","Entity","Buffalo Bills","http://www.sportsfangraph.com/team/buffalo-bills",2012-12-06,"Rank",35,NA
"36","Football","Entity","St. Louis Rams","http://www.sportsfangraph.com/team/st-louis-rams",2012-12-06,"Rank",36,NA
"37","Football","Entity","Penn State University Foo...","http://www.sportsfangraph.com/team/penn-state-university-football",2012-12-06,"Rank",37,NA
"38","Football","Entity","Florida State University ...","http://www.sportsfangraph.com/team/florida-state-university-football",2012-12-06,"Rank",38,NA
"39","Football","Entity","Jacksonville Jaguars","http://www.sportsfangraph.com/team/jacksonville-jaguars",2012-12-06,"Rank",39,NA
"40","Football","Entity","Essendon Football Club","http://www.sportsfangraph.com/team/essendon",2012-12-06,"Rank",40,NA
"41","Football","Entity","Collingwood Football Club","http://www.sportsfangraph.com/team/collingwood",2012-12-06,"Rank",41,NA
"42","Football","Entity","University of Wisconsin F...","http://www.sportsfangraph.com/team/university-of-wisconsin-football",2012-12-06,"Rank",42,NA
"43","Football","Entity","University of Miami (FL) ...","http://www.sportsfangraph.com/team/university-of-miami-fl-football",2012-12-06,"Rank",43,NA
"44","Football","Entity","University of Washington ...","http://www.sportsfangraph.com/team/university-of-washington-football",2012-12-06,"Rank",44,NA
"45","Football","Entity","Saskatchewan Roughriders","http://www.sportsfangraph.com/team/saskatchewan-roughriders",2012-12-06,"Rank",45,NA
"46","Football","Entity","Carlton Football Club","http://www.sportsfangraph.com/team/carlton",2012-12-06,"Rank",46,NA
"47","Football","Entity","West Coast Eagles","http://www.sportsfangraph.com/team/west-coast-eagles",2012-12-06,"Rank",47,NA
"48","Football","Entity","Sydney Swans","http://www.sportsfangraph.com/team/sydney",2012-12-06,"Rank",48,NA
"49","Football","Entity","West Virginia University ...","http://www.sportsfangraph.com/team/west-virginia-university-football",2012-12-06,"Rank",49,NA
"50","Football","Entity","Richmond Football Club","http://www.sportsfangraph.com/team/richmond",2012-12-06,"Rank",50,NA
"51","Football","Entity","Montreal Alouettes","http://www.sportsfangraph.com/team/montreal-alouettes",2012-12-06,"Rank",51,NA
"52","Football","Entity","Adelaide Football Club","http://www.sportsfangraph.com/team/adelaide",2012-12-06,"Rank",52,NA
