Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,198419,Duke University,Bachelor's degrees,Engineering,14',225,169,56
1983-1984,198419,Duke University,Bachelor's degrees,Foreign Languages,16',34,11,23
1983-1984,198419,Duke University,Bachelor's degrees,Letters,23',66,26,40
1983-1984,198419,Duke University,Bachelor's degrees,Psychology,42',135,53,82
1983-1984,198419,Duke University,Bachelor's degrees,Life Sciences,26',124,70,54
1983-1984,198419,Duke University,Bachelor's degrees,Mathematics,27',21,13,8
1983-1984,198419,Duke University,Bachelor's degrees,Social Sciences,45',476,280,196
1983-1984,198419,Duke University,Bachelor's degrees,Education,13',1,0,1
1983-1984,198419,Duke University,Bachelor's degrees,Philosophy and Religion,38',38,21,17
1983-1984,198419,Duke University,Bachelor's degrees,Physical Sciences,40',109,67,42
1983-1984,198419,Duke University,Bachelor's degrees,Public Affairs,44',73,41,32
1983-1984,131496,Georgetown University,Bachelor's degrees,Foreign Languages,16',110,27,83
1983-1984,131496,Georgetown University,Bachelor's degrees,Mathematics,27',10,4,6
1983-1984,131496,Georgetown University,Bachelor's degrees,Psychology,42',35,14,21
1983-1984,131496,Georgetown University,Bachelor's degrees,Business and Management,6',213,135,78
1983-1984,131496,Georgetown University,Bachelor's degrees,Health Sciences,18',100,1,99
1983-1984,131496,Georgetown University,Bachelor's degrees,Liberal/General Studies,24',4,0,4
1983-1984,131496,Georgetown University,Bachelor's degrees,Theology,39',12,4,8
1983-1984,131496,Georgetown University,Bachelor's degrees,Area and Ethnic Studies,5',14,7,7
1983-1984,131496,Georgetown University,Bachelor's degrees,Visual and Performing Arts,50',8,4,4
1983-1984,131496,Georgetown University,Bachelor's degrees,Letters,23',125,49,76
1983-1984,131496,Georgetown University,Bachelor's degrees,Social Sciences,45',534,273,261
1983-1984,131496,Georgetown University,Bachelor's degrees,Life Sciences,26',66,48,18
1983-1984,131496,Georgetown University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',4,4,0
1983-1984,131496,Georgetown University,Bachelor's degrees,Philosophy and Religion,38',24,19,5
