Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,122755,San Jose State University,Bachelor's degrees,Public Affairs,44',28,4,24
1983-1984,122755,San Jose State University,Bachelor's degrees,Area and Ethnic Studies,5',3,1,2
1983-1984,122755,San Jose State University,Bachelor's degrees,Visual and Performing Arts,50',251,85,166
1983-1984,122755,San Jose State University,Bachelor's degrees,Communications,9',261,118,143
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Engineering and Engineering Related Technologies,15',3,3,0
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Allied Health,17',5,1,4
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Life Sciences,26',16,10,6
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Psychology,42',88,25,63
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Protective Services,43',10,4,6
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Education,13',30,12,18
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Engineering,14',138,111,27
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Philosophy and Religion,38',9,4,5
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Social Sciences,45',187,100,87
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Area and Ethnic Studies,5',6,3,3
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Communications,9',149,46,103
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Computer and Information Sciences,11',11,5,6
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Foreign Languages,16',28,6,22
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Letters,23',48,15,33
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Mathematics,27',12,6,6
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Physical Sciences,40',37,23,14
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Visual and Performing Arts,50',86,22,64
1983-1984,228246,Southern Methodist University,Bachelor's degrees,Business and Management,6',471,273,198
1983-1984,243744,Stanford University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',201,67,134
1983-1984,243744,Stanford University,Bachelor's degrees,Physical Sciences,40',91,63,28
1983-1984,243744,Stanford University,Bachelor's degrees,Psychology,42',64,20,44
1983-1984,243744,Stanford University,Bachelor's degrees,Social Sciences,45',457,268,189
1983-1984,243744,Stanford University,Bachelor's degrees,Visual and Performing Arts,50',33,15,18
1983-1984,243744,Stanford University,Bachelor's degrees,Communications,9',44,25,19
1983-1984,243744,Stanford University,Bachelor's degrees,Letters,23',118,50,68
1983-1984,243744,Stanford University,Bachelor's degrees,Public Affairs,44',8,5,3
1983-1984,243744,Stanford University,Bachelor's degrees,Engineering,14',320,235,85
1983-1984,243744,Stanford University,Bachelor's degrees,Foreign Languages,16',39,19,20
1983-1984,243744,Stanford University,Bachelor's degrees,Mathematics,27',39,31,8
1983-1984,243744,Stanford University,Bachelor's degrees,Area and Ethnic Studies,5',24,7,17
1983-1984,243744,Stanford University,Bachelor's degrees,Health Sciences,18',1,0,1
1983-1984,243744,Stanford University,Bachelor's degrees,Life Sciences,26',181,110,71
1983-1984,243744,Stanford University,Bachelor's degrees,Philosophy and Religion,38',17,12,5
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Education,13',531,117,414
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Communications,9',59,18,41
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Computer and Information Sciences,11',187,112,75
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Foreign Languages,16',16,4,12
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Health Sciences,18',268,131,137
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Engineering,14',1421,1234,187
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Life Sciences,26',219,114,105
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Parks and Recreation,31',56,29,27
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Architecture and Environmental Design,4',311,248,63
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Visual and Performing Arts,50',11,3,8
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Business and Management,6',1186,536,650
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Letters,23',52,15,37
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Renewable Natural Resources,3',82,48,34
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Physical Sciences,40',163,120,43
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Psychology,42',95,26,69
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Social Sciences,45',175,95,80
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Agricultural Business and Production,1',316,237,79
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Engineering and Engineering Related Technologies,15',386,329,57
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Agricultural Sciences,2',314,193,121
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Mathematics,27',21,9,12
1983-1984,228723,Texas A & M University-College Station,Bachelor's degrees,Philosophy and Religion,38',5,5,0
1983-1984,100751,The University of Alabama,Bachelor's degrees,Home Economics,19',97,3,94
1983-1984,100751,The University of Alabama,Bachelor's degrees,Liberal/General Studies,24',3,2,1
1983-1984,100751,The University of Alabama,Bachelor's degrees,Philosophy and Religion,38',7,7,0
1983-1984,100751,The University of Alabama,Bachelor's degrees,Protective Services,43',32,19,13
1983-1984,100751,The University of Alabama,Bachelor's degrees,Visual and Performing Arts,50',40,14,26
1983-1984,100751,The University of Alabama,Bachelor's degrees,Business and Management,6',606,372,234
1983-1984,100751,The University of Alabama,Bachelor's degrees,Foreign Languages,16',4,0,4
1983-1984,100751,The University of Alabama,Bachelor's degrees,Health Sciences,18',189,24,165
1983-1984,100751,The University of Alabama,Bachelor's degrees,Vocational Home Economics,20',7,0,7
1983-1984,100751,The University of Alabama,Bachelor's degrees,Law (non-first professional),22',19,14,5
1983-1984,100751,The University of Alabama,Bachelor's degrees,Life Sciences,26',56,30,26
1983-1984,100751,The University of Alabama,Bachelor's degrees,Mathematics,27',30,15,15
1983-1984,100751,The University of Alabama,Bachelor's degrees,Architecture and Environmental Design,4',22,3,19
1983-1984,100751,The University of Alabama,Bachelor's degrees,Psychology,42',60,26,34
1983-1984,100751,The University of Alabama,Bachelor's degrees,Area and Ethnic Studies,5',5,2,3
1983-1984,100751,The University of Alabama,Bachelor's degrees,Communications,9',419,172,247
1983-1984,100751,The University of Alabama,Bachelor's degrees,Education,13',180,23,157
1983-1984,100751,The University of Alabama,Bachelor's degrees,Engineering and Engineering Related Technologies,15',37,32,5
1983-1984,100751,The University of Alabama,Bachelor's degrees,Allied Health,17',4,1,3
1983-1984,100751,The University of Alabama,Bachelor's degrees,Letters,23',48,18,30
1983-1984,100751,The University of Alabama,Bachelor's degrees,Multi/Interdisciplinary Studies,30',98,57,41
1983-1984,100751,The University of Alabama,Bachelor's degrees,Business (Administrative Support),7',6,0,6
1983-1984,100751,The University of Alabama,Bachelor's degrees,Computer and Information Sciences,11',38,19,19
1983-1984,100751,The University of Alabama,Bachelor's degrees,Engineering,14',265,229,36
1983-1984,100751,The University of Alabama,Bachelor's degrees,Parks and Recreation,31',16,5,11
1983-1984,100751,The University of Alabama,Bachelor's degrees,Physical Sciences,40',46,35,11
1983-1984,100751,The University of Alabama,Bachelor's degrees,Public Affairs,44',39,6,33
1983-1984,100751,The University of Alabama,Bachelor's degrees,Social Sciences,45',137,97,40
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Foreign Languages,16',93,35,58
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Physical Sciences,40',182,133,49
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Area and Ethnic Studies,5',43,16,27
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Business and Management,6',1879,1052,827
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Computer and Information Sciences,11',165,99,66
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Education,13',476,67,409
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Engineering,14',981,864,117
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Philosophy and Religion,38',22,16,6
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Architecture and Environmental Design,4',61,45,16
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Business (Administrative Support),7',110,47,63
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Communications,9',894,325,569
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Allied Health,17',7,1,6
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Liberal/General Studies,24',99,54,45
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Mathematics,27',49,33,16
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Psychology,42',276,94,182
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Health Sciences,18',182,12,170
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Home Economics,19',163,9,154
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Letters,23',178,63,115
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Life Sciences,26',230,145,85
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Multi/Interdisciplinary Studies,30',14,4,10
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Public Affairs,44',46,10,36
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Social Sciences,45',584,362,222
1983-1984,228778,The University of Texas at Austin,Bachelor's degrees,Visual and Performing Arts,50',259,82,177
1983-1984,134130,University of Florida,Bachelor's degrees,Health Sciences,18',148,14,134
1983-1984,134130,University of Florida,Bachelor's degrees,Renewable Natural Resources,3',33,25,8
1983-1984,134130,University of Florida,Bachelor's degrees,Communications,9',465,178,287
1983-1984,134130,University of Florida,Bachelor's degrees,Education,13',399,87,312
1983-1984,134130,University of Florida,Bachelor's degrees,Home Economics,19',12,0,12
1983-1984,134130,University of Florida,Bachelor's degrees,Life Sciences,26',161,98,63
1983-1984,134130,University of Florida,Bachelor's degrees,Mathematics,27',45,39,6
1983-1984,134130,University of Florida,Bachelor's degrees,Protective Services,43',78,42,36
1983-1984,134130,University of Florida,Bachelor's degrees,Area and Ethnic Studies,5',5,3,2
1983-1984,134130,University of Florida,Bachelor's degrees,Engineering and Engineering Related Technologies,15',115,105,10
1983-1984,134130,University of Florida,Bachelor's degrees,Foreign Languages,16',29,5,24
1983-1984,134130,University of Florida,Bachelor's degrees,Multi/Interdisciplinary Studies,30',45,27,18
1983-1984,134130,University of Florida,Bachelor's degrees,Architecture and Environmental Design,4',110,80,30
1983-1984,134130,University of Florida,Bachelor's degrees,Psychology,42',189,75,114
1983-1984,134130,University of Florida,Bachelor's degrees,Social Sciences,45',406,256,150
1983-1984,134130,University of Florida,Bachelor's degrees,Visual and Performing Arts,50',88,42,46
1983-1984,134130,University of Florida,Bachelor's degrees,Business and Management,6',923,553,370
1983-1984,134130,University of Florida,Bachelor's degrees,Agricultural Business and Production,1',47,35,12
1983-1984,134130,University of Florida,Bachelor's degrees,Computer and Information Sciences,11',254,161,93
1983-1984,134130,University of Florida,Bachelor's degrees,Engineering,14',585,509,76
1983-1984,134130,University of Florida,Bachelor's degrees,Allied Health,17',116,34,82
1983-1984,134130,University of Florida,Bachelor's degrees,Agricultural Sciences,2',138,86,52
1983-1984,134130,University of Florida,Bachelor's degrees,Letters,23',159,56,103
1983-1984,134130,University of Florida,Bachelor's degrees,Philosophy and Religion,38',31,20,11
1983-1984,134130,University of Florida,Bachelor's degrees,Physical Sciences,40',89,69,20
1983-1984,139959,University of Georgia,Bachelor's degrees,Foreign Languages,16',23,9,14
1983-1984,139959,University of Georgia,Bachelor's degrees,Mathematics,27',19,12,7
1983-1984,139959,University of Georgia,Bachelor's degrees,Physical Sciences,40',64,47,17
1983-1984,139959,University of Georgia,Bachelor's degrees,Social Sciences,45',340,241,99
1983-1984,139959,University of Georgia,Bachelor's degrees,Engineering,14',33,31,2
1983-1984,139959,University of Georgia,Bachelor's degrees,Letters,23',163,66,97
1983-1984,139959,University of Georgia,Bachelor's degrees,Protective Services,43',25,9,16
1983-1984,139959,University of Georgia,Bachelor's degrees,Business and Management,6',798,449,349
1983-1984,139959,University of Georgia,Bachelor's degrees,Marketing and Distribution,8',39,1,38
1983-1984,139959,University of Georgia,Bachelor's degrees,Communications Technologies,10',105,61,44
1983-1984,139959,University of Georgia,Bachelor's degrees,Computer and Information Sciences,11',93,61,32
1983-1984,139959,University of Georgia,Bachelor's degrees,Home Economics,19',86,4,82
1983-1984,139959,University of Georgia,Bachelor's degrees,Vocational Home Economics,20',31,0,31
1983-1984,139959,University of Georgia,Bachelor's degrees,Life Sciences,26',160,107,53
1983-1984,139959,University of Georgia,Bachelor's degrees,Renewable Natural Resources,3',46,37,9
1983-1984,139959,University of Georgia,Bachelor's degrees,Philosophy and Religion,38',2,1,1
1983-1984,139959,University of Georgia,Bachelor's degrees,Public Affairs,44',30,4,26
1983-1984,139959,University of Georgia,Bachelor's degrees,Visual and Performing Arts,50',141,45,96
1983-1984,139959,University of Georgia,Bachelor's degrees,Communications,9',215,57,158
1983-1984,139959,University of Georgia,Bachelor's degrees,Agricultural Business and Production,1',122,100,22
1983-1984,139959,University of Georgia,Bachelor's degrees,Education,13',512,119,393
1983-1984,139959,University of Georgia,Bachelor's degrees,Allied Health,17',2,1,1
1983-1984,139959,University of Georgia,Bachelor's degrees,Health Sciences,18',30,0,30
1983-1984,139959,University of Georgia,Bachelor's degrees,Agricultural Sciences,2',155,103,52
1983-1984,139959,University of Georgia,Bachelor's degrees,Multi/Interdisciplinary Studies,30',29,23,6
1983-1984,139959,University of Georgia,Bachelor's degrees,Architecture and Environmental Design,4',39,24,15
1983-1984,139959,University of Georgia,Bachelor's degrees,Psychology,42',115,49,66
1983-1984,157289,University of Louisville,Bachelor's degrees,Computer and Information Sciences,11',3,1,2
1983-1984,157289,University of Louisville,Bachelor's degrees,Education,13',130,32,98
1983-1984,157289,University of Louisville,Bachelor's degrees,Engineering,14',216,182,34
1983-1984,157289,University of Louisville,Bachelor's degrees,Foreign Languages,16',15,4,11
1983-1984,157289,University of Louisville,Bachelor's degrees,Mathematics,27',21,10,11
1983-1984,157289,University of Louisville,Bachelor's degrees,Parks and Recreation,31',3,1,2
1983-1984,157289,University of Louisville,Bachelor's degrees,Architecture and Environmental Design,4',17,2,15
1983-1984,157289,University of Louisville,Bachelor's degrees,Social Sciences,45',152,85,67
1983-1984,157289,University of Louisville,Bachelor's degrees,Health Sciences,18',34,5,29
1983-1984,157289,University of Louisville,Bachelor's degrees,Home Economics,19',8,1,7
1983-1984,157289,University of Louisville,Bachelor's degrees,Life Sciences,26',59,40,19
1983-1984,157289,University of Louisville,Bachelor's degrees,Multi/Interdisciplinary Studies,30',6,0,6
1983-1984,157289,University of Louisville,Bachelor's degrees,Philosophy and Religion,38',4,3,1
1983-1984,157289,University of Louisville,Bachelor's degrees,Psychology,42',41,16,25
1983-1984,157289,University of Louisville,Bachelor's degrees,Protective Services,43',40,29,11
1983-1984,157289,University of Louisville,Bachelor's degrees,Business (Administrative Support),7',4,0,4
1983-1984,157289,University of Louisville,Bachelor's degrees,Communications,9',117,53,64
1983-1984,157289,University of Louisville,Bachelor's degrees,Allied Health,17',16,3,13
1983-1984,157289,University of Louisville,Bachelor's degrees,Letters,23',31,11,20
1983-1984,157289,University of Louisville,Bachelor's degrees,Liberal/General Studies,24',23,11,12
1983-1984,157289,University of Louisville,Bachelor's degrees,Physical Sciences,40',47,38,9
1983-1984,157289,University of Louisville,Bachelor's degrees,Area and Ethnic Studies,5',2,0,2
1983-1984,157289,University of Louisville,Bachelor's degrees,Visual and Performing Arts,50',58,21,37
1983-1984,157289,University of Louisville,Bachelor's degrees,Business and Management,6',394,205,189
1983-1984,135726,University of Miami,Bachelor's degrees,Communications Technologies,10',8,4,4
1983-1984,135726,University of Miami,Bachelor's degrees,Allied Health,17',31,4,27
1983-1984,135726,University of Miami,Bachelor's degrees,Public Affairs,44',5,2,3
1983-1984,135726,University of Miami,Bachelor's degrees,Visual and Performing Arts,50',92,50,42
1983-1984,135726,University of Miami,Bachelor's degrees,Marketing and Distribution,8',79,44,35
1983-1984,135726,University of Miami,Bachelor's degrees,Computer and Information Sciences,11',67,37,30
1983-1984,135726,University of Miami,Bachelor's degrees,Health Sciences,18',231,78,153
1983-1984,135726,University of Miami,Bachelor's degrees,Liberal/General Studies,24',3,2,1
1983-1984,135726,University of Miami,Bachelor's degrees,Life Sciences,26',27,17,10
1983-1984,135726,University of Miami,Bachelor's degrees,Philosophy and Religion,38',6,4,2
1983-1984,135726,University of Miami,Bachelor's degrees,Architecture and Environmental Design,4',56,38,18
1983-1984,135726,University of Miami,Bachelor's degrees,Physical Sciences,40',59,41,18
1983-1984,135726,University of Miami,Bachelor's degrees,Psychology,42',87,17,70
1983-1984,135726,University of Miami,Bachelor's degrees,Social Sciences,45',100,59,41
1983-1984,135726,University of Miami,Bachelor's degrees,Education,13',94,15,79
1983-1984,135726,University of Miami,Bachelor's degrees,Engineering,14',235,187,48
1983-1984,135726,University of Miami,Bachelor's degrees,Law (non-first professional),22',3,3,0
1983-1984,135726,University of Miami,Bachelor's degrees,Letters,23',35,10,25
1983-1984,135726,University of Miami,Bachelor's degrees,Mathematics,27',10,6,4
1983-1984,135726,University of Miami,Bachelor's degrees,Multi/Interdisciplinary Studies,30',6,4,2
1983-1984,135726,University of Miami,Bachelor's degrees,Area and Ethnic Studies,5',1,1,0
1983-1984,135726,University of Miami,Bachelor's degrees,Foreign Languages,16',10,1,9
1983-1984,135726,University of Miami,Bachelor's degrees,Business and Management,6',372,212,160
1983-1984,135726,University of Miami,Bachelor's degrees,Communications,9',105,39,66
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Computer and Information Sciences,11',127,89,38
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Allied Health,17',39,1,38
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Health Sciences,18',228,7,221
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Mathematics,27',45,29,16
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Multi/Interdisciplinary Studies,30',111,42,69
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Physical Sciences,40',106,71,35
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Science Technologies,41',4,1,3
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Psychology,42',343,104,239
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Liberal/General Studies,24',299,184,115
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Renewable Natural Resources,3',62,41,21
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Communications,9',234,70,164
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Education,13',336,98,238
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Engineering,14',1146,959,187
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Home Economics,19',2,0,2
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Letters,23',322,127,195
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Social Sciences,45',800,450,350
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Foreign Languages,16',89,24,65
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Life Sciences,26',283,179,104
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Philosophy and Religion,38',38,28,10
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Architecture and Environmental Design,4',99,66,33
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Area and Ethnic Studies,5',42,19,23
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Visual and Performing Arts,50',296,102,194
1983-1984,170976,University of Michigan-Ann Arbor,Bachelor's degrees,Business and Management,6',286,153,133
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Agricultural Business and Production,1',192,164,28
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Engineering and Engineering Related Technologies,15',103,93,10
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Foreign Languages,16',16,5,11
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Health Sciences,18',24,4,20
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Agricultural Sciences,2',119,96,23
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Letters,23',62,28,34
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Liberal/General Studies,24',8,2,6
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Multi/Interdisciplinary Studies,30',40,27,13
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Psychology,42',66,23,43
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Visual and Performing Arts,50',57,16,41
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Business and Management,6',540,332,208
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Education,13',410,121,289
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Renewable Natural Resources,3',30,27,3
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Parks and Recreation,31',22,11,11
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Philosophy and Religion,38',3,3,0
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Social Sciences,45',145,77,68
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Business (Administrative Support),7',17,0,17
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Allied Health,17',6,2,4
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Communications,9',179,73,106
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Computer and Information Sciences,11',57,44,13
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Engineering,14',322,290,32
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Home Economics,19',248,5,243
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Life Sciences,26',91,53,38
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Mathematics,27',30,23,7
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Architecture and Environmental Design,4',49,36,13
1983-1984,181464,University of Nebraska-Lincoln,Bachelor's degrees,Physical Sciences,40',46,39,7
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Foreign Languages,16',54,18,36
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Letters,23',231,75,156
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Mathematics,27',95,57,38
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Multi/Interdisciplinary Studies,30',44,14,30
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Physical Sciences,40',172,128,44
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Social Sciences,45',531,325,206
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Business and Management,6',699,381,318
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Education,13',130,18,112
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Allied Health,17',73,8,65
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Life Sciences,26',162,93,69
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Philosophy and Religion,38',23,10,13
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Protective Services,43',66,21,45
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Area and Ethnic Studies,5',62,23,39
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Visual and Performing Arts,50',75,20,55
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Health Sciences,18',250,30,220
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Parks and Recreation,31',23,9,14
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Psychology,42',165,46,119
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Public Affairs,44',11,4,7
1983-1984,199120,University of North Carolina at Chapel Hill,Bachelor's degrees,Communications,9',312,119,193
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Mathematics,27',36,27,9
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Philosophy and Religion,38',21,20,1
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Area and Ethnic Studies,5',70,40,30
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Foreign Languages,16',24,13,11
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Health Sciences,18',164,139,25
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Letters,23',86,48,38
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Psychology,42',53,22,31
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Physical Sciences,40',45,36,9
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Visual and Performing Arts,50',33,22,11
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Engineering,14',358,299,59
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Liberal/General Studies,24',45,29,16
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Life Sciences,26',76,35,41
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Architecture and Environmental Design,4',56,42,14
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Social Sciences,45',298,208,90
1983-1984,152080,University of Notre Dame,Bachelor's degrees,Business and Management,6',493,359,134
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Home Economics,19',62,1,61
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Letters,23',59,17,42
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Mathematics,27',19,10,9
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Engineering,14',395,346,49
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Liberal/General Studies,24',22,13,9
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Psychology,42',77,29,48
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Social Sciences,45',148,92,56
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Communications Technologies,10',51,22,29
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Computer and Information Sciences,11',47,35,12
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Foreign Languages,16',25,3,22
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Health Sciences,18',10,2,8
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Public Affairs,44',45,9,36
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Communications,9',171,66,105
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Education,13',153,27,126
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Life Sciences,26',80,44,36
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Parks and Recreation,31',32,15,17
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Philosophy and Religion,38',5,3,2
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Architecture and Environmental Design,4',114,83,31
