CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Agricultural Business and Production,Bachelor's degree,1994-1995,217882,Clemson University,69,57,12,68,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,86,78,8,86,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,228723,Texas A & M University-College Station,289,195,94,265,181,84,2,2,0,14,8,6,1,0,1,2,1,1,0,0,0,5,3,2,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,209542,Oregon State University,64,44,20,56,40,16,0,0,0,2,2,0,1,1,0,2,0,2,2,1,1,1,0,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,32,23,9,21,15,6,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,8,7,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,230728,Utah State University,23,19,4,21,18,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,89,66,23,78,62,16,9,3,6,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,155399,Kansas State University,119,107,12,115,103,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,68,40,28,60,36,24,1,0,1,0,0,0,0,0,0,6,3,3,0,0,0,1,1,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,100858,Auburn University,55,48,7,53,47,6,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,139959,University of Georgia,83,67,16,79,64,15,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1994-1995,134130,University of Florida,99,74,25,73,58,15,9,1,8,7,7,0,3,2,1,0,0,0,0,0,0,7,6,1,'01.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,31,27,4,21,17,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,169,105,64,155,97,58,2,1,1,3,2,1,2,2,0,0,0,0,2,2,0,5,1,4,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,228723,Texas A & M University-College Station,533,320,213,496,300,196,1,1,0,24,14,10,3,0,3,2,0,2,0,0,0,7,5,2,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,155399,Kansas State University,194,135,59,186,128,58,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,4,4,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,134,89,45,117,78,39,2,1,1,0,0,0,0,0,0,14,10,4,0,0,0,1,0,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,134130,University of Florida,189,83,106,157,71,86,8,2,6,9,3,6,10,4,6,0,0,0,0,0,0,5,3,2,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,209542,Oregon State University,79,41,38,65,33,32,0,0,0,0,0,0,2,1,1,1,1,0,8,5,3,3,1,2,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,77,56,21,75,55,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,217882,Clemson University,77,47,30,75,46,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,100858,Auburn University,116,76,40,112,75,37,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,230728,Utah State University,49,39,10,42,32,10,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,5,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,69,23,46,54,18,36,2,0,2,5,0,5,3,2,1,0,0,0,3,2,1,2,1,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1994-1995,139959,University of Georgia,93,66,27,83,59,24,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,'02.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,100751,The University of Alabama,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,139959,University of Georgia,56,45,11,55,44,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,170976,University of Michigan-Ann Arbor,85,56,29,67,43,24,3,1,2,3,3,0,8,7,1,0,0,0,0,0,0,4,2,2,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,135726,University of Miami,57,40,17,26,19,7,2,2,0,22,13,9,1,1,0,0,0,0,1,1,0,5,4,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,228723,Texas A & M University-College Station,178,125,53,120,81,39,0,0,0,46,37,9,8,5,3,0,0,0,0,0,0,4,2,2,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,217882,Clemson University,112,80,32,106,78,28,3,2,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,207500,University of Oklahoma Norman Campus,37,33,4,29,27,2,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,4,2,2,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,123961,University of Southern California,88,57,31,45,34,11,3,2,1,9,6,3,19,7,12,2,2,0,2,1,1,8,5,3,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,152080,University of Notre Dame,35,25,10,24,16,8,1,1,0,4,3,1,3,3,0,0,0,0,0,0,0,3,2,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,209551,University of Oregon,86,57,29,70,45,25,0,0,0,2,2,0,4,4,0,1,0,1,5,3,2,4,3,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,38,28,10,35,25,10,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,88,42,46,79,38,41,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,5,3,2,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,228778,The University of Texas at Austin,55,39,16,36,24,12,1,1,0,8,7,1,7,5,2,0,0,0,0,0,0,3,2,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,86,71,15,75,62,13,3,2,1,2,2,0,0,0,0,1,1,0,1,1,0,4,3,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,109,60,49,101,55,46,3,1,2,2,2,0,1,1,0,0,0,0,1,1,0,1,0,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,155399,Kansas State University,108,85,23,95,76,19,2,1,1,0,0,0,4,2,2,1,1,0,0,0,0,6,5,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,37,30,7,34,28,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,100858,Auburn University,69,49,20,61,43,18,3,1,2,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,230728,Utah State University,21,17,4,19,15,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1994-1995,134130,University of Florida,112,86,26,83,66,17,3,2,1,14,9,5,9,8,1,0,0,0,0,0,0,3,1,2,'04.0000'
