Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Education,'13',Bachelor's degree,272,77,195,247,65,182,13,6,7,6,4,2,0,0,0,1,1,0,1,0,1,4,1,3
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,'14',Bachelor's degree,321,246,75,232,187,45,17,7,10,9,5,4,14,9,5,2,0,2,4,4,0,43,34,9
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Engineering-Related Technologies,'15',Bachelor's degree,37,34,3,31,29,2,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,English Language and Literature/Letters,'23',Bachelor's degree,121,41,80,106,37,69,13,3,10,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages and Literatures,'16',Bachelor's degree,30,14,16,24,9,15,3,3,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Health Professions and Related Sciences,'51',Bachelor's degree,70,6,64,56,6,50,8,0,8,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics- General,'19',Bachelor's degree,62,0,62,54,0,54,2,0,2,4,0,4,0,0,0,0,0,0,1,0,1,1,0,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Law and Legal Studies,'22',Bachelor's degree,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,226,96,130,194,81,113,17,7,10,7,4,3,4,2,2,1,1,0,2,1,1,1,0,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,18,0,18,15,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,'27',Bachelor's degree,20,11,9,16,8,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,'38',Bachelor's degree,11,6,5,10,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,'40',Bachelor's degree,37,21,16,28,16,12,5,3,2,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Protective Services,'43',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,'42',Bachelor's degree,196,52,144,167,46,121,14,2,12,7,2,5,3,0,3,1,1,0,1,0,1,3,1,2
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences and History,'45',Bachelor's degree,299,144,155,242,125,117,36,10,26,5,2,3,5,1,4,0,0,0,3,2,1,8,4,4
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,'50',Bachelor's degree,98,42,56,87,38,49,1,0,1,4,3,1,0,0,0,1,1,0,0,0,0,5,0,5
1996-1997,147767,Northwestern University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,13,4,9,8,4,4,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Biological Science/Life Sciences,'26',Bachelor's degree,133,73,60,72,35,37,6,5,1,2,1,1,52,32,20,0,0,0,0,0,0,1,0,1
1996-1997,147767,Northwestern University,Business Management and Administrative Services,'52',Bachelor's degree,59,17,42,39,10,29,11,3,8,2,1,1,4,1,3,1,0,1,0,0,0,2,2,0
1996-1997,147767,Northwestern University,Communications,'09',Bachelor's degree,241,99,142,197,88,109,20,4,16,2,0,2,18,7,11,0,0,0,0,0,0,4,0,4
1996-1997,147767,Northwestern University,Computer and Information Sciences,'11',Bachelor's degree,39,31,8,28,25,3,1,0,1,0,0,0,7,4,3,0,0,0,0,0,0,3,2,1
1996-1997,147767,Northwestern University,Education,'13',Bachelor's degree,29,10,19,21,9,12,4,1,3,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Engineering,'14',Bachelor's degree,311,222,89,187,131,56,12,6,6,9,6,3,82,61,21,0,0,0,1,1,0,20,17,3
1996-1997,147767,Northwestern University,English Language and Literature/Letters,'23',Bachelor's degree,175,61,114,140,50,90,10,4,6,6,2,4,16,5,11,1,0,1,0,0,0,2,0,2
1996-1997,147767,Northwestern University,Foreign Languages and Literatures,'16',Bachelor's degree,32,11,21,29,10,19,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Health Professions and Related Sciences,'51',Bachelor's degree,53,15,38,28,7,21,2,0,2,1,1,0,20,7,13,0,0,0,0,0,0,2,0,2
1996-1997,147767,Northwestern University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Mathematics,'27',Bachelor's degree,34,14,20,23,9,14,2,1,1,1,0,1,5,2,3,0,0,0,2,2,0,1,0,1
1996-1997,147767,Northwestern University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,20,14,6,13,9,4,1,0,1,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Philosophy and Religion,'38',Bachelor's degree,39,21,18,27,14,13,1,1,0,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Physical Sciences,'40',Bachelor's degree,36,25,11,24,16,8,2,0,2,1,1,0,7,6,1,0,0,0,0,0,0,2,2,0
1996-1997,147767,Northwestern University,Psychology,'42',Bachelor's degree,171,65,106,113,39,74,11,3,8,7,4,3,35,17,18,0,0,0,2,1,1,3,1,2
1996-1997,147767,Northwestern University,Public Administration and Services,'44',Bachelor's degree,24,8,16,16,7,9,6,1,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Social Sciences and History,'45',Bachelor's degree,443,259,184,311,182,129,18,11,7,9,4,5,90,50,40,0,0,0,0,0,0,15,12,3
1996-1997,147767,Northwestern University,Theological Studies and Religious Vocations,'39',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Visual and Performing Arts,'50',Bachelor's degree,200,79,121,179,74,105,4,1,3,2,1,1,12,2,10,0,0,0,0,0,0,3,1,2
1996-1997,204796,Ohio State University-Main Campus,Agricultural Business and Production,'01',Bachelor's degree,68,54,14,60,51,9,7,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Agricultural Sciences,'02',Bachelor's degree,172,97,75,155,88,67,4,0,4,3,1,2,2,1,1,0,0,0,6,5,1,2,2,0
1996-1997,204796,Ohio State University-Main Campus,Architecture and Related Programs,'04',Bachelor's degree,83,65,18,64,50,14,3,3,0,3,1,2,3,2,1,1,1,0,1,1,0,8,7,1
1996-1997,204796,Ohio State University-Main Campus,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,44,10,34,27,1,26,15,8,7,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Biological Science/Life Sciences,'26',Bachelor's degree,252,132,120,198,109,89,11,3,8,5,4,1,28,11,17,0,0,0,2,1,1,8,4,4
1996-1997,204796,Ohio State University-Main Campus,Business Management and Administrative Services,'52',Bachelor's degree,793,504,289,574,373,201,31,14,17,9,7,2,47,28,19,1,1,0,8,6,2,123,75,48
1996-1997,204796,Ohio State University-Main Campus,Communications,'09',Bachelor's degree,450,156,294,384,131,253,33,11,22,6,2,4,11,7,4,0,0,0,7,3,4,9,2,7
1996-1997,204796,Ohio State University-Main Campus,Computer and Information Sciences,'11',Bachelor's degree,133,116,17,94,86,8,6,6,0,1,1,0,18,11,7,0,0,0,4,4,0,10,8,2
1996-1997,204796,Ohio State University-Main Campus,Conservation and Renewable Natural Resources,'03',Bachelor's degree,182,107,75,167,99,68,1,1,0,5,3,2,3,2,1,0,0,0,3,0,3,3,2,1
1996-1997,204796,Ohio State University-Main Campus,Education,'13',Bachelor's degree,449,168,281,407,152,255,20,9,11,4,3,1,8,1,7,1,0,1,8,3,5,1,0,1
1996-1997,204796,Ohio State University-Main Campus,Engineering,'14',Bachelor's degree,607,508,99,471,401,70,16,9,7,5,4,1,40,29,11,0,0,0,8,8,0,67,57,10
1996-1997,204796,Ohio State University-Main Campus,Engineering-Related Technologies,'15',Bachelor's degree,8,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,English Language and Literature/Letters,'23',Bachelor's degree,261,107,154,221,98,123,22,7,15,8,0,8,3,2,1,0,0,0,6,0,6,1,0,1
1996-1997,204796,Ohio State University-Main Campus,Foreign Languages and Literatures,'16',Bachelor's degree,113,34,79,92,28,64,5,2,3,4,3,1,5,1,4,1,0,1,1,0,1,5,0,5
1996-1997,204796,Ohio State University-Main Campus,Health Professions and Related Sciences,'51',Bachelor's degree,506,107,399,438,90,348,22,2,20,5,2,3,36,12,24,3,1,2,0,0,0,2,0,2
1996-1997,204796,Ohio State University-Main Campus,Home Economics- General,'19',Bachelor's degree,357,79,278,314,67,247,21,7,14,4,1,3,11,2,9,1,0,1,2,1,1,4,1,3
1996-1997,204796,Ohio State University-Main Campus,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,225,122,103,170,99,71,10,3,7,6,4,2,15,5,10,0,0,0,1,0,1,23,11,12
1996-1997,204796,Ohio State University-Main Campus,Mathematics,'27',Bachelor's degree,58,33,25,45,27,18,2,2,0,0,0,0,6,2,4,0,0,0,0,0,0,5,2,3
1996-1997,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,'30',Bachelor's degree,7,4,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,23,10,13,20,9,11,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Philosophy and Religion,'38',Bachelor's degree,27,19,8,26,19,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Physical Sciences,'40',Bachelor's degree,53,37,16,41,29,12,4,2,2,0,0,0,4,3,1,0,0,0,2,2,0,2,1,1
1996-1997,204796,Ohio State University-Main Campus,Psychology,'42',Bachelor's degree,400,131,269,338,115,223,26,4,22,5,1,4,21,6,15,3,3,0,4,0,4,3,2,1
1996-1997,204796,Ohio State University-Main Campus,Public Administration and Services,'44',Bachelor's degree,54,4,50,42,3,39,9,1,8,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Social Sciences and History,'45',Bachelor's degree,810,454,356,659,378,281,66,34,32,24,15,9,22,9,13,4,1,3,16,10,6,19,7,12
1996-1997,204796,Ohio State University-Main Campus,Transporation and Material Moving Workers,'49',Bachelor's degree,70,62,8,62,54,8,5,5,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,204796,Ohio State University-Main Campus,Visual and Performing Arts,'50',Bachelor's degree,226,94,132,183,79,104,16,4,12,7,3,4,8,4,4,1,1,0,1,1,0,10,2,8
1996-1997,204796,Ohio State University-Main Campus,Vocational Home Economics,'20',Bachelor's degree,33,12,21,27,10,17,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4,2,2
1996-1997,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,'01',Bachelor's degree,68,47,21,63,46,17,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Agricultural Sciences,'02',Bachelor's degree,159,98,61,141,87,54,0,0,0,1,1,0,0,0,0,17,10,7,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Architecture and Related Programs,'04',Bachelor's degree,30,23,7,23,18,5,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,2,1,1
1996-1997,207388,Oklahoma State University-Main Campus,Biological Science/Life Sciences,'26',Bachelor's degree,143,79,64,120,64,56,6,2,4,0,0,0,4,3,1,9,8,1,0,0,0,4,2,2
1996-1997,207388,Oklahoma State University-Main Campus,Business Management and Administrative Services,'52',Bachelor's degree,708,383,325,465,246,219,13,10,3,9,3,6,16,8,8,27,13,14,0,0,0,178,103,75
1996-1997,207388,Oklahoma State University-Main Campus,Communications,'09',Bachelor's degree,98,41,57,86,37,49,1,0,1,2,0,2,0,0,0,5,1,4,0,0,0,4,3,1
1996-1997,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,'11',Bachelor's degree,29,24,5,16,15,1,0,0,0,0,0,0,4,2,2,1,0,1,0,0,0,8,7,1
1996-1997,207388,Oklahoma State University-Main Campus,Conservation and Renewable Natural Resources,'03',Bachelor's degree,24,14,10,18,9,9,1,1,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Education,'13',Bachelor's degree,359,117,242,315,101,214,2,0,2,2,1,1,1,1,0,37,13,24,0,0,0,2,1,1
1996-1997,207388,Oklahoma State University-Main Campus,Engineering,'14',Bachelor's degree,288,241,47,153,119,34,6,5,1,6,4,2,11,10,1,7,6,1,0,0,0,105,97,8
1996-1997,207388,Oklahoma State University-Main Campus,Engineering-Related Technologies,'15',Bachelor's degree,87,78,9,66,60,6,1,1,0,3,3,0,4,4,0,5,3,2,0,0,0,8,7,1
1996-1997,207388,Oklahoma State University-Main Campus,English Language and Literature/Letters,'23',Bachelor's degree,63,29,34,49,24,25,1,1,0,2,1,1,1,1,0,9,2,7,0,0,0,1,0,1
1996-1997,207388,Oklahoma State University-Main Campus,Foreign Languages and Literatures,'16',Bachelor's degree,19,5,14,11,2,9,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,3,0,3
1996-1997,207388,Oklahoma State University-Main Campus,Health Professions and Related Sciences,'51',Bachelor's degree,35,4,31,29,3,26,1,0,1,0,0,0,2,0,2,3,1,2,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Home Economics- General,'19',Bachelor's degree,161,14,147,137,12,125,2,0,2,4,0,4,3,0,3,9,1,8,0,0,0,6,1,5
1996-1997,207388,Oklahoma State University-Main Campus,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Mathematics,'27',Bachelor's degree,16,8,8,10,4,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3,1
1996-1997,207388,Oklahoma State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,34,9,25,28,8,20,1,0,1,2,1,1,0,0,0,2,0,2,0,0,0,1,0,1
1996-1997,207388,Oklahoma State University-Main Campus,Philosophy and Religion,'38',Bachelor's degree,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,207388,Oklahoma State University-Main Campus,Physical Sciences,'40',Bachelor's degree,21,14,7,13,8,5,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,5,4,1
1996-1997,207388,Oklahoma State University-Main Campus,Protective Services,'43',Bachelor's degree,68,62,6,54,50,4,2,1,1,3,3,0,0,0,0,3,2,1,0,0,0,6,6,0
1996-1997,207388,Oklahoma State University-Main Campus,Psychology,'42',Bachelor's degree,112,29,83,95,25,70,2,0,2,2,0,2,1,0,1,10,4,6,0,0,0,2,0,2
1996-1997,207388,Oklahoma State University-Main Campus,Social Sciences and History,'45',Bachelor's degree,138,72,66,108,56,52,7,3,4,0,0,0,2,0,2,11,4,7,0,0,0,10,9,1
1996-1997,207388,Oklahoma State University-Main Campus,Transporation and Material Moving Workers,'49',Bachelor's degree,57,50,7,48,41,7,2,2,0,2,2,0,1,1,0,3,3,0,0,0,0,1,1,0
1996-1997,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,'50',Bachelor's degree,35,14,21,27,12,15,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,5,1,4
1996-1997,209542,Oregon State University,Agricultural Business and Production,'01',Bachelor's degree,62,38,24,50,30,20,0,0,0,3,1,2,4,3,1,0,0,0,3,2,1,2,2,0
1996-1997,209542,Oregon State University,Agricultural Sciences,'02',Bachelor's degree,86,44,42,74,39,35,0,0,0,3,1,2,1,1,0,1,1,0,3,2,1,4,0,4
1996-1997,209542,Oregon State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,17,7,10,13,5,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0
1996-1997,209542,Oregon State University,Biological Science/Life Sciences,'26',Bachelor's degree,153,76,77,116,55,61,1,0,1,1,1,0,17,12,5,2,0,2,9,6,3,7,2,5
1996-1997,209542,Oregon State University,Business Management and Administrative Services,'52',Bachelor's degree,322,205,117,249,163,86,2,1,1,5,1,4,24,16,8,7,5,2,9,6,3,26,13,13
1996-1997,209542,Oregon State University,Computer and Information Sciences,'11',Bachelor's degree,37,30,7,25,22,3,0,0,0,0,0,0,5,4,1,0,0,0,1,1,0,6,3,3
1996-1997,209542,Oregon State University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,115,77,38,99,67,32,0,0,0,1,1,0,3,2,1,4,1,3,7,5,2,1,1,0
1996-1997,209542,Oregon State University,Education,'13',Bachelor's degree,89,42,47,75,35,40,0,0,0,4,2,2,5,2,3,3,1,2,1,1,0,1,1,0
1996-1997,209542,Oregon State University,Engineering,'14',Bachelor's degree,301,259,42,206,180,26,0,0,0,7,6,1,29,23,6,3,2,1,19,18,1,37,30,7
1996-1997,209542,Oregon State University,English Language and Literature/Letters,'23',Bachelor's degree,103,50,53,94,44,50,1,1,0,4,2,2,3,3,0,0,0,0,1,0,1,0,0,0
1996-1997,209542,Oregon State University,Foreign Languages and Literatures,'16',Bachelor's degree,20,7,13,16,6,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,2
1996-1997,209542,Oregon State University,Health Professions and Related Sciences,'51',Bachelor's degree,171,64,107,135,52,83,0,0,0,3,2,1,26,7,19,1,1,0,3,2,1,3,0,3
1996-1997,209542,Oregon State University,Home Economics- General,'19',Bachelor's degree,174,13,161,139,9,130,0,0,0,7,1,6,13,2,11,3,0,3,5,1,4,7,0,7
1996-1997,209542,Oregon State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,107,40,67,86,28,58,2,2,0,8,5,3,2,1,1,2,1,1,6,3,3,1,0,1
1996-1997,209542,Oregon State University,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,24,0,24,21,0,21,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0
1996-1997,209542,Oregon State University,Mathematics,'27',Bachelor's degree,15,13,2,12,10,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
1996-1997,209542,Oregon State University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,97,59,38,84,50,34,0,0,0,0,0,0,6,4,2,0,0,0,5,4,1,2,1,1
1996-1997,209542,Oregon State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,15,12,3,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1996-1997,209542,Oregon State University,Philosophy and Religion,'38',Bachelor's degree,11,8,3,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
1996-1997,209542,Oregon State University,Physical Sciences,'40',Bachelor's degree,26,20,6,22,17,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1
1996-1997,209542,Oregon State University,Psychology,'42',Bachelor's degree,92,26,66,67,19,48,0,0,0,6,2,4,10,3,7,1,0,1,3,1,2,5,1,4
1996-1997,209542,Oregon State University,Science Technologies,'41',Bachelor's degree,8,5,3,5,4,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
1996-1997,209542,Oregon State University,Social Sciences and History,'45',Bachelor's degree,194,114,80,151,90,61,3,2,1,16,5,11,6,5,1,2,0,2,8,8,0,8,4,4
1996-1997,209542,Oregon State University,Visual and Performing Arts,'50',Bachelor's degree,47,23,24,35,16,19,0,0,0,0,0,0,9,5,4,0,0,0,1,0,1,2,2,0
1996-1997,186380,Rutgers University-New Brunswick,Agricultural Sciences,'02',Bachelor's degree,80,35,45,60,28,32,2,0,2,6,4,2,8,1,7,0,0,0,3,1,2,1,1,0
1996-1997,186380,Rutgers University-New Brunswick,Architecture and Related Programs,'04',Bachelor's degree,32,18,14,29,16,13,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,91,26,65,54,11,43,21,8,13,9,4,5,2,1,1,0,0,0,5,2,3,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Biological Science/Life Sciences,'26',Bachelor's degree,502,232,270,269,129,140,19,4,15,32,14,18,154,75,79,2,0,2,18,9,9,8,1,7
1996-1997,186380,Rutgers University-New Brunswick,Business Management and Administrative Services,'52',Bachelor's degree,339,168,171,222,123,99,19,7,12,10,3,7,72,23,49,0,0,0,4,3,1,12,9,3
1996-1997,186380,Rutgers University-New Brunswick,Communications,'09',Bachelor's degree,331,111,220,240,92,148,22,5,17,31,8,23,22,3,19,1,0,1,10,2,8,5,1,4
1996-1997,186380,Rutgers University-New Brunswick,Computer and Information Sciences,'11',Bachelor's degree,139,104,35,71,60,11,3,3,0,4,4,0,47,30,17,0,0,0,2,2,0,12,5,7
1996-1997,186380,Rutgers University-New Brunswick,Conservation and Renewable Natural Resources,'03',Bachelor's degree,202,101,101,168,84,84,4,1,3,5,3,2,19,11,8,1,0,1,5,2,3,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Education,'13',Bachelor's degree,152,60,92,118,47,71,7,4,3,6,2,4,16,5,11,1,1,0,3,1,2,1,0,1
1996-1997,186380,Rutgers University-New Brunswick,Engineering,'14',Bachelor's degree,425,348,77,252,201,51,16,13,3,14,11,3,102,88,14,0,0,0,14,13,1,27,22,5
1996-1997,186380,Rutgers University-New Brunswick,English Language and Literature/Letters,'23',Bachelor's degree,303,98,205,225,67,158,23,6,17,23,10,13,19,8,11,2,2,0,10,5,5,1,0,1
1996-1997,186380,Rutgers University-New Brunswick,Foreign Languages and Literatures,'16',Bachelor's degree,117,20,97,68,12,56,3,0,3,32,5,27,6,2,4,0,0,0,3,1,2,5,0,5
1996-1997,186380,Rutgers University-New Brunswick,Health Professions and Related Sciences,'51',Bachelor's degree,206,59,147,94,33,61,20,6,14,14,2,12,63,14,49,1,0,1,7,2,5,7,2,5
1996-1997,186380,Rutgers University-New Brunswick,Mathematics,'27',Bachelor's degree,74,40,34,45,27,18,3,0,3,5,2,3,13,8,5,1,0,1,5,3,2,2,0,2
1996-1997,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,'30',Bachelor's degree,11,4,7,9,4,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Philosophy and Religion,'38',Bachelor's degree,41,31,10,33,23,10,1,1,0,3,3,0,3,3,0,1,1,0,0,0,0,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Physical Sciences,'40',Bachelor's degree,98,55,43,65,40,25,5,3,2,2,0,2,22,8,14,0,0,0,1,1,0,3,3,0
1996-1997,186380,Rutgers University-New Brunswick,Protective Services,'43',Bachelor's degree,194,118,76,124,85,39,28,12,16,22,8,14,16,10,6,1,1,0,3,2,1,0,0,0
1996-1997,186380,Rutgers University-New Brunswick,Psychology,'42',Bachelor's degree,526,115,411,370,73,297,33,11,22,48,10,38,54,16,38,2,0,2,16,5,11,3,0,3
1996-1997,186380,Rutgers University-New Brunswick,Public Administration and Services,'44',Bachelor's degree,25,5,20,14,3,11,6,1,5,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1
1996-1997,186380,Rutgers University-New Brunswick,Social Sciences and History,'45',Bachelor's degree,978,495,483,657,342,315,79,21,58,80,43,37,108,60,48,3,3,0,30,17,13,21,9,12
1996-1997,186380,Rutgers University-New Brunswick,Visual and Performing Arts,'50',Bachelor's degree,195,63,132,152,47,105,16,7,9,7,3,4,12,4,8,0,0,0,4,1,3,4,1,3
1996-1997,122755,San Jose State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,122755,San Jose State University,Biological Science/Life Sciences,'26',Bachelor's degree,122,51,71,41,19,22,5,0,5,8,5,3,45,14,31,2,2,0,18,9,9,3,2,1
1996-1997,122755,San Jose State University,Business Management and Administrative Services,'52',Bachelor's degree,986,427,559,309,155,154,31,17,14,98,40,58,395,145,250,4,2,2,91,52,39,58,16,42
1996-1997,122755,San Jose State University,Communications,'09',Bachelor's degree,215,83,132,103,47,56,16,2,14,34,12,22,24,10,14,2,0,2,30,11,19,6,1,5
1996-1997,122755,San Jose State University,Computer and Information Sciences,'11',Bachelor's degree,111,66,45,22,14,8,1,1,0,4,3,1,62,35,27,0,0,0,3,2,1,19,11,8
1996-1997,122755,San Jose State University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,72,37,35,37,22,15,1,1,0,8,4,4,15,6,9,0,0,0,9,4,5,2,0,2
1996-1997,122755,San Jose State University,Education,'13',Bachelor's degree,189,46,143,98,24,74,4,1,3,24,8,16,39,9,30,2,0,2,19,3,16,3,1,2
1996-1997,122755,San Jose State University,Engineering,'14',Bachelor's degree,599,514,85,198,169,29,17,16,1,44,41,3,275,232,43,2,0,2,63,56,7,0,0,0
1996-1997,122755,San Jose State University,English Language and Literature/Letters,'23',Bachelor's degree,143,47,96,85,22,63,7,2,5,17,8,9,12,6,6,1,1,0,21,8,13,0,0,0
1996-1997,122755,San Jose State University,Foreign Languages and Literatures,'16',Bachelor's degree,37,9,28,13,5,8,0,0,0,14,3,11,4,0,4,0,0,0,5,1,4,1,0,1
1996-1997,122755,San Jose State University,Health Professions and Related Sciences,'51',Bachelor's degree,340,58,282,152,24,128,13,1,12,37,11,26,91,13,78,1,0,1,40,8,32,6,1,5
1996-1997,122755,San Jose State University,Home Economics- General,'19',Bachelor's degree,29,3,26,22,3,19,2,0,2,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0
1996-1997,122755,San Jose State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,114,13,101,60,7,53,2,0,2,29,2,27,7,1,6,0,0,0,16,3,13,0,0,0
1996-1997,122755,San Jose State University,Mathematics,'27',Bachelor's degree,18,9,9,8,3,5,0,0,0,2,1,1,3,2,1,0,0,0,1,1,0,4,2,2
