Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1999-2000,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',22,7,15,18,5,13,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
1999-2000,142115,Boise State University,Bachelor's degree,Philosophy and Religion,'38',13,7,6,12,6,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Bachelor's degree,Physical Sciences,'40',17,15,2,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
1999-2000,142115,Boise State University,Bachelor's degree,Protective Services,'43',36,20,16,27,15,12,0,0,0,4,1,3,2,2,0,0,0,0,3,2,1,0,0,0
1999-2000,142115,Boise State University,Bachelor's degree,Psychology,'42',53,15,38,42,11,31,0,0,0,4,2,2,1,0,1,2,0,2,3,1,2,1,1,0
1999-2000,142115,Boise State University,Bachelor's degree,Public Administration and Services,'44',30,3,27,26,3,23,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1
1999-2000,142115,Boise State University,Bachelor's degree,Social Sciences and History,'45',181,92,89,149,74,75,9,8,1,9,4,5,3,0,3,1,0,1,6,4,2,4,2,2
1999-2000,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,'50',80,34,46,75,32,43,1,0,1,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Agricultural Business and Production,'01',56,47,9,55,46,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Agricultural Sciences,'02',87,38,49,79,35,44,4,1,3,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Architecture and Related Programs,'04',124,86,38,114,79,35,6,5,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0,1
1999-2000,217882,Clemson University,Bachelor's degree,Biological Science/Life Sciences,'26',124,56,68,100,44,56,13,6,7,1,0,1,8,5,3,1,0,1,0,0,0,1,1,0
1999-2000,217882,Clemson University,Bachelor's degree,Business Management and Administrative Services,'52',504,290,214,448,253,195,29,15,14,4,4,0,7,7,0,2,0,2,5,4,1,9,7,2
1999-2000,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,'11',52,41,11,42,33,9,3,2,1,0,0,0,3,3,0,0,0,0,2,2,0,2,1,1
1999-2000,217882,Clemson University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',75,64,11,73,63,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,217882,Clemson University,Bachelor's degree,Education,'13',296,57,239,274,53,221,18,3,15,1,0,1,0,0,0,2,1,1,1,0,1,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Engineering,'14',385,299,86,317,257,60,43,25,18,1,1,0,11,7,4,2,1,1,5,3,2,6,5,1
1999-2000,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,'23',114,37,77,101,34,67,12,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Foreign Languages and Literatures,'16',39,13,26,31,10,21,4,1,3,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1
1999-2000,217882,Clemson University,Bachelor's degree,Health Professions and Related Sciences,'51',148,11,137,136,11,125,8,0,8,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Mathematics,'27',14,6,8,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1999-2000,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',100,44,56,97,42,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1999-2000,217882,Clemson University,Bachelor's degree,Philosophy and Religion,'38',5,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Physical Sciences,'40',47,36,11,35,26,9,6,4,2,0,0,0,1,1,0,0,0,0,0,0,0,5,5,0
1999-2000,217882,Clemson University,Bachelor's degree,Psychology,'42',135,32,103,126,31,95,6,0,6,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0
1999-2000,217882,Clemson University,Bachelor's degree,Science Technologies,'41',19,16,3,17,15,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,217882,Clemson University,Bachelor's degree,Social Sciences and History,'45',152,86,66,127,73,54,15,6,9,2,2,0,3,2,1,0,0,0,3,2,1,2,1,1
1999-2000,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,'50',78,29,49,71,28,43,4,0,4,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1
