CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Architecture and Related Programs,Bachelor's degree,1995-1996,204796,Ohio State University-Main Campus,82,69,13,68,58,10,3,3,0,2,1,1,2,1,1,0,0,0,0,0,0,7,6,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,170976,University of Michigan-Ann Arbor,95,59,36,76,46,30,2,0,2,1,1,0,11,7,4,1,1,0,0,0,0,4,4,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,155399,Kansas State University,97,66,31,88,61,27,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,4,3,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,91,56,35,77,46,31,2,2,0,5,3,2,2,2,0,0,0,0,2,1,1,3,2,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,100751,The University of Alabama,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,181464,University of Nebraska-Lincoln,69,40,29,67,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,134130,University of Florida,95,74,21,78,62,16,3,2,1,3,2,1,6,4,2,1,1,0,0,0,0,4,3,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,100858,Auburn University,67,41,26,60,35,25,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3,2,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,152080,University of Notre Dame,42,27,15,30,22,8,3,1,2,3,2,1,4,1,3,0,0,0,0,0,0,2,1,1,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,230728,Utah State University,18,13,5,16,12,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,123961,University of Southern California,88,57,31,45,34,11,3,2,1,9,6,3,19,7,12,2,2,0,2,1,1,8,5,3,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,186380,Rutgers University-New Brunswick,36,25,11,32,22,10,1,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,'04.0000'
Architecture and Related Programs,Bachelor's degree,1995-1996,228778,The University of Texas at Austin,55,41,14,37,28,9,0,0,0,7,6,1,6,3,3,0,0,0,0,0,0,5,4,1,'04.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,152080,University of Notre Dame,25,12,13,24,12,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,186380,Rutgers University-New Brunswick,80,24,56,40,10,30,22,6,16,9,7,2,4,0,4,1,0,1,3,1,2,1,0,1,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,230728,Utah State University,3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,228246,Southern Methodist University,6,1,5,2,0,2,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,209542,Oregon State University,19,8,11,12,8,4,0,0,0,1,0,1,1,0,1,3,0,3,0,0,0,2,0,2,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,135726,University of Miami,4,0,4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,142115,Boise State University,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,123961,University of Southern California,13,8,5,6,5,1,0,0,0,0,0,0,5,1,4,0,0,0,1,1,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,228778,The University of Texas at Austin,88,32,56,55,21,34,9,2,7,17,6,11,6,2,4,0,0,0,0,0,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,181464,University of Nebraska-Lincoln,6,2,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,147767,Northwestern University,15,7,8,11,5,6,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,134130,University of Florida,12,5,7,8,5,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,100751,The University of Alabama,9,6,3,8,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,221999,Vanderbilt University,16,4,12,15,4,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,207500,University of Oklahoma Norman Campus,13,6,7,9,3,6,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,199120,University of North Carolina at Chapel Hill,139,40,99,104,27,77,22,7,15,5,2,3,6,3,3,0,0,0,0,0,0,2,1,1,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,243744,Stanford University,70,25,45,33,10,23,10,5,5,10,3,7,14,6,8,2,0,2,0,0,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,134097,Florida State University,16,11,5,12,9,3,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,139959,University of Georgia,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,209551,University of Oregon,18,9,9,9,6,3,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,4,0,4,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,170976,University of Michigan-Ann Arbor,85,25,60,42,11,31,13,3,10,10,2,8,11,2,9,1,0,1,6,5,1,2,2,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,157289,University of Louisville,5,1,4,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,218663,University of South Carolina-Columbia,5,3,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,198419,Duke University,58,21,37,38,13,25,4,2,2,4,1,3,11,4,7,0,0,0,0,0,0,1,1,0,'05.0000'
