Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,243744,Stanford University,Bachelor's degree,'14.0000',Engineering,338,260,78
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'14.0000',Engineering,204,167,37
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'14.0000',Engineering,292,264,28
1987-1988,142115,Boise State University,Bachelor's degree,'14.0000',Engineering,5,1,4
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'14.0000',Engineering,765,653,112
1987-1988,100751,The University of Alabama,Bachelor's degree,'14.0000',Engineering,232,187,45
1987-1988,157289,University of Louisville,Bachelor's degree,'14.0000',Engineering,255,217,38
1987-1988,230728,Utah State University,Bachelor's degree,'14.0000',Engineering,103,95,8
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'14.0000',Engineering,261,237,24
1987-1988,152080,University of Notre Dame,Bachelor's degree,'14.0000',Engineering,275,237,38
1987-1988,135726,University of Miami,Bachelor's degree,'14.0000',Engineering,259,219,40
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'15.0000',Engineering-Related Technologies,73,70,3
1987-1988,217882,Clemson University,Bachelor's degree,'15.0000',Engineering-Related Technologies,16,15,1
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'15.0000',Engineering-Related Technologies,155,149,6
1987-1988,228246,Southern Methodist University,Bachelor's degree,'15.0000',Engineering-Related Technologies,5,4,1
1987-1988,134130,University of Florida,Bachelor's degree,'15.0000',Engineering-Related Technologies,115,107,8
1987-1988,209542,Oregon State University,Bachelor's degree,'15.0000',Engineering-Related Technologies,43,40,3
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'15.0000',Engineering-Related Technologies,102,94,8
1987-1988,123961,University of Southern California,Bachelor's degree,'15.0000',Engineering-Related Technologies,7,6,1
1987-1988,155399,Kansas State University,Bachelor's degree,'15.0000',Engineering-Related Technologies,59,55,4
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'15.0000',Engineering-Related Technologies,173,161,12
1987-1988,230728,Utah State University,Bachelor's degree,'15.0000',Engineering-Related Technologies,32,31,1
1987-1988,122755,San Jose State University,Bachelor's degree,'15.0000',Engineering-Related Technologies,267,232,35
1987-1988,100751,The University of Alabama,Bachelor's degree,'15.0000',Engineering-Related Technologies,26,23,3
1987-1988,243744,Stanford University,Bachelor's degree,'23.0000',English Language and Literature/Letters,123,46,77
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'23.0000',English Language and Literature/Letters,159,29,130
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'23.0000',English Language and Literature/Letters,342,126,216
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'23.0000',English Language and Literature/Letters,39,11,28
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'23.0000',English Language and Literature/Letters,105,38,67
1987-1988,209551,University of Oregon,Bachelor's degree,'23.0000',English Language and Literature/Letters,195,79,116
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'23.0000',English Language and Literature/Letters,93,30,63
1987-1988,123961,University of Southern California,Bachelor's degree,'23.0000',English Language and Literature/Letters,53,22,31
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'23.0000',English Language and Literature/Letters,411,133,278
1987-1988,134130,University of Florida,Bachelor's degree,'23.0000',English Language and Literature/Letters,226,63,163
1987-1988,228246,Southern Methodist University,Bachelor's degree,'23.0000',English Language and Literature/Letters,62,16,46
1987-1988,100751,The University of Alabama,Bachelor's degree,'23.0000',English Language and Literature/Letters,50,19,31
1987-1988,221999,Vanderbilt University,Bachelor's degree,'23.0000',English Language and Literature/Letters,105,39,66
1987-1988,152080,University of Notre Dame,Bachelor's degree,'23.0000',English Language and Literature/Letters,183,103,80
1987-1988,122755,San Jose State University,Bachelor's degree,'23.0000',English Language and Literature/Letters,65,14,51
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'23.0000',English Language and Literature/Letters,283,87,196
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'23.0000',English Language and Literature/Letters,117,48,69
1987-1988,147767,Northwestern University,Bachelor's degree,'23.0000',English Language and Literature/Letters,83,26,57
1987-1988,157289,University of Louisville,Bachelor's degree,'23.0000',English Language and Literature/Letters,55,19,36
1987-1988,142115,Boise State University,Bachelor's degree,'23.0000',English Language and Literature/Letters,19,6,13
1987-1988,155399,Kansas State University,Bachelor's degree,'23.0000',English Language and Literature/Letters,28,12,16
1987-1988,217882,Clemson University,Bachelor's degree,'23.0000',English Language and Literature/Letters,42,11,31
1987-1988,230728,Utah State University,Bachelor's degree,'23.0000',English Language and Literature/Letters,54,15,39
1987-1988,139959,University of Georgia,Bachelor's degree,'23.0000',English Language and Literature/Letters,213,90,123
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'23.0000',English Language and Literature/Letters,62,30,32
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'23.0000',English Language and Literature/Letters,75,24,51
1987-1988,100858,Auburn University,Bachelor's degree,'23.0000',English Language and Literature/Letters,83,31,52
1987-1988,209542,Oregon State University,Bachelor's degree,'23.0000',English Language and Literature/Letters,139,72,67
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'23.0000',English Language and Literature/Letters,233,90,143
1987-1988,131496,Georgetown University,Bachelor's degree,'23.0000',English Language and Literature/Letters,126,41,85
1987-1988,198419,Duke University,Bachelor's degree,'23.0000',English Language and Literature/Letters,96,41,55
1987-1988,135726,University of Miami,Bachelor's degree,'23.0000',English Language and Literature/Letters,67,21,46
1987-1988,142115,Boise State University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,1,0,1
1987-1988,228246,Southern Methodist University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,30,3,27
1987-1988,152080,University of Notre Dame,Bachelor's degree,'16.0000',Foreign Languages and Literatures,13,6,7
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'16.0000',Foreign Languages and Literatures,32,6,26
1987-1988,243744,Stanford University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,39,20,19
1987-1988,147767,Northwestern University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,23,2,21
1987-1988,221999,Vanderbilt University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,28,9,19
1987-1988,155399,Kansas State University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,18,4,14
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'16.0000',Foreign Languages and Literatures,25,8,17
1987-1988,131496,Georgetown University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,119,27,92
1987-1988,230728,Utah State University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,21,13,8
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'16.0000',Foreign Languages and Literatures,113,31,82
1987-1988,157289,University of Louisville,Bachelor's degree,'16.0000',Foreign Languages and Literatures,11,5,6
1987-1988,135726,University of Miami,Bachelor's degree,'16.0000',Foreign Languages and Literatures,6,1,5
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'16.0000',Foreign Languages and Literatures,46,14,32
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'16.0000',Foreign Languages and Literatures,126,35,91
1987-1988,139959,University of Georgia,Bachelor's degree,'16.0000',Foreign Languages and Literatures,29,9,20
1987-1988,209542,Oregon State University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,14,4,10
1987-1988,134130,University of Florida,Bachelor's degree,'16.0000',Foreign Languages and Literatures,27,9,18
1987-1988,122755,San Jose State University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,22,7,15
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'16.0000',Foreign Languages and Literatures,10,0,10
1987-1988,217882,Clemson University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,13,1,12
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'16.0000',Foreign Languages and Literatures,23,10,13
1987-1988,100858,Auburn University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,33,5,28
1987-1988,123961,University of Southern California,Bachelor's degree,'16.0000',Foreign Languages and Literatures,34,10,24
1987-1988,100751,The University of Alabama,Bachelor's degree,'16.0000',Foreign Languages and Literatures,5,1,4
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'16.0000',Foreign Languages and Literatures,92,18,74
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'16.0000',Foreign Languages and Literatures,38,13,25
1987-1988,198419,Duke University,Bachelor's degree,'16.0000',Foreign Languages and Literatures,31,8,23
1987-1988,209551,University of Oregon,Bachelor's degree,'16.0000',Foreign Languages and Literatures,81,25,56
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'16.0000',Foreign Languages and Literatures,17,6,11
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'16.0000',Foreign Languages and Literatures,67,21,46
1987-1988,122755,San Jose State University,Bachelor's degree,'18.0000',Health Sciences,125,9,116
1987-1988,209551,University of Oregon,Bachelor's degree,'18.0000',Health Sciences,4,1,3
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'18.0000',Health Sciences,3,1,2
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'18.0000',Health Sciences,254,74,180
1987-1988,152080,University of Notre Dame,Bachelor's degree,'18.0000',Health Sciences,159,115,44
1987-1988,135726,University of Miami,Bachelor's degree,'18.0000',Health Sciences,127,48,79
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'18.0000',Health Sciences,19,1,18
1987-1988,139959,University of Georgia,Bachelor's degree,'18.0000',Health Sciences,172,52,120
1987-1988,131496,Georgetown University,Bachelor's degree,'18.0000',Health Sciences,86,1,85
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'18.0000',Health Sciences,191,93,98
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'18.0000',Health Sciences,215,32,183
1987-1988,100858,Auburn University,Bachelor's degree,'18.0000',Health Sciences,160,39,121
1987-1988,230728,Utah State University,Bachelor's degree,'18.0000',Health Sciences,31,15,16
1987-1988,100751,The University of Alabama,Bachelor's degree,'18.0000',Health Sciences,109,18,91
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'18.0000',Health Sciences,20,12,8
1987-1988,123961,University of Southern California,Bachelor's degree,'18.0000',Health Sciences,78,2,76
1987-1988,155399,Kansas State University,Bachelor's degree,'18.0000',Health Sciences,29,13,16
1987-1988,157289,University of Louisville,Bachelor's degree,'18.0000',Health Sciences,80,8,72
1987-1988,147767,Northwestern University,Bachelor's degree,'18.0000',Health Sciences,106,29,77
1987-1988,221999,Vanderbilt University,Bachelor's degree,'18.0000',Health Sciences,60,1,59
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'18.0000',Health Sciences,16,3,13
1987-1988,217882,Clemson University,Bachelor's degree,'18.0000',Health Sciences,81,4,77
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'18.0000',Health Sciences,148,41,107
1987-1988,142115,Boise State University,Bachelor's degree,'18.0000',Health Sciences,34,9,25
1987-1988,134130,University of Florida,Bachelor's degree,'18.0000',Health Sciences,162,14,148
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'18.0000',Health Sciences,332,74,258
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'18.0000',Health Sciences,359,75,284
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'18.0000',Health Sciences,190,4,186
1987-1988,209542,Oregon State University,Bachelor's degree,'18.0000',Health Sciences,91,44,47
1987-1988,100751,The University of Alabama,Bachelor's degree,NA,Home Economics- General,73,6,67
1987-1988,155399,Kansas State University,Bachelor's degree,NA,Home Economics- General,119,7,112
1987-1988,100858,Auburn University,Bachelor's degree,NA,Home Economics- General,80,6,74
1987-1988,209542,Oregon State University,Bachelor's degree,NA,Home Economics- General,108,7,101
1987-1988,134130,University of Florida,Bachelor's degree,NA,Home Economics- General,12,0,12
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,NA,Home Economics- General,102,5,97
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,NA,Home Economics- General,53,2,51
1987-1988,123961,University of Southern California,Bachelor's degree,NA,Home Economics- General,12,2,10
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,NA,Home Economics- General,161,8,153
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,NA,Home Economics- General,1,0,1
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,NA,Home Economics- General,226,18,208
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Home Economics- General,111,1,110
1987-1988,122755,San Jose State University,Bachelor's degree,NA,Home Economics- General,24,0,24
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,NA,Home Economics- General,204,11,193
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,NA,Home Economics- General,17,2,15
1987-1988,139959,University of Georgia,Bachelor's degree,NA,Home Economics- General,96,2,94
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,NA,Home Economics- General,63,7,56
1987-1988,230728,Utah State University,Bachelor's degree,NA,Home Economics- General,61,11,50
1987-1988,100751,The University of Alabama,Bachelor's degree,NA,Law and Legal Studies,3,3,0
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,NA,Law and Legal Studies,23,16,7
1987-1988,230728,Utah State University,Bachelor's degree,NA,Law and Legal Studies,11,8,3
1987-1988,135726,University of Miami,Bachelor's degree,NA,Law and Legal Studies,3,1,2
1987-1988,123961,University of Southern California,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,1,1,0
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,23,10,13
1987-1988,135726,University of Miami,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,9,6,3
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,330,207,123
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,9,8,1
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,240,139,101
1987-1988,122755,San Jose State University,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,102,7,95
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,9,3,6
1987-1988,157289,University of Louisville,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,28,9,19
1987-1988,100751,The University of Alabama,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,1,0,1
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,198,91,107
1987-1988,230728,Utah State University,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,19,12,7
1987-1988,131496,Georgetown University,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,11,3,8
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,NA,Liberal Arts and Studies- General Sciences and Humanities,139,64,75
1987-1988,100858,Auburn University,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,30,2,28
1987-1988,139959,University of Georgia,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,57,0,57
1987-1988,217882,Clemson University,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,28,6,22
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,465,289,176
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,193,95,98
1987-1988,135726,University of Miami,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,63,27,36
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'08.0000',Marketing Operations/Marketing and Distribution,107,88,19
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'27.0000',Mathematics,18,10,8
1987-1988,155399,Kansas State University,Bachelor's degree,'27.0000',Mathematics,31,14,17
1987-1988,230728,Utah State University,Bachelor's degree,'27.0000',Mathematics,10,9,1
1987-1988,198419,Duke University,Bachelor's degree,'27.0000',Mathematics,37,12,25
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'27.0000',Mathematics,90,49,41
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'27.0000',Mathematics,50,34,16
1987-1988,135726,University of Miami,Bachelor's degree,'27.0000',Mathematics,15,7,8
1987-1988,131496,Georgetown University,Bachelor's degree,'27.0000',Mathematics,8,7,1
1987-1988,217882,Clemson University,Bachelor's degree,'27.0000',Mathematics,37,16,21
1987-1988,147767,Northwestern University,Bachelor's degree,'27.0000',Mathematics,46,28,18
1987-1988,139959,University of Georgia,Bachelor's degree,'27.0000',Mathematics,27,14,13
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'27.0000',Mathematics,39,15,24
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'27.0000',Mathematics,87,42,45
1987-1988,122755,San Jose State University,Bachelor's degree,'27.0000',Mathematics,82,52,30
1987-1988,100858,Auburn University,Bachelor's degree,'27.0000',Mathematics,53,37,16
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'27.0000',Mathematics,27,20,7
1987-1988,142115,Boise State University,Bachelor's degree,'27.0000',Mathematics,12,9,3
1987-1988,152080,University of Notre Dame,Bachelor's degree,'27.0000',Mathematics,37,23,14
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'27.0000',Mathematics,100,65,35
1987-1988,134130,University of Florida,Bachelor's degree,'27.0000',Mathematics,81,47,34
1987-1988,123961,University of Southern California,Bachelor's degree,'27.0000',Mathematics,15,7,8
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'27.0000',Mathematics,78,47,31
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'27.0000',Mathematics,76,52,24
1987-1988,228246,Southern Methodist University,Bachelor's degree,'27.0000',Mathematics,26,11,15
1987-1988,157289,University of Louisville,Bachelor's degree,'27.0000',Mathematics,27,15,12
1987-1988,209542,Oregon State University,Bachelor's degree,'27.0000',Mathematics,37,25,12
1987-1988,221999,Vanderbilt University,Bachelor's degree,'27.0000',Mathematics,91,36,55
1987-1988,209551,University of Oregon,Bachelor's degree,'27.0000',Mathematics,42,28,14
1987-1988,243744,Stanford University,Bachelor's degree,'27.0000',Mathematics,40,29,11
1987-1988,100751,The University of Alabama,Bachelor's degree,'27.0000',Mathematics,14,8,6
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'27.0000',Mathematics,31,12,19
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'27.0000',Mathematics,18,11,7
1987-1988,230728,Utah State University,Bachelor's degree,NA,Mechanics and Repairers,10,10,0
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Military Sciences,2,2,0
1987-1988,209551,University of Oregon,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,47,28,19
1987-1988,139959,University of Georgia,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,19,15,4
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,122,46,76
1987-1988,100751,The University of Alabama,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,86,49,37
1987-1988,243744,Stanford University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,195,59,136
1987-1988,209542,Oregon State University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,65,42,23
1987-1988,157289,University of Louisville,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,4,1,3
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,41,21,20
1987-1988,147767,Northwestern University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,31,16,15
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,18,6,12
1987-1988,198419,Duke University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,2,0,2
1987-1988,155399,Kansas State University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,46,27,19
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,162,78,84
1987-1988,134130,University of Florida,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,33,18,15
1987-1988,131496,Georgetown University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,9,5,4
1987-1988,221999,Vanderbilt University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,47,10,37
1987-1988,142115,Boise State University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,47,42,5
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,15,4,11
1987-1988,122755,San Jose State University,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,24,11,13
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,96,12,84
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,26,15,11
1987-1988,123961,University of Southern California,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,73,33,40
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'30.0000',Multi/Interdisciplinary Studies,6,2,4
1987-1988,100751,The University of Alabama,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,2,1,1
1987-1988,100858,Auburn University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,14,9,5
1987-1988,155399,Kansas State University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,15,2,13
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,25,10,15
1987-1988,142115,Boise State University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,10,6,4
1987-1988,209551,University of Oregon,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,62,24,38
1987-1988,157289,University of Louisville,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,5,3,2
1987-1988,217882,Clemson University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,67,13,54
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,28,18,10
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,68,39,29
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,31,6,25
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,22,5,17
1987-1988,135726,University of Miami,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,1,0,1
1987-1988,122755,San Jose State University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,16,3,13
1987-1988,209542,Oregon State University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,13,7,6
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,16,7,9
1987-1988,230728,Utah State University,Bachelor's degree,NA,Parks- Recreation- Leisure and Fitness Studies,7,2,5
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'38.0000',Philosophy and Religion,27,18,9
1987-1988,157289,University of Louisville,Bachelor's degree,'38.0000',Philosophy and Religion,6,6,0
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'38.0000',Philosophy and Religion,13,8,5
1987-1988,198419,Duke University,Bachelor's degree,'38.0000',Philosophy and Religion,27,12,15
1987-1988,228246,Southern Methodist University,Bachelor's degree,'38.0000',Philosophy and Religion,9,5,4
1987-1988,142115,Boise State University,Bachelor's degree,'38.0000',Philosophy and Religion,1,1,0
1987-1988,209551,University of Oregon,Bachelor's degree,'38.0000',Philosophy and Religion,11,8,3
1987-1988,147767,Northwestern University,Bachelor's degree,'38.0000',Philosophy and Religion,20,14,6
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'38.0000',Philosophy and Religion,7,4,3
1987-1988,243744,Stanford University,Bachelor's degree,'38.0000',Philosophy and Religion,8,6,2
1987-1988,131496,Georgetown University,Bachelor's degree,'38.0000',Philosophy and Religion,34,19,15
1987-1988,155399,Kansas State University,Bachelor's degree,'38.0000',Philosophy and Religion,1,1,0
1987-1988,123961,University of Southern California,Bachelor's degree,'38.0000',Philosophy and Religion,14,12,2
1987-1988,100858,Auburn University,Bachelor's degree,'38.0000',Philosophy and Religion,8,7,1
1987-1988,100751,The University of Alabama,Bachelor's degree,'38.0000',Philosophy and Religion,5,3,2
1987-1988,209542,Oregon State University,Bachelor's degree,'38.0000',Philosophy and Religion,10,8,2
1987-1988,122755,San Jose State University,Bachelor's degree,'38.0000',Philosophy and Religion,8,6,2
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'38.0000',Philosophy and Religion,4,2,2
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'38.0000',Philosophy and Religion,8,6,2
1987-1988,134130,University of Florida,Bachelor's degree,'38.0000',Philosophy and Religion,21,16,5
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'38.0000',Philosophy and Religion,52,29,23
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'38.0000',Philosophy and Religion,10,7,3
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'38.0000',Philosophy and Religion,34,22,12
1987-1988,230728,Utah State University,Bachelor's degree,'38.0000',Philosophy and Religion,6,6,0
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'38.0000',Philosophy and Religion,6,5,1
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'38.0000',Philosophy and Religion,15,10,5
1987-1988,139959,University of Georgia,Bachelor's degree,'38.0000',Philosophy and Religion,6,5,1
1987-1988,135726,University of Miami,Bachelor's degree,'38.0000',Philosophy and Religion,5,2,3
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'38.0000',Philosophy and Religion,14,10,4
1987-1988,221999,Vanderbilt University,Bachelor's degree,'38.0000',Philosophy and Religion,9,6,3
1987-1988,152080,University of Notre Dame,Bachelor's degree,'38.0000',Philosophy and Religion,32,28,4
1987-1988,209551,University of Oregon,Bachelor's degree,'40.0000',Physical Sciences,44,29,15
1987-1988,100858,Auburn University,Bachelor's degree,'40.0000',Physical Sciences,55,41,14
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'40.0000',Physical Sciences,25,22,3
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'40.0000',Physical Sciences,104,76,28
1987-1988,134130,University of Florida,Bachelor's degree,'40.0000',Physical Sciences,71,45,26
1987-1988,221999,Vanderbilt University,Bachelor's degree,'40.0000',Physical Sciences,20,15,5
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'40.0000',Physical Sciences,37,32,5
1987-1988,100751,The University of Alabama,Bachelor's degree,'40.0000',Physical Sciences,30,24,6
1987-1988,198419,Duke University,Bachelor's degree,'40.0000',Physical Sciences,65,46,19
1987-1988,131496,Georgetown University,Bachelor's degree,'40.0000',Physical Sciences,18,14,4
