Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2002-2003,100858,Auburn University,Bachelor's degree,First major,Social sciences.,'45',187,105,82,155,89,66,28,14,14,1,0,1,1,1,0,2,1,1,0,0,0,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1198,552,646,264,125,139,32,18,14,147,71,76,568,250,318,4,4,0,127,64,63,56,20,36
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',270,181,89,35,29,6,0,0,0,9,7,2,156,107,49,0,0,0,21,16,5,49,22,27
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Education.,'13',128,4,124,57,2,55,2,1,1,22,0,22,27,1,26,2,0,2,18,0,18,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',30,9,21,7,2,5,0,0,0,11,3,8,4,3,1,0,0,0,6,1,5,2,0,2
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',219,23,196,55,4,51,8,1,7,35,7,28,98,8,90,2,0,2,19,3,16,2,0,2
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',8,4,4,3,1,2,0,0,0,0,0,0,2,1,1,1,1,0,2,1,1,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Physical sciences.,'40',19,13,6,11,8,3,0,0,0,1,0,1,3,2,1,0,0,0,4,3,1,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Social sciences.,'45',208,94,114,66,29,37,17,11,6,61,22,39,26,12,14,3,1,2,27,14,13,8,5,3
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',9,6,3,8,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Computer and information sciences and support services.,'11',42,35,7,34,29,5,4,3,1,0,0,0,0,0,0,2,2,0,0,0,0,2,1,1
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Physical sciences.,'40',23,18,5,17,13,4,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',158,101,57,148,97,51,4,0,4,1,0,1,0,0,0,2,1,1,1,1,0,2,2,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',163,71,92,145,65,80,10,3,7,2,1,1,5,1,4,0,0,0,1,1,0,0,0,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1048,618,430,958,570,388,55,27,28,9,6,3,13,8,5,5,2,3,1,1,0,7,4,3
2002-2003,100858,Auburn University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',169,56,113,156,48,108,8,4,4,0,0,0,3,3,0,1,0,1,0,0,0,1,1,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Engineering.,'14',528,425,103,476,391,85,33,22,11,1,1,0,7,3,4,2,2,0,1,1,0,8,5,3
2002-2003,100858,Auburn University,Bachelor's degree,First major,English language and literature/letters.,'23',115,30,85,102,27,75,8,2,6,1,0,1,0,0,0,3,1,2,1,0,1,0,0,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',35,14,21,27,8,19,3,2,1,2,1,1,0,0,0,0,0,0,1,1,0,2,2,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Natural resources and conservation.,'03',60,45,15,58,43,15,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
