Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),33,14,19,29,12,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1997-1998,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),27,10,17,23,8,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1997-1998,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,27,10,17,23,8,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1997-1998,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,3,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,6,5,6,4,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),10,5,5,5,3,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,5,5,5,3,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,24,0,7,7,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),10,10,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,7,11,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1997-1998,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
