"","player","season","image_url","color","season_game","opponent","game_location","completions","attempts","passing_yards","passing_touchdowns","interceptions","rushing_touchdowns","qb_rating","team_points","opponent_points","completion_percentage","point_contribution_ratio","interceptions_per_attempt","yards_per_completion","yards_per_attempt","touchdowns_per_attempt","touchdowns_per_completion","player_point_to_opponent_point_ratio","label","detail"
"1","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",1,"NOR","home",27,35,312,3,0,0,132.1,42,34,77.14,42.86,0,11.56,8.91,8.57,11.11,52.94,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 1<br>QB Rating: 132.1<br>Passing Touchdowns: 3<br>Passing Yards: 312<br>Interceptions: 0</td></tr></table>"
"2","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",2,"CAR","away",19,30,308,2,0,0,119.9,30,23,63.33,40,0,16.21,10.27,6.67,10.53,52.17,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 2<br>QB Rating: 119.9<br>Passing Touchdowns: 2<br>Passing Yards: 308<br>Interceptions: 0</td></tr></table>"
"3","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",3,"CHI","away",28,38,297,3,1,0,111.4,27,17,73.68,66.67,2.63,10.61,7.82,7.89,10.71,105.88,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 3<br>QB Rating: 111.4<br>Passing Touchdowns: 3<br>Passing Yards: 297<br>Interceptions: 1</td></tr></table>"
"4","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",4,"DEN","home",29,38,408,4,1,2,134.5,49,23,76.32,73.47,2.63,14.07,10.74,10.53,13.79,156.52,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 4<br>QB Rating: 134.5<br>Passing Touchdowns: 4<br>Passing Yards: 408<br>Interceptions: 1</td></tr></table>"
"5","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",5,"ATL","away",26,39,396,2,0,0,117,25,14,66.67,48,0,15.23,10.15,5.13,7.69,85.71,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 5<br>QB Rating: 117<br>Passing Touchdowns: 2<br>Passing Yards: 396<br>Interceptions: 0</td></tr></table>"
"6","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",6,"STL","home",18,29,316,3,1,0,119.3,24,3,62.07,75,3.45,17.56,10.9,10.34,16.67,600,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 6<br>QB Rating: 119.3<br>Passing Touchdowns: 3<br>Passing Yards: 316<br>Interceptions: 1</td></tr></table>"
"7","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",7,"MIN","away",24,30,335,3,0,0,146.5,33,27,80,54.55,0,13.96,11.17,10,12.5,66.67,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 7<br>QB Rating: 146.5<br>Passing Touchdowns: 3<br>Passing Yards: 335<br>Interceptions: 0</td></tr></table>"
"8","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","#FFCC00",8,"SDG","away",21,26,247,4,0,0,145.8,45,38,80.77,53.33,0,11.76,9.5,15.38,19.05,63.16,"Rodgers '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><img src='http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 8<br>QB Rating: 145.8<br>Passing Touchdowns: 4<br>Passing Yards: 247<br>Interceptions: 0</td></tr></table>"
"9","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",1,"WAS","away",21,28,311,5,0,0,150.4,35,17,75,85.71,0,14.81,11.11,17.86,23.81,176.47,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 1<br>QB Rating: 150.4<br>Passing Touchdowns: 5<br>Passing Yards: 311<br>Interceptions: 0</td></tr></table>"
"10","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",2,"NWE","home",16,27,234,2,2,0,81.4,28,7,59.26,42.86,7.41,14.62,8.67,7.41,12.5,171.43,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 2<br>QB Rating: 81.4<br>Passing Touchdowns: 2<br>Passing Yards: 234<br>Interceptions: 2</td></tr></table>"
