Game_ID_2012,Team_Game_ID,Date,Location,TeamCode,Opponent,Result,Overtime,Team,Opponent,Wins,Losses,Streak,Season_Type,Season,Notes
21,21,"Sun, Jan 29, 2012",@,ATL,New Orleans Hornets,W,,94,72,15,6,W 2,Regular Season,2011-2012,
41,41,"Sun, Mar 11, 2012",@,ATL,Sacramento Kings,W,,106,99,24,17,W 1,Regular Season,2011-2012,
45,45,"Sun, Mar 18, 2012",@,ATL,Cleveland Cavaliers,W,,103,87,26,19,W 2,Regular Season,2011-2012,
50,50,"Sun, Mar 25, 2012",,ATL,Utah Jazz,W,4OT,139,133,30,20,W 4,Regular Season,2011-2012,
51,4,"Sun, May 6, 2012",@,ATL,Boston Celtics,L,,79,101,1,3,L 3,Playoffs,2011-2012,
66,66,"Thu, Apr 26, 2012",,ATL,Dallas Mavericks,W,,106,89,40,26,W 2,Regular Season,2011-2012,
23,23,"Thu, Feb 2, 2012",,ATL,Memphis Grizzlies,L,,77,96,16,7,L 1,Regular Season,2011-2012,
34,34,"Thu, Feb 23, 2012",,ATL,Orlando Magic,W,,83,78,20,14,W 1,Regular Season,2011-2012,
12,12,"Thu, Jan 12, 2012",,ATL,Charlotte Bobcats,W,,111,81,8,4,W 1,Regular Season,2011-2012,
7,7,"Thu, Jan 5, 2012",,ATL,Miami Heat,L,3OT,109,116,4,3,L 2,Regular Season,2011-2012,
8,6,"Thu, May 10, 2012",@,ATL,Boston Celtics,L,,80,83,2,4,L 1,Playoffs,2011-2012,
65,65,"Tue, Apr 24, 2012",,ATL,Los Angeles Clippers,W,,109,102,39,26,W 1,Regular Season,2011-2012,
1,1,"Tue, Dec 27, 2011",@,ATL,New Jersey Nets,W,,106,70,1,0,W 1,Regular Season,2011-2012,
29,29,"Tue, Feb 14, 2012",@,ATL,Los Angeles Lakers,L,,78,86,18,11,L 2,Regular Season,2011-2012,
6,6,"Tue, Jan 3, 2012",@,ATL,Chicago Bulls,L,,74,76,4,2,L 1,Regular Season,2011-2012,
22,22,"Tue, Jan 31, 2012",@,ATL,Toronto Raptors,W,,100,77,16,6,W 3,Regular Season,2011-2012,
42,42,"Tue, Mar 13, 2012",@,ATL,Denver Nuggets,L,OT,117,118,24,18,L 1,Regular Season,2011-2012,
51,51,"Tue, Mar 27, 2012",@,ATL,Milwaukee Bucks,L,,101,108,30,21,L 1,Regular Season,2011-2012,
38,38,"Tue, Mar 6, 2012",@,ATL,Indiana Pacers,W,,101,96,23,15,W 3,Regular Season,2011-2012,
39,2,"Tue, May 1, 2012",,ATL,Boston Celtics,L,,80,87,1,1,L 1,Playoffs,2011-2012,
40,5,"Tue, May 8, 2012",,ATL,Boston Celtics,W,,87,86,2,3,W 1,Playoffs,2011-2012,
58,58,"Wed, Apr 11, 2012",@,ATL,Boston Celtics,L,OT,86,88,34,24,L 1,Regular Season,2011-2012,
62,62,"Wed, Apr 18, 2012",,ATL,Detroit Pistons,W,,116,84,37,25,W 2,Regular Season,2011-2012,
55,55,"Wed, Apr 4, 2012",,ATL,Charlotte Bobcats,W,,120,93,32,23,W 1,Regular Season,2011-2012,
2,2,"Wed, Dec 28, 2011",,ATL,Washington Wizards,W,,101,83,2,0,W 2,Regular Season,2011-2012,
30,30,"Wed, Feb 15, 2012",@,ATL,Phoenix Suns,W,,101,99,19,11,W 1,Regular Season,2011-2012,
33,33,"Wed, Feb 22, 2012",@,ATL,New York Knicks,L,,82,99,19,14,L 3,Regular Season,2011-2012,
35,35,"Wed, Feb 29, 2012",,ATL,Golden State Warriors,L,,82,85,20,15,L 1,Regular Season,2011-2012,
26,26,"Wed, Feb 8, 2012",,ATL,Indiana Pacers,W,,97,87,17,9,W 1,Regular Season,2011-2012,
11,11,"Wed, Jan 11, 2012",@,ATL,Indiana Pacers,L,,84,96,7,4,L 1,Regular Season,2011-2012,
15,15,"Wed, Jan 18, 2012",,ATL,Portland Trail Blazers,W,,92,89,11,4,W 4,Regular Season,2011-2012,
19,19,"Wed, Jan 25, 2012",@,ATL,San Antonio Spurs,L,,83,105,13,6,L 1,Regular Season,2011-2012,
43,43,"Wed, Mar 14, 2012",@,ATL,Los Angeles Clippers,L,,82,96,24,19,L 2,Regular Season,2011-2012,
47,47,"Wed, Mar 21, 2012",,ATL,Cleveland Cavaliers,W,OT,103,102,27,20,W 1,Regular Season,2011-2012,
52,52,"Wed, Mar 28, 2012",,ATL,Chicago Bulls,L,,77,98,30,22,L 2,Regular Season,2011-2012,
39,39,"Wed, Mar 7, 2012",@,ATL,Miami Heat,L,,86,89,23,16,L 1,Regular Season,2011-2012,
125,59,"Fri, Apr 13, 2012",@,BOS,Toronto Raptors,L,,79,84,34,25,L 1,Regular Season,2011-2012,
130,64,"Fri, Apr 20, 2012",@,BOS,Atlanta Hawks,L,,92,97,37,27,L 1,Regular Season,2011-2012,
70,4,"Fri, Dec 30, 2011",,BOS,Detroit Pistons,W,,96,85,1,3,W 1,Regular Season,2011-2012,
92,26,"Fri, Feb 10, 2012",@,BOS,Toronto Raptors,L,,74,86,14,12,L 2,Regular Season,2011-2012,
88,22,"Fri, Feb 3, 2012",,BOS,New York Knicks,W,,91,89,12,10,W 3,Regular Season,2011-2012,
76,10,"Fri, Jan 13, 2012",,BOS,Chicago Bulls,L,,79,88,4,6,L 3,Regular Season,2011-2012,
80,14,"Fri, Jan 20, 2012",,BOS,Phoenix Suns,L,,71,79,5,9,L 1,Regular Season,2011-2012,
84,18,"Fri, Jan 27, 2012",,BOS,Indiana Pacers,W,,94,87,9,9,W 4,Regular Season,2011-2012,
74,8,"Fri, Jan 6, 2012",,BOS,Indiana Pacers,L,,74,87,4,4,L 1,Regular Season,2011-2012,
75,16,"Fri, Jun 1, 2012",,BOS,Miami Heat,W,,101,91,9,7,W 1,Playoffs,2011-2012,
109,43,"Fri, Mar 16, 2012",@,BOS,Sacramento Kings,L,,95,120,23,20,L 1,Regular Season,2011-2012,
101,35,"Fri, Mar 2, 2012",,BOS,New Jersey Nets,W,,107,94,18,17,W 3,Regular Season,2011-2012,
113,47,"Fri, Mar 23, 2012",@,BOS,Philadelphia 76ers,L,,86,99,25,22,L 1,Regular Season,2011-2012,
117,51,"Fri, Mar 30, 2012",@,BOS,Minnesota Timberwolves,W,,100,79,29,22,W 4,Regular Season,2011-2012,
105,39,"Fri, Mar 9, 2012",,BOS,Portland Trail Blazers,W,,104,86,21,18,W 1,Regular Season,2011-2012,
106,10,"Fri, May 18, 2012",@,BOS,Philadelphia 76ers,L,,83,92,6,4,L 1,Playoffs,2011-2012,
107,3,"Fri, May 4, 2012",,BOS,Atlanta Hawks,W,OT,90,84,2,1,W 2,Playoffs,2011-2012,
97,31,"Mon, Feb 20, 2012",@,BOS,Dallas Mavericks,L,,73,89,15,16,L 4,Regular Season,2011-2012,
78,12,"Mon, Jan 16, 2012",,BOS,Oklahoma City Thunder,L,,88,97,4,8,L 5,Regular Season,2011-2012,
72,6,"Mon, Jan 2, 2012",,BOS,Washington Wizards,W,,100,92,3,3,W 3,Regular Season,2011-2012,
82,16,"Mon, Jan 23, 2012",,BOS,Orlando Magic,W,,87,56,7,9,W 2,Regular Season,2011-2012,
107,41,"Mon, Mar 12, 2012",@,BOS,Los Angeles Clippers,W,,94,85,22,19,W 1,Regular Season,2011-2012,
111,45,"Mon, Mar 19, 2012",@,BOS,Atlanta Hawks,W,,79,76,24,21,W 1,Regular Season,2011-2012,
115,49,"Mon, Mar 26, 2012",@,BOS,Charlotte Bobcats,W,,102,95,27,22,W 2,Regular Season,2011-2012,
116,8,"Mon, May 14, 2012",,BOS,Philadelphia 76ers,L,,81,82,5,3,L 1,Playoffs,2011-2012,
117,11,"Mon, May 21, 2012",,BOS,Philadelphia 76ers,W,,101,85,7,4,W 1,Playoffs,2011-2012,
118,14,"Mon, May 28, 2012",@,BOS,Miami Heat,L,,79,93,8,6,L 1,Playoffs,2011-2012,
126,60,"Sat, Apr 14, 2012",@,BOS,New Jersey Nets,W,,94,82,35,25,W 1,Regular Season,2011-2012,
121,55,"Sat, Apr 7, 2012",@,BOS,Indiana Pacers,W,,86,72,31,24,W 1,Regular Season,2011-2012,
77,11,"Sat, Jan 14, 2012",@,BOS,Indiana Pacers,L,,83,97,4,7,L 4,Regular Season,2011-2012,
78,20,"Sat, Jun 9, 2012",@,BOS,Miami Heat,L,,88,101,11,9,L 2,Playoffs,2011-2012,
110,44,"Sat, Mar 17, 2012",@,BOS,Denver Nuggets,L,,91,98,23,21,L 2,Regular Season,2011-2012,
111,7,"Sat, May 12, 2012",,BOS,Philadelphia 76ers,W,,92,91,5,2,W 2,Playoffs,2011-2012,
112,13,"Sat, May 26, 2012",,BOS,Philadelphia 76ers,W,,85,75,8,5,W 1,Playoffs,2011-2012,
118,52,"Sun, Apr 1, 2012",,BOS,Miami Heat,W,,91,72,30,22,W 5,Regular Season,2011-2012,
127,61,"Sun, Apr 15, 2012",@,BOS,Charlotte Bobcats,W,,94,82,36,25,W 2,Regular Season,2011-2012,
128,1,"Sun, Apr 29, 2012",@,BOS,Atlanta Hawks,L,,74,83,0,1,L 1,Playoffs,2011-2012,
122,56,"Sun, Apr 8, 2012",,BOS,Philadelphia 76ers,W,,103,79,32,24,W 2,Regular Season,2011-2012,
67,1,"Sun, Dec 25, 2011",@,BOS,New York Knicks,L,,104,106,0,1,L 1,Regular Season,2011-2012,
93,27,"Sun, Feb 12, 2012",,BOS,Chicago Bulls,W,,95,91,15,12,W 1,Regular Season,2011-2012,
96,30,"Sun, Feb 19, 2012",@,BOS,Detroit Pistons,L,,81,96,15,15,L 3,Regular Season,2011-2012,
89,23,"Sun, Feb 5, 2012",,BOS,Memphis Grizzlies,W,,98,80,13,10,W 4,Regular Season,2011-2012,
71,5,"Sun, Jan 1, 2012",@,BOS,Washington Wizards,W,,94,86,2,3,W 2,Regular Season,2011-2012,
81,15,"Sun, Jan 22, 2012",@,BOS,Washington Wizards,W,,100,94,6,9,W 1,Regular Season,2011-2012,
85,19,"Sun, Jan 29, 2012",,BOS,Cleveland Cavaliers,L,,87,88,9,10,L 1,Regular Season,2011-2012,
86,17,"Sun, Jun 3, 2012",,BOS,Miami Heat,W,OT,93,91,10,7,W 2,Playoffs,2011-2012,
106,40,"Sun, Mar 11, 2012",@,BOS,Los Angeles Lakers,L,,94,97,21,19,L 1,Regular Season,2011-2012,
114,48,"Sun, Mar 25, 2012",,BOS,Washington Wizards,W,,88,76,26,22,W 1,Regular Season,2011-2012,
102,36,"Sun, Mar 4, 2012",,BOS,New York Knicks,W,OT,115,111,19,17,W 4,Regular Season,2011-2012,
103,4,"Sun, May 6, 2012",,BOS,Atlanta Hawks,W,,101,79,3,1,W 3,Playoffs,2011-2012,
132,66,"Thu, Apr 26, 2012",,BOS,Milwaukee Bucks,W,,87,74,39,27,W 2,Regular Season,2011-2012,
120,54,"Thu, Apr 5, 2012",@,BOS,Chicago Bulls,L,,86,93,30,24,L 2,Regular Season,2011-2012,
95,29,"Thu, Feb 16, 2012",@,BOS,Chicago Bulls,L,,80,89,15,14,L 2,Regular Season,2011-2012,
91,25,"Thu, Feb 9, 2012",,BOS,Los Angeles Lakers,L,OT,87,88,14,11,L 1,Regular Season,2011-2012,
83,17,"Thu, Jan 26, 2012",@,BOS,Orlando Magic,W,,91,83,8,9,W 3,Regular Season,2011-2012,
84,19,"Thu, Jun 7, 2012",,BOS,Miami Heat,L,,79,98,11,8,L 1,Playoffs,2011-2012,
112,46,"Thu, Mar 22, 2012",@,BOS,Milwaukee Bucks,W,,100,91,25,21,W 2,Regular Season,2011-2012,
113,6,"Thu, May 10, 2012",,BOS,Atlanta Hawks,W,,83,80,4,2,W 1,Playoffs,2011-2012,
123,57,"Tue, Apr 10, 2012",@,BOS,Miami Heat,W,,115,107,33,24,W 3,Regular Season,2011-2012,
128,62,"Tue, Apr 17, 2012",@,BOS,New York Knicks,L,,110,118,36,26,L 1,Regular Season,2011-2012,
131,65,"Tue, Apr 24, 2012",,BOS,Miami Heat,W,,78,66,38,27,W 1,Regular Season,2011-2012,
68,2,"Tue, Dec 27, 2011",@,BOS,Miami Heat,L,,107,115,0,2,L 2,Regular Season,2011-2012,
99,33,"Tue, Feb 28, 2012",@,BOS,Cleveland Cavaliers,W,,86,83,16,17,W 1,Regular Season,2011-2012,
90,24,"Tue, Feb 7, 2012",,BOS,Charlotte Bobcats,W,,94,84,14,10,W 5,Regular Season,2011-2012,
86,20,"Tue, Jan 31, 2012",@,BOS,Cleveland Cavaliers,W,,93,90,10,10,W 1,Regular Season,2011-2012,
87,18,"Tue, Jun 5, 2012",@,BOS,Miami Heat,W,,94,90,11,7,W 3,Playoffs,2011-2012,
103,37,"Tue, Mar 6, 2012",,BOS,Houston Rockets,W,OT,97,92,20,17,W 5,Regular Season,2011-2012,
104,2,"Tue, May 1, 2012",@,BOS,Atlanta Hawks,W,,87,80,1,1,W 1,Playoffs,2011-2012,
105,5,"Tue, May 8, 2012",@,BOS,Atlanta Hawks,L,,86,87,3,2,L 1,Playoffs,2011-2012,
124,58,"Wed, Apr 11, 2012",,BOS,Atlanta Hawks,W,OT,88,86,34,24,W 4,Regular Season,2011-2012,
129,63,"Wed, Apr 18, 2012",,BOS,Orlando Magic,W,,102,98,37,26,W 1,Regular Season,2011-2012,
119,53,"Wed, Apr 4, 2012",,BOS,San Antonio Spurs,L,,86,87,30,23,L 1,Regular Season,2011-2012,
69,3,"Wed, Dec 28, 2011",@,BOS,New Orleans Hornets,L,,78,97,0,3,L 3,Regular Season,2011-2012,
87,21,"Wed, Feb 1, 2012",,BOS,Toronto Raptors,W,,100,64,11,10,W 2,Regular Season,2011-2012,
94,28,"Wed, Feb 15, 2012",,BOS,Detroit Pistons,L,,88,98,15,13,L 1,Regular Season,2011-2012,
98,32,"Wed, Feb 22, 2012",@,BOS,Oklahoma City Thunder,L,,104,119,15,17,L 5,Regular Season,2011-2012,
100,34,"Wed, Feb 29, 2012",,BOS,Milwaukee Bucks,W,,102,96,17,17,W 2,Regular Season,2011-2012,
75,9,"Wed, Jan 11, 2012",,BOS,Dallas Mavericks,L,,85,90,4,5,L 2,Regular Season,2011-2012,
79,13,"Wed, Jan 18, 2012",,BOS,Toronto Raptors,W,,96,73,5,8,W 1,Regular Season,2011-2012,
73,7,"Wed, Jan 4, 2012",,BOS,New Jersey Nets,W,,89,70,4,3,W 4,Regular Season,2011-2012,
108,42,"Wed, Mar 14, 2012",@,BOS,Golden State Warriors,W,,105,103,23,19,W 2,Regular Season,2011-2012,
116,50,"Wed, Mar 28, 2012",,BOS,Utah Jazz,W,,94,82,28,22,W 3,Regular Season,2011-2012,
104,38,"Wed, Mar 7, 2012",@,BOS,Philadelphia 76ers,L,,71,103,20,18,L 1,Regular Season,2011-2012,
