Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,142115,Boise State University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,1,1,0,0,0,0
2008-2009,142115,Boise State University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,68,40,28,1,1,0,2,1,1,2,1,1,8,2,6,52,35,17,,,,,,,,,,2,0,2,1,0,1
2008-2009,142115,Boise State University,First major,English language and literature/letters.,'23',Bachelor's degree,78,30,48,2,1,1,3,0,3,1,0,1,2,1,1,67,26,41,,,,,,,,,,3,2,1,0,0,0
2008-2009,142115,Boise State University,First major,History,'54',Bachelor's degree,40,30,10,0,0,0,2,0,2,1,1,0,1,0,1,33,27,6,,,,,,,,,,2,1,1,1,1,0
2008-2009,142115,Boise State University,First major,Philosophy and religious studies.,'38',Bachelor's degree,12,9,3,0,0,0,1,0,1,0,0,0,1,1,0,9,7,2,,,,,,,,,,1,1,0,0,0,0
2008-2009,142115,Boise State University,First major,Psychology.,'42',Bachelor's degree,123,35,88,3,1,2,5,3,2,1,1,0,4,1,3,103,26,77,,,,,,,,,,5,2,3,2,1,1
2008-2009,142115,Boise State University,First major,Social sciences.,'45',Bachelor's degree,152,61,91,4,0,4,3,1,2,6,4,2,10,3,7,121,47,74,,,,,,,,,,5,5,0,3,1,2
2008-2009,142115,Boise State University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,,,,,,,,,0,0,0,0,0,0
2008-2009,142115,Boise State University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,43,23,20,0,0,0,2,0,2,0,0,0,0,0,0,39,22,17,,,,,,,,,,2,1,1,0,0,0
2008-2009,142115,Boise State University,First major,Mathematics and statistics.,'27',Bachelor's degree,13,11,2,1,1,0,0,0,0,0,0,0,0,0,0,11,10,1,,,,,,,,,,0,0,0,1,0,1
2008-2009,142115,Boise State University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,31,9,22,0,0,0,3,2,1,0,0,0,1,0,1,24,7,17,,,,,,,,,,3,0,3,0,0,0
2008-2009,142115,Boise State University,First major,Physical sciences.,'40',Bachelor's degree,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,,,,,,,,,,0,0,0,0,0,0
2008-2009,142115,Boise State University,First major,Public administration and social service professions.,'44',Bachelor's degree,46,7,39,0,0,0,0,0,0,0,0,0,4,2,2,38,4,34,,,,,,,,,,4,1,3,0,0,0
2008-2009,142115,Boise State University,First major,Security and protective services.,'43',Bachelor's degree,86,31,55,0,0,0,1,0,1,1,0,1,6,3,3,74,25,49,,,,,,,,,,4,3,1,0,0,0
2008-2009,142115,Boise State University,First major,Visual and performing arts.,'50',Bachelor's degree,79,26,53,0,0,0,3,0,3,1,0,1,1,0,1,71,23,48,,,,,,,,,,3,3,0,0,0,0
2008-2009,217882,Clemson University,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,208,95,113,0,0,0,1,0,1,1,0,1,2,1,1,188,87,101,,,,,,,,,,16,7,9,0,0,0
2008-2009,217882,Clemson University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,187,90,97,0,0,0,6,2,4,8,3,5,2,1,1,157,77,80,,,,,,,,,,14,7,7,0,0,0
2008-2009,217882,Clemson University,First major,History,'54',Bachelor's degree,67,39,28,1,1,0,0,0,0,0,0,0,3,1,2,60,35,25,,,,,,,,,,3,2,1,0,0,0
2008-2009,217882,Clemson University,First major,Mathematics and statistics.,'27',Bachelor's degree,19,8,11,0,0,0,0,0,0,1,0,1,0,0,0,17,7,10,,,,,,,,,,1,1,0,0,0,0
