Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,131496,Georgetown University,First major,Visual and performing arts.,'50',Bachelor's degree,18,4,14,0,0,0,3,0,3,0,0,0,1,0,1,12,2,10,,,,,,,,,,2,2,0,0,0,0
2008-2009,155399,Kansas State University,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,358,211,147,2,0,2,1,0,1,5,4,1,9,4,5,332,199,133,,,,,,,,,,8,3,5,1,1,0
2008-2009,155399,Kansas State University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,6,2,4,0,0,0,0,0,0,0,0,0,1,1,0,4,1,3,,,,,,,,,,1,0,1,0,0,0
2008-2009,155399,Kansas State University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,124,54,70,1,0,1,3,0,3,2,1,1,4,1,3,109,49,60,,,,,,,,,,4,2,2,1,1,0
2008-2009,155399,Kansas State University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,112,39,73,3,1,2,1,0,1,1,1,0,0,0,0,107,37,70,,,,,,,,,,0,0,0,0,0,0
2008-2009,155399,Kansas State University,First major,Education.,'13',Bachelor's degree,334,65,269,3,0,3,2,2,0,3,0,3,13,3,10,308,59,249,,,,,,,,,,5,1,4,0,0,0
2008-2009,155399,Kansas State University,First major,Engineering.,'14',Bachelor's degree,323,266,57,2,1,1,3,2,1,4,3,1,54,40,14,241,205,36,,,,,,,,,,11,10,1,8,5,3
2008-2009,155399,Kansas State University,First major,History,'54',Bachelor's degree,41,27,14,0,0,0,0,0,0,0,0,0,0,0,0,39,27,12,,,,,,,,,,2,0,2,0,0,0
2008-2009,155399,Kansas State University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,539,286,253,4,1,3,7,4,3,10,6,4,15,9,6,488,257,231,,,,,,,,,,9,5,4,6,4,2
2008-2009,155399,Kansas State University,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,200,15,185,1,0,1,2,0,2,3,0,3,4,1,3,183,14,169,,,,,,,,,,5,0,5,2,0,2
2008-2009,155399,Kansas State University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,118,60,58,0,0,0,1,1,0,4,3,1,4,2,2,106,52,54,,,,,,,,,,2,1,1,1,1,0
2008-2009,155399,Kansas State University,First major,Physical sciences.,'40',Bachelor's degree,35,24,11,0,0,0,0,0,0,3,2,1,0,0,0,32,22,10,,,,,,,,,,0,0,0,0,0,0
2008-2009,155399,Kansas State University,First major,Social sciences.,'45',Bachelor's degree,362,205,157,4,1,3,10,6,4,29,20,9,12,8,4,296,163,133,,,,,,,,,,7,4,3,4,3,1
2008-2009,155399,Kansas State University,First major,Philosophy and religious studies.,'38',Bachelor's degree,7,6,1,0,0,0,0,0,0,1,1,0,1,0,1,4,4,0,,,,,,,,,,1,1,0,0,0,0
2008-2009,155399,Kansas State University,First major,Public administration and social service professions.,'44',Bachelor's degree,20,1,19,0,0,0,0,0,0,1,0,1,1,0,1,17,1,16,,,,,,,,,,1,0,1,0,0,0
2008-2009,155399,Kansas State University,First major,Visual and performing arts.,'50',Bachelor's degree,102,25,77,0,0,0,1,0,1,0,0,0,1,1,0,98,23,75,,,,,,,,,,2,1,1,0,0,0
2008-2009,155399,Kansas State University,First major,Engineering technologies/technicians.,'15',Bachelor's degree,135,129,6,0,0,0,2,2,0,4,4,0,1,1,0,125,120,5,,,,,,,,,,3,2,1,0,0,0
2008-2009,155399,Kansas State University,First major,Mathematics and statistics.,'27',Bachelor's degree,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,,,,,,,,,,1,1,0,0,0,0
2008-2009,155399,Kansas State University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,51,18,33,1,1,0,1,1,0,1,1,0,2,1,1,45,14,31,,,,,,,,,,1,0,1,0,0,0
2008-2009,155399,Kansas State University,First major,Psychology.,'42',Bachelor's degree,70,27,43,0,0,0,1,1,0,1,1,0,3,2,1,61,23,38,,,,,,,,,,2,0,2,2,0,2
2008-2009,155399,Kansas State University,First major,Transportation and materials moving.,'49',Bachelor's degree,19,16,3,0,0,0,0,0,0,0,0,0,1,0,1,16,14,2,,,,,,,,,,1,1,0,1,1,0
2008-2009,155399,Kansas State University,First major,Architecture and related services.,'04',Bachelor's degree,19,14,5,0,0,0,0,0,0,0,0,0,1,1,0,18,13,5,,,,,,,,,,0,0,0,0,0,0
2008-2009,155399,Kansas State University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,65,62,3,0,0,0,2,2,0,3,1,2,4,4,0,53,52,1,,,,,,,,,,1,1,0,2,2,0
2008-2009,155399,Kansas State University,First major,English language and literature/letters.,'23',Bachelor's degree,51,17,34,0,0,0,0,0,0,3,2,1,1,0,1,45,13,32,,,,,,,,,,1,1,0,1,1,0
2008-2009,155399,Kansas State University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,15,2,13,0,0,0,0,0,0,0,0,0,2,0,2,12,2,10,,,,,,,,,,0,0,0,1,0,1
2008-2009,155399,Kansas State University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,95,13,82,0,0,0,2,0,2,1,0,1,1,0,1,87,13,74,,,,,,,,,,2,0,2,2,0,2
2008-2009,155399,Kansas State University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,,,,,,,,,,1,1,0,0,0,0
2008-2009,155399,Kansas State University,First major,Mechanic and repair technologies/technicians.,'47',Bachelor's degree,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,,,,,,,,,,1,1,0,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Architecture and related services.,'04',Bachelor's degree,94,48,46,0,0,0,4,3,1,1,0,1,4,3,1,82,41,41,,,,,,,,,,2,0,2,1,1,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,925,534,391,2,2,0,19,12,7,46,21,25,26,14,12,780,463,317,,,,,,,,,,26,14,12,26,8,18
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,253,56,197,4,0,4,3,0,3,19,6,13,9,0,9,213,48,165,,,,,,,,,,4,2,2,1,0,1
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,English language and literature/letters.,'23',Bachelor's degree,286,84,202,0,0,0,6,2,4,35,4,31,7,2,5,231,74,157,,,,,,,,,,7,2,5,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,History,'54',Bachelor's degree,157,88,69,0,0,0,3,2,1,5,2,3,3,1,2,139,78,61,,,,,,,,,,6,4,2,1,1,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Mathematics and statistics.,'27',Bachelor's degree,42,27,15,0,0,0,2,1,1,2,1,1,3,3,0,35,22,13,,,,,,,,,,0,0,0,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Philosophy and religious studies.,'38',Bachelor's degree,29,19,10,0,0,0,1,1,0,0,0,0,1,0,1,26,18,8,,,,,,,,,,1,0,1,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Psychology.,'42',Bachelor's degree,221,53,168,2,2,0,6,3,3,26,3,23,8,2,6,172,42,130,,,,,,,,,,5,1,4,2,0,2
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Education.,'13',Bachelor's degree,384,99,285,0,0,0,2,0,2,29,8,21,7,2,5,337,88,249,,,,,,,,,,6,1,5,3,0,3
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Engineering.,'14',Bachelor's degree,357,291,66,1,1,0,11,7,4,30,21,9,13,13,0,247,210,37,,,,,,,,,,16,15,1,39,24,15
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Natural resources and conservation.,'03',Bachelor's degree,36,27,9,0,0,0,0,0,0,1,1,0,0,0,0,32,23,9,,,,,,,,,,3,3,0,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,198,100,98,1,0,1,3,1,2,19,10,9,6,3,3,163,84,79,,,,,,,,,,6,2,4,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,62,27,35,0,0,0,0,0,0,8,2,6,3,0,3,45,21,24,,,,,,,,,,4,3,1,2,1,1
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,404,201,203,5,3,2,4,1,3,50,24,26,6,1,5,325,167,158,,,,,,,,,,13,5,8,1,0,1
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Social sciences.,'45',Bachelor's degree,435,218,217,1,0,1,11,4,7,56,18,38,19,11,8,334,177,157,,,,,,,,,,10,6,4,4,2,2
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,,,,,,,,,,0,0,0,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Biological and biomedical sciences.,'26',Bachelor's degree,438,204,234,3,1,2,38,14,24,42,14,28,15,8,7,317,159,158,,,,,,,,,,17,5,12,6,3,3
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Computer and information sciences and support services.,'11',Bachelor's degree,23,22,1,0,0,0,0,0,0,3,3,0,2,2,0,14,13,1,,,,,,,,,,3,3,0,1,1,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,25,2,23,0,0,0,0,0,0,5,1,4,0,0,0,19,1,18,,,,,,,,,,1,0,1,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,111,3,108,1,0,1,2,0,2,5,0,5,2,0,2,95,3,92,,,,,,,,,,5,0,5,1,0,1
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,60,26,34,0,0,0,1,0,1,2,1,1,2,1,1,50,22,28,,,,,,,,,,3,2,1,2,0,2
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Physical sciences.,'40',Bachelor's degree,50,30,20,1,1,0,1,0,1,5,3,2,0,0,0,39,23,16,,,,,,,,,,2,2,0,2,1,1
2008-2009,159391,Louisiana State University and Agricultural & Mechanical College,First major,Visual and performing arts.,'50',Bachelor's degree,140,49,91,1,0,1,3,0,3,6,3,3,1,0,1,115,41,74,,,,,,,,,,7,2,5,7,3,4
2008-2009,147767,Northwestern University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,77,37,40,0,0,0,33,15,18,0,0,0,2,1,1,39,20,19,,,,,,,,,,3,1,2,0,0,0
2008-2009,147767,Northwestern University,First major,Education.,'13',Bachelor's degree,11,2,9,0,0,0,1,0,1,0,0,0,0,0,0,9,2,7,,,,,,,,,,1,0,1,0,0,0
2008-2009,147767,Northwestern University,First major,English language and literature/letters.,'23',Bachelor's degree,82,28,54,0,0,0,6,1,5,2,1,1,6,2,4,61,22,39,,,,,,,,,,6,2,4,1,0,1
2008-2009,147767,Northwestern University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,35,10,25,0,0,0,13,2,11,5,3,2,2,0,2,15,5,10,,,,,,,,,,0,0,0,0,0,0
2008-2009,147767,Northwestern University,First major,History,'54',Bachelor's degree,73,36,37,0,0,0,5,2,3,4,3,1,5,1,4,55,27,28,,,,,,,,,,4,3,1,0,0,0
2008-2009,147767,Northwestern University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,51,27,24,0,0,0,6,4,2,6,1,5,2,2,0,33,18,15,,,,,,,,,,3,1,2,1,1,0
2008-2009,147767,Northwestern University,First major,Physical sciences.,'40',Bachelor's degree,36,22,14,0,0,0,10,7,3,0,0,0,1,0,1,23,14,9,,,,,,,,,,1,1,0,1,0,1
2008-2009,147767,Northwestern University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,14,4,10,0,0,0,0,0,0,8,1,7,1,0,1,5,3,2,,,,,,,,,,0,0,0,0,0,0
2008-2009,147767,Northwestern University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,58,19,39,0,0,0,8,0,8,2,1,1,8,2,6,31,12,19,,,,,,,,,,8,4,4,1,0,1
2008-2009,147767,Northwestern University,First major,Natural resources and conservation.,'03',Bachelor's degree,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,,,,,,,,,,1,1,0,0,0,0
2008-2009,147767,Northwestern University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,348,120,228,0,0,0,38,9,29,32,9,23,28,6,22,218,86,132,,,,,,,,,,22,7,15,10,3,7
2008-2009,147767,Northwestern University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,18,15,3,0,0,0,4,2,2,1,1,0,0,0,0,8,7,1,,,,,,,,,,0,0,0,5,5,0
2008-2009,147767,Northwestern University,First major,Legal professions and studies.,'22',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,147767,Northwestern University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,5,3,2,0,0,0,1,1,0,0,0,0,0,0,0,4,2,2,,,,,,,,,,0,0,0,0,0,0
2008-2009,147767,Northwestern University,First major,Mathematics and statistics.,'27',Bachelor's degree,36,23,13,0,0,0,7,4,3,0,0,0,1,1,0,23,15,8,,,,,,,,,,2,1,1,3,2,1
2008-2009,147767,Northwestern University,First major,Public administration and social service professions.,'44',Bachelor's degree,67,21,46,0,0,0,3,1,2,6,1,5,4,2,2,48,16,32,,,,,,,,,,6,1,5,0,0,0
2008-2009,147767,Northwestern University,First major,Social sciences.,'45',Bachelor's degree,421,231,190,0,0,0,89,52,37,22,5,17,22,8,14,222,126,96,,,,,,,,,,26,14,12,40,26,14
2008-2009,147767,Northwestern University,First major,Visual and performing arts.,'50',Bachelor's degree,202,75,127,0,0,0,18,4,14,11,3,8,13,3,10,143,59,84,,,,,,,,,,14,5,9,3,1,2
2008-2009,147767,Northwestern University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,20,7,13,0,0,0,0,0,0,3,0,3,4,2,2,11,5,6,,,,,,,,,,2,0,2,0,0,0
2008-2009,147767,Northwestern University,First major,Engineering.,'14',Bachelor's degree,326,244,82,0,0,0,71,54,17,9,6,3,11,10,1,196,146,50,,,,,,,,,,10,6,4,29,22,7
2008-2009,147767,Northwestern University,First major,Philosophy and religious studies.,'38',Bachelor's degree,30,12,18,0,0,0,3,1,2,2,0,2,0,0,0,22,11,11,,,,,,,,,,2,0,2,1,0,1
2008-2009,147767,Northwestern University,First major,Psychology.,'42',Bachelor's degree,191,46,145,0,0,0,39,15,24,22,2,20,8,1,7,105,25,80,,,,,,,,,,9,1,8,8,2,6
2008-2009,204796,Ohio State University-Main Campus,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,26,2,24,0,0,0,0,0,0,11,2,9,1,0,1,14,0,14,,,,,,,,,,0,0,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,870,271,599,4,0,4,32,11,21,81,29,52,28,11,17,700,213,487,,,,,,,,,,13,3,10,12,4,8
2008-2009,204796,Ohio State University-Main Campus,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,264,90,174,1,0,1,17,6,11,16,5,11,15,3,12,198,70,128,,,,,,,,,,12,5,7,5,1,4
2008-2009,204796,Ohio State University-Main Campus,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,24,8,16,0,0,0,2,1,1,2,1,1,1,0,1,19,6,13,,,,,,,,,,0,0,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Visual and performing arts.,'50',Bachelor's degree,287,131,156,0,0,0,11,7,4,23,7,16,7,1,6,231,104,127,,,,,,,,,,11,8,3,4,4,0
2008-2009,204796,Ohio State University-Main Campus,First major,Architecture and related services.,'04',Bachelor's degree,92,66,26,0,0,0,6,3,3,3,2,1,4,2,2,72,53,19,,,,,,,,,,3,3,0,4,3,1
2008-2009,204796,Ohio State University-Main Campus,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,1332,821,511,4,2,2,85,45,40,32,17,15,16,8,8,1057,663,394,,,,,,,,,,32,20,12,106,66,40
2008-2009,204796,Ohio State University-Main Campus,First major,Computer and information sciences and support services.,'11',Bachelor's degree,131,120,11,0,0,0,13,12,1,2,2,0,3,3,0,98,90,8,,,,,,,,,,1,1,0,14,12,2
2008-2009,204796,Ohio State University-Main Campus,First major,Education.,'13',Bachelor's degree,239,74,165,2,1,1,3,2,1,9,4,5,3,0,3,216,67,149,,,,,,,,,,6,0,6,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Mathematics and statistics.,'27',Bachelor's degree,51,39,12,0,0,0,3,3,0,2,2,0,0,0,0,41,30,11,,,,,,,,,,3,2,1,2,2,0
2008-2009,204796,Ohio State University-Main Campus,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,113,83,30,0,0,0,0,0,0,8,6,2,4,3,1,99,74,25,,,,,,,,,,0,0,0,2,0,2
2008-2009,204796,Ohio State University-Main Campus,First major,Social sciences.,'45',Bachelor's degree,1229,697,532,6,3,3,60,40,20,111,44,67,38,18,20,946,552,394,,,,,,,,,,36,21,15,32,19,13
2008-2009,204796,Ohio State University-Main Campus,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,400,266,134,1,0,1,6,3,3,12,7,5,8,5,3,363,246,117,,,,,,,,,,6,3,3,4,2,2
2008-2009,204796,Ohio State University-Main Campus,First major,Biological and biomedical sciences.,'26',Bachelor's degree,581,290,291,3,1,2,89,36,53,35,17,18,17,8,9,408,212,196,,,,,,,,,,16,9,7,13,7,6
2008-2009,204796,Ohio State University-Main Campus,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,595,244,351,2,1,1,21,6,15,54,22,32,15,5,10,484,203,281,,,,,,,,,,16,6,10,3,1,2
2008-2009,204796,Ohio State University-Main Campus,First major,Engineering.,'14',Bachelor's degree,658,562,96,0,0,0,32,28,4,21,17,4,13,12,1,540,461,79,,,,,,,,,,12,12,0,40,32,8
2008-2009,204796,Ohio State University-Main Campus,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,62,31,31,0,0,0,3,2,1,4,3,1,2,0,2,52,26,26,,,,,,,,,,1,0,1,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Physical sciences.,'40',Bachelor's degree,80,54,26,1,0,1,4,3,1,3,3,0,3,2,1,62,43,19,,,,,,,,,,5,2,3,2,1,1
2008-2009,204796,Ohio State University-Main Campus,First major,Engineering technologies/technicians.,'15',Bachelor's degree,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,English language and literature/letters.,'23',Bachelor's degree,279,119,160,3,1,2,9,4,5,18,8,10,4,1,3,241,104,137,,,,,,,,,,4,1,3,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,750,163,587,2,0,2,38,14,24,43,14,29,9,4,5,616,121,495,,,,,,,,,,35,9,26,7,1,6
2008-2009,204796,Ohio State University-Main Campus,First major,History,'54',Bachelor's degree,204,151,53,2,1,1,3,2,1,6,4,2,8,4,4,178,136,42,,,,,,,,,,6,4,2,1,0,1
2008-2009,204796,Ohio State University-Main Campus,First major,Natural resources and conservation.,'03',Bachelor's degree,62,38,24,2,0,2,1,0,1,0,0,0,1,0,1,57,37,20,,,,,,,,,,1,1,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Philosophy and religious studies.,'38',Bachelor's degree,50,40,10,0,0,0,2,2,0,0,0,0,2,1,1,44,35,9,,,,,,,,,,2,2,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Transportation and materials moving.,'49',Bachelor's degree,43,42,1,0,0,0,0,0,0,1,1,0,1,1,0,41,40,1,,,,,,,,,,0,0,0,0,0,0
2008-2009,204796,Ohio State University-Main Campus,First major,Psychology.,'42',Bachelor's degree,493,155,338,2,0,2,33,10,23,48,14,34,15,6,9,381,122,259,,,,,,,,,,9,2,7,5,1,4
2008-2009,204796,Ohio State University-Main Campus,First major,Public administration and social service professions.,'44',Bachelor's degree,72,8,64,0,0,0,1,0,1,17,2,15,3,0,3,51,6,45,,,,,,,,,,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,287,145,142,34,15,19,1,1,0,3,1,2,2,1,1,243,126,117,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
2008-2009,207388,Oklahoma State University-Main Campus,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Education.,'13',Bachelor's degree,272,84,188,35,9,26,2,0,2,9,7,2,7,2,5,219,66,153,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Engineering.,'14',Bachelor's degree,282,237,45,23,19,4,14,10,4,9,7,2,1,0,1,216,186,30,14,10,4,0,0,0,0,0,0,0,0,0,19,15,4
2008-2009,207388,Oklahoma State University-Main Campus,First major,English language and literature/letters.,'23',Bachelor's degree,63,24,39,8,5,3,1,0,1,1,0,1,2,1,1,51,18,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,23,6,17,0,0,0,0,0,0,0,0,0,3,2,1,20,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Philosophy and religious studies.,'38',Bachelor's degree,10,10,0,2,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Physical sciences.,'40',Bachelor's degree,40,24,16,3,2,1,0,0,0,0,0,0,0,0,0,34,19,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Psychology.,'42',Bachelor's degree,118,31,87,11,3,8,3,0,3,8,0,8,3,2,1,91,25,66,3,0,3,0,0,0,0,0,0,0,0,0,2,1,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Social sciences.,'45',Bachelor's degree,190,112,78,20,11,9,3,2,1,15,9,6,4,3,1,143,83,60,3,2,1,0,0,0,0,0,0,0,0,0,5,4,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Visual and performing arts.,'50',Bachelor's degree,74,30,44,3,0,3,0,0,0,1,1,0,1,0,1,66,27,39,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Biological and biomedical sciences.,'26',Bachelor's degree,188,92,96,25,12,13,7,5,2,9,3,6,4,1,3,140,70,70,7,5,2,0,0,0,0,0,0,0,0,0,3,1,2
2008-2009,207388,Oklahoma State University-Main Campus,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,174,58,116,22,5,17,2,1,1,6,3,3,3,0,3,139,48,91,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,315,23,292,28,5,23,4,1,3,14,2,12,7,0,7,259,15,244,4,1,3,0,0,0,0,0,0,0,0,0,3,0,3
2008-2009,207388,Oklahoma State University-Main Campus,First major,Mathematics and statistics.,'27',Bachelor's degree,20,14,6,1,0,1,2,1,1,0,0,0,0,0,0,13,9,4,2,1,1,0,0,0,0,0,0,0,0,0,4,4,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Natural resources and conservation.,'03',Bachelor's degree,62,38,24,4,4,0,1,0,1,0,0,0,1,1,0,55,32,23,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Security and protective services.,'43',Bachelor's degree,44,41,3,3,3,0,0,0,0,1,1,0,1,1,0,39,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Architecture and related services.,'04',Bachelor's degree,46,33,13,3,2,1,3,3,0,1,0,1,0,0,0,34,26,8,3,3,0,0,0,0,0,0,0,0,0,0,5,2,3
2008-2009,207388,Oklahoma State University-Main Campus,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,1096,614,482,91,44,47,21,16,5,42,22,20,26,12,14,844,488,356,21,16,5,0,0,0,0,0,0,0,0,0,72,32,40
2008-2009,207388,Oklahoma State University-Main Campus,First major,Computer and information sciences and support services.,'11',Bachelor's degree,32,31,1,2,2,0,0,0,0,1,1,0,0,0,0,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,111,29,82,11,2,9,2,0,2,4,2,2,0,0,0,87,20,67,2,0,2,0,0,0,0,0,0,0,0,0,7,5,2
2008-2009,207388,Oklahoma State University-Main Campus,First major,History,'54',Bachelor's degree,41,23,18,5,4,1,1,1,0,0,0,0,0,0,0,35,18,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Transportation and materials moving.,'49',Bachelor's degree,62,55,7,6,5,1,1,1,0,2,1,1,2,1,1,48,45,3,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Engineering technologies/technicians.,'15',Bachelor's degree,130,126,4,15,14,1,2,2,0,1,1,0,0,0,0,110,107,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0
2008-2009,207388,Oklahoma State University-Main Campus,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,128,58,70,12,1,11,0,0,0,10,6,4,2,0,2,103,51,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2008-2009,207388,Oklahoma State University-Main Campus,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,21,6,15,1,0,1,0,0,0,0,0,0,0,0,0,19,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2008-2009,209542,Oregon State University,First major,English language and literature/letters.,'23',Bachelor's degree,130,55,75,0,0,0,5,2,3,7,6,1,6,1,5,98,43,55,,,,,,,,,,14,3,11,0,0,0
