Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,131496,Georgetown University,First major,Mathematics and Statistics,'27',Bachelor's degree,24,15,9,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,17,11,6,3,2,1,0,0,0,1,1,0,3,1,2
2010-2011,131496,Georgetown University,First major,Visual and Performing Arts,'50',Bachelor's degree,36,8,28,0,0,0,1,0,1,0,0,0,4,2,2,0,0,0,28,6,22,1,0,1,1,0,1,1,0,1,1,0,1
2010-2011,134097,Florida State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,25,9,16,1,0,1,1,0,1,7,3,4,1,0,1,0,0,0,15,6,9,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,134097,Florida State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,397,149,248,7,1,6,14,6,8,38,14,24,53,18,35,0,0,0,277,106,171,0,0,0,6,3,3,2,1,1,14,6,8
2010-2011,134097,Florida State University,First major,Mathematics and Statistics,'27',Bachelor's degree,50,26,24,1,0,1,3,2,1,8,3,5,6,3,3,0,0,0,30,16,14,0,0,0,1,1,0,1,1,0,3,2,1
2010-2011,134097,Florida State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,71,47,24,2,0,2,2,2,0,3,1,2,8,6,2,0,0,0,55,37,18,0,0,0,1,1,0,0,0,0,2,2,0
2010-2011,134097,Florida State University,First major,Visual and Performing Arts,'50',Bachelor's degree,456,144,312,4,0,4,12,5,7,30,11,19,36,13,23,0,0,0,366,114,252,0,0,0,6,1,5,2,0,2,12,5,7
2010-2011,134130,University of Florida,First major,Architecture and Related Services,'04',Bachelor's degree,105,53,52,0,0,0,9,4,5,5,1,4,17,5,12,0,0,0,68,39,29,1,0,1,4,4,0,1,0,1,9,4,5
2010-2011,134130,University of Florida,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,641,288,353,6,3,3,92,35,57,44,20,24,103,59,44,1,1,0,367,154,213,6,4,2,22,12,10,0,0,0,93,36,57
2010-2011,134130,University of Florida,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,210,50,160,1,0,1,7,1,6,62,13,49,22,7,15,0,0,0,112,29,83,1,0,1,4,0,4,1,0,1,7,1,6
2010-2011,123961,University of Southern California,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1276,752,524,7,7,0,315,166,149,25,15,10,126,74,52,2,2,0,455,304,151,43,19,24,27,19,8,276,146,130,317,168,149
2010-2011,123961,University of Southern California,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,123961,University of Southern California,First major,Social Sciences,'45',Bachelor's degree,722,366,356,1,0,1,114,70,44,33,19,14,109,45,64,3,3,0,312,152,160,26,13,13,20,13,7,104,51,53,117,73,44
2010-2011,131496,Georgetown University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,79,28,51,0,0,0,9,6,3,3,0,3,3,0,3,0,0,0,63,22,41,1,0,1,0,0,0,0,0,0,9,6,3
2010-2011,131496,Georgetown University,First major,English Language and Literature/Letters,'23',Bachelor's degree,134,49,85,0,0,0,3,1,2,16,5,11,8,5,3,0,0,0,93,33,60,6,2,4,8,3,5,0,0,0,3,1,2
2010-2011,131496,Georgetown University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,97,23,74,1,0,1,3,0,3,4,1,3,7,4,3,0,0,0,70,16,54,5,2,3,4,0,4,3,0,3,3,0,3
2010-2011,131496,Georgetown University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,76,29,47,0,0,0,13,7,6,1,0,1,4,2,2,0,0,0,50,18,32,1,1,0,3,0,3,4,1,3,13,7,6
2010-2011,131496,Georgetown University,First major,Physical Sciences,'40',Bachelor's degree,20,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,1,0,1,1,0,1,0,0,0,0,0,0
2010-2011,131496,Georgetown University,First major,Social Sciences,'45',Bachelor's degree,622,311,311,1,0,1,53,18,35,35,20,15,42,19,23,0,0,0,367,203,164,10,5,5,29,12,17,85,34,51,53,18,35
2010-2011,134097,Florida State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,261,58,203,3,1,2,7,5,2,11,3,8,32,6,26,0,0,0,204,42,162,0,0,0,1,1,0,3,0,3,7,5,2
2010-2011,134097,Florida State University,First major,Engineering,'14',Bachelor's degree,233,188,45,0,0,0,9,6,3,18,14,4,26,15,11,0,0,0,169,142,27,0,0,0,1,1,0,10,10,0,9,6,3
2010-2011,134097,Florida State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,353,43,310,3,1,2,7,2,5,28,2,26,28,3,25,0,0,0,278,34,244,0,0,0,6,1,5,3,0,3,7,2,5
2010-2011,134097,Florida State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,398,164,234,2,1,1,12,9,3,55,20,35,39,12,27,0,0,0,287,119,168,0,0,0,3,3,0,0,0,0,12,9,3
2010-2011,134097,Florida State University,First major,Social Sciences,'45',Bachelor's degree,1474,840,634,9,4,5,46,23,23,169,70,99,182,102,80,0,0,0,1029,620,409,0,0,0,21,13,8,18,8,10,46,23,23
2010-2011,134130,University of Florida,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1087,560,527,3,1,2,89,60,29,65,20,45,163,72,91,0,0,0,712,372,340,6,5,1,37,25,12,12,5,7,89,60,29
2010-2011,134130,University of Florida,First major,Education,'13',Bachelor's degree,227,27,200,1,0,1,3,1,2,8,2,6,28,3,25,1,0,1,177,20,157,4,0,4,5,1,4,0,0,0,4,1,3
2010-2011,134130,University of Florida,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,119,108,11,0,0,0,6,6,0,3,3,0,11,9,2,0,0,0,91,83,8,0,0,0,8,7,1,0,0,0,6,6,0
2010-2011,134130,University of Florida,First major,Health Professions and Related Programs,'51',Bachelor's degree,654,77,577,1,0,1,42,2,40,118,9,109,82,9,73,0,0,0,388,53,335,4,0,4,17,3,14,2,1,1,42,2,40
2010-2011,134130,University of Florida,First major,Engineering,'14',Bachelor's degree,986,801,185,2,1,1,75,60,15,54,36,18,171,141,30,0,0,0,629,520,109,4,4,0,31,23,8,20,16,4,75,60,15
2010-2011,134130,University of Florida,First major,English Language and Literature/Letters,'23',Bachelor's degree,288,101,187,1,1,0,14,5,9,34,9,25,48,17,31,0,0,0,178,64,114,2,1,1,11,4,7,0,0,0,14,5,9
2010-2011,134130,University of Florida,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,210,65,145,0,0,0,24,7,17,17,5,12,50,16,34,0,0,0,107,32,75,2,0,2,10,5,5,0,0,0,24,7,17
2010-2011,134130,University of Florida,First major,History,'54',Bachelor's degree,196,118,78,1,1,0,5,3,2,9,6,3,23,15,8,0,0,0,149,88,61,2,0,2,6,5,1,1,0,1,5,3,2
2010-2011,134130,University of Florida,First major,Mathematics and Statistics,'27',Bachelor's degree,81,54,27,1,1,0,9,7,2,3,2,1,14,11,3,0,0,0,50,31,19,1,1,0,2,0,2,1,1,0,9,7,2
2010-2011,134130,University of Florida,First major,Visual and Performing Arts,'50',Bachelor's degree,270,86,184,0,0,0,13,2,11,15,5,10,73,28,45,0,0,0,151,46,105,3,1,2,8,2,6,7,2,5,13,2,11
2010-2011,135726,University of Miami,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,9,2,7,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,135726,University of Miami,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,351,142,209,1,0,1,46,13,33,25,7,18,120,54,66,0,0,0,127,58,69,5,2,3,15,6,9,12,2,10,46,13,33
2010-2011,135726,University of Miami,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0
2010-2011,135726,University of Miami,First major,Health Professions and Related Programs,'51',Bachelor's degree,198,32,166,0,0,0,11,5,6,31,3,28,57,4,53,0,0,0,74,13,61,4,2,2,12,2,10,9,3,6,11,5,6
2010-2011,135726,University of Miami,First major,Legal Professions and Studies,'22',Bachelor's degree,16,10,6,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,135726,University of Miami,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,37,16,21,0,0,0,0,0,0,16,11,5,11,1,10,0,0,0,7,3,4,0,0,0,2,0,2,1,1,0,0,0,0
2010-2011,135726,University of Miami,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,135726,University of Miami,First major,Philosophy and Religious Studies,'38',Bachelor's degree,22,16,6,0,0,0,2,1,1,1,0,1,11,7,4,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,2,1,1
2010-2011,135726,University of Miami,First major,Physical Sciences,'40',Bachelor's degree,35,20,15,0,0,0,6,3,3,0,0,0,6,2,4,0,0,0,21,15,6,0,0,0,2,0,2,0,0,0,6,3,3
2010-2011,139959,University of Georgia,First major,Architecture and Related Services,'04',Bachelor's degree,77,53,24,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,72,52,20,0,0,0,1,0,1,1,0,1,0,0,0
2010-2011,139959,University of Georgia,First major,English Language and Literature/Letters,'23',Bachelor's degree,196,74,122,0,0,0,7,2,5,11,3,8,9,4,5,0,0,0,161,62,99,1,0,1,6,2,4,1,1,0,7,2,5
2010-2011,139959,University of Georgia,First major,History,'54',Bachelor's degree,158,90,68,0,0,0,3,3,0,7,1,6,4,3,1,0,0,0,141,81,60,1,1,0,2,1,1,0,0,0,3,3,0
2010-2011,139959,University of Georgia,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,56,33,23,0,0,0,1,1,0,10,1,9,3,2,1,0,0,0,39,27,12,1,0,1,1,1,0,1,1,0,1,1,0
2010-2011,135726,University of Miami,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,43,27,16,0,0,0,2,1,1,3,1,2,7,6,1,0,0,0,24,13,11,0,0,0,5,4,1,2,2,0,2,1,1
2010-2011,135726,University of Miami,First major,Psychology,'42',Bachelor's degree,178,38,140,0,0,0,8,1,7,13,2,11,58,9,49,0,0,0,84,21,63,3,1,2,6,2,4,6,2,4,8,1,7
2010-2011,135726,University of Miami,First major,Visual and Performing Arts,'50',Bachelor's degree,195,108,87,1,0,1,1,0,1,11,5,6,42,23,19,0,0,0,109,65,44,1,1,0,22,9,13,8,5,3,1,0,1
2010-2011,139959,University of Georgia,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,22,3,19,1,0,1,0,0,0,3,0,3,2,0,2,0,0,0,15,2,13,0,0,0,1,1,0,0,0,0,0,0,0
2010-2011,139959,University of Georgia,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,490,237,253,0,0,0,108,51,57,42,10,32,13,7,6,1,1,0,308,162,146,3,1,2,10,4,6,5,1,4,109,52,57
2010-2011,139959,University of Georgia,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,36,33,3,0,0,0,3,2,1,1,0,1,1,0,1,0,0,0,29,29,0,0,0,0,1,1,0,1,1,0,3,2,1
2010-2011,139959,University of Georgia,First major,Education,'13',Bachelor's degree,446,90,356,2,0,2,18,4,14,24,5,19,8,1,7,0,0,0,389,77,312,0,0,0,4,3,1,1,0,1,18,4,14
2010-2011,139959,University of Georgia,First major,Engineering,'14',Bachelor's degree,49,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,39,9,0,0,0,1,1,0,0,0,0,0,0,0
2010-2011,139959,University of Georgia,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,239,74,165,1,0,1,11,3,8,12,3,9,12,5,7,0,0,0,190,58,132,2,0,2,10,5,5,1,0,1,11,3,8
2010-2011,139959,University of Georgia,First major,Philosophy and Religious Studies,'38',Bachelor's degree,55,36,19,0,0,0,4,1,3,3,2,1,0,0,0,0,0,0,44,32,12,0,0,0,4,1,3,0,0,0,4,1,3
2010-2011,142115,Boise State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,68,32,36,2,1,1,1,1,0,1,0,1,5,2,3,0,0,0,55,26,29,0,0,0,2,1,1,2,1,1,1,1,0
2010-2011,142115,Boise State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,151,65,86,0,0,0,3,1,2,10,9,1,8,3,5,0,0,0,117,47,70,1,1,0,6,1,5,6,3,3,3,1,2
2010-2011,142115,Boise State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,43,35,8,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,35,28,7,0,0,0,2,2,0,1,1,0,0,0,0
2010-2011,142115,Boise State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,384,87,297,5,1,4,15,3,12,5,1,4,14,5,9,1,1,0,325,71,254,1,0,1,11,3,8,7,2,5,16,4,12
2010-2011,142115,Boise State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,1,0,1,0,0,0,0,0,0
2010-2011,147767,Northwestern University,First major,English Language and Literature/Letters,'23',Bachelor's degree,75,17,58,0,0,0,10,1,9,2,0,2,7,0,7,0,0,0,52,15,37,1,0,1,3,1,2,0,0,0,10,1,9
2010-2011,147767,Northwestern University,First major,Mathematics and Statistics,'27',Bachelor's degree,63,35,28,0,0,0,11,8,3,0,0,0,3,2,1,0,0,0,33,17,16,2,2,0,5,2,3,9,4,5,11,8,3
2010-2011,147767,Northwestern University,First major,Social Sciences,'45',Bachelor's degree,420,239,181,1,0,1,94,49,45,14,6,8,22,14,8,1,1,0,213,124,89,4,2,2,29,22,7,42,21,21,95,50,45
2010-2011,152080,University of Notre Dame,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,550,322,228,2,1,1,35,14,21,18,8,10,56,26,30,0,0,0,393,251,142,9,4,5,5,5,0,32,13,19,35,14,21
2010-2011,134130,University of Florida,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,9,7,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,134130,University of Florida,First major,Philosophy and Religious Studies,'38',Bachelor's degree,107,63,44,1,1,0,10,6,4,10,5,5,23,14,9,0,0,0,61,36,25,0,0,0,2,1,1,0,0,0,10,6,4
2010-2011,134130,University of Florida,First major,Psychology,'42',Bachelor's degree,481,115,366,2,0,2,38,11,27,44,8,36,87,16,71,1,0,1,283,75,208,10,2,8,14,3,11,2,0,2,39,11,28
2010-2011,134130,University of Florida,First major,Social Sciences,'45',Bachelor's degree,1176,528,648,4,0,4,86,38,48,193,69,124,192,78,114,1,0,1,628,305,323,9,2,7,52,31,21,11,5,6,87,38,49
2010-2011,135726,University of Miami,First major,Architecture and Related Services,'04',Bachelor's degree,66,40,26,0,0,0,0,0,0,4,3,1,19,8,11,0,0,0,34,22,12,0,0,0,4,3,1,5,4,1,0,0,0
2010-2011,135726,University of Miami,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,247,59,188,0,0,0,4,1,3,15,4,11,56,11,45,1,0,1,136,33,103,2,1,1,21,7,14,12,2,10,5,1,4
2010-2011,135726,University of Miami,First major,Engineering,'14',Bachelor's degree,149,112,37,0,0,0,9,7,2,5,2,3,50,39,11,0,0,0,52,38,14,2,2,0,9,6,3,22,18,4,9,7,2
2010-2011,135726,University of Miami,First major,History,'54',Bachelor's degree,34,22,12,0,0,0,2,2,0,1,0,1,8,5,3,0,0,0,19,12,7,1,1,0,2,2,0,1,0,1,2,2,0
2010-2011,135726,University of Miami,First major,Social Sciences,'45',Bachelor's degree,206,93,113,3,1,2,7,3,4,12,4,8,60,26,34,0,0,0,91,47,44,1,1,0,14,4,10,18,7,11,7,3,4
2010-2011,139959,University of Georgia,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,240,115,125,0,0,0,6,2,4,7,2,5,3,0,3,0,0,0,218,109,109,2,2,0,3,0,3,1,0,1,6,2,4
2010-2011,139959,University of Georgia,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1559,941,618,1,1,0,111,58,53,70,28,42,43,20,23,0,0,0,1273,800,473,5,3,2,34,24,10,22,7,15,111,58,53
2010-2011,139959,University of Georgia,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,367,114,253,0,0,0,9,2,7,51,24,27,7,1,6,0,0,0,289,82,207,2,1,1,5,1,4,4,3,1,9,2,7
2010-2011,139959,University of Georgia,First major,Health Professions and Related Programs,'51',Bachelor's degree,183,24,159,0,0,0,17,1,16,15,2,13,2,0,2,0,0,0,142,20,122,1,0,1,6,1,5,0,0,0,17,1,16
2010-2011,139959,University of Georgia,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,151,42,109,1,1,0,17,3,14,17,4,13,3,2,1,0,0,0,108,29,79,1,0,1,4,3,1,0,0,0,17,3,14
2010-2011,139959,University of Georgia,First major,Social Sciences,'45',Bachelor's degree,643,304,339,4,1,3,38,15,23,45,14,31,19,9,10,0,0,0,502,248,254,3,1,2,28,13,15,4,3,1,38,15,23
2010-2011,142115,Boise State University,First major,Engineering,'14',Bachelor's degree,115,98,17,2,1,1,6,5,1,0,0,0,6,6,0,0,0,0,93,79,14,1,1,0,4,4,0,3,2,1,6,5,1
2010-2011,142115,Boise State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,27,7,20,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,18,6,12,0,0,0,1,1,0,0,0,0,0,0,0
2010-2011,142115,Boise State University,First major,Psychology,'42',Bachelor's degree,130,27,103,1,0,1,2,0,2,3,3,0,13,2,11,0,0,0,101,21,80,2,0,2,6,1,5,2,0,2,2,0,2
2010-2011,142115,Boise State University,First major,Social Sciences,'45',Bachelor's degree,147,71,76,1,1,0,4,1,3,2,2,0,8,1,7,0,0,0,121,58,63,2,0,2,9,8,1,0,0,0,4,1,3
2010-2011,134130,University of Florida,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,254,113,141,0,0,0,8,5,3,48,22,26,31,14,17,0,0,0,147,61,86,2,0,2,16,10,6,2,1,1,8,5,3
2010-2011,134130,University of Florida,First major,Physical Sciences,'40',Bachelor's degree,192,119,73,1,1,0,32,17,15,5,4,1,16,7,9,0,0,0,122,79,43,3,3,0,9,7,2,4,1,3,32,17,15
2010-2011,135726,University of Miami,First major,Education,'13',Bachelor's degree,35,5,30,0,0,0,0,0,0,2,0,2,9,1,8,0,0,0,19,3,16,0,0,0,4,1,3,1,0,1,0,0,0
2010-2011,135726,University of Miami,First major,English Language and Literature/Letters,'23',Bachelor's degree,37,15,22,0,0,0,1,0,1,5,1,4,11,4,7,0,0,0,16,8,8,1,0,1,3,2,1,0,0,0,1,0,1
2010-2011,135726,University of Miami,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,4,1,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,135726,University of Miami,First major,Mathematics and Statistics,'27',Bachelor's degree,20,14,6,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,9,7,2,1,0,1,2,1,1,4,3,1,0,0,0
2010-2011,135726,University of Miami,First major,Natural Resources and Conservation,'03',Bachelor's degree,37,13,24,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,27,12,15,2,0,2,5,1,4,0,0,0,1,0,1
2010-2011,139959,University of Georgia,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,605,127,478,1,0,1,20,6,14,49,12,37,24,10,14,1,0,1,493,94,399,5,2,3,10,2,8,2,1,1,21,6,15
2010-2011,139959,University of Georgia,First major,Communications Technologies/Technicians and Support Services,'10',Bachelor's degree,83,44,39,0,0,0,4,0,4,6,4,2,6,2,4,0,0,0,63,37,26,0,0,0,4,1,3,0,0,0,4,0,4
2010-2011,139959,University of Georgia,First major,Natural Resources and Conservation,'03',Bachelor's degree,97,70,27,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,91,65,26,1,1,0,3,2,1,0,0,0,1,1,0
2010-2011,139959,University of Georgia,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,219,111,108,0,0,0,8,5,3,10,5,5,8,5,3,0,0,0,187,93,94,3,2,1,3,1,2,0,0,0,8,5,3
2010-2011,139959,University of Georgia,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,51,6,45,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,43,5,38,2,0,2,2,0,2,1,0,1,0,0,0
2010-2011,142115,Boise State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,84,31,53,1,0,1,2,2,0,1,0,1,3,1,2,0,0,0,74,27,47,1,0,1,2,1,1,0,0,0,2,2,0
2010-2011,142115,Boise State University,First major,History,'54',Bachelor's degree,46,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,15,1,0,1,1,1,0,0,0,0,0,0,0
2010-2011,142115,Boise State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,50,14,36,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0,44,13,31,1,0,1,1,0,1,0,0,0,3,1,2
2010-2011,142115,Boise State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,1,1,0,0,0,0
2010-2011,142115,Boise State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,37,12,25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,36,12,24,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,142115,Boise State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,72,16,56,0,0,0,2,0,2,0,0,0,8,2,6,0,0,0,59,12,47,1,0,1,2,2,0,0,0,0,2,0,2
2010-2011,139959,University of Georgia,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,7,2,5,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,1,0,1
2010-2011,139959,University of Georgia,First major,Mathematics and Statistics,'27',Bachelor's degree,41,24,17,0,0,0,8,6,2,3,2,1,2,1,1,0,0,0,25,13,12,0,0,0,2,1,1,1,1,0,8,6,2
2010-2011,139959,University of Georgia,First major,Physical Sciences,'40',Bachelor's degree,65,39,26,0,0,0,7,4,3,4,2,2,0,0,0,0,0,0,50,32,18,0,0,0,2,1,1,2,0,2,7,4,3
2010-2011,139959,University of Georgia,First major,Psychology,'42',Bachelor's degree,409,102,307,1,0,1,32,6,26,31,7,24,17,5,12,0,0,0,304,75,229,3,1,2,19,7,12,2,1,1,32,6,26
2010-2011,139959,University of Georgia,First major,Visual and Performing Arts,'50',Bachelor's degree,301,70,231,0,0,0,12,2,10,16,4,12,8,1,7,0,0,0,251,58,193,1,1,0,12,3,9,1,1,0,12,2,10
2010-2011,142115,Boise State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,142115,Boise State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,508,293,215,4,1,3,22,11,11,2,1,1,29,13,16,1,1,0,423,251,172,1,0,1,16,10,6,10,5,5,23,12,11
2010-2011,142115,Boise State University,First major,Education,'13',Bachelor's degree,231,45,186,1,0,1,4,0,4,1,0,1,8,0,8,0,0,0,205,40,165,1,0,1,11,5,6,0,0,0,4,0,4
2010-2011,142115,Boise State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,86,34,52,1,0,1,2,1,1,0,0,0,10,5,5,1,1,0,67,25,42,1,1,0,4,1,3,0,0,0,3,2,1
2010-2011,142115,Boise State University,First major,Mathematics and Statistics,'27',Bachelor's degree,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,142115,Boise State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,62,36,26,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,55,35,20,0,0,0,2,1,1,0,0,0,1,0,1
2010-2011,142115,Boise State University,First major,Physical Sciences,'40',Bachelor's degree,29,19,10,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,27,18,9,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,147767,Northwestern University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,16,6,10,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,6,3,3,1,0,1,6,1,5,0,0,0,1,1,0
2010-2011,147767,Northwestern University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,352,129,223,3,3,0,48,11,37,28,8,20,34,15,19,0,0,0,191,82,109,10,1,9,25,7,18,13,2,11,48,11,37
2010-2011,147767,Northwestern University,First major,Education,'13',Bachelor's degree,13,3,10,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,7,1,6,1,0,1,0,0,0,0,0,0,3,1,2
2010-2011,147767,Northwestern University,First major,Engineering,'14',Bachelor's degree,324,228,96,0,0,0,82,60,22,8,4,4,13,9,4,0,0,0,165,119,46,5,1,4,9,4,5,42,31,11,82,60,22
2010-2011,147767,Northwestern University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,63,17,46,0,0,0,4,1,3,5,0,5,8,2,6,0,0,0,42,14,28,1,0,1,3,0,3,0,0,0,4,1,3
2010-2011,147767,Northwestern University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2010-2011,152080,University of Notre Dame,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,22,19,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,18,3,0,0,0,0,0,0,0,0,0,1,1,0
2010-2011,152080,University of Notre Dame,First major,Mathematics and Statistics,'27',Bachelor's degree,28,17,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,16,10,0,0,0,0,0,0,1,1,0,0,0,0
2010-2011,152080,University of Notre Dame,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,65,31,34,0,0,0,3,1,2,1,0,1,4,2,2,0,0,0,54,28,26,3,0,3,0,0,0,0,0,0,3,1,2
2010-2011,152080,University of Notre Dame,First major,Physical Sciences,'40',Bachelor's degree,45,30,15,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,35,23,12,3,2,1,0,0,0,1,1,0,3,2,1
