Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,100858,Auburn University,First major,Engineering,'14',Bachelor's degree,613,523,90,5,3,2,8,8,0,39,25,14,10,8,2,0,0,0,540,469,71,0,0,0,4,4,0,7,6,1,8,8,0
2010-2011,100858,Auburn University,First major,English Language and Literature/Letters,'23',Bachelor's degree,92,35,57,0,0,0,1,0,1,8,2,6,2,0,2,0,0,0,78,32,46,0,0,0,2,1,1,1,0,1,1,0,1
2010-2011,100858,Auburn University,First major,Physical Sciences,'40',Bachelor's degree,32,22,10,2,1,1,0,0,0,1,1,0,3,1,2,0,0,0,24,17,7,0,0,0,1,1,0,1,1,0,0,0,0
2010-2011,100858,Auburn University,First major,Psychology,'42',Bachelor's degree,163,42,121,0,0,0,2,0,2,21,2,19,7,1,6,0,0,0,129,39,90,0,0,0,2,0,2,2,0,2,2,0,2
2010-2011,100858,Auburn University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,79,32,47,0,0,0,0,0,0,21,9,12,4,0,4,0,0,0,54,23,31,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,122755,San Jose State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,44,10,34,0,0,0,5,2,3,0,0,0,24,4,20,0,0,0,10,3,7,1,0,1,4,1,3,0,0,0,5,2,3
2010-2011,122755,San Jose State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,382,58,324,2,0,2,148,31,117,16,3,13,60,5,55,3,1,2,114,12,102,8,0,8,27,5,22,4,1,3,151,32,119
2010-2011,122755,San Jose State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,226,106,120,0,0,0,42,23,19,6,2,4,87,36,51,2,0,2,68,37,31,5,2,3,16,6,10,0,0,0,44,23,21
2010-2011,122755,San Jose State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,57,13,44,1,1,0,10,1,9,3,1,2,13,3,10,0,0,0,26,6,20,1,0,1,3,1,2,0,0,0,10,1,9
2010-2011,122755,San Jose State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,33,14,19,1,0,1,4,3,1,0,0,0,1,0,1,0,0,0,22,11,11,1,0,1,4,0,4,0,0,0,4,3,1
2010-2011,100751,The University of Alabama,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,34,17,17,0,0,0,2,2,0,2,1,1,3,2,1,0,0,0,27,12,15,0,0,0,0,0,0,0,0,0,2,2,0
2010-2011,100751,The University of Alabama,First major,History,'54',Bachelor's degree,96,72,24,2,1,1,0,0,0,3,2,1,4,2,2,0,0,0,87,67,20,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100858,Auburn University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,182,91,91,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,175,89,86,0,0,0,1,1,0,1,0,1,2,1,1
2010-2011,100858,Auburn University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,264,77,187,2,1,1,4,0,4,22,8,14,7,1,6,0,0,0,223,64,159,0,0,0,4,1,3,2,2,0,4,0,4
2010-2011,100858,Auburn University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,17,15,2,1,1,0,1,1,0,3,2,1,0,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,1,1,0
2010-2011,100858,Auburn University,First major,Education,'13',Bachelor's degree,420,113,307,3,2,1,5,4,1,23,9,14,3,3,0,0,0,0,379,90,289,0,0,0,1,0,1,6,5,1,5,4,1
2010-2011,100858,Auburn University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,64,19,45,0,0,0,1,1,0,6,2,4,4,1,3,0,0,0,51,14,37,0,0,0,2,1,1,0,0,0,1,1,0
2010-2011,100858,Auburn University,First major,Health Professions and Related Programs,'51',Bachelor's degree,197,30,167,3,1,2,2,0,2,23,3,20,2,0,2,0,0,0,163,25,138,0,0,0,1,0,1,3,1,2,2,0,2
2010-2011,100858,Auburn University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100858,Auburn University,First major,Visual and Performing Arts,'50',Bachelor's degree,171,61,110,2,1,1,3,0,3,5,3,2,2,1,1,0,0,0,157,55,102,0,0,0,0,0,0,2,1,1,3,0,3
2010-2011,122755,San Jose State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2010-2011,122755,San Jose State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1512,797,715,7,3,4,642,334,308,48,27,21,222,108,114,12,5,7,359,203,156,35,16,19,108,63,45,79,38,41,654,339,315
2010-2011,122755,San Jose State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,268,118,150,1,1,0,50,23,27,27,11,16,61,32,29,2,1,1,84,36,48,12,3,9,25,8,17,6,3,3,52,24,28
2010-2011,122755,San Jose State University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,13,11,2,0,0,0,5,3,2,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,1,1,0,0,0,0,6,4,2
2010-2011,122755,San Jose State University,First major,Mathematics and Statistics,'27',Bachelor's degree,22,10,12,0,0,0,8,1,7,0,0,0,3,2,1,0,0,0,7,5,2,1,0,1,1,1,0,2,1,1,8,1,7
2010-2011,122755,San Jose State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,9,5,4,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,6,3,3,1,1,0,0,0,0,0,0,0,1,0,1
2010-2011,122755,San Jose State University,First major,Physical Sciences,'40',Bachelor's degree,46,32,14,1,0,1,13,9,4,2,2,0,8,6,2,0,0,0,14,10,4,1,1,0,4,3,1,3,1,2,13,9,4
2010-2011,122755,San Jose State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,86,7,79,0,0,0,25,5,20,2,0,2,37,1,36,0,0,0,12,1,11,4,0,4,6,0,6,0,0,0,25,5,20
2010-2011,100751,The University of Alabama,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,444,145,299,1,1,0,6,3,3,30,11,19,7,3,4,0,0,0,398,126,272,0,0,0,0,0,0,2,1,1,6,3,3
2010-2011,100751,The University of Alabama,First major,Engineering,'14',Bachelor's degree,314,246,68,1,0,1,2,0,2,17,9,8,12,9,3,0,0,0,272,222,50,2,1,1,0,0,0,8,5,3,2,0,2
2010-2011,100751,The University of Alabama,First major,Mathematics and Statistics,'27',Bachelor's degree,26,14,12,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,22,12,10,1,0,1,0,0,0,0,0,0,0,0,0
2010-2011,100751,The University of Alabama,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,98,52,46,0,0,0,0,0,0,8,5,3,3,0,3,0,0,0,85,45,40,1,1,0,1,1,0,0,0,0,0,0,0
2010-2011,100751,The University of Alabama,First major,Philosophy and Religious Studies,'38',Bachelor's degree,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100858,Auburn University,First major,Architecture and Related Services,'04',Bachelor's degree,76,49,27,0,0,0,4,1,3,8,6,2,3,3,0,0,0,0,61,39,22,0,0,0,0,0,0,0,0,0,4,1,3
2010-2011,100858,Auburn University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,246,98,148,6,2,4,6,3,3,24,6,18,2,2,0,0,0,0,205,84,121,0,0,0,2,1,1,1,0,1,6,3,3
2010-2011,100858,Auburn University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,166,7,159,1,0,1,1,0,1,10,2,8,6,0,6,0,0,0,146,4,142,0,0,0,2,1,1,0,0,0,1,0,1
2010-2011,100858,Auburn University,First major,History,'54',Bachelor's degree,79,53,26,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,75,51,24,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100858,Auburn University,First major,Mathematics and Statistics,'27',Bachelor's degree,27,11,16,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,24,9,15,0,0,0,0,0,0,0,0,0,1,1,0
2010-2011,100858,Auburn University,First major,Natural Resources and Conservation,'03',Bachelor's degree,69,60,9,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,65,57,8,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,122755,San Jose State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,124,49,75,0,0,0,61,24,37,2,1,1,19,12,7,0,0,0,25,6,19,4,0,4,11,5,6,2,1,1,61,24,37
2010-2011,122755,San Jose State University,First major,Engineering,'14',Bachelor's degree,341,292,49,1,0,1,150,129,21,5,4,1,51,41,10,4,4,0,70,65,5,3,3,0,31,25,6,26,21,5,154,133,21
2010-2011,122755,San Jose State University,First major,History,'54',Bachelor's degree,58,36,22,0,0,0,7,3,4,0,0,0,12,7,5,0,0,0,27,20,7,3,2,1,9,4,5,0,0,0,7,3,4
2010-2011,122755,San Jose State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,74,16,58,0,0,0,13,2,11,2,1,1,17,2,15,1,0,1,36,10,26,1,0,1,4,1,3,0,0,0,14,2,12
2010-2011,122755,San Jose State University,First major,Visual and Performing Arts,'50',Bachelor's degree,373,149,224,3,0,3,110,56,54,8,3,5,46,17,29,1,0,1,143,56,87,11,3,8,44,13,31,7,1,6,111,56,55
2010-2011,123961,University of Southern California,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,454,118,336,2,0,2,53,14,39,20,6,14,68,17,51,1,0,1,253,68,185,33,6,27,8,3,5,16,4,12,54,14,40
2010-2011,123961,University of Southern California,First major,Education,'13',Bachelor's degree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,123961,University of Southern California,First major,English Language and Literature/Letters,'23',Bachelor's degree,121,46,75,1,0,1,17,7,10,6,1,5,18,6,12,0,0,0,63,26,37,7,1,6,7,3,4,2,2,0,17,7,10
2010-2011,123961,University of Southern California,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,80,27,53,0,0,0,15,2,13,5,1,4,13,8,5,0,0,0,35,11,24,6,3,3,2,2,0,4,0,4,15,2,13
2010-2011,123961,University of Southern California,First major,Visual and Performing Arts,'50',Bachelor's degree,651,348,303,2,1,1,73,32,41,19,9,10,79,48,31,3,1,2,388,215,173,36,15,21,23,12,11,28,15,13,76,33,43
2010-2011,131496,Georgetown University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,24,3,21,0,0,0,1,0,1,1,0,1,6,0,6,0,0,0,16,3,13,0,0,0,0,0,0,0,0,0,1,0,1
