Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1989-1990,100858,Auburn University,Bachelor's degree,Agribusiness and Agricultural Production,25,21,4,23,20,3,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,100858,Auburn University,Bachelor's degree,Agricultural Sciences,78,62,16,77,61,16,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Allied Health,23,3,20,22,3,19,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Architecture and Environmental Design,63,46,17,62,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,100858,Auburn University,Bachelor's degree,Business and Management,940,547,393,905,529,376,27,13,14,5,2,3,3,3,,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Communications,125,40,85,118,36,82,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,11,7,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Education,429,90,339,418,83,335,9,5,4,1,1,,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,100858,Auburn University,Bachelor's degree,Engineering,693,591,102,669,571,98,14,11,3,3,3,,2,2,,0,0,0,0,0,0,5,4,1
1989-1990,100858,Auburn University,Bachelor's degree,Foreign Languages,34,11,23,31,11,20,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Health Sciences,175,48,127,170,45,125,3,1,2,1,1,,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,100858,Auburn University,Bachelor's degree,Home Economics,104,12,92,100,9,91,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Letters,112,36,76,107,32,75,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Life Sciences,89,46,43,85,44,41,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Marketing and Distribution,42,1,41,42,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Mathematics,49,30,19,41,25,16,6,4,2,1,,1,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Parks and Recreation,12,7,5,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Philosophy and Religion,6,2,4,5,1,4,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Physical Sciences,27,21,6,25,19,6,1,1,,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Protective Services,41,25,16,34,22,12,5,2,3,1,,1,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,100858,Auburn University,Bachelor's degree,Psychology,91,32,59,85,30,55,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1989-1990,100858,Auburn University,Bachelor's degree,Public Affairs,27,13,14,25,13,12,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1989-1990,100858,Auburn University,Bachelor's degree,Renewable Natural Resources,33,27,6,33,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Science Technologies,17,7,10,14,6,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Social Sciences,181,111,70,167,103,64,11,6,5,1,,1,1,1,,0,0,0,1,1,,0,0,0
1989-1990,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,86,44,42,84,44,40,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
