Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2011-2012,100858,Auburn University,Bachelor's degree,Education,'13',First major,457,114,343,3,2,1,4,2,2,24,7,17,6,3,3,0,0,0,418,99,319,0,0,0,1,0,1,1,1,0,4,2,2
2011-2012,100858,Auburn University,Bachelor's degree,Mathematics and Statistics,'27',First major,33,16,17,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,28,14,14,0,0,0,0,0,0,0,0,0,1,0,1
2011-2012,100858,Auburn University,Bachelor's degree,Social Sciences,'45',First major,252,166,86,4,2,2,1,0,1,32,17,15,7,4,3,0,0,0,205,141,64,0,0,0,1,1,0,2,1,1,1,0,1
2011-2012,100858,Auburn University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,300,130,170,0,0,0,11,4,7,32,7,25,4,2,2,0,0,0,249,116,133,0,0,0,2,0,2,2,1,1,11,4,7
2011-2012,100858,Auburn University,Bachelor's degree,Business- Management- Marketing- and Related Support Services,'52',First major,878,552,326,5,3,2,9,7,2,73,40,33,26,16,10,0,0,0,750,474,276,0,0,0,7,7,0,8,5,3,9,7,2
2011-2012,100858,Auburn University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,66,17,49,0,0,0,0,0,0,6,1,5,5,1,4,0,0,0,55,15,40,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,100858,Auburn University,Bachelor's degree,Public Administration and Social Service Professions,'44',First major,68,28,40,1,1,0,0,0,0,17,6,11,0,0,0,0,0,0,50,21,29,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,100858,Auburn University,Bachelor's degree,Agriculture- Agriculture Operations and Related Sciences,'01',First major,177,100,77,0,0,0,1,1,0,7,4,3,2,1,1,0,0,0,166,94,72,0,0,0,1,0,1,0,0,0,1,1,0
2011-2012,100858,Auburn University,Bachelor's degree,Architecture and Related Services,'04',First major,81,49,32,0,0,0,2,2,0,7,7,0,1,1,0,0,0,0,66,37,29,0,0,0,0,0,0,5,2,3,2,2,0
2011-2012,100858,Auburn University,Bachelor's degree,Family and Consumer Sciences/Human Sciences,'19',First major,181,2,179,0,0,0,1,0,1,11,0,11,6,0,6,0,0,0,161,2,159,0,0,0,2,0,2,0,0,0,1,0,1
