Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,198419,Duke University,Engineering,Bachelor's degree,173,133,40
1987-1988,198419,Duke University,English Language and Literature/Letters,Bachelor's degree,96,41,55
1987-1988,198419,Duke University,Philosophy and Religion,Bachelor's degree,27,12,15
1987-1988,198419,Duke University,Area- Ethnic and Cultural Studies,Bachelor's degree,52,18,34
1987-1988,198419,Duke University,Physical Sciences,Bachelor's degree,65,46,19
1987-1988,198419,Duke University,Social Sciences and History,Bachelor's degree,570,345,225
1987-1988,131496,Georgetown University,Biological Science/Life Sciences,Bachelor's degree,54,33,21
1987-1988,131496,Georgetown University,English Language and Literature/Letters,Bachelor's degree,126,41,85
1987-1988,131496,Georgetown University,Health Sciences,Bachelor's degree,86,1,85
1987-1988,131496,Georgetown University,Mathematics,Bachelor's degree,8,7,1
1987-1988,131496,Georgetown University,Multi/Interdisciplinary Studies,Bachelor's degree,9,5,4
1987-1988,131496,Georgetown University,Philosophy and Religion,Bachelor's degree,34,19,15
1987-1988,131496,Georgetown University,Visual and Performing Arts,Bachelor's degree,13,2,11
1987-1988,131496,Georgetown University,Psychology,Bachelor's degree,44,18,26
1987-1988,131496,Georgetown University,Area- Ethnic and Cultural Studies,Bachelor's degree,62,34,28
1987-1988,131496,Georgetown University,Business and Management,Bachelor's degree,247,147,100
1987-1988,131496,Georgetown University,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,11,3,8
1987-1988,131496,Georgetown University,Social Sciences and History,Bachelor's degree,605,334,271
1987-1988,131496,Georgetown University,Computer and Information Sciences,Bachelor's degree,1,1,0
1987-1988,131496,Georgetown University,Foreign Languages and Literatures,Bachelor's degree,119,27,92
1987-1988,131496,Georgetown University,Physical Sciences,Bachelor's degree,18,14,4
1987-1988,155399,Kansas State University,Allied Health,Bachelor's degree,10,2,8
1987-1988,155399,Kansas State University,Business (Administrative Support),Bachelor's degree,2,0,2
1987-1988,155399,Kansas State University,Computer and Information Sciences,Bachelor's degree,56,41,15
1987-1988,155399,Kansas State University,English Language and Literature/Letters,Bachelor's degree,28,12,16
1987-1988,155399,Kansas State University,Multi/Interdisciplinary Studies,Bachelor's degree,46,27,19
1987-1988,155399,Kansas State University,Physical Sciences,Bachelor's degree,44,37,7
1987-1988,155399,Kansas State University,Public Administration and Services,Bachelor's degree,38,5,33
1987-1988,155399,Kansas State University,Engineering-Related Technologies,Bachelor's degree,59,55,4
1987-1988,155399,Kansas State University,Social Sciences and History,Bachelor's degree,208,129,79
1987-1988,155399,Kansas State University,Visual and Performing Arts,Bachelor's degree,45,14,31
1987-1988,155399,Kansas State University,Vocational Home Economics,Bachelor's degree,27,2,25
1987-1988,155399,Kansas State University,Agricultural Sciences,Bachelor's degree,165,117,48
1987-1988,155399,Kansas State University,Communications,Bachelor's degree,158,63,95
1987-1988,155399,Kansas State University,Engineering,Bachelor's degree,311,279,32
1987-1988,155399,Kansas State University,Foreign Languages and Literatures,Bachelor's degree,18,4,14
1987-1988,155399,Kansas State University,Mathematics,Bachelor's degree,31,14,17
1987-1988,155399,Kansas State University,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,15,2,13
1987-1988,155399,Kansas State University,Psychology,Bachelor's degree,56,10,46
1987-1988,155399,Kansas State University,Agricultural Business and Production,Bachelor's degree,119,100,19
1987-1988,155399,Kansas State University,Architecture and Related Programs,Bachelor's degree,108,58,50
1987-1988,155399,Kansas State University,Biological Science/Life Sciences,Bachelor's degree,116,56,60
1987-1988,155399,Kansas State University,Business and Management,Bachelor's degree,494,281,213
1987-1988,155399,Kansas State University,Conservation and Renewable Natural Resources,Bachelor's degree,10,8,2
1987-1988,155399,Kansas State University,Education,Bachelor's degree,257,53,204
1987-1988,155399,Kansas State University,Health Sciences,Bachelor's degree,29,13,16
1987-1988,155399,Kansas State University,Home Economics- General,Bachelor's degree,119,7,112
1987-1988,155399,Kansas State University,Philosophy and Religion,Bachelor's degree,1,1,0
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,Bachelor's degree,31,26,5
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,Bachelor's degree,28,19,9
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Allied Health,Bachelor's degree,5,0,5
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Conservation and Renewable Natural Resources,Bachelor's degree,12,6,6
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Education,Bachelor's degree,328,41,287
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,Bachelor's degree,349,298,51
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,English Language and Literature/Letters,Bachelor's degree,105,38,67
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages and Literatures,Bachelor's degree,23,10,13
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics- General,Bachelor's degree,102,5,97
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,330,207,123
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,Bachelor's degree,18,11,7
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,Bachelor's degree,8,6,2
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,Bachelor's degree,31,23,8
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Public Administration and Services,Bachelor's degree,1,1,0
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Related Programs,Bachelor's degree,119,56,63
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Business and Management,Bachelor's degree,711,424,287
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,Bachelor's degree,45,32,13
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Engineering-Related Technologies,Bachelor's degree,73,70,3
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Health Sciences,Bachelor's degree,20,12,8
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Multi/Interdisciplinary Studies,Bachelor's degree,6,2,4
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,Bachelor's degree,148,32,116
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Communications,Bachelor's degree,158,56,102
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Law and Legal Studies,Bachelor's degree,23,16,7
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Protective Services,Bachelor's degree,61,41,20
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences and History,Bachelor's degree,162,91,71
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,Bachelor's degree,89,33,56
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Biological Science/Life Sciences,Bachelor's degree,109,66,43
1987-1988,147767,Northwestern University,English Language and Literature/Letters,Bachelor's degree,83,26,57
1987-1988,147767,Northwestern University,Health Sciences,Bachelor's degree,106,29,77
1987-1988,147767,Northwestern University,Mathematics,Bachelor's degree,46,28,18
1987-1988,147767,Northwestern University,Social Sciences and History,Bachelor's degree,469,274,195
1987-1988,147767,Northwestern University,Visual and Performing Arts,Bachelor's degree,141,59,82
1987-1988,147767,Northwestern University,Area- Ethnic and Cultural Studies,Bachelor's degree,7,3,4
1987-1988,147767,Northwestern University,Physical Sciences,Bachelor's degree,17,11,6
1987-1988,147767,Northwestern University,Psychology,Bachelor's degree,87,34,53
1987-1988,147767,Northwestern University,Biological Science/Life Sciences,Bachelor's degree,75,34,41
1987-1988,147767,Northwestern University,Business and Management,Bachelor's degree,29,5,24
1987-1988,147767,Northwestern University,Computer and Information Sciences,Bachelor's degree,49,34,15
1987-1988,147767,Northwestern University,Multi/Interdisciplinary Studies,Bachelor's degree,31,16,15
1987-1988,147767,Northwestern University,Philosophy and Religion,Bachelor's degree,20,14,6
1987-1988,147767,Northwestern University,Public Administration and Services,Bachelor's degree,81,33,48
1987-1988,147767,Northwestern University,Allied Health,Bachelor's degree,85,16,69
1987-1988,147767,Northwestern University,Communications,Bachelor's degree,319,111,208
1987-1988,147767,Northwestern University,Education,Bachelor's degree,21,11,10
1987-1988,147767,Northwestern University,Engineering,Bachelor's degree,249,184,65
1987-1988,147767,Northwestern University,Foreign Languages and Literatures,Bachelor's degree,23,2,21
1987-1988,204796,Ohio State University-Main Campus,Communications,Bachelor's degree,546,200,346
1987-1988,204796,Ohio State University-Main Campus,English Language and Literature/Letters,Bachelor's degree,117,48,69
1987-1988,204796,Ohio State University-Main Campus,Foreign Languages and Literatures,Bachelor's degree,67,21,46
1987-1988,204796,Ohio State University-Main Campus,Home Economics- General,Bachelor's degree,226,18,208
1987-1988,204796,Ohio State University-Main Campus,Mathematics,Bachelor's degree,76,52,24
1987-1988,204796,Ohio State University-Main Campus,Transporation and Material Moving Workers,Bachelor's degree,77,70,7
1987-1988,204796,Ohio State University-Main Campus,Biological Science/Life Sciences,Bachelor's degree,185,100,85
1987-1988,204796,Ohio State University-Main Campus,Business (Administrative Support),Bachelor's degree,118,77,41
1987-1988,204796,Ohio State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,28,18,10
1987-1988,204796,Ohio State University-Main Campus,Physical Sciences,Bachelor's degree,71,45,26
1987-1988,204796,Ohio State University-Main Campus,Visual and Performing Arts,Bachelor's degree,186,96,90
1987-1988,204796,Ohio State University-Main Campus,Agricultural Business and Production,Bachelor's degree,70,56,14
1987-1988,204796,Ohio State University-Main Campus,Architecture and Related Programs,Bachelor's degree,124,92,32
1987-1988,204796,Ohio State University-Main Campus,Computer and Information Sciences,Bachelor's degree,166,120,46
1987-1988,204796,Ohio State University-Main Campus,Education,Bachelor's degree,821,213,608
1987-1988,204796,Ohio State University-Main Campus,Engineering,Bachelor's degree,765,653,112
1987-1988,204796,Ohio State University-Main Campus,Marketing Operations/Marketing and Distribution,Bachelor's degree,465,289,176
1987-1988,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,Bachelor's degree,15,4,11
1987-1988,204796,Ohio State University-Main Campus,Philosophy and Religion,Bachelor's degree,10,7,3
1987-1988,204796,Ohio State University-Main Campus,Psychology,Bachelor's degree,221,73,148
1987-1988,204796,Ohio State University-Main Campus,Social Sciences and History,Bachelor's degree,456,279,177
1987-1988,204796,Ohio State University-Main Campus,Agricultural Sciences,Bachelor's degree,195,128,67
1987-1988,204796,Ohio State University-Main Campus,Allied Health,Bachelor's degree,247,43,204
1987-1988,204796,Ohio State University-Main Campus,Business and Management,Bachelor's degree,981,625,356
1987-1988,204796,Ohio State University-Main Campus,Conservation and Renewable Natural Resources,Bachelor's degree,46,33,13
1987-1988,204796,Ohio State University-Main Campus,Health Sciences,Bachelor's degree,359,75,284
1987-1988,204796,Ohio State University-Main Campus,Public Administration and Services,Bachelor's degree,73,7,66
1987-1988,204796,Ohio State University-Main Campus,Vocational Home Economics,Bachelor's degree,38,19,19
1987-1988,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,Bachelor's degree,118,74,44
1987-1988,207388,Oklahoma State University-Main Campus,Conservation and Renewable Natural Resources,Bachelor's degree,10,8,2
1987-1988,207388,Oklahoma State University-Main Campus,Education,Bachelor's degree,313,107,206
1987-1988,207388,Oklahoma State University-Main Campus,Engineering,Bachelor's degree,292,264,28
1987-1988,207388,Oklahoma State University-Main Campus,Home Economics- General,Bachelor's degree,111,1,110
1987-1988,207388,Oklahoma State University-Main Campus,Military Sciences,Bachelor's degree,2,2,0
1987-1988,207388,Oklahoma State University-Main Campus,Psychology,Bachelor's degree,62,20,42
1987-1988,207388,Oklahoma State University-Main Campus,Architecture and Related Programs,Bachelor's degree,13,8,5
1987-1988,207388,Oklahoma State University-Main Campus,Biological Science/Life Sciences,Bachelor's degree,97,59,38
1987-1988,207388,Oklahoma State University-Main Campus,Communications,Bachelor's degree,135,61,74
1987-1988,207388,Oklahoma State University-Main Campus,Health Sciences,Bachelor's degree,16,3,13
1987-1988,207388,Oklahoma State University-Main Campus,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,25,10,15
1987-1988,207388,Oklahoma State University-Main Campus,Physical Sciences,Bachelor's degree,25,22,3
1987-1988,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,Bachelor's degree,32,11,21
1987-1988,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,Bachelor's degree,85,62,23
1987-1988,207388,Oklahoma State University-Main Campus,Business (Administrative Support),Bachelor's degree,12,0,12
1987-1988,207388,Oklahoma State University-Main Campus,Business and Management,Bachelor's degree,850,503,347
1987-1988,207388,Oklahoma State University-Main Campus,Foreign Languages and Literatures,Bachelor's degree,10,0,10
1987-1988,207388,Oklahoma State University-Main Campus,Philosophy and Religion,Bachelor's degree,4,2,2
1987-1988,207388,Oklahoma State University-Main Campus,Agricultural Sciences,Bachelor's degree,115,96,19
1987-1988,207388,Oklahoma State University-Main Campus,Engineering-Related Technologies,Bachelor's degree,173,161,12
1987-1988,207388,Oklahoma State University-Main Campus,English Language and Literature/Letters,Bachelor's degree,39,11,28
1987-1988,207388,Oklahoma State University-Main Campus,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,9,8,1
1987-1988,207388,Oklahoma State University-Main Campus,Mathematics,Bachelor's degree,18,10,8
1987-1988,207388,Oklahoma State University-Main Campus,Social Sciences and History,Bachelor's degree,147,70,77
1987-1988,209542,Oregon State University,Agricultural Sciences,Bachelor's degree,67,35,32
1987-1988,209542,Oregon State University,Biological Science/Life Sciences,Bachelor's degree,122,68,54
1987-1988,209542,Oregon State University,Conservation and Renewable Natural Resources,Bachelor's degree,77,63,14
1987-1988,209542,Oregon State University,English Language and Literature/Letters,Bachelor's degree,139,72,67
1987-1988,209542,Oregon State University,Foreign Languages and Literatures,Bachelor's degree,14,4,10
1987-1988,209542,Oregon State University,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,13,7,6
1987-1988,209542,Oregon State University,Area- Ethnic and Cultural Studies,Bachelor's degree,4,1,3
1987-1988,209542,Oregon State University,Business and Management,Bachelor's degree,571,325,246
1987-1988,209542,Oregon State University,Computer and Information Sciences,Bachelor's degree,88,70,18
1987-1988,209542,Oregon State University,Health Sciences,Bachelor's degree,91,44,47
1987-1988,209542,Oregon State University,Multi/Interdisciplinary Studies,Bachelor's degree,65,42,23
1987-1988,209542,Oregon State University,Communications,Bachelor's degree,37,24,13
1987-1988,209542,Oregon State University,Education,Bachelor's degree,361,136,225
1987-1988,209542,Oregon State University,Engineering,Bachelor's degree,349,309,40
1987-1988,209542,Oregon State University,Engineering-Related Technologies,Bachelor's degree,43,40,3
1987-1988,209542,Oregon State University,Mathematics,Bachelor's degree,37,25,12
1987-1988,209542,Oregon State University,Philosophy and Religion,Bachelor's degree,10,8,2
1987-1988,209542,Oregon State University,Physical Sciences,Bachelor's degree,51,42,9
1987-1988,209542,Oregon State University,Psychology,Bachelor's degree,62,25,37
1987-1988,209542,Oregon State University,Social Sciences and History,Bachelor's degree,216,134,82
1987-1988,209542,Oregon State University,Agricultural Business and Production,Bachelor's degree,68,50,18
1987-1988,209542,Oregon State University,Allied Health,Bachelor's degree,3,0,3
1987-1988,209542,Oregon State University,Home Economics- General,Bachelor's degree,108,7,101
1987-1988,209542,Oregon State University,Visual and Performing Arts,Bachelor's degree,40,11,29
1987-1988,186380,Rutgers University-New Brunswick,Computer and Information Sciences,Bachelor's degree,163,120,43
1987-1988,186380,Rutgers University-New Brunswick,Conservation and Renewable Natural Resources,Bachelor's degree,15,8,7
1987-1988,186380,Rutgers University-New Brunswick,Engineering,Bachelor's degree,522,412,110
1987-1988,186380,Rutgers University-New Brunswick,Foreign Languages and Literatures,Bachelor's degree,92,18,74
1987-1988,186380,Rutgers University-New Brunswick,Philosophy and Religion,Bachelor's degree,27,18,9
1987-1988,186380,Rutgers University-New Brunswick,Physical Sciences,Bachelor's degree,82,57,25
