Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,243744,Stanford University,Area- Ethnic and Cultural Studies,Bachelor's degree,31,10,21
1987-1988,243744,Stanford University,Biological Science/Life Sciences,Bachelor's degree,166,94,72
1987-1988,243744,Stanford University,Foreign Languages and Literatures,Bachelor's degree,39,20,19
1987-1988,243744,Stanford University,Mathematics,Bachelor's degree,40,29,11
1987-1988,243744,Stanford University,Multi/Interdisciplinary Studies,Bachelor's degree,195,59,136
1987-1988,243744,Stanford University,Philosophy and Religion,Bachelor's degree,8,6,2
1987-1988,243744,Stanford University,Physical Sciences,Bachelor's degree,42,27,15
1987-1988,243744,Stanford University,Computer and Information Sciences,Bachelor's degree,28,22,6
1987-1988,243744,Stanford University,Public Administration and Services,Bachelor's degree,7,4,3
1987-1988,243744,Stanford University,Communications,Bachelor's degree,38,16,22
1987-1988,243744,Stanford University,Social Sciences and History,Bachelor's degree,617,354,263
1987-1988,243744,Stanford University,Visual and Performing Arts,Bachelor's degree,30,13,17
1987-1988,243744,Stanford University,Engineering,Bachelor's degree,338,260,78
1987-1988,243744,Stanford University,English Language and Literature/Letters,Bachelor's degree,123,46,77
1987-1988,243744,Stanford University,Psychology,Bachelor's degree,84,27,57
1987-1988,228723,Texas A & M University-College Station,Architecture and Related Programs,Bachelor's degree,186,141,45
1987-1988,228723,Texas A & M University-College Station,Biological Science/Life Sciences,Bachelor's degree,202,112,90
1987-1988,228723,Texas A & M University-College Station,Foreign Languages and Literatures,Bachelor's degree,38,13,25
1987-1988,228723,Texas A & M University-College Station,Home Economics- General,Bachelor's degree,17,2,15
1987-1988,228723,Texas A & M University-College Station,Marketing Operations/Marketing and Distribution,Bachelor's degree,107,88,19
1987-1988,228723,Texas A & M University-College Station,Mathematics,Bachelor's degree,31,12,19
1987-1988,228723,Texas A & M University-College Station,Multi/Interdisciplinary Studies,Bachelor's degree,122,46,76
1987-1988,228723,Texas A & M University-College Station,Philosophy and Religion,Bachelor's degree,15,10,5
1987-1988,228723,Texas A & M University-College Station,Social Sciences and History,Bachelor's degree,432,242,190
1987-1988,228723,Texas A & M University-College Station,Agricultural Sciences,Bachelor's degree,317,190,127
1987-1988,228723,Texas A & M University-College Station,Business and Management,Bachelor's degree,1123,551,572
1987-1988,228723,Texas A & M University-College Station,Conservation and Renewable Natural Resources,Bachelor's degree,15,13,2
1987-1988,228723,Texas A & M University-College Station,Health Sciences,Bachelor's degree,191,93,98
1987-1988,228723,Texas A & M University-College Station,Physical Sciences,Bachelor's degree,96,63,33
1987-1988,228723,Texas A & M University-College Station,Agricultural Business and Production,Bachelor's degree,194,135,59
1987-1988,228723,Texas A & M University-College Station,Computer and Information Sciences,Bachelor's degree,160,110,50
1987-1988,228723,Texas A & M University-College Station,Education,Bachelor's degree,529,110,419
1987-1988,228723,Texas A & M University-College Station,English Language and Literature/Letters,Bachelor's degree,159,29,130
1987-1988,228723,Texas A & M University-College Station,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,68,39,29
1987-1988,228723,Texas A & M University-College Station,Psychology,Bachelor's degree,231,67,164
1987-1988,228723,Texas A & M University-College Station,Communications,Bachelor's degree,121,29,92
1987-1988,228723,Texas A & M University-College Station,Engineering,Bachelor's degree,1295,1113,182
1987-1988,228723,Texas A & M University-College Station,Engineering-Related Technologies,Bachelor's degree,155,149,6
1987-1988,228723,Texas A & M University-College Station,Visual and Performing Arts,Bachelor's degree,5,3,2
1987-1988,100751,The University of Alabama,Area- Ethnic and Cultural Studies,Bachelor's degree,5,2,3
1987-1988,100751,The University of Alabama,Home Economics- General,Bachelor's degree,73,6,67
1987-1988,100751,The University of Alabama,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,1,0,1
1987-1988,100751,The University of Alabama,Multi/Interdisciplinary Studies,Bachelor's degree,86,49,37
1987-1988,100751,The University of Alabama,Philosophy and Religion,Bachelor's degree,5,3,2
1987-1988,100751,The University of Alabama,Protective Services,Bachelor's degree,28,17,11
1987-1988,100751,The University of Alabama,Psychology,Bachelor's degree,53,17,36
1987-1988,100751,The University of Alabama,Public Administration and Services,Bachelor's degree,35,2,33
1987-1988,100751,The University of Alabama,Visual and Performing Arts,Bachelor's degree,31,14,17
1987-1988,100751,The University of Alabama,Architecture and Related Programs,Bachelor's degree,26,2,24
1987-1988,100751,The University of Alabama,Biological Science/Life Sciences,Bachelor's degree,45,23,22
1987-1988,100751,The University of Alabama,Communications,Bachelor's degree,291,132,159
1987-1988,100751,The University of Alabama,Engineering-Related Technologies,Bachelor's degree,26,23,3
1987-1988,100751,The University of Alabama,Law and Legal Studies,Bachelor's degree,3,3,0
1987-1988,100751,The University of Alabama,Mathematics,Bachelor's degree,14,8,6
1987-1988,100751,The University of Alabama,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,2,1,1
1987-1988,100751,The University of Alabama,Physical Sciences,Bachelor's degree,30,24,6
1987-1988,100751,The University of Alabama,Allied Health,Bachelor's degree,2,0,2
1987-1988,100751,The University of Alabama,Business and Management,Bachelor's degree,500,282,218
1987-1988,100751,The University of Alabama,Computer and Information Sciences,Bachelor's degree,38,23,15
1987-1988,100751,The University of Alabama,Education,Bachelor's degree,204,36,168
1987-1988,100751,The University of Alabama,Engineering,Bachelor's degree,232,187,45
1987-1988,100751,The University of Alabama,Foreign Languages and Literatures,Bachelor's degree,5,1,4
1987-1988,100751,The University of Alabama,English Language and Literature/Letters,Bachelor's degree,50,19,31
1987-1988,100751,The University of Alabama,Health Sciences,Bachelor's degree,109,18,91
1987-1988,100751,The University of Alabama,Social Sciences and History,Bachelor's degree,105,74,31
1987-1988,100751,The University of Alabama,Vocational Home Economics,Bachelor's degree,1,0,1
1987-1988,228778,The University of Texas at Austin,Communications,Bachelor's degree,822,269,553
1987-1988,228778,The University of Texas at Austin,Mathematics,Bachelor's degree,100,65,35
1987-1988,228778,The University of Texas at Austin,Philosophy and Religion,Bachelor's degree,34,22,12
1987-1988,228778,The University of Texas at Austin,Public Administration and Services,Bachelor's degree,59,16,43
1987-1988,228778,The University of Texas at Austin,Social Sciences and History,Bachelor's degree,835,524,311
1987-1988,228778,The University of Texas at Austin,Visual and Performing Arts,Bachelor's degree,208,68,140
1987-1988,228778,The University of Texas at Austin,Area- Ethnic and Cultural Studies,Bachelor's degree,42,22,20
1987-1988,228778,The University of Texas at Austin,Biological Science/Life Sciences,Bachelor's degree,294,177,117
1987-1988,228778,The University of Texas at Austin,Computer and Information Sciences,Bachelor's degree,130,98,32
1987-1988,228778,The University of Texas at Austin,Education,Bachelor's degree,370,56,314
1987-1988,228778,The University of Texas at Austin,Foreign Languages and Literatures,Bachelor's degree,113,31,82
1987-1988,228778,The University of Texas at Austin,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,139,64,75
1987-1988,228778,The University of Texas at Austin,Psychology,Bachelor's degree,342,124,218
1987-1988,228778,The University of Texas at Austin,Allied Health,Bachelor's degree,8,4,4
1987-1988,228778,The University of Texas at Austin,Architecture and Related Programs,Bachelor's degree,87,56,31
1987-1988,228778,The University of Texas at Austin,Business and Management,Bachelor's degree,1571,874,697
1987-1988,228778,The University of Texas at Austin,Engineering,Bachelor's degree,691,592,99
1987-1988,228778,The University of Texas at Austin,Physical Sciences,Bachelor's degree,104,76,28
1987-1988,228778,The University of Texas at Austin,Business (Administrative Support),Bachelor's degree,93,54,39
1987-1988,228778,The University of Texas at Austin,English Language and Literature/Letters,Bachelor's degree,233,90,143
1987-1988,228778,The University of Texas at Austin,Health Sciences,Bachelor's degree,254,74,180
1987-1988,228778,The University of Texas at Austin,Home Economics- General,Bachelor's degree,161,8,153
1987-1988,228778,The University of Texas at Austin,Multi/Interdisciplinary Studies,Bachelor's degree,18,6,12
1987-1988,134130,University of Florida,Area- Ethnic and Cultural Studies,Bachelor's degree,6,3,3
1987-1988,134130,University of Florida,Business and Management,Bachelor's degree,921,538,383
1987-1988,134130,University of Florida,Communications,Bachelor's degree,644,238,406
1987-1988,134130,University of Florida,English Language and Literature/Letters,Bachelor's degree,226,63,163
1987-1988,134130,University of Florida,Health Sciences,Bachelor's degree,162,14,148
1987-1988,134130,University of Florida,Mathematics,Bachelor's degree,81,47,34
1987-1988,134130,University of Florida,Protective Services,Bachelor's degree,93,54,39
1987-1988,134130,University of Florida,Agricultural Business and Production,Bachelor's degree,50,33,17
1987-1988,134130,University of Florida,Agricultural Sciences,Bachelor's degree,100,44,56
1987-1988,134130,University of Florida,Engineering-Related Technologies,Bachelor's degree,115,107,8
1987-1988,134130,University of Florida,Home Economics- General,Bachelor's degree,12,0,12
1987-1988,134130,University of Florida,Multi/Interdisciplinary Studies,Bachelor's degree,33,18,15
1987-1988,134130,University of Florida,Physical Sciences,Bachelor's degree,71,45,26
1987-1988,134130,University of Florida,Social Sciences and History,Bachelor's degree,515,331,184
1987-1988,134130,University of Florida,Visual and Performing Arts,Bachelor's degree,92,33,59
1987-1988,134130,University of Florida,Computer and Information Sciences,Bachelor's degree,168,116,52
1987-1988,134130,University of Florida,Education,Bachelor's degree,360,68,292
1987-1988,134130,University of Florida,Engineering,Bachelor's degree,595,510,85
1987-1988,134130,University of Florida,Foreign Languages and Literatures,Bachelor's degree,27,9,18
1987-1988,134130,University of Florida,Philosophy and Religion,Bachelor's degree,21,16,5
1987-1988,134130,University of Florida,Allied Health,Bachelor's degree,109,25,84
1987-1988,134130,University of Florida,Architecture and Related Programs,Bachelor's degree,128,80,48
1987-1988,134130,University of Florida,Biological Science/Life Sciences,Bachelor's degree,201,101,100
1987-1988,134130,University of Florida,Conservation and Renewable Natural Resources,Bachelor's degree,27,18,9
1987-1988,134130,University of Florida,Psychology,Bachelor's degree,244,95,149
1987-1988,139959,University of Georgia,Computer and Information Sciences,Bachelor's degree,64,45,19
1987-1988,139959,University of Georgia,Psychology,Bachelor's degree,159,61,98
1987-1988,139959,University of Georgia,Public Administration and Services,Bachelor's degree,22,3,19
1987-1988,139959,University of Georgia,Visual and Performing Arts,Bachelor's degree,127,42,85
1987-1988,139959,University of Georgia,Vocational Home Economics,Bachelor's degree,22,0,22
1987-1988,139959,University of Georgia,Agricultural Business and Production,Bachelor's degree,78,68,10
1987-1988,139959,University of Georgia,Architecture and Related Programs,Bachelor's degree,63,41,22
1987-1988,139959,University of Georgia,Biological Science/Life Sciences,Bachelor's degree,162,91,71
1987-1988,139959,University of Georgia,Business and Management,Bachelor's degree,1027,545,482
1987-1988,139959,University of Georgia,Communications,Bachelor's degree,302,73,229
1987-1988,139959,University of Georgia,Communications Technologies,Bachelor's degree,77,38,39
1987-1988,139959,University of Georgia,Engineering,Bachelor's degree,28,27,1
1987-1988,139959,University of Georgia,English Language and Literature/Letters,Bachelor's degree,213,90,123
1987-1988,139959,University of Georgia,Health Sciences,Bachelor's degree,172,52,120
1987-1988,139959,University of Georgia,Marketing Operations/Marketing and Distribution,Bachelor's degree,57,0,57
1987-1988,139959,University of Georgia,Multi/Interdisciplinary Studies,Bachelor's degree,19,15,4
1987-1988,139959,University of Georgia,Physical Sciences,Bachelor's degree,30,25,5
1987-1988,139959,University of Georgia,Protective Services,Bachelor's degree,22,15,7
1987-1988,139959,University of Georgia,Area- Ethnic and Cultural Studies,Bachelor's degree,2,1,1
1987-1988,139959,University of Georgia,Mathematics,Bachelor's degree,27,14,13
1987-1988,139959,University of Georgia,Philosophy and Religion,Bachelor's degree,6,5,1
1987-1988,139959,University of Georgia,Social Sciences and History,Bachelor's degree,357,253,104
1987-1988,139959,University of Georgia,Agricultural Sciences,Bachelor's degree,104,70,34
1987-1988,139959,University of Georgia,Allied Health,Bachelor's degree,2,0,2
1987-1988,139959,University of Georgia,Conservation and Renewable Natural Resources,Bachelor's degree,26,23,3
1987-1988,139959,University of Georgia,Education,Bachelor's degree,517,142,375
1987-1988,139959,University of Georgia,Foreign Languages and Literatures,Bachelor's degree,29,9,20
1987-1988,139959,University of Georgia,Home Economics- General,Bachelor's degree,96,2,94
1987-1988,157289,University of Louisville,Communications,Bachelor's degree,95,39,56
1987-1988,157289,University of Louisville,Foreign Languages and Literatures,Bachelor's degree,11,5,6
1987-1988,157289,University of Louisville,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,5,3,2
1987-1988,157289,University of Louisville,Protective Services,Bachelor's degree,43,31,12
1987-1988,157289,University of Louisville,Visual and Performing Arts,Bachelor's degree,75,23,52
1987-1988,157289,University of Louisville,Biological Science/Life Sciences,Bachelor's degree,67,39,28
1987-1988,157289,University of Louisville,Business and Management,Bachelor's degree,416,218,198
1987-1988,157289,University of Louisville,Computer and Information Sciences,Bachelor's degree,28,11,17
1987-1988,157289,University of Louisville,Allied Health,Bachelor's degree,22,4,18
1987-1988,157289,University of Louisville,Area- Ethnic and Cultural Studies,Bachelor's degree,1,1,0
1987-1988,157289,University of Louisville,Business (Administrative Support),Bachelor's degree,1,0,1
1987-1988,157289,University of Louisville,Education,Bachelor's degree,208,46,162
1987-1988,157289,University of Louisville,Engineering,Bachelor's degree,255,217,38
1987-1988,157289,University of Louisville,Health Sciences,Bachelor's degree,80,8,72
1987-1988,157289,University of Louisville,Mathematics,Bachelor's degree,27,15,12
1987-1988,157289,University of Louisville,Multi/Interdisciplinary Studies,Bachelor's degree,4,1,3
1987-1988,157289,University of Louisville,Philosophy and Religion,Bachelor's degree,6,6,0
1987-1988,157289,University of Louisville,Psychology,Bachelor's degree,82,28,54
1987-1988,157289,University of Louisville,Social Sciences and History,Bachelor's degree,148,82,66
1987-1988,157289,University of Louisville,English Language and Literature/Letters,Bachelor's degree,55,19,36
1987-1988,157289,University of Louisville,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,28,9,19
1987-1988,157289,University of Louisville,Physical Sciences,Bachelor's degree,29,18,11
1987-1988,135726,University of Miami,Allied Health,Bachelor's degree,12,3,9
1987-1988,135726,University of Miami,Communications,Bachelor's degree,120,33,87
1987-1988,135726,University of Miami,Computer and Information Sciences,Bachelor's degree,66,37,29
1987-1988,135726,University of Miami,English Language and Literature/Letters,Bachelor's degree,67,21,46
1987-1988,135726,University of Miami,Mathematics,Bachelor's degree,15,7,8
1987-1988,135726,University of Miami,Social Sciences and History,Bachelor's degree,96,59,37
1987-1988,135726,University of Miami,Area- Ethnic and Cultural Studies,Bachelor's degree,5,1,4
1987-1988,135726,University of Miami,Biological Science/Life Sciences,Bachelor's degree,71,39,32
1987-1988,135726,University of Miami,Education,Bachelor's degree,66,10,56
1987-1988,135726,University of Miami,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,1,0,1
1987-1988,135726,University of Miami,Protective Services,Bachelor's degree,16,5,11
1987-1988,135726,University of Miami,Law and Legal Studies,Bachelor's degree,3,1,2
1987-1988,135726,University of Miami,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,9,6,3
1987-1988,135726,University of Miami,Architecture and Related Programs,Bachelor's degree,71,51,20
1987-1988,135726,University of Miami,Business and Management,Bachelor's degree,490,253,237
1987-1988,135726,University of Miami,Engineering,Bachelor's degree,259,219,40
1987-1988,135726,University of Miami,Foreign Languages and Literatures,Bachelor's degree,6,1,5
1987-1988,135726,University of Miami,Health Sciences,Bachelor's degree,127,48,79
1987-1988,135726,University of Miami,Marketing Operations/Marketing and Distribution,Bachelor's degree,63,27,36
1987-1988,135726,University of Miami,Philosophy and Religion,Bachelor's degree,5,2,3
1987-1988,135726,University of Miami,Physical Sciences,Bachelor's degree,43,29,14
1987-1988,135726,University of Miami,Psychology,Bachelor's degree,134,34,100
1987-1988,135726,University of Miami,Visual and Performing Arts,Bachelor's degree,188,107,81
1987-1988,170976,University of Michigan-Ann Arbor,Computer and Information Sciences,Bachelor's degree,78,54,24
1987-1988,170976,University of Michigan-Ann Arbor,English Language and Literature/Letters,Bachelor's degree,411,133,278
1987-1988,170976,University of Michigan-Ann Arbor,Social Sciences and History,Bachelor's degree,916,517,399
1987-1988,170976,University of Michigan-Ann Arbor,Visual and Performing Arts,Bachelor's degree,284,89,195
1987-1988,170976,University of Michigan-Ann Arbor,Biological Science/Life Sciences,Bachelor's degree,267,157,110
1987-1988,170976,University of Michigan-Ann Arbor,Business and Management,Bachelor's degree,313,169,144
1987-1988,170976,University of Michigan-Ann Arbor,Engineering,Bachelor's degree,834,683,151
1987-1988,170976,University of Michigan-Ann Arbor,Multi/Interdisciplinary Studies,Bachelor's degree,162,78,84
1987-1988,170976,University of Michigan-Ann Arbor,Physical Sciences,Bachelor's degree,78,56,22
1987-1988,170976,University of Michigan-Ann Arbor,Psychology,Bachelor's degree,421,124,297
1987-1988,170976,University of Michigan-Ann Arbor,Communications,Bachelor's degree,229,66,163
1987-1988,170976,University of Michigan-Ann Arbor,Education,Bachelor's degree,127,37,90
1987-1988,170976,University of Michigan-Ann Arbor,Foreign Languages and Literatures,Bachelor's degree,126,35,91
1987-1988,170976,University of Michigan-Ann Arbor,Health Sciences,Bachelor's degree,190,4,186
1987-1988,170976,University of Michigan-Ann Arbor,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,240,139,101
1987-1988,170976,University of Michigan-Ann Arbor,Mathematics,Bachelor's degree,78,47,31
1987-1988,170976,University of Michigan-Ann Arbor,Philosophy and Religion,Bachelor's degree,52,29,23
1987-1988,170976,University of Michigan-Ann Arbor,Allied Health,Bachelor's degree,21,0,21
1987-1988,170976,University of Michigan-Ann Arbor,Architecture and Related Programs,Bachelor's degree,90,71,19
1987-1988,170976,University of Michigan-Ann Arbor,Area- Ethnic and Cultural Studies,Bachelor's degree,55,22,33
1987-1988,170976,University of Michigan-Ann Arbor,Conservation and Renewable Natural Resources,Bachelor's degree,22,14,8
1987-1988,170976,University of Michigan-Ann Arbor,Home Economics- General,Bachelor's degree,1,0,1
1987-1988,181464,University of Nebraska-Lincoln,Agricultural Sciences,Bachelor's degree,92,71,21
1987-1988,181464,University of Nebraska-Lincoln,Business (Administrative Support),Bachelor's degree,13,0,13
1987-1988,181464,University of Nebraska-Lincoln,Education,Bachelor's degree,415,110,305
1987-1988,181464,University of Nebraska-Lincoln,Agricultural Business and Production,Bachelor's degree,119,99,20
1987-1988,181464,University of Nebraska-Lincoln,Architecture and Related Programs,Bachelor's degree,56,46,10
1987-1988,181464,University of Nebraska-Lincoln,Engineering-Related Technologies,Bachelor's degree,102,94,8
1987-1988,181464,University of Nebraska-Lincoln,Foreign Languages and Literatures,Bachelor's degree,25,8,17
1987-1988,181464,University of Nebraska-Lincoln,Home Economics- General,Bachelor's degree,204,11,193
1987-1988,181464,University of Nebraska-Lincoln,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,9,3,6
1987-1988,181464,University of Nebraska-Lincoln,Allied Health,Bachelor's degree,7,3,4
1987-1988,181464,University of Nebraska-Lincoln,Business and Management,Bachelor's degree,598,360,238
1987-1988,181464,University of Nebraska-Lincoln,Computer and Information Sciences,Bachelor's degree,73,61,12
1987-1988,181464,University of Nebraska-Lincoln,Conservation and Renewable Natural Resources,Bachelor's degree,28,26,2
1987-1988,181464,University of Nebraska-Lincoln,English Language and Literature/Letters,Bachelor's degree,62,30,32
1987-1988,181464,University of Nebraska-Lincoln,Mathematics,Bachelor's degree,50,34,16
1987-1988,181464,University of Nebraska-Lincoln,Multi/Interdisciplinary Studies,Bachelor's degree,26,15,11
1987-1988,181464,University of Nebraska-Lincoln,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,16,7,9
1987-1988,181464,University of Nebraska-Lincoln,Physical Sciences,Bachelor's degree,40,34,6
1987-1988,181464,University of Nebraska-Lincoln,Visual and Performing Arts,Bachelor's degree,28,9,19
1987-1988,181464,University of Nebraska-Lincoln,Area- Ethnic and Cultural Studies,Bachelor's degree,1,1,0
1987-1988,181464,University of Nebraska-Lincoln,Biological Science/Life Sciences,Bachelor's degree,88,57,31
1987-1988,181464,University of Nebraska-Lincoln,Communications,Bachelor's degree,220,84,136
1987-1988,181464,University of Nebraska-Lincoln,Engineering,Bachelor's degree,250,226,24
1987-1988,181464,University of Nebraska-Lincoln,Health Sciences,Bachelor's degree,19,1,18
1987-1988,181464,University of Nebraska-Lincoln,Philosophy and Religion,Bachelor's degree,7,4,3
1987-1988,181464,University of Nebraska-Lincoln,Psychology,Bachelor's degree,84,32,52
1987-1988,181464,University of Nebraska-Lincoln,Social Sciences and History,Bachelor's degree,138,85,53
1987-1988,199120,University of North Carolina at Chapel Hill,Allied Health,Bachelor's degree,70,6,64
1987-1988,199120,University of North Carolina at Chapel Hill,Business and Management,Bachelor's degree,550,269,281
1987-1988,199120,University of North Carolina at Chapel Hill,Communications,Bachelor's degree,347,107,240
1987-1988,199120,University of North Carolina at Chapel Hill,Foreign Languages and Literatures,Bachelor's degree,46,14,32
1987-1988,199120,University of North Carolina at Chapel Hill,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,31,6,25
1987-1988,199120,University of North Carolina at Chapel Hill,Protective Services,Bachelor's degree,51,20,31
1987-1988,199120,University of North Carolina at Chapel Hill,Biological Science/Life Sciences,Bachelor's degree,160,80,80
1987-1988,199120,University of North Carolina at Chapel Hill,Mathematics,Bachelor's degree,90,49,41
1987-1988,199120,University of North Carolina at Chapel Hill,Psychology,Bachelor's degree,205,55,150
1987-1988,199120,University of North Carolina at Chapel Hill,Social Sciences and History,Bachelor's degree,533,337,196
1987-1988,199120,University of North Carolina at Chapel Hill,Health Sciences,Bachelor's degree,332,74,258
1987-1988,199120,University of North Carolina at Chapel Hill,Philosophy and Religion,Bachelor's degree,14,10,4
1987-1988,199120,University of North Carolina at Chapel Hill,Physical Sciences,Bachelor's degree,123,89,34
1987-1988,199120,University of North Carolina at Chapel Hill,Public Administration and Services,Bachelor's degree,9,3,6
1987-1988,199120,University of North Carolina at Chapel Hill,Area- Ethnic and Cultural Studies,Bachelor's degree,103,28,75
1987-1988,199120,University of North Carolina at Chapel Hill,Education,Bachelor's degree,161,23,138
1987-1988,199120,University of North Carolina at Chapel Hill,English Language and Literature/Letters,Bachelor's degree,283,87,196
1987-1988,199120,University of North Carolina at Chapel Hill,Multi/Interdisciplinary Studies,Bachelor's degree,41,21,20
1987-1988,199120,University of North Carolina at Chapel Hill,Visual and Performing Arts,Bachelor's degree,47,15,32
1987-1988,152080,University of Notre Dame,Mathematics,Bachelor's degree,37,23,14
1987-1988,152080,University of Notre Dame,Architecture and Related Programs,Bachelor's degree,37,27,10
1987-1988,152080,University of Notre Dame,Area- Ethnic and Cultural Studies,Bachelor's degree,96,51,45
1987-1988,152080,University of Notre Dame,Engineering,Bachelor's degree,275,237,38
1987-1988,152080,University of Notre Dame,Health Sciences,Bachelor's degree,159,115,44
1987-1988,152080,University of Notre Dame,Philosophy and Religion,Bachelor's degree,32,28,4
1987-1988,152080,University of Notre Dame,Social Sciences and History,Bachelor's degree,311,216,95
1987-1988,152080,University of Notre Dame,Biological Science/Life Sciences,Bachelor's degree,53,26,27
1987-1988,152080,University of Notre Dame,Business and Management,Bachelor's degree,513,394,119
1987-1988,152080,University of Notre Dame,English Language and Literature/Letters,Bachelor's degree,183,103,80
1987-1988,152080,University of Notre Dame,Foreign Languages and Literatures,Bachelor's degree,13,6,7
1987-1988,152080,University of Notre Dame,Theological Studies and Religious Vocations,Bachelor's degree,6,4,2
1987-1988,152080,University of Notre Dame,Physical Sciences,Bachelor's degree,29,22,7
1987-1988,152080,University of Notre Dame,Psychology,Bachelor's degree,91,41,50
1987-1988,152080,University of Notre Dame,Visual and Performing Arts,Bachelor's degree,53,26,27
1987-1988,207500,University of Oklahoma Norman Campus,Architecture and Related Programs,Bachelor's degree,138,109,29
1987-1988,207500,University of Oklahoma Norman Campus,Area- Ethnic and Cultural Studies,Bachelor's degree,4,3,1
1987-1988,207500,University of Oklahoma Norman Campus,Computer and Information Sciences,Bachelor's degree,53,40,13
1987-1988,207500,University of Oklahoma Norman Campus,Education,Bachelor's degree,186,32,154
1987-1988,207500,University of Oklahoma Norman Campus,Engineering,Bachelor's degree,261,237,24
1987-1988,207500,University of Oklahoma Norman Campus,English Language and Literature/Letters,Bachelor's degree,75,24,51
1987-1988,207500,University of Oklahoma Norman Campus,Health Sciences,Bachelor's degree,3,1,2
1987-1988,207500,University of Oklahoma Norman Campus,Public Administration and Services,Bachelor's degree,61,19,42
1987-1988,207500,University of Oklahoma Norman Campus,Social Sciences and History,Bachelor's degree,170,107,63
1987-1988,207500,University of Oklahoma Norman Campus,Biological Science/Life Sciences,Bachelor's degree,66,41,25
1987-1988,207500,University of Oklahoma Norman Campus,Business and Management,Bachelor's degree,616,367,249
1987-1988,207500,University of Oklahoma Norman Campus,Communications Technologies,Bachelor's degree,67,34,33
1987-1988,207500,University of Oklahoma Norman Campus,Physical Sciences,Bachelor's degree,65,42,23
1987-1988,207500,University of Oklahoma Norman Campus,Protective Services,Bachelor's degree,39,27,12
1987-1988,207500,University of Oklahoma Norman Campus,Psychology,Bachelor's degree,72,21,51
1987-1988,207500,University of Oklahoma Norman Campus,Foreign Languages and Literatures,Bachelor's degree,32,6,26
1987-1988,207500,University of Oklahoma Norman Campus,Visual and Performing Arts,Bachelor's degree,74,40,34
1987-1988,207500,University of Oklahoma Norman Campus,Communications,Bachelor's degree,195,85,110
1987-1988,207500,University of Oklahoma Norman Campus,Home Economics- General,Bachelor's degree,63,7,56
1987-1988,207500,University of Oklahoma Norman Campus,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,23,10,13
1987-1988,207500,University of Oklahoma Norman Campus,Mathematics,Bachelor's degree,27,20,7
1987-1988,207500,University of Oklahoma Norman Campus,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,22,5,17
1987-1988,207500,University of Oklahoma Norman Campus,Philosophy and Religion,Bachelor's degree,6,5,1
1987-1988,209551,University of Oregon,Education,Bachelor's degree,201,46,155
1987-1988,209551,University of Oregon,Multi/Interdisciplinary Studies,Bachelor's degree,47,28,19
1987-1988,209551,University of Oregon,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,62,24,38
1987-1988,209551,University of Oregon,Philosophy and Religion,Bachelor's degree,11,8,3
1987-1988,209551,University of Oregon,Visual and Performing Arts,Bachelor's degree,125,43,82
1987-1988,209551,University of Oregon,Business and Management,Bachelor's degree,473,288,185
1987-1988,209551,University of Oregon,Computer and Information Sciences,Bachelor's degree,64,47,17
1987-1988,209551,University of Oregon,Foreign Languages and Literatures,Bachelor's degree,81,25,56
1987-1988,209551,University of Oregon,Health Sciences,Bachelor's degree,4,1,3
1987-1988,209551,University of Oregon,Physical Sciences,Bachelor's degree,44,29,15
1987-1988,209551,University of Oregon,Architecture and Related Programs,Bachelor's degree,108,74,34
1987-1988,209551,University of Oregon,Area- Ethnic and Cultural Studies,Bachelor's degree,22,7,15
1987-1988,209551,University of Oregon,English Language and Literature/Letters,Bachelor's degree,195,79,116
1987-1988,209551,University of Oregon,Mathematics,Bachelor's degree,42,28,14
1987-1988,209551,University of Oregon,Psychology,Bachelor's degree,171,56,115
1987-1988,209551,University of Oregon,Biological Science/Life Sciences,Bachelor's degree,64,35,29
1987-1988,209551,University of Oregon,Communications,Bachelor's degree,284,105,179
1987-1988,209551,University of Oregon,Public Administration and Services,Bachelor's degree,96,29,67
1987-1988,209551,University of Oregon,Social Sciences and History,Bachelor's degree,382,237,145
1987-1988,218663,University of South Carolina-Columbia,English Language and Literature/Letters,Bachelor's degree,93,30,63
1987-1988,218663,University of South Carolina-Columbia,Health Sciences,Bachelor's degree,215,32,183
1987-1988,218663,University of South Carolina-Columbia,Communications,Bachelor's degree,267,95,172
1987-1988,218663,University of South Carolina-Columbia,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,198,91,107
1987-1988,218663,University of South Carolina-Columbia,Mathematics,Bachelor's degree,39,15,24
