Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1979-1980,100751,The University of Alabama,Social sciences,22',Bachelor's degrees,175,125,50
1979-1980,100751,The University of Alabama,Biological sciences,04',Bachelor's degrees,82,48,34
1979-1980,100751,The University of Alabama,Education,08',Bachelor's degrees,311,68,243
1979-1980,100751,The University of Alabama,Foreign languages-,11',Bachelor's degrees,13,3,10
1979-1980,100751,The University of Alabama,Letters,15',Bachelor's degrees,69,29,40
1979-1980,100751,The University of Alabama,Mathematics,17',Bachelor's degrees,18,8,10
1979-1980,100751,The University of Alabama,Area studies,03',Bachelor's degrees,18,7,11
1979-1980,100751,The University of Alabama,Fine and applied arts,10',Bachelor's degrees,67,24,43
1979-1980,100751,The University of Alabama,Health Professions,12',Bachelor's degrees,142,39,103
1979-1980,100751,The University of Alabama,Physical sciences,19',Bachelor's degrees,46,37,9
1979-1980,100751,The University of Alabama,Psychology,20',Bachelor's degrees,66,27,39
1979-1980,100751,The University of Alabama,Public affairs and services,21',Bachelor's degrees,95,27,68
1979-1980,228778,The University of Texas at Austin,Architecture and environmental design,02',Bachelor's degrees,93,72,21
1979-1980,228778,The University of Texas at Austin,Business and management,05',Bachelor's degrees,1739,1114,625
1979-1980,228778,The University of Texas at Austin,Computer and information sciences,07',Bachelor's degrees,98,65,33
1979-1980,228778,The University of Texas at Austin,Education,08',Bachelor's degrees,345,49,296
1979-1980,228778,The University of Texas at Austin,Home economics,13',Bachelor's degrees,149,3,146
1979-1980,228778,The University of Texas at Austin,Physical sciences,19',Bachelor's degrees,143,103,40
1979-1980,228778,The University of Texas at Austin,Biological sciences,04',Bachelor's degrees,321,192,129
1979-1980,228778,The University of Texas at Austin,Fine and applied arts,10',Bachelor's degrees,251,72,179
1979-1980,228778,The University of Texas at Austin,Interdisciplinary studies,49',Bachelor's degrees,141,61,80
1979-1980,228778,The University of Texas at Austin,Mathematics,17',Bachelor's degrees,63,25,38
1979-1980,228778,The University of Texas at Austin,Communications,06',Bachelor's degrees,619,280,339
1979-1980,228778,The University of Texas at Austin,Engineering,09',Bachelor's degrees,726,659,67
1979-1980,228778,The University of Texas at Austin,Foreign languages-,11',Bachelor's degrees,124,27,97
1979-1980,228778,The University of Texas at Austin,Letters,15',Bachelor's degrees,346,106,240
1979-1980,228778,The University of Texas at Austin,Area studies,03',Bachelor's degrees,36,8,28
1979-1980,228778,The University of Texas at Austin,Health Professions,12',Bachelor's degrees,381,113,268
1979-1980,228778,The University of Texas at Austin,Psychology,20',Bachelor's degrees,360,126,234
1979-1980,228778,The University of Texas at Austin,Public affairs and services,21',Bachelor's degrees,49,8,41
1979-1980,228778,The University of Texas at Austin,Social sciences,22',Bachelor's degrees,610,338,272
1979-1980,134130,University of Florida,Communications,06',Bachelor's degrees,495,184,311
1979-1980,134130,University of Florida,Computer and information sciences,07',Bachelor's degrees,92,66,26
1979-1980,134130,University of Florida,Physical sciences,19',Bachelor's degrees,147,124,23
1979-1980,134130,University of Florida,Agriculture and national resources,01',Bachelor's degrees,371,253,118
1979-1980,134130,University of Florida,Area studies,03',Bachelor's degrees,9,4,5
1979-1980,134130,University of Florida,Fine and applied arts,10',Bachelor's degrees,88,34,54
1979-1980,134130,University of Florida,Foreign languages-,11',Bachelor's degrees,30,9,21
1979-1980,134130,University of Florida,Health Professions,12',Bachelor's degrees,435,120,315
1979-1980,134130,University of Florida,Home economics,13',Bachelor's degrees,15,0,15
1979-1980,134130,University of Florida,Social sciences,22',Bachelor's degrees,496,327,169
1979-1980,134130,University of Florida,Biological sciences,04',Bachelor's degrees,180,123,57
1979-1980,134130,University of Florida,Education,08',Bachelor's degrees,518,105,413
1979-1980,134130,University of Florida,Engineering,09',Bachelor's degrees,471,434,37
1979-1980,134130,University of Florida,Letters,15',Bachelor's degrees,217,81,136
1979-1980,134130,University of Florida,Psychology,20',Bachelor's degrees,200,91,109
1979-1980,134130,University of Florida,Architecture and environmental design,02',Bachelor's degrees,213,179,34
1979-1980,134130,University of Florida,Business and management,05',Bachelor's degrees,960,670,290
1979-1980,134130,University of Florida,Interdisciplinary studies,49',Bachelor's degrees,31,20,11
1979-1980,134130,University of Florida,Mathematics,17',Bachelor's degrees,30,14,16
1979-1980,134130,University of Florida,Public affairs and services,21',Bachelor's degrees,42,15,27
1979-1980,139959,University of Georgia,Biological sciences,04',Bachelor's degrees,179,128,51
1979-1980,139959,University of Georgia,Engineering,09',Bachelor's degrees,34,32,2
1979-1980,139959,University of Georgia,Foreign languages-,11',Bachelor's degrees,43,6,37
1979-1980,139959,University of Georgia,Agriculture and national resources,01',Bachelor's degrees,433,328,105
1979-1980,139959,University of Georgia,Architecture and environmental design,02',Bachelor's degrees,46,33,13
1979-1980,139959,University of Georgia,Business and management,05',Bachelor's degrees,725,492,233
1979-1980,139959,University of Georgia,Computer and information sciences,07',Bachelor's degrees,43,25,18
1979-1980,139959,University of Georgia,Health Professions,12',Bachelor's degrees,189,104,85
1979-1980,139959,University of Georgia,Home economics,13',Bachelor's degrees,354,3,351
1979-1980,139959,University of Georgia,Mathematics,17',Bachelor's degrees,17,7,10
1979-1980,139959,University of Georgia,Area studies,03',Bachelor's degrees,3,3,0
1979-1980,139959,University of Georgia,Communications,06',Bachelor's degrees,357,145,212
1979-1980,139959,University of Georgia,Education,08',Bachelor's degrees,433,129,304
1979-1980,139959,University of Georgia,Fine and applied arts,10',Bachelor's degrees,164,39,125
1979-1980,139959,University of Georgia,Interdisciplinary studies,49',Bachelor's degrees,23,8,15
1979-1980,139959,University of Georgia,Letters,15',Bachelor's degrees,113,43,70
1979-1980,139959,University of Georgia,Psychology,20',Bachelor's degrees,124,56,68
1979-1980,139959,University of Georgia,Social sciences,22',Bachelor's degrees,291,202,89
1979-1980,139959,University of Georgia,Physical sciences,19',Bachelor's degrees,63,56,7
1979-1980,139959,University of Georgia,Public affairs and services,21',Bachelor's degrees,79,19,60
1979-1980,157289,University of Louisville,Biological sciences,04',Bachelor's degrees,82,49,33
1979-1980,157289,University of Louisville,Education,08',Bachelor's degrees,144,38,106
1979-1980,157289,University of Louisville,Foreign languages-,11',Bachelor's degrees,13,2,11
1979-1980,157289,University of Louisville,Letters,15',Bachelor's degrees,36,13,23
1979-1980,157289,University of Louisville,Psychology,20',Bachelor's degrees,57,23,34
1979-1980,157289,University of Louisville,Area studies,03',Bachelor's degrees,2,0,2
1979-1980,157289,University of Louisville,Communications,06',Bachelor's degrees,35,18,17
1979-1980,157289,University of Louisville,Engineering,09',Bachelor's degrees,185,166,19
1979-1980,157289,University of Louisville,Health Professions,12',Bachelor's degrees,64,6,58
1979-1980,157289,University of Louisville,Fine and applied arts,10',Bachelor's degrees,76,23,53
1979-1980,157289,University of Louisville,Home economics,13',Bachelor's degrees,20,0,20
1979-1980,157289,University of Louisville,Public affairs and services,21',Bachelor's degrees,30,24,6
1979-1980,157289,University of Louisville,Business and management,05',Bachelor's degrees,360,238,122
1979-1980,157289,University of Louisville,Physical sciences,19',Bachelor's degrees,31,25,6
1979-1980,157289,University of Louisville,Interdisciplinary studies,49',Bachelor's degrees,47,22,25
1979-1980,157289,University of Louisville,Mathematics,17',Bachelor's degrees,19,11,8
1979-1980,157289,University of Louisville,Social sciences,22',Bachelor's degrees,125,62,63
1979-1980,135726,University of Miami,Engineering,09',Bachelor's degrees,154,137,17
1979-1980,135726,University of Miami,Health Professions,12',Bachelor's degrees,81,6,75
1979-1980,135726,University of Miami,Interdisciplinary studies,49',Bachelor's degrees,22,12,10
1979-1980,135726,University of Miami,Architecture and environmental design,02',Bachelor's degrees,87,61,26
1979-1980,135726,University of Miami,Psychology,20',Bachelor's degrees,88,34,54
1979-1980,135726,University of Miami,Communications,06',Bachelor's degrees,114,48,66
1979-1980,135726,University of Miami,Education,08',Bachelor's degrees,231,48,183
1979-1980,135726,University of Miami,Foreign languages-,11',Bachelor's degrees,23,1,22
1979-1980,135726,University of Miami,Mathematics,17',Bachelor's degrees,16,13,3
1979-1980,135726,University of Miami,Area studies,03',Bachelor's degrees,5,1,4
1979-1980,135726,University of Miami,Biological sciences,04',Bachelor's degrees,87,51,36
1979-1980,135726,University of Miami,Business and management,05',Bachelor's degrees,444,309,135
1979-1980,135726,University of Miami,Computer and information sciences,07',Bachelor's degrees,25,16,9
1979-1980,135726,University of Miami,Fine and applied arts,10',Bachelor's degrees,107,50,57
1979-1980,135726,University of Miami,Letters,15',Bachelor's degrees,52,16,36
1979-1980,135726,University of Miami,Physical sciences,19',Bachelor's degrees,91,59,32
1979-1980,135726,University of Miami,Social sciences,22',Bachelor's degrees,155,76,79
1979-1980,170976,University of Michigan-Ann Arbor,Education,08',Bachelor's degrees,276,102,174
1979-1980,170976,University of Michigan-Ann Arbor,Foreign languages-,11',Bachelor's degrees,81,22,59
1979-1980,170976,University of Michigan-Ann Arbor,Mathematics,17',Bachelor's degrees,47,32,15
1979-1980,170976,University of Michigan-Ann Arbor,Physical sciences,19',Bachelor's degrees,116,95,21
1979-1980,170976,University of Michigan-Ann Arbor,Communications,06',Bachelor's degrees,76,24,52
1979-1980,170976,University of Michigan-Ann Arbor,Fine and applied arts,10',Bachelor's degrees,246,74,172
1979-1980,170976,University of Michigan-Ann Arbor,Interdisciplinary studies,49',Bachelor's degrees,399,232,167
1979-1980,170976,University of Michigan-Ann Arbor,Biological sciences,04',Bachelor's degrees,411,279,132
1979-1980,170976,University of Michigan-Ann Arbor,Computer and information sciences,07',Bachelor's degrees,41,29,12
1979-1980,170976,University of Michigan-Ann Arbor,Engineering,09',Bachelor's degrees,895,791,104
1979-1980,170976,University of Michigan-Ann Arbor,Social sciences,22',Bachelor's degrees,659,357,302
1979-1980,170976,University of Michigan-Ann Arbor,Agriculture and national resources,01',Bachelor's degrees,141,81,60
1979-1980,170976,University of Michigan-Ann Arbor,Architecture and environmental design,02',Bachelor's degrees,95,74,21
1979-1980,170976,University of Michigan-Ann Arbor,Area studies,03',Bachelor's degrees,34,16,18
1979-1980,170976,University of Michigan-Ann Arbor,Business and management,05',Bachelor's degrees,309,198,111
1979-1980,170976,University of Michigan-Ann Arbor,Health Professions,12',Bachelor's degrees,417,45,372
1979-1980,170976,University of Michigan-Ann Arbor,Letters,15',Bachelor's degrees,321,156,165
1979-1980,170976,University of Michigan-Ann Arbor,Psychology,20',Bachelor's degrees,281,82,199
1979-1980,181464,University of Nebraska-Lincoln,Computer and information sciences,07',Bachelor's degrees,26,20,6
1979-1980,181464,University of Nebraska-Lincoln,Education,08',Bachelor's degrees,505,126,379
1979-1980,181464,University of Nebraska-Lincoln,Engineering,09',Bachelor's degrees,284,272,12
1979-1980,181464,University of Nebraska-Lincoln,Agriculture and national resources,01',Bachelor's degrees,323,278,45
1979-1980,181464,University of Nebraska-Lincoln,Fine and applied arts,10',Bachelor's degrees,107,22,85
1979-1980,181464,University of Nebraska-Lincoln,Letters,15',Bachelor's degrees,72,25,47
1979-1980,181464,University of Nebraska-Lincoln,Foreign languages-,11',Bachelor's degrees,27,7,20
1979-1980,181464,University of Nebraska-Lincoln,Interdisciplinary studies,49',Bachelor's degrees,27,15,12
1979-1980,181464,University of Nebraska-Lincoln,Architecture and environmental design,02',Bachelor's degrees,65,55,10
1979-1980,181464,University of Nebraska-Lincoln,Communications,06',Bachelor's degrees,144,67,77
1979-1980,181464,University of Nebraska-Lincoln,Health Professions,12',Bachelor's degrees,48,23,25
1979-1980,181464,University of Nebraska-Lincoln,Mathematics,17',Bachelor's degrees,20,16,4
1979-1980,181464,University of Nebraska-Lincoln,Physical sciences,19',Bachelor's degrees,39,30,9
1979-1980,181464,University of Nebraska-Lincoln,Psychology,20',Bachelor's degrees,63,31,32
1979-1980,181464,University of Nebraska-Lincoln,Public affairs and services,21',Bachelor's degrees,17,4,13
1979-1980,181464,University of Nebraska-Lincoln,Biological sciences,04',Bachelor's degrees,98,71,27
1979-1980,181464,University of Nebraska-Lincoln,Business and management,05',Bachelor's degrees,487,330,157
1979-1980,181464,University of Nebraska-Lincoln,Home economics,13',Bachelor's degrees,85,1,84
1979-1980,181464,University of Nebraska-Lincoln,Social sciences,22',Bachelor's degrees,192,114,78
1979-1980,199120,University of North Carolina at Chapel Hill,Law,14',Bachelor's degrees,1,0,1
1979-1980,199120,University of North Carolina at Chapel Hill,Letters,15',Bachelor's degrees,190,73,117
1979-1980,199120,University of North Carolina at Chapel Hill,Psychology,20',Bachelor's degrees,163,63,100
1979-1980,199120,University of North Carolina at Chapel Hill,Public affairs and services,21',Bachelor's degrees,119,34,85
1979-1980,199120,University of North Carolina at Chapel Hill,Area studies,03',Bachelor's degrees,57,19,38
1979-1980,199120,University of North Carolina at Chapel Hill,Communications,06',Bachelor's degrees,197,85,112
1979-1980,199120,University of North Carolina at Chapel Hill,Health Professions,12',Bachelor's degrees,416,84,332
1979-1980,199120,University of North Carolina at Chapel Hill,Social sciences,22',Bachelor's degrees,515,310,205
1979-1980,199120,University of North Carolina at Chapel Hill,Business and management,05',Bachelor's degrees,651,396,255
1979-1980,199120,University of North Carolina at Chapel Hill,Education,08',Bachelor's degrees,184,25,159
1979-1980,199120,University of North Carolina at Chapel Hill,Foreign languages-,11',Bachelor's degrees,38,13,25
1979-1980,199120,University of North Carolina at Chapel Hill,Physical sciences,19',Bachelor's degrees,170,140,30
1979-1980,199120,University of North Carolina at Chapel Hill,Biological sciences,04',Bachelor's degrees,160,82,78
1979-1980,199120,University of North Carolina at Chapel Hill,Fine and applied arts,10',Bachelor's degrees,76,20,56
1979-1980,199120,University of North Carolina at Chapel Hill,Interdisciplinary studies,49',Bachelor's degrees,59,21,38
1979-1980,199120,University of North Carolina at Chapel Hill,Mathematics,17',Bachelor's degrees,68,38,30
1979-1980,152080,University of Notre Dame,Architecture and environmental design,02',Bachelor's degrees,64,55,9
1979-1980,152080,University of Notre Dame,Area studies,03',Bachelor's degrees,83,50,33
1979-1980,152080,University of Notre Dame,Business and management,05',Bachelor's degrees,541,440,101
1979-1980,152080,University of Notre Dame,Foreign languages-,11',Bachelor's degrees,15,7,8
1979-1980,152080,University of Notre Dame,Mathematics,17',Bachelor's degrees,14,9,5
1979-1980,152080,University of Notre Dame,Psychology,20',Bachelor's degrees,47,22,25
1979-1980,152080,University of Notre Dame,Engineering,09',Bachelor's degrees,262,222,40
1979-1980,152080,University of Notre Dame,Interdisciplinary studies,49',Bachelor's degrees,173,140,33
1979-1980,152080,University of Notre Dame,Physical sciences,19',Bachelor's degrees,36,35,1
1979-1980,152080,University of Notre Dame,Fine and applied arts,10',Bachelor's degrees,30,15,15
1979-1980,152080,University of Notre Dame,Letters,15',Bachelor's degrees,91,53,38
1979-1980,152080,University of Notre Dame,Biological sciences,04',Bachelor's degrees,98,61,37
1979-1980,152080,University of Notre Dame,Social sciences,22',Bachelor's degrees,243,182,61
1979-1980,207500,University of Oklahoma Norman Campus,Computer and information sciences,07',Bachelor's degrees,11,9,2
1979-1980,207500,University of Oklahoma Norman Campus,Interdisciplinary studies,49',Bachelor's degrees,41,23,18
1979-1980,207500,University of Oklahoma Norman Campus,Public affairs and services,21',Bachelor's degrees,96,35,61
1979-1980,207500,University of Oklahoma Norman Campus,Social sciences,22',Bachelor's degrees,166,106,60
1979-1980,207500,University of Oklahoma Norman Campus,Biological sciences,04',Bachelor's degrees,82,61,21
1979-1980,207500,University of Oklahoma Norman Campus,Communications,06',Bachelor's degrees,176,83,93
1979-1980,207500,University of Oklahoma Norman Campus,Engineering,09',Bachelor's degrees,309,281,28
1979-1980,207500,University of Oklahoma Norman Campus,Architecture and environmental design,02',Bachelor's degrees,86,71,15
1979-1980,207500,University of Oklahoma Norman Campus,Area studies,03',Bachelor's degrees,2,1,1
1979-1980,207500,University of Oklahoma Norman Campus,Business and management,05',Bachelor's degrees,533,381,152
1979-1980,207500,University of Oklahoma Norman Campus,Fine and applied arts,10',Bachelor's degrees,75,31,44
1979-1980,207500,University of Oklahoma Norman Campus,Health Professions,12',Bachelor's degrees,27,9,18
1979-1980,207500,University of Oklahoma Norman Campus,Education,08',Bachelor's degrees,251,63,188
1979-1980,207500,University of Oklahoma Norman Campus,Foreign languages-,11',Bachelor's degrees,20,2,18
1979-1980,207500,University of Oklahoma Norman Campus,Home economics,13',Bachelor's degrees,67,2,65
1979-1980,207500,University of Oklahoma Norman Campus,Letters,15',Bachelor's degrees,50,25,25
1979-1980,207500,University of Oklahoma Norman Campus,Mathematics,17',Bachelor's degrees,26,18,8
1979-1980,207500,University of Oklahoma Norman Campus,Physical sciences,19',Bachelor's degrees,94,78,16
1979-1980,207500,University of Oklahoma Norman Campus,Psychology,20',Bachelor's degrees,87,39,48
1979-1980,209551,University of Oregon,Architecture and environmental design,02',Bachelor's degrees,149,118,31
1979-1980,209551,University of Oregon,Fine and applied arts,10',Bachelor's degrees,111,39,72
1979-1980,209551,University of Oregon,Area studies,03',Bachelor's degrees,7,3,4
1979-1980,209551,University of Oregon,Biological sciences,04',Bachelor's degrees,60,41,19
1979-1980,209551,University of Oregon,Business and management,05',Bachelor's degrees,471,340,131
1979-1980,209551,University of Oregon,Letters,15',Bachelor's degrees,115,50,65
1979-1980,209551,University of Oregon,Public affairs and services,21',Bachelor's degrees,187,64,123
1979-1980,209551,University of Oregon,Mathematics,17',Bachelor's degrees,31,22,9
1979-1980,209551,University of Oregon,Physical sciences,19',Bachelor's degrees,46,36,10
1979-1980,209551,University of Oregon,Communications,06',Bachelor's degrees,164,75,89
1979-1980,209551,University of Oregon,Computer and information sciences,07',Bachelor's degrees,50,39,11
1979-1980,209551,University of Oregon,Education,08',Bachelor's degrees,275,57,218
1979-1980,209551,University of Oregon,Foreign languages-,11',Bachelor's degrees,67,22,45
1979-1980,209551,University of Oregon,Interdisciplinary studies,49',Bachelor's degrees,86,59,27
1979-1980,209551,University of Oregon,Psychology,20',Bachelor's degrees,140,58,82
1979-1980,209551,University of Oregon,Social sciences,22',Bachelor's degrees,304,172,132
1979-1980,218663,University of South Carolina-Columbia,Foreign languages-,11',Bachelor's degrees,23,6,17
1979-1980,218663,University of South Carolina-Columbia,Letters,15',Bachelor's degrees,74,32,42
1979-1980,218663,University of South Carolina-Columbia,Psychology,20',Bachelor's degrees,138,37,101
1979-1980,218663,University of South Carolina-Columbia,Social sciences,22',Bachelor's degrees,246,134,112
1979-1980,218663,University of South Carolina-Columbia,Area studies,03',Bachelor's degrees,1,0,1
1979-1980,218663,University of South Carolina-Columbia,Communications,06',Bachelor's degrees,244,98,146
1979-1980,218663,University of South Carolina-Columbia,Education,08',Bachelor's degrees,416,82,334
1979-1980,218663,University of South Carolina-Columbia,Engineering,09',Bachelor's degrees,139,127,12
1979-1980,218663,University of South Carolina-Columbia,Mathematics,17',Bachelor's degrees,17,10,7
1979-1980,218663,University of South Carolina-Columbia,Biological sciences,04',Bachelor's degrees,152,102,50
1979-1980,218663,University of South Carolina-Columbia,Business and management,05',Bachelor's degrees,692,486,206
1979-1980,218663,University of South Carolina-Columbia,Computer and information sciences,07',Bachelor's degrees,51,36,15
1979-1980,218663,University of South Carolina-Columbia,Fine and applied arts,10',Bachelor's degrees,101,42,59
1979-1980,218663,University of South Carolina-Columbia,Interdisciplinary studies,49',Bachelor's degrees,206,126,80
1979-1980,218663,University of South Carolina-Columbia,Physical sciences,19',Bachelor's degrees,66,55,11
1979-1980,218663,University of South Carolina-Columbia,Public affairs and services,21',Bachelor's degrees,83,50,33
1979-1980,218663,University of South Carolina-Columbia,Health Professions,12',Bachelor's degrees,176,59,117
1979-1980,123961,University of Southern California,Architecture and environmental design,02',Bachelor's degrees,42,35,7
1979-1980,123961,University of Southern California,Interdisciplinary studies,49',Bachelor's degrees,49,24,25
1979-1980,123961,University of Southern California,Letters,15',Bachelor's degrees,107,36,71
1979-1980,123961,University of Southern California,Public affairs and services,21',Bachelor's degrees,136,87,49
1979-1980,123961,University of Southern California,Biological sciences,04',Bachelor's degrees,110,76,34
1979-1980,123961,University of Southern California,Fine and applied arts,10',Bachelor's degrees,130,66,64
1979-1980,123961,University of Southern California,Mathematics,17',Bachelor's degrees,19,10,9
1979-1980,123961,University of Southern California,Psychology,20',Bachelor's degrees,148,63,85
1979-1980,123961,University of Southern California,Social sciences,22',Bachelor's degrees,217,111,106
1979-1980,123961,University of Southern California,Communications,06',Bachelor's degrees,87,37,50
1979-1980,123961,University of Southern California,Computer and information sciences,07',Bachelor's degrees,30,19,11
1979-1980,123961,University of Southern California,Education,08',Bachelor's degrees,143,25,118
1979-1980,123961,University of Southern California,Engineering,09',Bachelor's degrees,324,280,44
1979-1980,123961,University of Southern California,Foreign languages-,11',Bachelor's degrees,34,7,27
1979-1980,123961,University of Southern California,Health Professions,12',Bachelor's degrees,68,2,66
1979-1980,123961,University of Southern California,Physical sciences,19',Bachelor's degrees,31,23,8
1979-1980,123961,University of Southern California,Area studies,03',Bachelor's degrees,5,3,2
1979-1980,123961,University of Southern California,Business and management,05',Bachelor's degrees,748,527,221
1979-1980,230728,Utah State University,Business and management,05',Bachelor's degrees,188,147,41
1979-1980,230728,Utah State University,Education,08',Bachelor's degrees,299,106,193
1979-1980,230728,Utah State University,Engineering,09',Bachelor's degrees,107,103,4
1979-1980,230728,Utah State University,Home economics,13',Bachelor's degrees,76,0,76
1979-1980,230728,Utah State University,Agriculture and national resources,01',Bachelor's degrees,214,167,47
1979-1980,230728,Utah State University,Architecture and environmental design,02',Bachelor's degrees,38,32,6
1979-1980,230728,Utah State University,Health Professions,12',Bachelor's degrees,41,27,14
1979-1980,230728,Utah State University,Interdisciplinary studies,49',Bachelor's degrees,5,4,1
1979-1980,230728,Utah State University,Letters,15',Bachelor's degrees,25,9,16
1979-1980,230728,Utah State University,Physical sciences,19',Bachelor's degrees,25,23,2
1979-1980,230728,Utah State University,Psychology,20',Bachelor's degrees,36,26,10
1979-1980,230728,Utah State University,Public affairs and services,21',Bachelor's degrees,52,27,25
1979-1980,230728,Utah State University,Fine and applied arts,10',Bachelor's degrees,80,35,45
1979-1980,230728,Utah State University,Foreign languages-,11',Bachelor's degrees,13,6,7
1979-1980,230728,Utah State University,Law,14',Bachelor's degrees,3,2,1
1979-1980,230728,Utah State University,Social sciences,22',Bachelor's degrees,90,66,24
1979-1980,230728,Utah State University,Area studies,03',Bachelor's degrees,2,0,2
1979-1980,230728,Utah State University,Biological sciences,04',Bachelor's degrees,45,33,12
1979-1980,230728,Utah State University,Communications,06',Bachelor's degrees,10,5,5
1979-1980,230728,Utah State University,Computer and information sciences,07',Bachelor's degrees,18,13,5
1979-1980,230728,Utah State University,Mathematics,17',Bachelor's degrees,7,7,0
1979-1980,221999,Vanderbilt University,Biological sciences,04',Bachelor's degrees,74,48,26
1979-1980,221999,Vanderbilt University,Education,08',Bachelor's degrees,87,17,70
1979-1980,221999,Vanderbilt University,Engineering,09',Bachelor's degrees,230,175,55
1979-1980,221999,Vanderbilt University,Foreign languages-,11',Bachelor's degrees,33,11,22
1979-1980,221999,Vanderbilt University,Fine and applied arts,10',Bachelor's degrees,52,4,48
1979-1980,221999,Vanderbilt University,Letters,15',Bachelor's degrees,126,50,76
1979-1980,221999,Vanderbilt University,Physical sciences,19',Bachelor's degrees,56,37,19
1979-1980,221999,Vanderbilt University,Business and management,05',Bachelor's degrees,130,75,55
1979-1980,221999,Vanderbilt University,Computer and information sciences,07',Bachelor's degrees,17,13,4
1979-1980,221999,Vanderbilt University,Mathematics,17',Bachelor's degrees,45,24,21
1979-1980,221999,Vanderbilt University,Psychology,20',Bachelor's degrees,91,30,61
1979-1980,221999,Vanderbilt University,Area studies,03',Bachelor's degrees,19,8,11
1979-1980,221999,Vanderbilt University,Health Professions,12',Bachelor's degrees,113,3,110
1979-1980,221999,Vanderbilt University,Interdisciplinary studies,49',Bachelor's degrees,3,3,0
1979-1980,221999,Vanderbilt University,Social sciences,22',Bachelor's degrees,262,162,100
