Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1995-1996,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,7,6,1,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Education,472,99,373,440,86,354,27,11,16,1,0,1,0,0,0,1,0,1,0,0,0,3,2,1
1995-1996,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,28,8,20,21,5,16,2,2,0,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Agricultural Sciences,139,87,52,134,84,50,0,0,0,1,0,1,1,0,1,2,2,0,0,0,0,1,1,0
1995-1996,100858,Auburn University,Bachelor's degree,Biological Science/Life Sciences,163,68,95,144,60,84,8,3,5,2,2,0,7,2,5,1,0,1,0,0,0,1,1,0
1995-1996,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,67,41,26,60,35,25,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3,2,1
1995-1996,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,35,30,5,35,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Business Management and Administrative Services,721,445,276,669,420,249,31,15,16,3,1,2,10,5,5,2,1,1,0,0,0,6,3,3
1995-1996,100858,Auburn University,Bachelor's degree,Marketing Operations/Marketing and Distribution,11,0,11,10,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Conservation and Renewable Natural Resources,120,87,33,119,86,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,97,41,56,89,36,53,5,2,3,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
1995-1996,100858,Auburn University,Bachelor's degree,Physical Sciences,27,20,7,23,17,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995-1996,100858,Auburn University,Bachelor's degree,Communications,112,46,66,103,42,61,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1995-1996,100858,Auburn University,Bachelor's degree,Protective Services,61,40,21,45,33,12,14,5,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Science Technologies,5,2,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,86,47,39,82,45,37,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1995-1996,100858,Auburn University,Bachelor's degree,Mathematics,28,12,16,25,10,15,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Philosophy and Religion,9,6,3,7,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,287,61,226,270,57,213,14,2,12,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Psychology,168,47,121,150,40,110,10,3,7,3,2,1,4,2,2,1,0,1,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Public Administration and Services,28,5,23,22,4,18,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,100858,Auburn University,Bachelor's degree,Engineering,632,534,98,571,490,81,35,21,14,6,6,0,7,5,2,4,3,1,0,0,0,9,9,0
1995-1996,100858,Auburn University,Bachelor's degree,Social Sciences and History,164,113,51,150,104,46,12,7,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1995-1996,100858,Auburn University,Bachelor's degree,Home Economics- General,115,14,101,109,13,96,3,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Philosophy and Religion,5,4,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Mathematics,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Area- Ethnic and Cultural Studies,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Physical Sciences,12,6,6,10,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Construction Trades,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Communications,58,26,32,50,20,30,1,1,0,1,0,1,1,0,1,0,0,0,5,5,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Computer and Information Sciences,38,24,14,33,22,11,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,1,2
1995-1996,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,31,15,16,25,12,13,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,2,1,1
1995-1996,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,66,21,45,58,17,41,0,0,0,1,1,0,0,0,0,0,0,0,6,3,3,1,0,1
1995-1996,142115,Boise State University,Bachelor's degree,Psychology,49,10,39,44,9,35,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,1,0,1
1995-1996,142115,Boise State University,Bachelor's degree,Biological Science/Life Sciences,52,28,24,46,25,21,1,1,0,0,0,0,1,1,0,0,0,0,3,1,2,1,0,1
1995-1996,142115,Boise State University,Bachelor's degree,Education,211,47,164,176,38,138,1,0,1,14,4,10,1,0,1,1,0,1,17,4,13,1,1,0
1995-1996,142115,Boise State University,Bachelor's degree,Social Sciences and History,167,93,74,140,76,64,4,4,0,10,6,4,3,2,1,0,0,0,9,4,5,1,1,0
1995-1996,142115,Boise State University,Bachelor's degree,Foreign Languages and Literatures,16,8,8,11,7,4,0,0,0,2,0,2,0,0,0,0,0,0,3,1,2,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Health Professions and Related Sciences,122,23,99,97,19,78,3,0,3,6,1,5,7,0,7,3,1,2,6,2,4,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,30,17,13,24,14,10,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1
1995-1996,142115,Boise State University,Bachelor's degree,Marketing Operations/Marketing and Distribution,12,9,3,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,English Language and Literature/Letters,33,13,20,31,11,20,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Public Administration and Services,53,9,44,44,7,37,1,1,0,0,0,0,1,0,1,0,0,0,7,1,6,0,0,0
1995-1996,142115,Boise State University,Bachelor's degree,Protective Services,56,29,27,44,23,21,2,1,1,3,0,3,2,1,1,1,1,0,3,2,1,1,1,0
1995-1996,142115,Boise State University,Bachelor's degree,Business Management and Administrative Services,236,130,106,195,109,86,2,2,0,12,7,5,5,2,3,0,0,0,14,6,8,8,4,4
1995-1996,217882,Clemson University,Bachelor's degree,Health Professions and Related Sciences,215,19,196,192,18,174,19,1,18,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Business Management and Administrative Services,454,271,183,410,252,158,36,15,21,2,0,2,1,0,1,0,0,0,1,1,0,4,3,1
1995-1996,217882,Clemson University,Bachelor's degree,Mathematics,15,6,9,12,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Philosophy and Religion,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Architecture and Related Programs,111,79,32,102,72,30,4,4,0,0,0,0,2,2,0,0,0,0,2,1,1,1,0,1
1995-1996,217882,Clemson University,Bachelor's degree,Social Sciences and History,131,76,55,118,70,48,9,4,5,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0
1995-1996,217882,Clemson University,Bachelor's degree,Agricultural Sciences,97,62,35,91,59,32,3,2,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
1995-1996,217882,Clemson University,Bachelor's degree,Biological Science/Life Sciences,117,50,67,98,44,54,15,4,11,0,0,0,2,1,1,0,0,0,1,1,0,1,0,1
