"","Year","ID_School","White.Males","Black.Males","Hispanic.Males","Other.Males"
"188","2001-2002","TAM",3,6,0,0
"189","2001-2002","UT",1,2,1,0
"190","2001-2002","UTA.ST",5,1,0,0
"191","2001-2002","STAN",7,7,0,0
"192","2002-2003","BAMA",4,6,0,0
"193","2002-2003","AUB",7,6,0,0
"194","2002-2003","SJ.ST",1,3,0,0
"195","2002-2003","USC",3,5,0,2
"196","2002-2003","FSU",0,5,0,0
"197","2002-2003","FLA",5,3,0,0
"198","2002-2003","UOFM",0,8,0,0
"199","2002-2003","UGA",4,3,0,0
"200","2002-2003","BOS.ST",3,1,0,0
"201","2002-2003","NWST",6,8,1,0
"202","2002-2003","ND",6,6,0,1
"203","2002-2003","KAN.ST",5,3,0,2
"204","2002-2003","LOUIS",2,4,0,0
"205","2002-2003","LSU",4,5,0,0
"206","2002-2003","UM",9,4,0,1
"207","2002-2003","NEB",10,3,0,0
"208","2002-2003","RUT",2,7,0,0
"209","2002-2003","DUKE",8,7,0,1
"210","2002-2003","UNC",2,10,0,0
"211","2002-2003","OSU",4,6,0,0
"212","2002-2003","OKSTATE",7,6,0,0
"213","2002-2003","OK",5,4,0,0
"214","2002-2003","ORE.ST",8,2,2,0
"215","2002-2003","ORE",7,1,0,0
"216","2002-2003","CLEM",6,3,0,0
"217","2002-2003","SCAR",6,7,0,0
"218","2002-2003","VANDY",13,6,0,0
"219","2002-2003","SMU",6,5,0,0
"220","2002-2003","TAM",3,6,1,0
"221","2002-2003","UT",2,4,0,0
"222","2002-2003","UTA.ST",2,1,0,0
"223","2002-2003","STAN",11,6,0,1
"224","2003-2004","BAMA",3,5,0,0
"225","2003-2004","AUB",2,3,0,0
"226","2003-2004","SJ.ST",2,0,0,1
"227","2003-2004","USC",4,2,0,0
"228","2003-2004","FSU",1,6,0,0
"229","2003-2004","FLA",4,3,0,0
"230","2003-2004","UOFM",3,8,0,2
"231","2003-2004","UGA",1,2,0,0
"232","2003-2004","BOS.ST",7,0,0,1
"233","2003-2004","NWST",5,5,0,1
"234","2003-2004","ND",8,10,0,1
"235","2003-2004","KAN.ST",2,3,0,0
"236","2003-2004","LOUIS",1,5,1,0
"237","2003-2004","LSU",3,4,0,0
"238","2003-2004","UM",9,3,0,0
"239","2003-2004","NEB",9,7,0,0
"240","2003-2004","RUT",4,2,0,0
"241","2003-2004","DUKE",7,6,0,0
"242","2003-2004","UNC",6,6,0,0
"243","2003-2004","OSU",3,1,0,0
"244","2003-2004","OKSTATE",4,10,0,0
"245","2003-2004","OK",2,5,1,0
"246","2003-2004","ORE.ST",2,1,0,0
"247","2003-2004","ORE",5,3,1,0
"248","2003-2004","CLEM",4,6,0,0
"249","2003-2004","SCAR",1,13,0,0
"250","2003-2004","VANDY",12,6,0,0
"251","2003-2004","SMU",10,2,0,0
"252","2003-2004","TAM",7,2,1,0
"253","2003-2004","UT",2,4,0,0
"254","2003-2004","UTA.ST",0,1,1,2
"255","2003-2004","STAN",11,10,0,1
"256","2004-2005","BAMA",4,8,0,0
"257","2004-2005","AUB",3,8,0,0
"258","2004-2005","SJ.ST",0,1,0,0
"259","2004-2005","USC",2,5,1,1
"260","2004-2005","FSU",1,2,0,0
"261","2004-2005","FLA",0,6,0,0
"262","2004-2005","UOFM",3,5,0,0
"263","2004-2005","UGA",5,2,0,0
"264","2004-2005","BOS.ST",10,2,0,0
"265","2004-2005","NWST",6,7,2,0
"266","2004-2005","ND",9,8,0,0
"267","2004-2005","KAN.ST",3,4,0,2
"268","2004-2005","LOUIS",4,8,0,0
"269","2004-2005","LSU",5,3,0,0
"270","2004-2005","UM",8,5,0,2
"271","2004-2005","NEB",8,5,0,3
"272","2004-2005","RUT",3,1,0,2
"273","2004-2005","DUKE",8,8,0,0
"274","2004-2005","UNC",3,12,0,0
"275","2004-2005","OSU",8,2,0,0
"276","2004-2005","OKSTATE",2,5,0,1
"277","2004-2005","OK",2,1,0,1
"278","2004-2005","ORE.ST",6,0,0,2
"279","2004-2005","ORE",4,1,0,1
"280","2004-2005","CLEM",2,13,0,0
"281","2004-2005","SCAR",3,5,0,0
"282","2004-2005","VANDY",10,5,0,1
"283","2004-2005","SMU",10,7,0,0
"284","2004-2005","TAM",2,9,0,0
"285","2004-2005","UT",6,3,0,0
"286","2004-2005","UTA.ST",0,0,1,0
"287","2004-2005","STAN",8,7,0,1
"288","2005-2006","BAMA",4,6,0,0
"289","2005-2006","AUB",3,6,0,0
"290","2005-2006","USC",3,6,0,0
"291","2005-2006","GTOWN",0,2,0,0
"292","2005-2006","FSU",0,7,1,3
"293","2005-2006","FLA",3,5,0,0
"294","2005-2006","UOFM",4,5,1,0
"295","2005-2006","UGA",2,6,0,0
"296","2005-2006","BOS.ST",3,3,1,0
"297","2005-2006","NWST",7,8,0,1
"298","2005-2006","ND",7,5,0,1
"299","2005-2006","KAN.ST",8,4,0,1
"300","2005-2006","LOUIS",1,6,0,0
"301","2005-2006","LSU",1,6,0,0
"302","2005-2006","UM",7,5,0,0
"303","2005-2006","NEB",6,4,0,1
"304","2005-2006","RUT",3,5,0,0
"305","2005-2006","DUKE",14,7,0,0
"306","2005-2006","UNC",2,6,0,1
"307","2005-2006","OSU",1,9,0,0
"308","2005-2006","OKSTATE",5,1,0,1
"309","2005-2006","OK",1,6,0,0
"310","2005-2006","ORE.ST",4,2,0,0
"311","2005-2006","ORE",5,2,0,0
"312","2005-2006","CLEM",1,7,0,0
"313","2005-2006","SCAR",1,8,0,0
"314","2005-2006","VANDY",9,5,0,1
"315","2005-2006","SMU",8,7,0,1
"316","2005-2006","TAM",4,4,0,0
"317","2005-2006","UT",4,1,0,0
"318","2005-2006","UTA.ST",0,3,0,0
"319","2005-2006","STAN",5,6,0,1
