,team,season,player,position,age,salary_millions,salary_2013_millions,sources,notes_other,table_name,player_bref_url,disputed_salary,tm,pst_team
35,Atlanta Braves,1984,Al Hrabosky,Pitcher,34,0.44,0.989,1980 TSN Guide,"$390K/season plus $250K bonus; much def., ret '82",salaries,http://www.baseball-reference.com/players/h/hraboal01.shtml,FALSE,ATL,Braves
36,Atlanta Braves,1987,Bruce Sutter,Pitcher,34,1.729,3.553,3/25/85 TSN,"6/$10MM, incl. $1.375MM bonus; missed season",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
37,Atlanta Braves,1988,Damaso Garcia,Second Baseman,31,0.692,1.365,"USA Today, 4/1/88","Larry Grasso: $850,000 (unsourced)",salaries,http://www.baseball-reference.com/players/g/garcida01.shtml,FALSE,ATL,Braves
38,Atlanta Braves,2006,Brian McCann,Catcher,22,0.334,0.386,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
39,Atlanta Braves,2002,Kevin Millwood,Pitcher,27,3.9,5.062,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/m/millwke01.shtml,FALSE,ATL,Braves
40,Atlanta Braves,1981,Larry McWilliams,Pitcher,27,0.07,0.18,1/31/81 TSN,,salaries,http://www.baseball-reference.com/players/m/mcwilla01.shtml,FALSE,ATL,Braves
41,Atlanta Braves,1985,Bruce Sutter,Pitcher,32,1.354,2.939,3/25/85 TSN,"6/$10MM, incl. $1.375MM bonus",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
42,Atlanta Braves,2004,J.D. Drew,Rightfielder,28,4.2,5.191,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/d/drewj.01.shtml,FALSE,ATL,Braves
43,Atlanta Braves,1996,Andruw Jones,Centerfielder,19,0.109,0.162,1997 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
44,Atlanta Braves,1982,Al Hrabosky,Pitcher,32,0.44,1.064,1980 TSN Guide,$390K/season plus $250K bonus; much deferred,salaries,http://www.baseball-reference.com/players/h/hraboal01.shtml,FALSE,ATL,Braves
45,Atlanta Braves,1998,Andruw Jones,Centerfielder,21,0.215,0.308,4/3/98 USA Today,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
46,Atlanta Braves,1998,Kevin Millwood,Pitcher,23,0.175,0.251,4/3/98 USA Today,,salaries,http://www.baseball-reference.com/players/m/millwke01.shtml,FALSE,ATL,Braves
47,Atlanta Braves,1988,Bruce Sutter,Pitcher,35,1.729,3.413,"USA Today, 4/1/88; 3/25/85 TSN","6/$10MM, incl. $1.375MM bonus",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
48,Atlanta Braves,1984,Terry Forster,Pitcher,32,0.483,1.086,2/7/83 TSN,"3/$1.45, incl. $100K bonus, $450K per",salaries,http://www.baseball-reference.com/players/f/forstte01.shtml,FALSE,ATL,Braves
49,Atlanta Braves,2012,Brian McCann,Catcher,28,11.5,11.693,contracts,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
50,Atlanta Braves,2001,Kevin Millwood,Pitcher,26,3.1,4.087,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/m/millwke01.shtml,FALSE,ATL,Braves
51,Atlanta Braves,2009,Brian McCann,Catcher,25,3.7,4.026,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
52,Atlanta Braves,1982,Larry McWilliams,Pitcher,28,0.09,0.218,"TSN, 8/2/82",,salaries,http://www.baseball-reference.com/players/m/mcwilla01.shtml,FALSE,ATL,Braves
53,Atlanta Braves,1990,Bruce Sutter,Pitcher,37,1.729,3.09,3/25/85 TSN,"6/$10MM, incl. $1.375MM bonus; retired",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
54,Atlanta Braves,2008,Brian McCann,Catcher,24,0.967,1.048,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
55,Atlanta Braves,1987,Larry McWilliams,Pitcher,33,0.9,1.849,Proofing corrections,,salaries,http://www.baseball-reference.com/players/m/mcwilla01.shtml,FALSE,ATL,Braves
56,Atlanta Braves,1997,Denny Neagle,Pitcher,28,3.61,5.25,,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,TRUE,ATL,Braves
57,Atlanta Braves,2000,Andruw Jones,Centerfielder,23,3.7,5.016,4/5/00 AP,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
58,Atlanta Braves,2011,Eric Hinske,"Third Baseman, Pinch Hitter, Outfielder",33,1.35,1.401,,,salaries,http://www.baseball-reference.com/players/h/hinsker01.shtml,FALSE,ATL,Braves
59,Atlanta Braves,2007,Andruw Jones,Centerfielder,30,14,15.762,,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
60,Atlanta Braves,2003,Andruw Jones,Centerfielder,26,12,15.228,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
61,Atlanta Braves,2001,Andruw Jones,Centerfielder,24,8.2,10.811,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
62,Atlanta Braves,1998,Denny Neagle,Pitcher,29,4.5,6.445,4/3/98 USA Today,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,FALSE,ATL,Braves
63,Atlanta Braves,2004,Andruw Jones,Centerfielder,27,12.5,15.449,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
64,Atlanta Braves,1986,Bruce Sutter,Pitcher,33,1.729,3.682,3/25/85 TSN,"6/$10MM, incl. $1.375MM bonus",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
65,Atlanta Braves,1983,Terry Forster,Pitcher,31,0.483,1.133,2/7/83 TSN,"3/$1.45, incl. $100K bonus, $450K per",salaries,http://www.baseball-reference.com/players/f/forstte01.shtml,FALSE,ATL,Braves
66,Atlanta Braves,2002,Andruw Jones,Centerfielder,25,10,12.979,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
67,Atlanta Braves,2000,Bobby Bonilla,"Third Baseman, Rightfielder, First Baseman",37,0.2,0.271,4/5/00 AP,Released bef season from guaranteed NYM contract,salaries,http://www.baseball-reference.com/players/b/bonilbo01.shtml,FALSE,ATL,Braves
68,Atlanta Braves,2005,Andruw Jones,Centerfielder,28,13,15.538,,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
69,Atlanta Braves,1981,Al Hrabosky,Pitcher,31,0.44,1.13,1980 TSN Guide,$390K/season plus $250K bonus; much deferred,salaries,http://www.baseball-reference.com/players/h/hraboal01.shtml,FALSE,ATL,Braves
70,Atlanta Braves,2011,Brian McCann,Catcher,27,6.7,6.953,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
71,Atlanta Braves,2006,Andruw Jones,Centerfielder,29,13.5,15.633,,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
72,Atlanta Braves,1985,Terry Forster,Pitcher,33,0.483,1.049,2/7/83 TSN,"3/$1.45, incl. $100K bonus, $450K per",salaries,http://www.baseball-reference.com/players/f/forstte01.shtml,FALSE,ATL,Braves
73,Atlanta Braves,1980,Al Hrabosky,Pitcher,30,0.44,1.247,1980 TSN Guide,$390K/season plus $250K bonus; much deferred,salaries,http://www.baseball-reference.com/players/h/hraboal01.shtml,FALSE,ATL,Braves
74,Atlanta Braves,2007,Brian McCann,Catcher,23,0.44,0.495,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
75,Atlanta Braves,1989,Bruce Sutter,Pitcher,36,1.729,3.256,3/25/85 TSN,"6/$10MM, incl. $1.375MM bonus; retired",salaries,http://www.baseball-reference.com/players/s/suttebr01.shtml,FALSE,ATL,Braves
76,Atlanta Braves,1999,Andruw Jones,Centerfielder,22,0.33,0.462,4/6/99 USA Today,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
77,Atlanta Braves,2004,J.D. Drew,Rightfielder,28,4.2,5.191,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/d/drewj.01.shtml,FALSE,ATL,Braves
78,Atlanta Braves,2004,J.D. Drew,Rightfielder,28,4.2,5.191,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/d/drewj.01.shtml,FALSE,ATL,Braves
79,Atlanta Braves,2000,Kevin Millwood,Pitcher,25,0.42,0.569,4/5/00 AP,,salaries,http://www.baseball-reference.com/players/m/millwke01.shtml,FALSE,ATL,Braves
80,Atlanta Braves,2012,Eric Hinske,"Third Baseman, Pinch Hitter, Outfielder",34,1.5,1.525,contracts,,salaries,http://www.baseball-reference.com/players/h/hinsker01.shtml,FALSE,ATL,Braves
81,Atlanta Braves,2010,Eric Hinske,"Third Baseman, Pinch Hitter, Outfielder",32,1,1.071,,,salaries,http://www.baseball-reference.com/players/h/hinsker01.shtml,FALSE,ATL,Braves
82,Atlanta Braves,1983,Al Hrabosky,Pitcher,33,0.44,1.031,1980 TSN Guide,"$390K/season plus $250K bonus; much def., ret '82",salaries,http://www.baseball-reference.com/players/h/hraboal01.shtml,FALSE,ATL,Braves
83,Atlanta Braves,2010,Brian McCann,Catcher,26,5.7,6.102,,,salaries,http://www.baseball-reference.com/players/m/mccanbr01.shtml,FALSE,ATL,Braves
84,Atlanta Braves,2012,Dan Uggla,Second Baseman,32,13,13.219,contracts,,salaries,http://www.baseball-reference.com/players/u/ugglada01.shtml,FALSE,ATL,Braves
85,Atlanta Braves,1997,Andruw Jones,Centerfielder,20,0.152,0.222,1997 AP survey,,salaries,http://www.baseball-reference.com/players/j/jonesan01.shtml,FALSE,ATL,Braves
86,Baltimore Orioles,1998,Mike Mussina,Pitcher,29,6.755,9.675,2001 Joint Exhibit 1,"Includes $260,000 earned bonus",salaries,http://www.baseball-reference.com/players/m/mussimi01.shtml,FALSE,BAL,Orioles
87,Baltimore Orioles,2011,Vladimir Guerrero,Rightfielder,36,7.611,7.899,,,salaries,http://www.baseball-reference.com/players/g/guerrvl01.shtml,FALSE,BAL,Orioles
88,Baltimore Orioles,2007,Miguel Tejada,"Shortstop, Third Baseman",33,13.811,15.549,,,salaries,http://www.baseball-reference.com/players/t/tejadmi01.shtml,FALSE,BAL,Orioles
89,Baltimore Orioles,2003,Scott Erickson,Pitcher,35,7.03,8.921,,,salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,TRUE,BAL,Orioles
90,Baltimore Orioles,1992,Mike Mussina,Pitcher,23,0.152,0.254,1994 Joint Exhibit 1,"Includes $15,000 earned bonus",salaries,http://www.baseball-reference.com/players/m/mussimi01.shtml,FALSE,BAL,Orioles
91,Baltimore Orioles,1990,Brady Anderson,Outfielder,26,0.12,0.214,USA Today,,salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
92,Baltimore Orioles,2004,Jose Bautista,"Rightfielder, Third Baseman",23,0.3,0.371,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/b/bautijo02.shtml,FALSE,BAL,Orioles
93,Baltimore Orioles,1995,Mike Mussina,Pitcher,26,2.925,4.481,1996 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/m/mussimi01.shtml,FALSE,BAL,Orioles
94,Baltimore Orioles,1997,Brady Anderson,Outfielder,33,4.05,5.889,1997 postseason AP survey,"Includes $50,000 earned bonus",salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
95,Baltimore Orioles,2006,Miguel Tejada,"Shortstop, Third Baseman",32,11.811,13.677,,,salaries,http://www.baseball-reference.com/players/t/tejadmi01.shtml,FALSE,BAL,Orioles
96,Baltimore Orioles,1999,Brady Anderson,Outfielder,35,5.675,7.952,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
97,Baltimore Orioles,2010,Kevin Millwood,Pitcher,35,12,12.846,,$3M paid by Texas Rangers,salaries,http://www.baseball-reference.com/players/m/millwke01.shtml,FALSE,BAL,Orioles
98,Baltimore Orioles,2006,Nick Markakis,Rightfielder,22,0.327,0.379,,,salaries,http://www.baseball-reference.com/players/m/markani01.shtml,FALSE,BAL,Orioles
99,Baltimore Orioles,1999,B.J. Ryan,Pitcher,23,0.2,0.28,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/r/ryanb.01.shtml,FALSE,BAL,Orioles
100,Baltimore Orioles,2002,Albert Belle,Leftfielder,35,12.369,16.053,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,BAL,Orioles
101,Baltimore Orioles,1994,Brady Anderson,Outfielder,30,3.083,4.856,1996 Joint Exhibit 1,"Includes $83,333 signing bonus",salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
102,Baltimore Orioles,2002,Brady Anderson,Outfielder,38,4,5.191,2001 Joint Exhibit 1,Released before 5th year of 5-year deal,salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
