,team,season,player,position,age,salary_millions,salary_2013_millions,sources,notes_other,table_name,player_bref_url,disputed_salary,tm,pst_team
444,Cleveland Indians,1990,Keith Hernandez,First Baseman,36,1.75,3.127,USA Today,,salaries,http://www.baseball-reference.com/players/h/hernake01.shtml,FALSE,CLE,Indians
445,Cleveland Indians,1990,Albert Belle,Leftfielder,23,0.117,0.209,USA Today,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
446,Cleveland Indians,1987,Rick Dempsey,Catcher,37,0.4,0.822,1987 USA Today survey,,salaries,http://www.baseball-reference.com/players/d/dempsri01.shtml,FALSE,CLE,Indians
447,Cleveland Indians,2006,Victor Martinez,"Catcher, First Baseman",27,1,1.158,,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,CLE,Indians
448,Cleveland Indians,2006,Grady Sizemore,Centerfielder,23,0.5,0.579,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
449,Cleveland Indians,2004,CC Sabathia,Pitcher,23,2.7,3.337,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
450,Cleveland Indians,2008,Grady Sizemore,Centerfielder,25,3.167,3.433,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
451,Cleveland Indians,2005,CC Sabathia,Pitcher,24,5.25,6.275,,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
452,Cleveland Indians,1998,Omar Vizquel,"Shortstop, Third Baseman",31,3.05,4.368,,,salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,TRUE,CLE,Indians
453,Cleveland Indians,1995,Albert Belle,Leftfielder,28,4.5,6.894,1996 Joint Exhibit 1,"Incl. $100,000 signing bonus, $200K earned bonus",salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
454,Cleveland Indians,2001,Travis Fryman,"Third Baseman, Shortstop",32,5.75,7.581,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,CLE,Indians
455,Cleveland Indians,1994,Omar Vizquel,"Shortstop, Third Baseman",27,2.35,3.701,1996 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,FALSE,CLE,Indians
456,Cleveland Indians,2012,Grady Sizemore,Centerfielder,29,5,5.084,contracts,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
457,Cleveland Indians,2011,Grady Sizemore,Centerfielder,28,7.667,7.956,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
458,Cleveland Indians,2007,CC Sabathia,Pitcher,26,8.75,9.851,,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
459,Cleveland Indians,2009,Cliff Lee,Pitcher,30,6,6.529,,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
460,Cleveland Indians,2003,Cliff Lee,Pitcher,24,0.301,0.382,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
461,Cleveland Indians,2004,Cliff Lee,Pitcher,25,0.303,0.375,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
462,Cleveland Indians,2008,Cliff Lee,Pitcher,29,4,4.337,,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
463,Cleveland Indians,2007,Cliff Lee,Pitcher,28,3,3.377,,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
464,Cleveland Indians,2005,Jhonny Peralta,"Shortstop, Third Baseman",23,0.317,0.379,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,CLE,Indians
465,Cleveland Indians,1998,Travis Fryman,"Third Baseman, Shortstop",29,5.4,7.734,,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,TRUE,CLE,Indians
466,Cleveland Indians,1988,Willie Upshaw,"First Baseman, Leftfielder",31,0.9,1.776,"USA Today, 4/1/88",,salaries,http://www.baseball-reference.com/players/u/upshawi01.shtml,FALSE,CLE,Indians
467,Cleveland Indians,2000,Travis Fryman,"Third Baseman, Shortstop",31,5.55,7.523,,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,TRUE,CLE,Indians
468,Cleveland Indians,1993,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",22,0.135,0.218,1996 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
469,Cleveland Indians,2001,Omar Vizquel,"Shortstop, Third Baseman",34,3,3.955,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,FALSE,CLE,Indians
470,Cleveland Indians,2007,Victor Martinez,"Catcher, First Baseman",28,3.2,3.603,,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,CLE,Indians
471,Cleveland Indians,2002,Travis Fryman,"Third Baseman, Shortstop",33,5.825,7.56,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,CLE,Indians
472,Cleveland Indians,2003,Brandon Phillips,Second Baseman,22,0.301,0.382,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/p/phillbr01.shtml,FALSE,CLE,Indians
473,Cleveland Indians,1997,Omar Vizquel,"Shortstop, Third Baseman",30,3.05,4.435,2001 Joint Exhibit 1,"Includes $50,000 earned bonus",salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,FALSE,CLE,Indians
474,Cleveland Indians,2006,CC Sabathia,Pitcher,25,7,8.106,,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
475,Cleveland Indians,2005,Grady Sizemore,Centerfielder,22,0.318,0.38,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
476,Cleveland Indians,1996,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",25,1.6,2.381,1997 Joint Exhibit 1,"Incl. $25,000 signing bonus; $75K earned bonus",salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
477,Cleveland Indians,2004,Omar Vizquel,"Shortstop, Third Baseman",37,6,7.415,,,salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,TRUE,CLE,Indians
478,Cleveland Indians,1996,Omar Vizquel,"Shortstop, Third Baseman",29,3.05,4.54,1997 Joint Exhibit 1,"Includes $50,000 earned bonus",salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,FALSE,CLE,Indians
479,Cleveland Indians,1995,Omar Vizquel,"Shortstop, Third Baseman",28,2.9,4.443,1996 Joint Exhibit 1,"Includes $50,000 earned bonus",salaries,http://www.baseball-reference.com/players/v/vizquom01.shtml,FALSE,CLE,Indians
480,Cleveland Indians,2006,Cliff Lee,Pitcher,27,0.406,0.47,,,salaries,http://www.baseball-reference.com/players/l/leecl02.shtml,FALSE,CLE,Indians
481,Cleveland Indians,1995,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",24,0.825,1.264,1996 Joint Exhibit 1,"Incl. $25,000 signing bonus",salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
482,Cleveland Indians,2011,Carlos Santana,"Catcher, First Baseman",25,0.417,0.432,,,salaries,http://www.baseball-reference.com/players/s/santaca01.shtml,FALSE,CLE,Indians
483,Cleveland Indians,1992,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",21,0.11,0.183,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
484,Cleveland Indians,1999,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",28,8.225,11.526,2001 Joint Exhibit 1,"Includes $50,000 earned bonus",salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
485,Cleveland Indians,2012,Carlos Santana,"Catcher, First Baseman",26,0.502,0.51,contracts,,salaries,http://www.baseball-reference.com/players/s/santaca01.shtml,FALSE,CLE,Indians
486,Cleveland Indians,2002,CC Sabathia,Pitcher,21,0.7,0.909,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
487,Cleveland Indians,2009,Grady Sizemore,Centerfielder,26,4.767,5.187,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
488,Cleveland Indians,1991,Albert Belle,Leftfielder,24,0.13,0.223,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
489,Cleveland Indians,2009,Jhonny Peralta,"Shortstop, Third Baseman",27,3.65,3.972,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,CLE,Indians
490,Cleveland Indians,2002,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",31,8,10.383,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
491,Cleveland Indians,1992,Albert Belle,Leftfielder,25,0.175,0.291,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
492,Cleveland Indians,2008,Jhonny Peralta,"Shortstop, Third Baseman",26,2.5,2.711,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,CLE,Indians
493,Cleveland Indians,2003,CC Sabathia,Pitcher,22,1.1,1.396,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
494,Cleveland Indians,1997,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",26,2.625,3.817,1997 AP survey,,salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
495,Cleveland Indians,1994,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",23,0.325,0.512,1996 Joint Exhibit 1,"Incl. $25,000 signing bonus",salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
496,Cleveland Indians,2009,Victor Martinez,"Catcher, First Baseman",30,5.9,6.42,,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,CLE,Indians
497,Cleveland Indians,2007,Grady Sizemore,Centerfielder,24,0.917,1.032,,,salaries,http://www.baseball-reference.com/players/s/sizemgr01.shtml,FALSE,CLE,Indians
498,Cleveland Indians,2010,Jhonny Peralta,"Shortstop, Third Baseman",28,4.85,5.192,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,CLE,Indians
499,Cleveland Indians,1994,Albert Belle,Leftfielder,27,2.775,4.371,1996 Joint Exhibit 1,"Incl. $100,000 signing bonus, $175K earned bonus",salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
500,Cleveland Indians,1989,Albert Belle,Leftfielder,22,0.068,0.128,1989 USA Today survey,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
501,Cleveland Indians,2006,Jhonny Peralta,"Shortstop, Third Baseman",24,0.377,0.437,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,CLE,Indians
502,Cleveland Indians,1993,Albert Belle,Leftfielder,26,1.675,2.707,1996 Joint Exhibit 1,"Incl. $100,000 signing bonus, $75K earned bonus",salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,CLE,Indians
503,Cleveland Indians,2000,Jim Thome,"First Baseman, Designated Hitter, Third Baseman",29,8.175,11.082,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/t/thomeji01.shtml,FALSE,CLE,Indians
504,Cleveland Indians,2008,CC Sabathia,Pitcher,27,11,11.927,,,salaries,http://www.baseball-reference.com/players/s/sabatc.01.shtml,FALSE,CLE,Indians
505,Cleveland Indians,2008,Victor Martinez,"Catcher, First Baseman",29,4.45,4.825,,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,CLE,Indians
506,Cleveland Indians,1991,Keith Hernandez,First Baseman,37,1.75,2.999,USA Today survey,On disabled list entire year,salaries,http://www.baseball-reference.com/players/h/hernake01.shtml,FALSE,CLE,Indians
507,Cleveland Indians,2004,Victor Martinez,"Catcher, First Baseman",25,0.304,0.376,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,CLE,Indians
508,Colorado Rockies,2012,Carlos Gonzalez,Outfielder,26,5,5.084,contracts,,salaries,http://www.baseball-reference.com/players/g/gonzaca01.shtml,FALSE,COL,Rockies
509,Colorado Rockies,2007,Troy Tulowitzki,Shortstop,22,0.381,0.429,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
510,Colorado Rockies,2003,Preston Wilson,Centerfielder,28,6.5,8.248,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/w/wilsopr01.shtml,FALSE,COL,Rockies
511,Colorado Rockies,2012,Troy Tulowitzki,Shortstop,27,8.25,8.389,contracts,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
512,Colorado Rockies,2005,Matt Holliday,Leftfielder,25,0.366,0.437,,,salaries,http://www.baseball-reference.com/players/h/hollima01.shtml,FALSE,COL,Rockies
513,Colorado Rockies,2010,Troy Tulowitzki,Shortstop,25,3.5,3.747,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
514,Colorado Rockies,2007,Troy Tulowitzki,Shortstop,22,0.381,0.429,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
515,Colorado Rockies,2002,Juan Pierre,Outfielder,24,0.6,0.779,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/p/pierrju01.shtml,FALSE,COL,Rockies
516,Colorado Rockies,2001,Denny Neagle,Pitcher,32,7.2,9.492,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,FALSE,COL,Rockies
517,Colorado Rockies,2009,Carlos Gonzalez,Outfielder,23,0.403,0.439,,,salaries,http://www.baseball-reference.com/players/g/gonzaca01.shtml,FALSE,COL,Rockies
518,Colorado Rockies,2008,Troy Tulowitzki,Shortstop,23,0.75,0.813,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
519,Colorado Rockies,2004,Denny Neagle,Pitcher,35,9,11.123,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,FALSE,COL,Rockies
520,Colorado Rockies,2006,Matt Holliday,Leftfielder,26,0.5,0.579,,,salaries,http://www.baseball-reference.com/players/h/hollima01.shtml,FALSE,COL,Rockies
521,Colorado Rockies,2002,Denny Neagle,Pitcher,33,7,9.085,4/3/02 AP,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,FALSE,COL,Rockies
522,Colorado Rockies,2012,Troy Tulowitzki,Shortstop,27,8.25,8.389,contracts,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
523,Colorado Rockies,2004,Preston Wilson,Centerfielder,29,9,11.123,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/w/wilsopr01.shtml,FALSE,COL,Rockies
524,Colorado Rockies,2011,Troy Tulowitzki,Shortstop,26,5.5,5.707,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
525,Colorado Rockies,2011,Jason Giambi,"First Baseman, Designated Hitter, Leftfielder",40,1,1.038,,,salaries,http://www.baseball-reference.com/players/g/giambja01.shtml,FALSE,COL,Rockies
526,Colorado Rockies,2009,Troy Tulowitzki,Shortstop,24,1,1.088,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
527,Colorado Rockies,2011,Carlos Gonzalez,Outfielder,25,1.429,1.482,,,salaries,http://www.baseball-reference.com/players/g/gonzaca01.shtml,FALSE,COL,Rockies
528,Colorado Rockies,2003,Charles Johnson,Catcher,31,7,8.883,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/j/johnsch04.shtml,FALSE,COL,Rockies
529,Colorado Rockies,2004,Charles Johnson,Catcher,32,9,11.123,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/j/johnsch04.shtml,FALSE,COL,Rockies
530,Colorado Rockies,2008,Matt Holliday,Leftfielder,28,9.5,10.3,,,salaries,http://www.baseball-reference.com/players/h/hollima01.shtml,FALSE,COL,Rockies
531,Colorado Rockies,2010,Carlos Gonzalez,Outfielder,24,0.406,0.435,,,salaries,http://www.baseball-reference.com/players/g/gonzaca01.shtml,FALSE,COL,Rockies
532,Colorado Rockies,2012,Jason Giambi,"First Baseman, Designated Hitter, Leftfielder",41,1,1.017,contracts,,salaries,http://www.baseball-reference.com/players/g/giambja01.shtml,FALSE,COL,Rockies
533,Colorado Rockies,2007,Matt Holliday,Leftfielder,27,4.4,4.954,,,salaries,http://www.baseball-reference.com/players/h/hollima01.shtml,FALSE,COL,Rockies
534,Colorado Rockies,2011,Troy Tulowitzki,Shortstop,26,5.5,5.707,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
535,Colorado Rockies,2010,Jason Giambi,"First Baseman, Designated Hitter, Leftfielder",39,1.75,1.873,,,salaries,http://www.baseball-reference.com/players/g/giambja01.shtml,FALSE,COL,Rockies
536,Colorado Rockies,2008,Troy Tulowitzki,Shortstop,23,0.75,0.813,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
537,Colorado Rockies,2005,Preston Wilson,Centerfielder,30,12.5,14.941,,,salaries,http://www.baseball-reference.com/players/w/wilsopr01.shtml,FALSE,COL,Rockies
538,Colorado Rockies,2003,Denny Neagle,Pitcher,34,9,11.421,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/n/neaglde01.shtml,FALSE,COL,Rockies
539,Colorado Rockies,2009,Troy Tulowitzki,Shortstop,24,1,1.088,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
540,Colorado Rockies,2001,Juan Pierre,Outfielder,23,0.215,0.283,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/p/pierrju01.shtml,FALSE,COL,Rockies
541,Colorado Rockies,2010,Troy Tulowitzki,Shortstop,25,3.5,3.747,,,salaries,http://www.baseball-reference.com/players/t/tulowtr01.shtml,FALSE,COL,Rockies
542,Detroit Tigers,2006,Curtis Granderson,Centerfielder,25,0.335,0.388,,,salaries,http://www.baseball-reference.com/players/g/grandcu01.shtml,FALSE,DET,Tigers
543,Detroit Tigers,2009,Curtis Granderson,Centerfielder,28,3.5,3.808,,,salaries,http://www.baseball-reference.com/players/g/grandcu01.shtml,FALSE,DET,Tigers
544,Detroit Tigers,1994,Travis Fryman,"Third Baseman, Shortstop",25,2.425,3.819,1996 Joint Exhibit 1,"Incl $400,000 signing bonus; $25K earned bonus",salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
545,Detroit Tigers,1996,Travis Fryman,"Third Baseman, Shortstop",27,5.175,7.703,1997 Joint Exhibit 1,"Includes $400,000 signing bonus, $25K earned bonus",salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
546,Detroit Tigers,1993,Travis Fryman,"Third Baseman, Shortstop",24,0.675,1.091,1996 Joint Exhibit 1,"Includes $25,000 earned bonus",salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
547,Detroit Tigers,2006,Justin Verlander,Pitcher,23,0.98,1.135,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
548,Detroit Tigers,2011,Magglio Ordonez,Rightfielder,37,10,10.377,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
549,Detroit Tigers,1991,Travis Fryman,"Third Baseman, Shortstop",22,0.15,0.257,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
550,Detroit Tigers,2006,Magglio Ordonez,Rightfielder,32,16.2,18.759,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
551,Detroit Tigers,1990,Lloyd Moseby,Centerfielder,30,1.4,2.502,USA Today,,salaries,http://www.baseball-reference.com/players/m/mosebll01.shtml,FALSE,DET,Tigers
552,Detroit Tigers,1997,Travis Fryman,"Third Baseman, Shortstop",28,6.4,9.307,1997 AP survey,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
553,Detroit Tigers,2012,Prince Fielder,First Baseman,28,23,23.387,contracts,,salaries,http://www.baseball-reference.com/players/f/fieldpr01.shtml,FALSE,DET,Tigers
554,Detroit Tigers,2011,Jhonny Peralta,"Shortstop, Third Baseman",29,5.25,5.448,,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,DET,Tigers
555,Detroit Tigers,2012,Jhonny Peralta,"Shortstop, Third Baseman",30,5.5,5.592,contracts,,salaries,http://www.baseball-reference.com/players/p/peraljh01.shtml,FALSE,DET,Tigers
556,Detroit Tigers,2012,Justin Verlander,Pitcher,29,20,20.336,contracts,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
557,Detroit Tigers,2010,Magglio Ordonez,Rightfielder,36,17.826,19.083,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
558,Detroit Tigers,2005,Magglio Ordonez,Rightfielder,31,7.2,8.606,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
559,Detroit Tigers,2011,Justin Verlander,Pitcher,28,12.85,13.335,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
560,Detroit Tigers,2009,Magglio Ordonez,Rightfielder,35,18.972,20.643,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
561,Detroit Tigers,2008,Curtis Granderson,Centerfielder,27,1,1.084,,,salaries,http://www.baseball-reference.com/players/g/grandcu01.shtml,FALSE,DET,Tigers
562,Detroit Tigers,2011,Victor Martinez,"Catcher, First Baseman",32,12,12.453,,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,DET,Tigers
563,Detroit Tigers,1991,Lloyd Moseby,Centerfielder,31,1.6,2.742,USA Today survey,,salaries,http://www.baseball-reference.com/players/m/mosebll01.shtml,FALSE,DET,Tigers
564,Detroit Tigers,2012,Victor Martinez,"Catcher, First Baseman",33,13,13.219,contracts,,salaries,http://www.baseball-reference.com/players/m/martivi01.shtml,FALSE,DET,Tigers
565,Detroit Tigers,2009,Justin Verlander,Pitcher,26,3.675,3.999,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
566,Detroit Tigers,1992,Travis Fryman,"Third Baseman, Shortstop",23,0.3,0.499,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
567,Detroit Tigers,2008,Justin Verlander,Pitcher,25,1.13,1.225,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
568,Detroit Tigers,2007,Magglio Ordonez,Rightfielder,33,13.2,14.861,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
569,Detroit Tigers,2007,Justin Verlander,Pitcher,24,1.03,1.16,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
570,Detroit Tigers,2010,Justin Verlander,Pitcher,27,6.85,7.333,,,salaries,http://www.baseball-reference.com/players/v/verlaju01.shtml,FALSE,DET,Tigers
571,Detroit Tigers,2008,Magglio Ordonez,Rightfielder,34,15.768,17.096,,,salaries,http://www.baseball-reference.com/players/o/ordonma01.shtml,FALSE,DET,Tigers
572,Detroit Tigers,1990,Travis Fryman,"Third Baseman, Shortstop",21,0.1,0.179,USA Today,,salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
573,Detroit Tigers,1995,Travis Fryman,"Third Baseman, Shortstop",26,4.15,6.358,1996 Joint Exhibit 1,"Includes $400,000 signing bonus",salaries,http://www.baseball-reference.com/players/f/frymatr01.shtml,FALSE,DET,Tigers
574,Detroit Tigers,2007,Curtis Granderson,Centerfielder,26,0.41,0.462,,,salaries,http://www.baseball-reference.com/players/g/grandcu01.shtml,FALSE,DET,Tigers
575,Florida Marlins,2008,Hanley Ramirez,"Shortstop, Third Baseman",24,0.439,0.476,,,salaries,http://www.baseball-reference.com/players/r/ramirha01.shtml,FALSE,FLA,Marlins
576,Florida Marlins,1998,Derrek Lee,First Baseman,22,0.172,0.246,4/3/98 USA Today,,salaries,http://www.baseball-reference.com/players/l/leede02.shtml,FALSE,FLA,Marlins
577,Florida Marlins,2001,A.J. Burnett,Pitcher,24,0.25,0.33,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/b/burnea.01.shtml,FALSE,FLA,Marlins
578,Florida Marlins,2006,Hanley Ramirez,"Shortstop, Third Baseman",22,0.327,0.379,,,salaries,http://www.baseball-reference.com/players/r/ramirha01.shtml,FALSE,FLA,Marlins
579,Florida Marlins,2005,Juan Pierre,Outfielder,27,3.7,4.422,,,salaries,http://www.baseball-reference.com/players/p/pierrju01.shtml,FALSE,FLA,Marlins
580,Florida Marlins,2003,Juan Pierre,Outfielder,25,1,1.269,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/p/pierrju01.shtml,FALSE,FLA,Marlins
581,Florida Marlins,2003,Derrek Lee,First Baseman,27,4.25,5.393,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/l/leede02.shtml,FALSE,FLA,Marlins
582,Florida Marlins,2004,A.J. Burnett,Pitcher,27,2.5,3.09,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/b/burnea.01.shtml,FALSE,FLA,Marlins
583,Florida Marlins,2003,A.J. Burnett,Pitcher,26,2.5,3.172,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/b/burnea.01.shtml,FALSE,FLA,Marlins
584,Florida Marlins,2001,Derrek Lee,First Baseman,25,0.375,0.494,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/l/leede02.shtml,FALSE,FLA,Marlins
585,Florida Marlins,2001,Preston Wilson,Centerfielder,26,1,1.318,4/6/01 USA Today,,salaries,http://www.baseball-reference.com/players/w/wilsopr01.shtml,FALSE,FLA,Marlins
586,Florida Marlins,1997,Bobby Bonilla,"Third Baseman, Rightfielder, First Baseman",34,5.6,8.143,1997 AP survey,,salaries,http://www.baseball-reference.com/players/b/bonilbo01.shtml,FALSE,FLA,Marlins
587,Florida Marlins,2010,Dan Uggla,Second Baseman,30,7.8,8.35,,,salaries,http://www.baseball-reference.com/players/u/ugglada01.shtml,FALSE,FLA,Marlins
588,Florida Marlins,2008,Dan Uggla,Second Baseman,28,0.417,0.452,,,salaries,http://www.baseball-reference.com/players/u/ugglada01.shtml,FALSE,FLA,Marlins
589,Florida Marlins,2000,Derrek Lee,First Baseman,24,0.225,0.305,4/5/00 AP,,salaries,http://www.baseball-reference.com/players/l/leede02.shtml,FALSE,FLA,Marlins
590,Florida Marlins,1997,Charles Johnson,Catcher,25,0.29,0.422,1997 AP survey,,salaries,http://www.baseball-reference.com/players/j/johnsch04.shtml,FALSE,FLA,Marlins
591,Florida Marlins,2011,Anibal Sanchez,Pitcher,27,3.7,3.84,,,salaries,http://www.baseball-reference.com/players/s/sanchan01.shtml,FALSE,FLA,Marlins
