player,player_bref_url,bref_directory_url
A.J. Burnett,http://www.baseball-reference.com/players/b/burnea.01.shtml,http://www.baseball-reference.com/players/b/
A.J. Ellis,http://www.baseball-reference.com/players/e/ellisaj01.shtml,http://www.baseball-reference.com/players/e/
A.J. Griffin,http://www.baseball-reference.com/players/g/griffaj01.shtml,http://www.baseball-reference.com/players/g/
A.J. Hinch,http://www.baseball-reference.com/players/h/hincha.01.shtml,http://www.baseball-reference.com/players/h/
A.J. Murray,http://www.baseball-reference.com/players/m/murraaj01.shtml,http://www.baseball-reference.com/players/m/
A.J. Pierzynski,http://www.baseball-reference.com/players/p/pierza.01.shtml,http://www.baseball-reference.com/players/p/
A.J. Pollock,http://www.baseball-reference.com/players/p/polloaj01.shtml,http://www.baseball-reference.com/players/p/
A.J. Ramos,http://www.baseball-reference.com/players/r/ramosaj01.shtml,http://www.baseball-reference.com/players/r/
A.J. Sager,http://www.baseball-reference.com/players/s/sagera.01.shtml,http://www.baseball-reference.com/players/s/
Aaron Bates,http://www.baseball-reference.com/players/b/batesaa01.shtml,http://www.baseball-reference.com/players/b/
Aaron Boone,http://www.baseball-reference.com/players/b/booneaa01.shtml,http://www.baseball-reference.com/players/b/
Aaron Clapp,http://www.baseball-reference.com/players/c/clappaa01.shtml,http://www.baseball-reference.com/players/c/
Aaron Cook,http://www.baseball-reference.com/players/c/cookaa01.shtml,http://www.baseball-reference.com/players/c/
Aaron Crow,http://www.baseball-reference.com/players/c/crowaa01.shtml,http://www.baseball-reference.com/players/c/
Aaron Cunningham,http://www.baseball-reference.com/players/c/cunniaa01.shtml,http://www.baseball-reference.com/players/c/
Aaron Fultz,http://www.baseball-reference.com/players/f/fultzaa01.shtml,http://www.baseball-reference.com/players/f/
Aaron Guiel,http://www.baseball-reference.com/players/g/guielaa01.shtml,http://www.baseball-reference.com/players/g/
Aaron Harang,http://www.baseball-reference.com/players/h/haranaa01.shtml,http://www.baseball-reference.com/players/h/
Aaron Heilman,http://www.baseball-reference.com/players/h/heilmaa01.shtml,http://www.baseball-reference.com/players/h/
Aaron Hicks,http://www.baseball-reference.com/players/h/hicksaa01.shtml,http://www.baseball-reference.com/players/h/
Aaron Hill,http://www.baseball-reference.com/players/h/hillaa01.shtml,http://www.baseball-reference.com/players/h/
