,player,tm,season,age,lg,ip,g,gs,r,ra9,ra9opp,ra9def,ra9role,ppfp,ra9avg,raa,waa,gmli,waaadj,war,rar,waawl,wl162,salary,awards,table_name,disputed_salary,salary_2013,team,pst_team,position
536,Ricky Romero,TOR,2009,24,AL,178,29,29,88,4.45,4.95,0.36,0.19,100.3,4.8,5,0.5,NA,-0.1,2.2,27,0.518,0.503,0.4,,pitching value,FALSE,0.435,Toronto Blue Jays,Blue Jays,Pitcher
97,C.J. Wilson,TEX,2005,24,AL,48,24,6,39,7.31,4.77,-0.29,-0.12,105.9,5.23,-12,-1.1,0.9,-0.1,-0.6,-6,0.454,0.493,NA,,pitching value,FALSE,NA,Texas Rangers,Rangers,Pitcher
98,C.J. Wilson,TEX,2006,25,AL,44.1,44,0,23,4.67,5.06,0.05,-0.37,100.8,4.67,-1,-0.1,1,-0.1,0.3,5,0.499,0.5,0.331,,pitching value,FALSE,0.383,Texas Rangers,Rangers,Pitcher
99,C.J. Wilson,TEX,2010,29,AL,204,33,33,83,3.66,4.3,-0.05,0.16,104.4,4.7,22,2.4,NA,-0.1,4.4,45,0.573,0.515,3.1,,pitching value,FALSE,3.319,Texas Rangers,Rangers,Pitcher
100,C.J. Wilson,TEX,2007,26,AL,68.1,66,0,25,3.29,5.01,-0.04,-0.37,100.2,4.69,10,1,1.2,-0.1,1.7,18,0.515,0.506,0.391,,pitching value,FALSE,0.44,Texas Rangers,Rangers,Pitcher
101,C.J. Wilson,TEX,2009,28,AL,73.2,74,0,29,3.54,4.93,0.03,-0.36,103.3,4.69,9,0.9,1.4,0,1.6,18,0.512,0.505,1.85,,pitching value,FALSE,2.013,Texas Rangers,Rangers,Pitcher
102,C.J. Wilson,TEX,2008,27,AL,46.1,50,0,35,6.8,4.73,-0.25,-0.35,101.8,4.72,-12,-1.1,1.9,-0.6,-1.3,-6,0.477,0.493,0.417,,pitching value,FALSE,0.453,Texas Rangers,Rangers,Pitcher
103,C.J. Wilson,TEX,2011,30,AL,223.1,34,34,89,3.59,4.34,0.1,0.16,105.4,4.63,25,2.8,NA,-0.1,4.9,49,0.583,0.517,7,"AS,CYA-6",pitching value,FALSE,7.264,Texas Rangers,Rangers,Pitcher
140,Chan Ho Park,TEX,2003,30,AL,29.2,7,7,26,7.89,5.14,0.35,0.19,112,5.58,-8,-0.7,NA,0,-0.4,-4,0.403,0.496,13,,pitching value,FALSE,16.497,Texas Rangers,Rangers,Pitcher
141,Chan Ho Park,TEX,2002,29,AL,145.2,25,25,95,5.87,4.7,-0.13,0.17,106.1,5.31,-10,-0.9,NA,-0.1,0.4,7,0.462,0.494,6.885,,pitching value,FALSE,8.936,Texas Rangers,Rangers,Pitcher
142,Chan Ho Park,TEX,2004,31,AL,95.2,16,16,63,5.93,4.84,-0.21,0.19,107.4,5.62,-5,-0.4,NA,-0.1,0.5,8,0.473,0.497,14,,pitching value,FALSE,17.303,Texas Rangers,Rangers,Pitcher
144,Chan Ho Park,TEX,2005,32,AL,109.2,20,20,70,5.74,4.88,-0.28,0.18,104.7,5.59,-3,-0.3,NA,-0.1,0.8,10,0.486,0.498,15,,pitching value,FALSE,17.929,Texas Rangers,Rangers,Pitcher
172,Cliff Lee,TEX,2010,31,AL,108.2,15,15,53,4.39,4.37,-0.05,0.16,103,4.71,3,0.3,NA,-0.1,1.4,15,0.522,0.502,NA,"AS,CYA-7",pitching value,FALSE,NA,Texas Rangers,Rangers,Pitcher
230,Derek Holland,TEX,2010,23,AL,57.1,14,10,30,4.71,4.41,-0.05,0.07,103,4.66,-1,-0.1,0.7,0,0.5,6,0.494,0.5,0.414,,pitching value,FALSE,0.444,Texas Rangers,Rangers,Pitcher
231,Derek Holland,TEX,2009,22,AL,138.1,33,21,98,6.38,4.93,0.03,0.11,104.6,5.24,-19,-1.8,1.5,-0.2,-0.6,-2,0.446,0.489,NA,,pitching value,FALSE,NA,Texas Rangers,Rangers,Pitcher
232,Derek Holland,TEX,2011,24,AL,198,32,32,97,4.41,4.38,0.11,0.16,106.9,4.73,6,0.7,NA,-0.1,2.6,27,0.521,0.504,0.432,,pitching value,FALSE,0.448,Texas Rangers,Rangers,Pitcher
233,Derek Holland,TEX,2012,25,AL,175.1,29,27,100,5.13,4.54,-0.02,0.16,109.3,5.16,0,0,1.5,-0.1,1.7,18,0.501,0.5,1,,pitching value,FALSE,1.017,Texas Rangers,Rangers,Pitcher
235,Don Stanhouse,TEX,1972,21,AL,104.2,24,16,48,4.13,3.59,-0.16,0.03,98.8,3.73,-4,-0.5,0.3,-0.1,0.5,3,0.479,0.497,0.014,,pitching value,FALSE,0.075,Texas Rangers,Rangers,Pitcher
241,Don Stanhouse,TEX,1973,22,AL,70,21,5,41,5.27,4.39,-0.51,-0.21,97.3,4.57,-6,-0.6,1.1,-0.2,-0.1,1,0.469,0.496,0.018,,pitching value,FALSE,0.095,Texas Rangers,Rangers,Pitcher
242,Don Stanhouse,TEX,1974,23,AL,31.1,18,0,20,5.74,4.13,-0.18,-0.34,98.8,3.92,-6,-0.7,0.4,0.1,-0.2,-4,0.462,0.496,0.014,,pitching value,FALSE,0.066,Texas Rangers,Rangers,Pitcher
399,Kevin Millwood,TEX,2006,31,AL,215,34,34,114,4.77,4.98,0.06,0.19,100.4,5.13,6,0.6,NA,-0.1,2.7,33,0.517,0.504,7.869,,pitching value,FALSE,9.112,Texas Rangers,Rangers,Pitcher
404,Kevin Millwood,TEX,2007,32,AL,172.2,31,31,111,5.79,4.87,-0.05,0.19,99.2,5.07,-15,-1.4,NA,-0.1,0.2,6,0.453,0.491,9.836,,pitching value,FALSE,11.074,Texas Rangers,Rangers,Pitcher
406,Kevin Millwood,TEX,2008,33,AL,168.2,29,29,104,5.55,4.68,-0.28,0.18,101.9,5.24,-9,-0.9,NA,-0.1,0.7,12,0.47,0.495,10.369,,pitching value,FALSE,11.242,Texas Rangers,Rangers,Pitcher
411,Kevin Millwood,TEX,2009,34,AL,198.2,31,31,88,3.99,4.92,0.03,0.19,104.2,5.29,27,2.8,NA,-0.2,4.7,51,0.592,0.518,12.869,,pitching value,FALSE,14.003,Texas Rangers,Rangers,Pitcher
463,Matt Harrison,TEX,2008,22,AL,83.2,15,15,57,6.13,4.59,-0.29,0.18,100.7,5.09,-11,-1.1,NA,-0.1,-0.3,-1,0.429,0.493,NA,,pitching value,FALSE,NA,Texas Rangers,Rangers,Pitcher
464,Matt Harrison,TEX,2009,23,AL,63.1,11,11,43,6.11,4.54,0.03,0.18,106.6,4.99,-8,-0.8,NA,0,-0.2,-1,0.428,0.495,0.406,,pitching value,FALSE,0.441,Texas Rangers,Rangers,Pitcher
465,Matt Harrison,TEX,2012,26,AL,213.1,32,32,82,3.46,4.48,-0.02,0.17,106.6,4.98,36,4.1,NA,-0.2,6.1,58,0.628,0.525,2.95,"AS,CYA-8",pitching value,FALSE,3,Texas Rangers,Rangers,Pitcher
466,Matt Harrison,TEX,2011,25,AL,185.2,31,30,79,3.83,4.39,0.11,0.15,108.9,4.83,20,2.2,0.5,-0.1,4,40,0.571,0.514,0.429,,pitching value,FALSE,0.445,Texas Rangers,Rangers,Pitcher
467,Matt Harrison,TEX,2010,24,AL,78.1,37,6,45,5.17,4.3,-0.06,-0.12,102.2,4.33,-8,-0.8,1.1,-0.1,-0.1,1,0.478,0.495,0.406,,pitching value,FALSE,0.435,Texas Rangers,Rangers,Pitcher
489,Nolan Ryan,TEX,1992,45,AL,157.1,27,27,75,4.29,4.31,-0.26,0.15,96.3,4.54,4,0.5,NA,-0.1,2,20,0.517,0.503,4.2,,pitching value,FALSE,6.987,Texas Rangers,Rangers,Pitcher
501,Nolan Ryan,TEX,1993,46,AL,66.1,13,13,47,6.38,4.55,0.04,0.16,96.3,4.5,-13,-1.2,NA,0,-0.6,-7,0.405,0.492,3.757,,pitching value,FALSE,6.071,Texas Rangers,Rangers,Pitcher
505,Nolan Ryan,TEX,1989,42,AL,239.1,32,32,96,3.61,4.34,0,0.15,102.6,4.62,26,2.9,NA,-0.2,5.1,49,0.592,0.518,1.8,"AS,CYA-5,MVP-23",pitching value,FALSE,3.39,Texas Rangers,Rangers,Pitcher
509,Nolan Ryan,TEX,1990,43,AL,204,30,30,86,3.79,4.33,0.11,0.16,101.6,4.45,16,1.7,NA,-0.1,3.6,34,0.558,0.511,1.4,MVP-25,pitching value,FALSE,2.502,Texas Rangers,Rangers,Pitcher
512,Nolan Ryan,TEX,1991,44,AL,173,27,27,58,3.02,4.42,-0.16,0.16,98.7,4.68,32,3.6,NA,-0.1,5.2,49,0.634,0.522,3.3,,pitching value,FALSE,5.656,Texas Rangers,Rangers,Pitcher
537,Roy Oswalt,TEX,2012,34,AL,59,17,9,41,6.25,4.5,-0.02,0.07,113.7,5.22,-7,-0.7,1.1,-0.1,-0.2,-1,0.459,0.496,5,,pitching value,FALSE,5.084,Texas Rangers,Rangers,Pitcher
560,Scott Erickson,TEX,2004,36,AL,19,4,4,13,6.16,5.41,-0.24,0.21,109.7,6.43,0,0,NA,0,0.2,3,0.507,0.5,NA,,pitching value,FALSE,NA,Texas Rangers,Rangers,Pitcher
621,Yu Darvish,TEX,2012,25,AL,191.1,29,29,89,4.19,4.54,-0.02,0.17,107.2,5.07,19,2.1,NA,-0.1,3.9,38,0.571,0.513,5.5,"AS,CYA-9,RoY-3",pitching value,FALSE,5.592,Texas Rangers,Rangers,Pitcher
304,Jeff Niemann,TBR,2011,28,AL,135.1,23,23,65,4.32,4.58,0.54,0.17,93.4,3.94,-6,-0.6,NA,-0.1,0.7,8,0.472,0.496,0.903,,pitching value,FALSE,0.937,Tampa Bay Rays,Rays,Pitcher
305,Jeff Niemann,TBR,2010,27,AL,174.1,30,29,86,4.44,4.4,0.33,0.16,94.4,3.99,-10,-1,2.2,-0.1,0.7,9,0.466,0.494,1.032,,pitching value,FALSE,1.105,Tampa Bay Rays,Rays,Pitcher
306,Jeff Niemann,TBR,2009,26,AL,180.2,31,30,84,4.18,4.77,0.28,0.18,98.5,4.59,7,0.7,0.1,-0.1,2.4,28,0.521,0.504,1.29,RoY-4,pitching value,FALSE,1.404,Tampa Bay Rays,Rays,Pitcher
307,Jeff Niemann,TBR,2012,29,AL,38,8,8,17,4.03,4.45,0.08,0.17,102.3,4.65,3,0.3,NA,0,0.6,6,0.535,0.502,2.75,,pitching value,FALSE,2.796,Tampa Bay Rays,Rays,Pitcher
308,Jeff Niemann,TBR,2008,25,AL,16,5,2,12,6.75,4.92,0.16,-0.04,103,4.87,-4,-0.3,0.6,0,-0.2,-2,0.431,0.498,NA,,pitching value,FALSE,NA,Tampa Bay Rays,Rays,Pitcher
468,Matt Moore,TBR,2011,22,AL,9.1,3,1,3,2.89,5,0.4,-0.08,110.9,5.01,2,0.2,1,0,0.3,3,0.58,0.501,NA,,pitching value,FALSE,NA,Tampa Bay Rays,Rays,Pitcher
469,Matt Moore,TBR,2012,23,AL,177.1,31,31,85,4.31,4.46,0.07,0.17,91.7,4.18,-3,-0.3,NA,-0.1,1.4,15,0.49,0.498,1,,pitching value,FALSE,1.017,Tampa Bay Rays,Rays,Pitcher
29,Adam Wainwright,STL,2012,30,NL,198.2,32,32,96,4.35,4.24,-0.01,0.16,96.1,4.24,-4,-0.4,NA,-0.1,1.1,14,0.486,0.497,9,,pitching value,FALSE,9.151,St. Louis Cardinals,Cardinals,Pitcher
30,Adam Wainwright,STL,2005,23,NL,2,2,0,3,13.5,4.59,0.49,-0.35,100.7,3.78,-2,-0.2,0.3,0.1,-0.1,-2,0.398,0.499,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
31,Adam Wainwright,STL,2008,26,NL,132,20,20,51,3.48,4.58,0.36,0.18,100.2,4.4,14,1.5,NA,-0.1,2.6,25,0.577,0.509,0.688,,pitching value,FALSE,0.745,St. Louis Cardinals,Cardinals,Pitcher
32,Adam Wainwright,STL,2006,24,NL,75,61,0,26,3.12,4.72,0.27,-0.35,99.9,4.1,8,0.8,1.1,-0.1,1.4,15,0.514,0.505,0.327,,pitching value,FALSE,0.379,St. Louis Cardinals,Cardinals,Pitcher
33,Adam Wainwright,STL,2009,27,NL,233,34,34,75,2.9,4.49,0.14,0.18,97.7,4.43,39,4.4,NA,-0.2,6.2,60,0.63,0.527,2.788,"CYA-3,MVP-15,GG",pitching value,FALSE,3.033,St. Louis Cardinals,Cardinals,Pitcher
34,Adam Wainwright,STL,2010,28,NL,230.1,33,33,68,2.66,4.37,0.18,0.17,96.8,4.22,39,4.5,NA,-0.2,6.3,59,0.637,0.528,4.838,"AS,CYA-2,MVP-17",pitching value,FALSE,5.179,St. Louis Cardinals,Cardinals,Pitcher
35,Adam Wainwright,STL,2007,25,NL,202,32,32,93,4.14,4.68,0.21,0.19,99.2,4.62,12,1.2,NA,-0.1,2.8,29,0.538,0.507,0.41,,pitching value,FALSE,0.462,St. Louis Cardinals,Cardinals,Pitcher
39,Al Hrabosky,STL,1975,25,NL,97.1,65,0,27,2.5,4.16,-0.18,-0.34,106.6,4.27,18,2.1,2,1,4,27,0.532,0.513,NA,"CYA-3,MVP-8",pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
40,Al Hrabosky,STL,1977,27,NL,86.1,65,0,44,4.59,4.45,0.19,-0.34,100.1,3.93,-7,-0.7,1.4,-0.4,-0.3,1,0.489,0.496,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
42,Al Hrabosky,STL,1974,24,NL,88.1,65,0,34,3.46,4.18,0.16,-0.34,99.6,3.67,1,0.2,1.7,0,0.9,9,0.502,0.501,NA,"CYA-5,MVP-16",pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
44,Al Hrabosky,STL,1976,26,NL,95.1,68,0,42,3.97,4.02,-0.03,-0.33,101,3.77,-3,-0.3,2,-0.3,0.2,5,0.495,0.498,0.045,,pitching value,FALSE,0.185,St. Louis Cardinals,Cardinals,Pitcher
45,Al Hrabosky,STL,1973,23,NL,56,44,0,15,2.41,4.21,0.11,-0.35,101.5,3.81,9,1,1.7,0.3,1.7,13,0.522,0.506,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
46,Al Hrabosky,STL,1970,20,NL,19,16,1,10,4.74,4.69,-0.49,-0.12,100,5.07,0,0,1.4,0,0.2,2,0.503,0.5,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
47,Al Hrabosky,STL,1971,21,NL,2,1,0,0,0,3.65,-0.37,-0.16,94,3.63,1,0.1,0,-0.1,0.1,1,0.597,0.501,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
48,Al Hrabosky,STL,1972,22,NL,7,5,0,0,0,3.93,-0.12,-0.17,96.7,3.75,3,0.3,1.2,0,0.4,3,0.568,0.502,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
85,Bruce Sutter,STL,1984,31,NL,122.2,71,0,26,1.91,4.04,0.08,-0.31,98.9,3.61,22,2.5,1.9,0.9,4.6,34,0.535,0.515,NA,"AS,CYA-3,MVP-6",pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
94,Bruce Sutter,STL,1983,30,NL,89.1,60,0,45,4.53,4.12,0.02,-0.32,99.9,3.77,-8,-0.9,2.2,-0.7,-0.7,0,0.486,0.495,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
95,Bruce Sutter,STL,1982,29,NL,102.1,70,0,38,3.34,4.1,0.31,-0.32,101.8,3.54,1,0.1,2.1,-0.2,0.9,11,0.502,0.501,0.975,"CYA-3,MVP-5",pitching value,FALSE,2.358,St. Louis Cardinals,Cardinals,Pitcher
96,Bruce Sutter,STL,1981,28,NL,82.1,48,0,24,2.62,3.85,0.26,-0.29,102,3.37,6,0.7,2,0.2,1.6,13,0.514,0.504,0.975,"AS,CYA-5,MVP-8",pitching value,FALSE,2.504,St. Louis Cardinals,Cardinals,Pitcher
149,Chris Carpenter,STL,2005,30,NL,241.2,33,33,82,3.05,4.52,0.34,0.17,100.4,4.36,35,3.9,NA,-0.2,5.8,56,0.618,0.524,2,"AS,CYA-1,MVP-8",pitching value,FALSE,2.391,St. Louis Cardinals,Cardinals,Pitcher
150,Chris Carpenter,STL,2010,35,NL,235,35,35,99,3.79,4.37,0.19,0.17,98.8,4.29,12,1.3,NA,-0.2,3.2,32,0.538,0.508,15.841,AS,pitching value,FALSE,16.958,St. Louis Cardinals,Cardinals,Pitcher
151,Chris Carpenter,STL,2007,32,NL,6,1,1,5,7.5,5.11,0.26,0.21,98,4.96,-2,-0.1,NA,0,-0.1,-1,0.355,0.499,8.5,,pitching value,FALSE,9.569,St. Louis Cardinals,Cardinals,Pitcher
155,Chris Carpenter,STL,2004,29,NL,182,28,28,75,3.71,4.64,0.18,0.18,100.3,4.66,18,1.9,NA,-0.1,3.3,35,0.568,0.512,0.3,,pitching value,FALSE,0.371,St. Louis Cardinals,Cardinals,Pitcher
156,Chris Carpenter,STL,2006,31,NL,221.2,32,32,81,3.29,4.67,0.29,0.18,100,4.57,32,3.4,NA,-0.1,5.1,52,0.606,0.521,5,"AS,CYA-3,MVP-19",pitching value,FALSE,5.79,St. Louis Cardinals,Cardinals,Pitcher
158,Chris Carpenter,STL,2008,33,NL,15.1,4,3,5,2.93,4.76,0.39,0.16,104.4,4.73,3,0.3,0.1,0,0.4,4,0.584,0.502,10.5,,pitching value,FALSE,11.384,St. Louis Cardinals,Cardinals,Pitcher
160,Chris Carpenter,STL,2012,37,NL,17,3,3,7,3.71,3.8,-0.01,0.14,97.8,3.87,0,0,NA,0,0.2,2,0.506,0.5,10.5,,pitching value,FALSE,10.677,St. Louis Cardinals,Cardinals,Pitcher
161,Chris Carpenter,STL,2009,34,NL,192.2,28,28,49,2.29,4.42,0.13,0.17,96.8,4.32,43,5,NA,-0.1,6.5,60,0.678,0.531,13.303,"CYA-2,MVP-14",pitching value,FALSE,14.475,St. Louis Cardinals,Cardinals,Pitcher
163,Chris Carpenter,STL,2011,36,NL,237.1,34,34,98,3.72,4.18,-0.2,0.16,95.3,4.31,14,1.6,NA,-0.1,3.5,34,0.547,0.51,14.259,,pitching value,FALSE,14.797,St. Louis Cardinals,Cardinals,Pitcher
343,John Curtis,STL,1974,26,NL,195,33,29,91,4.2,4.14,0.19,0.11,99,4.01,-5,-0.6,1.4,-0.1,1,12,0.482,0.496,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
348,John Curtis,STL,1975,27,NL,146.2,39,18,70,4.3,4.1,-0.22,0.04,104.4,4.54,3,0.3,1.1,-0.1,1.5,16,0.508,0.502,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
350,John Curtis,STL,1976,28,NL,134,37,15,68,4.57,4.09,-0.04,0.01,99.2,4.11,-8,-0.9,0.8,-0.1,0.2,4,0.475,0.494,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
427,Larry McWilliams,STL,1988,34,NL,136,42,17,64,4.24,4.03,-0.01,0,99.1,4.01,-4,-0.5,1.2,-0.1,0.7,8,0.489,0.497,0.062,,pitching value,FALSE,0.123,St. Louis Cardinals,Cardinals,Pitcher
432,Lee Smith,STL,1992,34,NL,75,70,0,28,3.36,3.9,-0.01,-0.3,95.6,3.44,0,0,2.2,-0.1,0.6,6,0.501,0.5,2.792,"AS,CYA-4",pitching value,FALSE,4.644,St. Louis Cardinals,Cardinals,Pitcher
433,Lee Smith,STL,1990,32,NL,68.2,53,0,20,2.62,4.27,0.18,-0.33,100.9,3.8,8,0.9,1.7,0.2,1.6,15,0.516,0.505,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
435,Lee Smith,STL,1991,33,NL,73,67,0,19,2.34,4.14,0.15,-0.32,100.2,3.68,10,1.2,2,0.5,2.3,17,0.517,0.507,2.792,"AS,CYA-2,MVP-8",pitching value,FALSE,4.785,St. Louis Cardinals,Cardinals,Pitcher
442,Lee Smith,STL,1993,35,NL,50,55,0,25,4.5,4.4,-0.09,-0.34,99.9,4.14,-3,-0.3,1.8,-0.2,-0.1,2,0.494,0.498,2.692,AS,pitching value,FALSE,4.35,St. Louis Cardinals,Cardinals,Pitcher
515,Rick Wise,STL,1972,26,NL,269,35,35,98,3.28,3.94,-0.18,0.06,99.7,4.16,23,2.8,NA,-0.2,4.9,47,0.579,0.517,NA,,pitching value,FALSE,NA,St. Louis Cardinals,Cardinals,Pitcher
517,Rick Wise,STL,1973,27,NL,259,35,34,113,3.93,4.13,0.14,0.12,100.4,4.13,6,0.6,1.5,-0.2,2.7,27,0.518,0.504,0.07,AS,pitching value,FALSE,0.368,St. Louis Cardinals,Cardinals,Pitcher
75,Barry Zito,SEA,2008,30,NL,180,32,32,115,5.75,4.52,-0.14,0.18,102,4.93,-15,-1.5,NA,-0.1,-0.1,-1,0.453,0.491,14.5,,pitching value,FALSE,15.721,Seattle Mariners,Mariners,Pitcher
77,Barry Zito,SEA,2007,29,NL,196.2,34,33,105,4.81,4.75,0.08,0.19,102.2,4.97,4,0.5,0.4,-0.1,2,21,0.513,0.503,10,,pitching value,FALSE,11.258,Seattle Mariners,Mariners,Pitcher
78,Barry Zito,SEA,2009,31,NL,192,33,33,89,4.17,4.55,0.06,0.18,100.1,4.67,10,1.1,NA,-0.1,2.6,27,0.534,0.507,18.5,,pitching value,FALSE,20.13,Seattle Mariners,Mariners,Pitcher
79,Barry Zito,SEA,2011,33,NL,53.2,13,9,35,5.87,4.33,0.02,0.13,96.6,4.29,-10,-1,0.1,0,-0.6,-5,0.423,0.494,18.5,,pitching value,FALSE,19.198,Seattle Mariners,Mariners,Pitcher
82,Barry Zito,SEA,2010,32,NL,199.1,34,33,97,4.38,4.36,0.2,0.16,101.5,4.39,0,0,2.3,-0.1,1.5,17,0.499,0.5,18.5,,pitching value,FALSE,19.804,Seattle Mariners,Mariners,Pitcher
83,Barry Zito,SEA,2012,34,NL,184.1,32,32,91,4.44,4.23,-0.05,0.16,87.7,3.9,-13,-1.3,NA,-0.1,0.2,4,0.459,0.492,19,,pitching value,FALSE,19.319,Seattle Mariners,Mariners,Pitcher
275,Greg Minton,SEA,1976,24,NL,25.2,10,2,18,6.31,3.82,-0.43,-0.15,106.5,4.37,-6,-0.6,0.6,0.1,-0.3,-4,0.438,0.496,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
276,Greg Minton,SEA,1983,31,NL,106.2,73,0,51,4.3,4.16,-0.24,-0.32,99.8,4.07,-3,-0.4,1.9,-0.4,0.3,6,0.495,0.498,0.75,,pitching value,FALSE,1.758,Seattle Mariners,Mariners,Pitcher
277,Greg Minton,SEA,1981,29,NL,84.1,55,0,28,2.99,3.86,-0.21,-0.29,98.6,3.73,6,0.7,2,0.2,1.7,14,0.512,0.504,0.18,MVP-23,pitching value,FALSE,0.462,Seattle Mariners,Mariners,Pitcher
279,Greg Minton,SEA,1977,25,NL,14,2,2,8,5.14,4.85,-0.17,0.17,100,5.19,0,0,NA,0,0.1,1,0.499,0.5,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
