,player,tm,season,age,lg,ip,g,gs,r,ra9,ra9opp,ra9def,ra9role,ppfp,ra9avg,raa,waa,gmli,waaadj,war,rar,waawl,wl162,salary,awards,table_name,disputed_salary,salary_2013,team,pst_team,position
271,Gio Gonzalez,WSN,2012,26,NL,199.1,32,32,69,3.12,4.21,-0.07,0.16,100.7,4.47,28,3.3,NA,-0.1,4.9,46,0.602,0.52,3.25,"AS,CYA-3,MVP-20",pitching value,FALSE,3.305,Washington Nationals,Nationals,Pitcher
7,A.J. Burnett,TOR,2008,31,AL,221.1,35,34,109,4.43,4.83,0.24,0.18,98.5,4.71,3,0.3,2.3,-0.2,2.4,31,0.508,0.502,13.2,,pitching value,FALSE,14.312,Toronto Blue Jays,Blue Jays,Pitcher
25,A.J. Burnett,TOR,2007,30,AL,165.2,25,25,74,4.02,4.9,0.47,0.19,98.5,4.55,8,0.8,NA,-0.1,2.4,28,0.534,0.505,13.2,,pitching value,FALSE,14.861,Toronto Blue Jays,Blue Jays,Pitcher
27,A.J. Burnett,TOR,2006,29,AL,135.2,21,21,67,4.44,5.08,0.36,0.2,100,4.92,5,0.5,NA,-0.1,1.9,23,0.526,0.503,2.2,,pitching value,FALSE,2.548,Toronto Blue Jays,Blue Jays,Pitcher
60,B.J. Ryan,TOR,2006,30,AL,72.1,65,0,12,1.49,5.06,0.27,-0.37,100,4.42,23,2.3,1.6,0.5,3.5,32,0.535,0.514,4,AS,pitching value,FALSE,4.632,Toronto Blue Jays,Blue Jays,Pitcher
64,B.J. Ryan,TOR,2008,32,AL,58,60,0,21,3.26,4.84,0.23,-0.36,98.5,4.19,5,0.5,1.8,0,1.1,12,0.508,0.503,12,,pitching value,FALSE,13.011,Toronto Blue Jays,Blue Jays,Pitcher
68,B.J. Ryan,TOR,2007,31,AL,4.1,5,0,7,14.54,4.93,0.75,-0.37,99.6,3.81,-5,-0.5,1.7,-0.2,-0.6,-5,0.406,0.497,7,,pitching value,FALSE,7.881,Toronto Blue Jays,Blue Jays,Pitcher
71,B.J. Ryan,TOR,2009,33,AL,20.2,25,0,15,6.53,4.94,0.37,-0.36,99.8,4.2,-6,-0.5,0.9,0,-0.3,-3,0.478,0.497,12,,pitching value,FALSE,13.057,Toronto Blue Jays,Blue Jays,Pitcher
152,Chris Carpenter,TOR,1999,24,AL,150,24,24,81,4.86,5.1,0.05,0.2,102.1,5.36,8,0.8,NA,-0.1,2.2,27,0.532,0.505,0.483,,pitching value,FALSE,0.677,Toronto Blue Jays,Blue Jays,Pitcher
153,Chris Carpenter,TOR,2000,25,AL,175.1,34,27,130,6.67,5.43,0.01,0.15,101.5,5.65,-21,-1.9,0.7,-0.1,-0.2,2,0.445,0.489,0.733,,pitching value,FALSE,0.994,Toronto Blue Jays,Blue Jays,Pitcher
154,Chris Carpenter,TOR,2001,26,AL,215.2,34,34,112,4.67,4.9,-0.02,0.19,102.5,5.24,12,1.2,NA,-0.1,3.2,38,0.534,0.507,2.583,,pitching value,FALSE,3.406,Toronto Blue Jays,Blue Jays,Pitcher
157,Chris Carpenter,TOR,1998,23,AL,175,33,24,97,4.99,5.06,0,0.11,98.9,5.11,2,0.2,0.5,-0.1,1.9,23,0.507,0.501,0.19,,pitching value,FALSE,0.272,Toronto Blue Jays,Blue Jays,Pitcher
159,Chris Carpenter,TOR,1997,22,AL,81.1,14,13,55,6.09,5.08,0.08,0.15,98.6,5.08,-9,-0.9,0.2,0,-0.1,0,0.438,0.495,0.15,,pitching value,FALSE,0.218,Toronto Blue Jays,Blue Jays,Pitcher
162,Chris Carpenter,TOR,2002,27,AL,73.1,13,13,45,5.52,4.85,-0.05,0.18,105.1,5.33,-2,-0.2,NA,0,0.5,7,0.486,0.499,3.45,,pitching value,FALSE,4.478,Toronto Blue Jays,Blue Jays,Pitcher
533,Ricky Romero,TOR,2010,25,AL,210,32,32,98,4.2,4.53,-0.01,0.16,99.8,4.69,10,1.1,NA,-0.1,3.1,33,0.533,0.506,0.408,,pitching value,FALSE,0.437,Toronto Blue Jays,Blue Jays,Pitcher
534,Ricky Romero,TOR,2012,27,AL,181,32,32,122,6.07,4.45,0.32,0.17,103.9,4.46,-32,-3.1,NA,-0.1,-1.4,-14,0.402,0.481,5,,pitching value,FALSE,5.084,Toronto Blue Jays,Blue Jays,Pitcher
535,Ricky Romero,TOR,2011,26,AL,225,32,32,85,3.4,4.54,0,0.16,103.9,4.89,37,4.2,NA,-0.1,6.3,60,0.63,0.526,1,"AS,CYA-10",pitching value,FALSE,1.038,Toronto Blue Jays,Blue Jays,Pitcher
