ID_School,CIPF.Code,Category,CIPFamily,School_Label,CIPFamilyTitle,Value_Type,Value,Percentage
NO.ILL,COMM,School,9,Northern Illinois,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,330,0.084162204
KAN.ST,COMM,School,9,Kansas State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,131,0.035989011
LSU,COMM,School,9,Louisiana State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,318,0.069145466
UGA,COMM,Football,9,Georgia,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,20,0.172413793
KAN.ST,COMM,Football,9,Kansas State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.04494382
OK,COMM,School,9,Oklahoma,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,367,0.089928939
OK,COMM,Football,9,Oklahoma,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.157894737
SJ.ST,COMM,Football,9,San Jose State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,14,0.130841121
SCAR,COMM,Football,9,South Carolina,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.020408163
BAMA,COMM,Football,9,Alabama,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.037037037
SCAR,COMM,School,9,South Carolina,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,330,0.072273325
CLEM,COMM,Football,9,Clemson,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.022727273
LOUIS,COMM,School,9,Louisville,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,212,0.078489448
OSU,COMM,Football,9,Ohio State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,10,0.153846154
NEB,COMM,School,9,Nebraska,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,260,0.06993007
NEB,COMM,Football,9,Nebraska,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.049019608
UGA,COMTECH,School,10,Georgia,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,College Major,27,0.003935286
NWST,COMTECH,School,10,Northwestern,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,College Major,171,0.080093677
FSU,COMTECH,Football,10,Florida State,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,College Major,1,0.015151515
RUT,COMP,School,11,Rutgers,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,160,0.025881592
ORE.ST,COMP,School,11,Oregon State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,83,0.021098119
RUT,COMP,Football,11,Rutgers,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,3,0.030612245
STAN,COMP,School,11,Stanford,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,138,0.080513419
KAN.ST,COMP,Football,11,Kansas State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.02247191
FSU,COMP,School,11,Florida State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,157,0.020010196
LSU,COMP,School,11,Louisiana State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,34,0.007392912
NO.ILL,COMP,Football,11,Northern Illinois,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.010416667
LSU,COMP,Football,11,Louisiana State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.012195122
KAN.ST,COMP,School,11,Kansas State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,84,0.023076923
TAM,COMP,School,11,Texas A&M,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,90,0.009978933
ORE,COMP,School,11,Oregon,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,47,0.010006387
FLA,COMP,School,11,Florida,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,7,0.000813859
SCAR,COMP,School,11,South Carolina,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,42,0.009198423
VANDY,COMP,School,11,Vanderbilt,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,19,0.011356844
BAMA,COMP,School,11,Alabama,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,19,0.004257226
OSU,COMP,School,11,Ohio State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,74,0.006542304
UTA.ST,COMP,School,11,Utah State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,78,0.023124815
UGA,COMP,School,11,Georgia,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,42,0.006121557
CLEM,COMP,School,11,Clemson,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,34,0.009883721
CLEM,COMP,Football,11,Clemson,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.011363636
SJ.ST,COMP,School,11,San Jose State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,86,0.017561773
SCAR,COMP,Football,11,South Carolina,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.020408163
BOS.ST,COMP,School,11,Boise State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,52,0.020069471
UM,COMP,School,11,Michigan,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,195,0.030036969
OSU,COMP,Football,11,Ohio State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.030769231
UT,COMP,School,11,Texas,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,194,0.022040445
ND,COMP,School,11,Notre Dame,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,37,0.017814155
NO.ILL,COMP,School,11,Northern Illinois,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,67,0.017087478
LOUIS,COMP,Football,11,Louisville,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.016393443
SJ.ST,COMP,Football,11,San Jose State,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.009345794
OK,COMP,School,11,Oklahoma,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,41,0.010046557
NEB,COMP,School,11,Nebraska,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,23,0.006186122
LSU,EDUC,Football,13,Louisiana State,EDUCATION.,College Major,1,0.012195122
LSU,EDUC,School,13,Louisiana State,EDUCATION.,College Major,454,0.098717112
ORE.ST,EDUC,Football,13,Oregon State,EDUCATION.,College Major,1,0.009615385
ORE,EDUC,School,13,Oregon,EDUCATION.,College Major,94,0.020012774
KAN.ST,EDUC,School,13,Kansas State,EDUCATION.,College Major,306,0.084065934
FSU,EDUC,School,13,Florida State,EDUCATION.,College Major,267,0.034030079
FSU,EDUC,Football,13,Florida State,EDUCATION.,College Major,1,0.015151515
ORE.ST,EDUC,School,13,Oregon State,EDUCATION.,College Major,71,0.018047789
KAN.ST,EDUC,Football,13,Kansas State,EDUCATION.,College Major,4,0.04494382
ORE,EDUC,Football,13,Oregon,EDUCATION.,College Major,1,0.01
OSU,EDUC,Football,13,Ohio State,EDUCATION.,College Major,1,0.015384615
OSU,EDUC,School,13,Ohio State,EDUCATION.,College Major,390,0.03447971
CLEM,EDUC,School,13,Clemson,EDUCATION.,College Major,241,0.07005814
UGA,EDUC,Football,13,Georgia,EDUCATION.,College Major,4,0.034482759
BAMA,EDUC,School,13,Alabama,EDUCATION.,College Major,304,0.068115617
NWST,EDUC,School,13,Northwestern,EDUCATION.,College Major,149,0.069789227
UGA,EDUC,School,13,Georgia,EDUCATION.,College Major,400,0.058300539
VANDY,EDUC,School,13,Vanderbilt,EDUCATION.,College Major,55,0.032875075
NO.ILL,EDUC,School,13,Northern Illinois,EDUCATION.,College Major,371,0.09461872
BOS.ST,EDUC,School,13,Boise State,EDUCATION.,College Major,272,0.104978773
NWST,EDUC,Football,13,Northwestern,EDUCATION.,College Major,1,0.010204082
SCAR,EDUC,School,13,South Carolina,EDUCATION.,College Major,190,0.041611914
FLA,EDUC,School,13,Florida,EDUCATION.,College Major,231,0.026857342
VANDY,EDUC,Football,13,Vanderbilt,EDUCATION.,College Major,3,0.09375
CLEM,EDUC,Football,13,Clemson,EDUCATION.,College Major,2,0.022727273
LOUIS,EDUC,School,13,Louisville,EDUCATION.,College Major,196,0.072565716
SJ.ST,EDUC,Football,13,San Jose State,EDUCATION.,College Major,1,0.009345794
UM,EDUC,School,13,Michigan,EDUCATION.,College Major,130,0.020024646
NEB,EDUC,School,13,Nebraska,EDUCATION.,College Major,301,0.080957504
SJ.ST,EDUC,School,13,San Jose State,EDUCATION.,College Major,12,0.00245048
UT,EDUC,Football,13,Texas,EDUCATION.,College Major,1,0.034482759
UTA.ST,EDUC,School,13,Utah State,EDUCATION.,College Major,442,0.131040617
NEB,EDUC,Football,13,Nebraska,EDUCATION.,College Major,5,0.049019608
UTA.ST,EDUC,Football,13,Utah State,EDUCATION.,College Major,1,0.009803922
LOUIS,EDUC,Football,13,Louisville,EDUCATION.,College Major,3,0.049180328
NO.ILL,EDUC,Football,13,Northern Illinois,EDUCATION.,College Major,1,0.010416667
OK,EDUC,School,13,Oklahoma,EDUCATION.,College Major,163,0.039941191
KAN.ST,ENGIN,School,14,Kansas State,ENGINEERING.,College Major,357,0.098076923
LSU,ENGIN,Football,14,Louisiana State,ENGINEERING.,College Major,3,0.036585366
STAN,ENGIN,School,14,Stanford,ENGINEERING.,College Major,257,0.149941657
FSU,ENGIN,Football,14,Florida State,ENGINEERING.,College Major,1,0.015151515
RUT,ENGIN,School,14,Rutgers,ENGINEERING.,College Major,506,0.081850534
TAM,ENGIN,School,14,Texas A&M,ENGINEERING.,College Major,1353,0.150016632
LSU,ENGIN,School,14,Louisiana State,ENGINEERING.,College Major,483,0.105022831
FSU,ENGIN,School,14,Florida State,ENGINEERING.,College Major,307,0.039128218
KAN.ST,ENGIN,Football,14,Kansas State,ENGINEERING.,College Major,8,0.08988764
VANDY,ENGIN,Football,14,Vanderbilt,ENGINEERING.,College Major,2,0.0625
OSU,ENGIN,Football,14,Ohio State,ENGINEERING.,College Major,4,0.061538462
ORE.ST,ENGIN,Football,14,Oregon State,ENGINEERING.,College Major,4,0.038461538
OSU,ENGIN,School,14,Ohio State,ENGINEERING.,College Major,1128,0.099725931
NWST,ENGIN,Football,14,Northwestern,ENGINEERING.,College Major,11,0.112244898
FLA,ENGIN,School,14,Florida,ENGINEERING.,College Major,1062,0.123474015
BOS.ST,ENGIN,School,14,Boise State,ENGINEERING.,College Major,124,0.04785797
TAM,ENGIN,Football,14,Texas A&M,ENGINEERING.,College Major,9,0.111111111
BOS.ST,ENGIN,Football,14,Boise State,ENGINEERING.,College Major,2,0.028571429
SCAR,ENGIN,School,14,South Carolina,ENGINEERING.,College Major,244,0.053438458
ORE.ST,ENGIN,School,14,Oregon State,ENGINEERING.,College Major,594,0.150991357
STAN,ENGIN,Football,14,Stanford,ENGINEERING.,College Major,5,0.079365079
UGA,ENGIN,School,14,Georgia,ENGINEERING.,College Major,52,0.00757907
NEB,ENGIN,Football,14,Nebraska,ENGINEERING.,College Major,5,0.049019608
UM,ENGIN,School,14,Michigan,ENGINEERING.,College Major,1038,0.159889094
UM,ENGIN,Football,14,Michigan,ENGINEERING.,College Major,2,0.025974026
VANDY,ENGIN,School,14,Vanderbilt,ENGINEERING.,College Major,213,0.127316198
UGA,ENGIN,Football,14,Georgia,ENGINEERING.,College Major,3,0.025862069
UTA.ST,ENGIN,Football,14,Utah State,ENGINEERING.,College Major,3,0.029411765
NO.ILL,ENGIN,Football,14,Northern Illinois,ENGINEERING.,College Major,7,0.072916667
OK,ENGIN,School,14,Oklahoma,ENGINEERING.,College Major,367,0.089928939
NO.ILL,ENGIN,School,14,Northern Illinois,ENGINEERING.,College Major,111,0.028309105
UT,ENGIN,School,14,Texas,ENGINEERING.,College Major,1067,0.121222449
LOUIS,ENGIN,School,14,Louisville,ENGINEERING.,College Major,278,0.102924843
NEB,ENGIN,School,14,Nebraska,ENGINEERING.,College Major,356,0.095750403
SJ.ST,ENGIN,School,14,San Jose State,ENGINEERING.,College Major,381,0.077802736
