ID_School,CIPF.Code,Category,CIPFamily,School_Label,CIPFamilyTitle,Value_Type,Value,Percentage
NEB,AG,School,1,Nebraska,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,233,0.062668101
LSU,AG,Football,1,Louisiana State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.012195122
ORE.ST,AG,Football,1,Oregon State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,3,0.028846154
KAN.ST,AG,School,1,Kansas State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,415,0.114010989
TAM,AG,School,1,Texas A&M,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,992,0.109990021
ND,AG,School,1,Notre Dame,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,10,0.004814636
RUT,AG,Football,1,Rutgers,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.010204082
TAM,AG,Football,1,Texas A&M,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,23,0.283950617
SJ.ST,AG,School,1,San Jose State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,9,0.00183786
LSU,AG,School,1,Louisiana State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,210,0.0456621
NEB,AG,Football,1,Nebraska,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.019607843
UGA,AG,School,1,Georgia,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,246,0.035854832
FLA,AG,School,1,Florida,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,522,0.060690617
KAN.ST,AG,Football,1,Kansas State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,4,0.04494382
CLEM,AG,School,1,Clemson,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,241,0.07005814
UTA.ST,AG,School,1,Utah State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,91,0.02697895
ORE.ST,AG,School,1,Oregon State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,216,0.054905948
OSU,AG,School,1,Ohio State,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,470,0.041552471
LOUIS,AG,School,1,Louisville,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,14,0.005183265
RUT,AG,School,1,Rutgers,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,99,0.016014235
UGA,AG,Football,1,Georgia,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,4,0.034482759
BAMA,NATRESC,Football,3,Alabama,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.037037037
BAMA,NATRESC,School,3,Alabama,NATURAL RESOURCES AND CONSERVATION.,College Major,9,0.002016581
LSU,NATRESC,School,3,Louisiana State,NATURAL RESOURCES AND CONSERVATION.,College Major,68,0.014785823
FSU,NATRESC,School,3,Florida State,NATURAL RESOURCES AND CONSERVATION.,College Major,16,0.002039256
ORE.ST,NATRESC,School,3,Oregon State,NATURAL RESOURCES AND CONSERVATION.,College Major,248,0.063040163
RUT,NATRESC,School,3,Rutgers,NATURAL RESOURCES AND CONSERVATION.,College Major,117,0.018925914
OK,NATRESC,School,3,Oklahoma,NATURAL RESOURCES AND CONSERVATION.,College Major,20,0.00490076
ORE.ST,NATRESC,Football,3,Oregon State,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.009615385
BOS.ST,NATRESC,School,3,Boise State,NATURAL RESOURCES AND CONSERVATION.,College Major,13,0.005017368
CLEM,NATRESC,School,3,Clemson,NATURAL RESOURCES AND CONSERVATION.,College Major,34,0.009883721
UM,NATRESC,School,3,Michigan,NATURAL RESOURCES AND CONSERVATION.,College Major,130,0.020024646
NEB,NATRESC,School,3,Nebraska,NATURAL RESOURCES AND CONSERVATION.,College Major,77,0.020710059
NEB,NATRESC,Football,3,Nebraska,NATURAL RESOURCES AND CONSERVATION.,College Major,2,0.019607843
OSU,NATRESC,School,3,Ohio State,NATURAL RESOURCES AND CONSERVATION.,College Major,126,0.011139599
UTA.ST,NATRESC,School,3,Utah State,NATURAL RESOURCES AND CONSERVATION.,College Major,27,0.008004744
ORE,NATRESC,School,3,Oregon,NATURAL RESOURCES AND CONSERVATION.,College Major,141,0.030019161
UGA,NATRESC,School,3,Georgia,NATURAL RESOURCES AND CONSERVATION.,College Major,84,0.012243113
CLEM,NATRESC,Football,3,Clemson,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.011363636
SJ.ST,NATRESC,School,3,San Jose State,NATURAL RESOURCES AND CONSERVATION.,College Major,44,0.008985093
UGA,NATRESC,Football,3,Georgia,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.00862069
SCAR,NATRESC,School,3,South Carolina,NATURAL RESOURCES AND CONSERVATION.,College Major,12,0.002628121
FLA,NATRESC,School,3,Florida,NATURAL RESOURCES AND CONSERVATION.,College Major,138,0.016044646
TAM,NATRESC,School,3,Texas A&M,NATURAL RESOURCES AND CONSERVATION.,College Major,271,0.030047677
ND,NATRESC,School,3,Notre Dame,NATURAL RESOURCES AND CONSERVATION.,College Major,37,0.017814155
STAN,ARCH,Football,4,Stanford,ARCHITECTURE AND RELATED SERVICES.,College Major,1,0.015873016
UM,ARCH,School,4,Michigan,ARCHITECTURE AND RELATED SERVICES.,College Major,65,0.010012323
FLA,ARCH,School,4,Florida,ARCHITECTURE AND RELATED SERVICES.,College Major,114,0.013254273
LSU,ARCH,School,4,Louisiana State,ARCHITECTURE AND RELATED SERVICES.,College Major,85,0.018482279
UGA,ARCH,School,4,Georgia,ARCHITECTURE AND RELATED SERVICES.,College Major,65,0.009473838
NEB,ARCH,School,4,Nebraska,ARCHITECTURE AND RELATED SERVICES.,College Major,76,0.020441097
ND,ARCH,School,4,Notre Dame,ARCHITECTURE AND RELATED SERVICES.,College Major,42,0.020221473
OK,ARCH,School,4,Oklahoma,ARCHITECTURE AND RELATED SERVICES.,College Major,31,0.007596177
UTA.ST,ARCH,School,4,Utah State,ARCHITECTURE AND RELATED SERVICES.,College Major,27,0.008004744
ORE,ARCH,School,4,Oregon,ARCHITECTURE AND RELATED SERVICES.,College Major,94,0.020012774
OSU,ARCH,School,4,Ohio State,ARCHITECTURE AND RELATED SERVICES.,College Major,138,0.012200513
TAM,ARCH,School,4,Texas A&M,ARCHITECTURE AND RELATED SERVICES.,College Major,90,0.009978933
RUT,ARCH,School,4,Rutgers,ARCHITECTURE AND RELATED SERVICES.,College Major,31,0.005014558
KAN.ST,ARCH,School,4,Kansas State,ARCHITECTURE AND RELATED SERVICES.,College Major,4,0.001098901
CLEM,ARCH,School,4,Clemson,ARCHITECTURE AND RELATED SERVICES.,College Major,69,0.02005814
UT,ARCH,School,4,Texas,ARCHITECTURE AND RELATED SERVICES.,College Major,62,0.007043854
LSU,ETHNIC,School,5,Louisiana State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.000217439
FSU,ETHNIC,School,5,Florida State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,24,0.003058884
ORE,ETHNIC,School,5,Oregon,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,47,0.010006387
ORE.ST,ETHNIC,School,5,Oregon State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,16,0.004067107
OK,ETHNIC,Football,5,Oklahoma,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.01754386
UT,ETHNIC,School,5,Texas,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,150,0.017041581
VANDY,ETHNIC,School,5,Vanderbilt,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,32,0.019127316
UM,ETHNIC,School,5,Michigan,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,130,0.020024646
BAMA,ETHNIC,School,5,Alabama,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,12,0.002688774
OSU,ETHNIC,Football,5,Ohio State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.046153846
FLA,ETHNIC,School,5,Florida,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,22,0.002557842
ORE.ST,ETHNIC,Football,5,Oregon State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.019230769
KAN.ST,ETHNIC,School,5,Kansas State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,11,0.003021978
OK,ETHNIC,School,5,Oklahoma,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,31,0.007596177
BOS.ST,ETHNIC,School,5,Boise State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.001157854
UTA.ST,ETHNIC,School,5,Utah State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,37,0.010969463
STAN,ETHNIC,School,5,Stanford,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,42,0.024504084
OSU,ETHNIC,School,5,Ohio State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,31,0.002740695
NEB,ETHNIC,School,5,Nebraska,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,14,0.003765465
UGA,ETHNIC,School,5,Georgia,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,11,0.001603265
UM,ETHNIC,Football,5,Michigan,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,4,0.051948052
SJ.ST,ETHNIC,School,5,San Jose State,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.00061262
RUT,ETHNIC,School,5,Rutgers,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,86,0.013911356
SCAR,ETHNIC,School,5,South Carolina,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,18,0.003942181
NEB,ETHNIC,Football,5,Nebraska,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,5,0.049019608
NWST,ETHNIC,Football,5,Northwestern,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.010204082
SCAR,ETHNIC,Football,5,South Carolina,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.020408163
ORE.ST,COMM,School,9,Oregon State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,71,0.018047789
ORE,COMM,School,9,Oregon,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,469,0.099850969
VANDY,COMM,Football,9,Vanderbilt,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.0625
FSU,COMM,Football,9,Florida State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,3,0.045454545
STAN,COMM,School,9,Stanford,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,28,0.016336056
TAM,COMM,School,9,Texas A&M,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,271,0.030047677
ORE.ST,COMM,Football,9,Oregon State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,10,0.096153846
BOS.ST,COMM,School,9,Boise State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,181,0.069857198
LOUIS,COMM,Football,9,Louisville,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.147540984
UTA.ST,COMM,School,9,Utah State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,81,0.024014231
FSU,COMM,School,9,Florida State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,291,0.037088963
NO.ILL,COMM,Football,9,Northern Illinois,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,7,0.072916667
UGA,COMM,School,9,Georgia,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,657,0.095758636
BAMA,COMM,School,9,Alabama,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,444,0.099484652
RUT,COMM,School,9,Rutgers,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,636,0.102879327
UTA.ST,COMM,Football,9,Utah State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.019607843
FLA,COMM,School,9,Florida,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,630,0.073247297
NWST,COMM,Football,9,Northwestern,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,20,0.204081633
STAN,COMM,Football,9,Stanford,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.126984127
NWST,COMM,School,9,Northwestern,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,214,0.100234192
VANDY,COMM,School,9,Vanderbilt,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,28,0.016736402
UT,COMM,School,9,Texas,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1059,0.120313565
ORE,COMM,Football,9,Oregon,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,6,0.06
RUT,COMM,Football,9,Rutgers,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.081632653
UT,COMM,Football,9,Texas,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.034482759
UM,COMM,School,9,Michigan,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,195,0.030036969
OSU,COMM,School,9,Ohio State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,541,0.047829546
SJ.ST,COMM,School,9,San Jose State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,263,0.053706351
BOS.ST,COMM,Football,9,Boise State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,18,0.257142857
LSU,COMM,Football,9,Louisiana State,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.012195122
