IDPhoto,Model,PhotoYear,PhotoType,PhotoURLImage,PhotoURLPage,PhotoAddress,PhotoLongitude,PhotoLattitude,PhotoLocation,PhotoCity,PhotoStateRegionProvence,PhotoCountry,SwimsuitPhotographer,Swimsuit,SwimsuitManufacturer,SwimsuitPrice,ModelID,Photo,ModelsYearsPhotos,ImageType
1,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_01.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/1/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,1,30,jpg
2,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_10.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/10/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,10,30,jpg
3,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_11.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/11/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,11,30,jpg
4,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_12.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/12/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,12,30,jpg
5,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_13.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/13/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,13,30,jpg
6,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_14.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/14/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,14,30,jpg
7,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_15.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/15/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,15,30,jpg
8,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_16.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/16/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,16,30,jpg
9,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_17.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/17/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,17,30,jpg
10,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_18.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/18/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,18,30,jpg
11,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_19.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/19/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,19,30,jpg
12,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_02.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/2/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,2,30,jpg
13,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_20.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/20/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,20,30,jpg
14,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_01.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/21/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,21,30,jpg
15,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_02.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/22/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,22,30,jpg
16,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_03.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/23/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,23,30,jpg
17,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_04.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/24/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,24,30,jpg
18,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_05.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/25/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,25,30,jpg
19,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_06.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/26/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,26,30,jpg
20,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_07.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/27/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,27,30,jpg
