IDPhoto,Model,PhotoYear,PhotoType,PhotoURLImage,PhotoURLPage,PhotoAddress,PhotoLongitude,PhotoLattitude,PhotoLocation,PhotoCity,PhotoStateRegionProvence,PhotoCountry,SwimsuitPhotographer,Swimsuit,SwimsuitManufacturer,SwimsuitPrice,ModelID,Photo,ModelsYearsPhotos,ImageType
21,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_08.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/28/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,28,30,jpg
22,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_09.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/29/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,29,30,jpg
23,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_03.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/3/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,3,30,jpg
24,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_behind_10.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/30/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,30,30,jpg
25,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_04.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/4/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,4,30,jpg
26,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_05.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/5/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,5,30,jpg
27,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_06.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/6/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,6,30,jpg
28,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_07.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/7/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,7,30,jpg
29,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_08.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/8/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,8,30,jpg
30,Abbey Clancy,2010,Body Painting,http://i.cdn.turner.com/sivault/swimsuit/image/2010/10_abbey-clancy_09.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/abbey_clancy/2010/body_painting/9/30,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,abbey_clancy,9,30,jpg
31,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/Adaora.gilbert.carrasquillo.filmmagic.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/1/31,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,adaora,1,31,jpg
32,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/ymaHvFkWvJBuomNxUVRVT.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/10/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,10,31,jpg
33,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/GldPNAwLiOLROPpDVzXib.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/11/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,11,31,jpg
34,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/dVybizaAANteRNAaDGoyi.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/12/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,12,31,jpg
35,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/MYRjrHMUDxurRiUcpOAJE.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/13/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,13,31,jpg
36,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/NgZRpTwrUhjHsNNGoDCXv.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/14/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,14,31,jpg
37,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/rebzuDObNLBfHeNkgjcuE.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/15/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,15,31,jpg
38,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/KpHEYWYfNJsogMadgRgIt.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/16/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,16,31,jpg
39,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/zpOUdtxijINNDvCyXZQXT.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/17/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,17,31,jpg
40,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/BrOGlKeRodbkSfSBBGFgs.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/18/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,18,31,jpg
41,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/aMorekAuDkiAIFaYzuiaK.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/19/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,19,31,jpg
42,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/QmTqamkpMtGDuMkNYLHjh.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/2/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,2,31,jpg
43,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/TbsfExJDESrkHtWyGfOPz.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/20/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,20,31,jpg
44,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/olhLrfNjcQZHlGRlAioTl.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/21/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,21,31,jpg
45,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/osbWHMGnPuWMreSXtoaad.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/22/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,22,31,jpg
46,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/LDxCtuEnaQCIbLstReuIG.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/23/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,23,31,jpg
47,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/oIDaJzFMbLAXjqmVbumXq.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/24/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,24,31,jpg
48,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/YWhElwxSBuOigmNxIFVQn.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/25/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,25,31,jpg
49,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/xAtuxmnfoVTenttAYcBAa.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/26/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,26,31,jpg
50,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/KsmkgyrrrijXjTTUsQkSm.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/27/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,27,31,jpg
51,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/fiIchKpyIggIZhgsmodVP.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/28/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,28,31,jpg
52,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/LEmyIlKkqOhijmZwZfHYX.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/29/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,29,31,jpg
53,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/kfGXDqUAdQvEagCqYesVe.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/3/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,3,31,jpg
54,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/pbDopgbXqQxMPvBUzoJJD.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/30/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,30,31,jpg
55,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/HuyldcZZjhMOleEjeunso.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/31/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,31,31,jpg
56,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/uLKxdUNbjWuoJoqJLbQBk.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/4/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,4,31,jpg
57,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/QUnFklPGupBvriIakfaru.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/5/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,5,31,jpg
58,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/SZjukrdHZPJpRzvvNkODd.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/6/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,6,31,jpg
59,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/eOcxkZVjCWibULFfirLeQ.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/7/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,7,31,jpg
60,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/jHArnvspnIEFXPKJQUuAp.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/8/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,8,31,jpg
61,Adaora Akubilo,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/AjVuwinGrAyKeVCXpaNeo.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/9/31,"Shangri-La Hotel, Cairns, Queensland, Australia",145.773851,-16.9233991,Shangri-La Hotel,Cairns,Queensland,Australia,,,,NA,adaora,9,31,jpg
62,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/sQlYtxKjstqffFhllKteK.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/1/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,1,10,jpg
63,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/SnNCjKpPHJNOOXTOlPrqz.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/10/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,10,10,jpg
64,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/VvwdbekZjVIeYUgGVoGHE.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/2/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,2,10,jpg
65,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/iRTIXKKMOvhkxWrQJSgfs.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/3/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,3,10,jpg
66,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/WSLMmbVssObwddSHonsgG.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/4/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,4,10,jpg
67,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/UTfVodznBgdZQvDudQDZo.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/5/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,5,10,jpg
68,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/KZKDFLfIpZByYsHpLZcCV.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/6/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,6,10,jpg
69,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/RfWzXHjLNbCFRYYqAxTYo.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/7/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,7,10,jpg
70,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/zEVgGHdWglVELKwSmQYHL.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/8/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,8,10,jpg
71,Alex Morgan,2012,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/uqZXOsEIkNcGryledunVg.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/alex_morgan/2012/model/9/10,"Milk Studios, New York, New York, United States",-74.0059731,40.7143528,Milk Studios,New York,New York,United States,,,,NA,alex_morgan,9,10,jpg
72,Aline Nakashima,2006,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2006/06_anakashima_01.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aline_nakashima/2006/model/1/11,"Huahine, Tahiti",-151.0238481,-16.7402947,,Huahine,,Tahiti,James Macari,Swimsuit,Tyler Rose Swimwear,NA,aline_nakashima,1,11,jpg
