"","ModelName","Latitude","Longitude","ModelBirthPlace","DBPediaModelURI","DBPediaModelData","Year","Bodypaint","CoverModel","ModelNationality","ModelHairFacet","ModelHairColor","ModelEyeFacet","ModelEyeColor","ModelDateOfBirth","ModelBirthYear","DBPediaLocation","DBPediaLocationURI","DBPediaLocationData","ModelBirthCity","ModelBirthStateProvence","Model.Birth.Country","ModelEthnicity","ModelHeight.US","Height.in","ModelHeight.numeric","ModelHeight.Label","ModelHeight.cm","ModelMeasurements.US","ModelBust.in","ModelWaste.in","ModelHips.in","ModelMeasurements.EU","ModelBust.cm","ModelWaste.cm","ModelHips.cm","ModelDressSize.US","ModelDressSize.EU","ModelShoeSize.US","ModelShoeSize.EU","ModelShoeSize.UK","ModelAgency","DBPediaModelAgencyURI","DBPediaModelAgencyData","ModelAgencyCity","ModelsAdvertisters","ModelsCovers","ModelsHobbies","ModelNotes","ModelCupSize","UnconfirmedCupSize","ModelImplants.","ModelNaturalCupSize","Wikipedia_URL","FMDURL"
"311","Fernanda Tavares",-35.2109531,-5.7944785,"Natal, Rio Grande do Norte, Brazil","http://live.dbpedia.org/resource/Fernanda_Tavares","http://live.dbpedia.org/data/Fernanda_Tavares.json",2003,NA,NA,"Brazilian","","Brown","","Brown","9/22/80",1980,"Natal (Rio Grande do Norte)","http://live.dbpedia.org/resource/Natal,_Rio_Grande_do_Norte","http://live.dbpedia.org/data/Natal,_Rio_Grande_do_Norte.json","Natal","Rio Grande do Norte","Brazil","Brazilian, Portuguese","5'10""",70,5.83,5.1,178,"35-24-36 ",35,24,36,"89-61-91",89,61,91,6,36,9,40,6.5,"One Management","http://live.dbpedia.org/resource/One_Management","http://live.dbpedia.org/data/One_Management.json","New York","Aa Milano , Absolute Tom Ford , Ann Taylor , AntÃ¨Â rtica , Avon 'Midnight' fragrance , Bali , Beautyjungle.com , Bloomingdale's , Bottega Veneta , Chloe , Citroen , Dana Buchman , Davidoff 'Cool Water' fragrance , Dolce & Gabbana , Gap , Giorgio Armani , Giorgio 'Beverley Hills' fragrance , Guerlain , Guerlain 'Shalimar' fragrance , H&M , Herbal Essences , Iceberg , J. Crew , Jones New York , LanÃŒ_a Perfume , Lejaby , L'Oreal , Louis Vuitton , Mango , Marella , Massimo Dutti , Maria Lya , Nine West , Orwell , Peter Hahn , Ralph Lauren , RoccoBarocco , Rock & Republic , Rosa Cha , Sais , Toli , Valentino , Versace , Zoomp","Argentina: 'Cosmopolitan' - November 1999; 'Elle' - February 2000; 'Elle' - September 2001 
Australia: 'Vogue' - March 2002 
Brazil: 'Marie Claire' - October 1998; 'Marie Claire' - February & May 1999; 'Marie Claire' - February 2000; 'Cosmopolitan' - August 2000; 'Nova' - August 2000; 'Elle' - October 2002; 'Marie Claire' - April 2002; 'Vogue' - May, June & August 2002; 'Claudia' - November 2002; 'Nova' - August 2003; 'Uma' - November 2004; 'Elle' - June 2005; 'Marie Claire' - February 2006; 'L'Officiel' - February 2008; 'L'Officiel' - May 2008; 'Elle' - October 2008; 'Uma' - October 2008; 'Vogue' - May 2010; 'Wish Report' - #42 2010; 'Status' - May 2011 
France: 'Biba' - July 1998; 'L'Officiel' - June 1998; Vogue (Paris) - June/July 1998; 'Elle' - April 29 2002; 'Elle' - June 24 2002; 'Marie Claire' - June 2005; 
Germany: 'Marie Claire' - October 1998; 'Petra' - July 2002; 'Stern Magazine' - Spring/Summer 2011 
Hong Kong: 'Elle' - August 2002 
Italy: 'Amica' - August 14 1998; 'D' - March 09 1999; 'Elle' - August 2001; 'Marie Claire' - December 2001; 'D' - October 2002; 'Glamour' - March 2003; 'D' - 22 March 2003 
Mexico: 'Elle' - September 2001; 'Vogue' - December 2004; 'Vanidades' - August 8 2005 
Portugal: '20 Anos' - September 1998; 'Cosmopolitan' - July 1999; 'Elle' - November 2001; 'Elle' - April 2002; 'GQ' - August 2003 
Russia: 'Harper's Bazaar' - March 2005 
South Africa: 'Marie Claire' - September 2000 
Spain: 'Vogue' - April & September 1999; 'Vogue' - February & March 2003; 'Elle' - March 2006; 'Woman' - April 2007 
UK: 'Elle' - May 1999; 'Marie Claire' - July 2000; 'Harper's & Queen' - August 2001; 'Glamour' - October 2001; 'Cosmopolitan' - December 2005 
US: 'Marie Claire' - September 1998; 'Cosmopolitan' - May 1999; 'Elle' - June 2001","Running, Swimming, Jazz, Cycling, Movies, Concerts, Bowling","Fernanda's modelling career started after she entered the Elite Look of the Year contest in Brazil. - Fernanda appeared in the 2003 & 2007 Sports Illustrated Swimsuit","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Fernanda_Tavares","http://www.fashionmodeldirectory.com/models/Fernanda_Tavares"
"312","Louise Vyent",5.291266,52.132633,"Netherlands","http://live.dbpedia.org/resource/Louise_Vyent","http://live.dbpedia.org/data/Louise_Vyent.json",1990,NA,NA,"Dutch","","Brown","Dark","Brown","",1965,"Netherlands","http://live.dbpedia.org/resource/Netherlands","http://live.dbpedia.org/data/Netherlands.json","","","Netherlands","Surinese, Dutch","5'9""",69,5.75,5.9,175,"35-24.5-35.5",35,24.5,35.5,"",NA,NA,NA,8,38,NA,NA,NA,"Pauline's Models","","",NA,"Revlon","USA: Glamour - August 1986; Vogue - February 1987; Glamour - July 1987, November 1987, March 1988; Harper's Bazaar - June 1988; Glamour - July 1988, May 1989, September 1989, May 1992, June 1994","","","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Louise_Vyent",""
"313","Tamara Spoelder",5.291266,52.132633,"Netherlands","","",1999,NA,NA,"Dutch","","Brown","","Brown","",NA,"Netherlands","http://live.dbpedia.org/resource/Netherlands","http://live.dbpedia.org/data/Netherlands.json","","","Netherlands","African","5'9.5""",69.5,5.79,5.95,177,"33-23-34 ",33,23,34,"84-58.5-86.5",84,58.5,86.5,6,36,9,40,6.5,"Heffner Management","","",NA,"Pepe Jeans , Tanner Krolle","The Netherlands: 'Marie Claire' - 2004","","Tamara appeared in the 1999 Sports Illustrated Swimsuit. - She appeared in 'Something's Gotta Give'.","A",FALSE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Tamara_Spoelder&action=edit&redlink=1","http://www.fashionmodeldirectory.com/models/Tamara_Spoelder"
"314","Karen Alexander (fashion model)",-74.4056612,40.0583238,"New Jersey, United States of America","http://live.dbpedia.org/resource/Karen_Alexander_(fashion_model)","http://live.dbpedia.org/data/Karen_Alexander_(fashion_model).json",1988,NA,NA,"American","Dark","Brown","Dark","Brown","",1966,"New Jersey, New Jersey","http://live.dbpedia.org/resource/New_Jersey,_New_Jersey","http://live.dbpedia.org/data/New_Jersey,_New_Jersey.json","","New Jersey","United States of America","African-American","5'10""",70,5.83,5.1,178,"34-24-34 ",34,24,34,"86-61-86",86,61,86,6,36,10,42,7.5,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","Caress , Chanel 'Allure' fragrance , Covergirl , De Beers , Gottex , Ralph Lauren , Tiffany & Co. , Tommy Hilfiger , Victoria's Secret","US: 'Essence' - September 1985; 'Glamour' - May 1986; 'Elle' - December 1986; 'Elle' - September 1987; 'Vogue' - January 1989; 'Elle' - May 1989; 'Mademoiselle' - September 1989; 'Harper's Bazaar' - February 1990","","She has two daughters: Ella and Zora - She appeared in the 1994 Pirelli Calendar.
","C",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Karen_Alexander_(fashion_model)","http://www.fashionmodeldirectory.com/models/Karen_Alexander"
"315","Karen Alexander (fashion model)",-74.4056612,40.0583238,"New Jersey, United States of America","http://live.dbpedia.org/resource/Karen_Alexander_(fashion_model)","http://live.dbpedia.org/data/Karen_Alexander_(fashion_model).json",1987,NA,NA,"American","Dark","Brown","Dark","Brown","",1966,"New Jersey, New Jersey","http://live.dbpedia.org/resource/New_Jersey,_New_Jersey","http://live.dbpedia.org/data/New_Jersey,_New_Jersey.json","","New Jersey","United States of America","African-American","5'10""",70,5.83,5.1,178,"34-24-34 ",34,24,34,"86-61-86",86,61,86,6,36,10,42,7.5,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","Caress , Chanel 'Allure' fragrance , Covergirl , De Beers , Gottex , Ralph Lauren , Tiffany & Co. , Tommy Hilfiger , Victoria's Secret","US: 'Essence' - September 1985; 'Glamour' - May 1986; 'Elle' - December 1986; 'Elle' - September 1987; 'Vogue' - January 1989; 'Elle' - May 1989; 'Mademoiselle' - September 1989; 'Harper's Bazaar' - February 1990","","She has two daughters: Ella and Zora - She appeared in the 1994 Pirelli Calendar.
","C",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Karen_Alexander_(fashion_model)","http://www.fashionmodeldirectory.com/models/Karen_Alexander"
"316","Emily DiDonato",-74.0059731,40.7143528,"New York City, New York, United States of America","http://live.dbpedia.org/resource/Emily_DiDonato","http://live.dbpedia.org/data/Emily_DiDonato.json",2013,NA,NA,"American","","Brown","","Blue","2/24/91",1991,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","Italian, Irish","5'10""",70,5.83,5.1,178,"34-25-35 ",34,25,35,"86-62-89",86,62,89,4,34,10,42,7.5,"IMG Models","http://live.dbpedia.org/resource/IMG_Models","http://live.dbpedia.org/data/IMG_Models.json","New York","Calvin Klein Jeans , Elie Tahari , Eres , Gap , Giorgio Armani 'Acqua di Gioia' fragrance , Giorgio Armani 'Acqua di Gioia Essenza' fragrance , Guessby Marciano , Kensie , La Senza , Longchamp , Maybelline , Missoni Lindex , Nicole Farhi , Pronovias , Ralph Lauren Polo Jeans Co. , Ralph Lauren rugby , Replay , True Religion , Trussardi Jeans , Victoria's Secret","Belgium: 'Madame Figaro' - September 10 2011 
Canada: 'The Block' - Autumn 2009 
France: 'French Revue de Modes' - Spring/Summer 2010; 'Num_ro' - August 2010 
Germany: 'Elle' - November 2012 
Italy: 'Grey' - Spring/Summer 2013 
Lebanon: 'Elle' - June 2010 
Mexico: 'Vogue Belleza' - Autumn/Winter 2012 
New Zealand: 'Black Magazine' - #17 2012 
Spain: 'Marie Claire' - October 2010; 'Telva' - February 2012","","","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Emily_DiDonato","http://www.fashionmodeldirectory.com/models/Emily_DiDonato"
"317","Maria von Hartz",-74.0059731,40.7143528,"New York City, New York, United States of America","","",1993,NA,NA,"American","","Red","","Blue","",NA,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","American","",0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","Missoni","Harpar's Bazar; France: Elle","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Maria_von_Hartz&action=edit&redlink=1",""
"318","Maria von Hartz",-74.0059731,40.7143528,"New York City, New York, United States of America","","",1989,NA,NA,"American","","Red","","Blue","",NA,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","American","",0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","Missoni","Harpar's Bazar; France: Elle","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Maria_von_Hartz&action=edit&redlink=1",""
"319","Brandi Quinones",-74.0059731,40.7143528,"New York City, New York, United States of America","","",1997,NA,NA,"American","Dark","Brown","","Green","1/25/77",1977,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","Puerto Rican, Sicilian","5'9.5""",69.5,5.79,5.95,177,"34-23-35 ",34,23,35,"86.5-58-88",86.5,58,88,4,34,8.5,39,6,"Place Model Management","","",NA,"Anna Molinari_,_Chanel_,_GB. Pedrini_,_Katharine Hamnett_,_Kenzo_,_Paco Rabanne_,_Tommy Hilfiger_,_Versace Atelier","France: 'Elle' - January 1 1993; 'Photo'; 'Madame Figaro' 
Italy: 'Marie Claire' - April 1995 
Singapore: 'Vogue' 
Spain: 'Elle' - August 1994; 'Elle' - January 1995; 'Elle' - September 1995; 'Elle' - March 1997 
US: 'Elle' - September 1993; 'Vogue' - April 1994; 'Mademoiselle' - June 1995; 'Seventeen' - April 1995","","Brandi was discovered by a scout from the Karin model agency when she was 15 years old. - She featured in the 1997 Pirelli Calendar and also in the Sports Illustrated Swimsuit Edition of the same year.","B",FALSE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Brandi_Qui%C3%B1ones&action=edit&redlink=1","http://www.fashionmodeldirectory.com/models/Brandi_Quinones"
"320","Jane Gill",-74.0059731,40.7143528,"New York City, New York, United States of America","","",1973,NA,NA,"American","","Blonde","","Blue","",1954,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","American","",0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","","","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Jane_Gill&action=edit&redlink=1",""
"321","Maria von Hartz",-74.0059731,40.7143528,"New York City, New York, United States of America","","",1990,NA,NA,"American","","Red","","Blue","",NA,"New York City, New York","http://live.dbpedia.org/resource/New_York_City,_New_York","http://live.dbpedia.org/data/New_York_City,_New_York.json","New York City","New York","United States of America","American","",0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","Missoni","Harpar's Bazar; France: Elle","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Maria_von_Hartz&action=edit&redlink=1",""
"322","Quiana Grant",-76.4730122,37.0870821,"Newport News, Virginia, United States of America","http://live.dbpedia.org/resource/Quiana_Grant","http://live.dbpedia.org/data/Quiana_Grant.json",2008,TRUE,NA,"American","","Black","","Black","6/15/82",1982,"Newport News, Virginia","http://live.dbpedia.org/resource/Newport_News%2C_Virginia","http://live.dbpedia.org/data/Newport_News%2C_Virginia.json","Newport News","Virginia","United States of America","African-American","5'10.5""",70.5,5.87,5.11,179,"33-24-33 ",33,24,33,"84-61-84",84,61,84,4,34,9.5,41,7,"IMG Models","http://live.dbpedia.org/resource/IMG_Models","http://live.dbpedia.org/data/IMG_Models.json","New York","GAP , Mango , Maybelline","","","She appeared in the 2008 Sports Illustrated Swimsuit","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Quiana_Grant","http://www.fashionmodeldirectory.com/models/Quiana_Grant"
"323","Kim Lemanton",-97.3450365,38.0466779,"Newton, Kansas, United States of America","","",2001,NA,NA,"American","","Blonde","","Blue","",1977,"Newton (Kansas)","http://live.dbpedia.org/resource/Newton,_Kansas","http://live.dbpedia.org/data/Newton,_Kansas.json","Newton","Kansas","United States of America","American","5'8.5""",68.5,5.71,5.85,174,"34-24-34 ",34,24,34,"86.5-61-86.5",86.5,61,86.5,4,34,8.5,39,6,"NEXT Model Management","http://live.dbpedia.org/resource/NEXT_Model_Management","http://live.dbpedia.org/data/NEXT_Model_Management.json","Paris","Bemberg , Bisou Bisou , Brooks Brothers , Burberry , Chloe , Cividini , DKNY , Galeries Lafayette , GQ.com , Huit Lingerie , Issey Miyake , JC Penney , Linea , Mac & Jac , Mango , Marc Cain , Max Studio , Oenobiol , Palmers , Saks Fifth Avenue , Scapa , Spiegel , Stone Mountain , Tencel , Vestimenta , Vogue.com","Australia: 'Marie Claire' - February 1998 
Brazil: 'Vogue' - October 1996; 'Vogue' - April 1997 
Canada: 'Elle' (Quebec) - September 2002 
US: 'Sync' - December 2004","Tennis, Guitar, Movies, Skateboarding","Kim appeared in the 2001 Sports Illustrated Swimsuit.
","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Kim_Lemanton&action=edit&redlink=1","http://www.fashionmodeldirectory.com/models/Kim_Lemanton"
"324","Britta Dubbels",9.8450765,52.6367036,"Niedersachsen, Germany","","",1993,NA,NA,"German","","Brown","","Green","",1971,"Niedersachsen","http://live.dbpedia.org/resource/Lower_Saxony","http://live.dbpedia.org/data/Lower_Saxony.json","Niedersachsen","","Germany","German","",0,0,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ford Models","http://live.dbpedia.org/resource/Ford_Models","http://live.dbpedia.org/data/Ford_Models.json","New York","","","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Britta_Dubbels&action=edit&redlink=1",""
"325","Akure Wall",8.675277,9.081999,"Nigeria","","",1990,NA,NA,"Nigerian","","Brown","","Brown","",NA,"Nigeria","http://live.dbpedia.org/resource/Nigeria","http://live.dbpedia.org/data/Nigeria.json","","","Nigeria","Nigerian, English","5'10""",70,5.83,5.1,178,"34-24-35 ",34,24,35,"86.5-61-89",86.5,61,89,4,34,9.5,41,7,"Heffner Management","","",NA,"Coldwater Creek","UK: 'I-D' - April 1986","","","B",TRUE,FALSE,NA,"http://en.wikipedia.org/w/index.php?title=Akure_Wall&action=edit&redlink=1","http://www.fashionmodeldirectory.com/models/Akure_Wall"
"326","Raica Oliveira",-43.104335,-22.8807655,"Niterol, Rio de Janeiro, Brazil","http://live.dbpedia.org/resource/Raica_Oliveira","http://live.dbpedia.org/data/Raica_Oliveira.json",2007,NA,NA,"Brazilian","","Brown","","Brown","1/22/84",1984,"Rio de Janeiro","http://live.dbpedia.org/resource/Rio_de_Janeiro","http://live.dbpedia.org/data/Rio_de_Janeiro.json","Niterol","Rio de Janeiro","Brazil","Brazilian","5'10""",70,5.83,5.1,178,"33-23-34.5 ",33,23,34.5,"84-58.5-87.5",84,58.5,87.5,4,34,8.5,39,6,"NEXT Model Management","http://live.dbpedia.org/resource/NEXT_Model_Management","http://live.dbpedia.org/data/NEXT_Model_Management.json","New York","Ann Taylor LOFT , Avon , Banco de Areia , Bandolino , Bebe , Calzedonia , Chanel , Chloe , Christian Dior , David Morris , Dolce & Gabbana , Diane von Furstenberg , El Corte Ingles , Emanuel Ungaro , Euro RelÃŒÂ£gios , Fekkai , Forum , H&M , Hot Kiss , Iguatemi , Jantzen beachwear , JLO , John Galliano , La Perla , La Redoute , LezaLez , Littlewoods , Loewe , Maidenform , Marks & Spencer , M. Officer , Pepe Botella , Pepe Jeans , Ralph Lauren , Rosa Cha , Sergio Valente Jeans , Throttleman , TNG , Ultimo , Via Marte , Wilsons Leather , XOXO , Yves Saint Laurent","Australia: 'Vogue' (supplement) - November 2001 
Brazil: 'Nova' - January 2000; 'Elle' - March 2000; 'Marie Claire' - December 2000; 'Vogue' - January 2001; 'Elle' - February 2001; 'Vogue' - March 2001; 'Universo Masculino' - March 2010; 'Maxim' - April 2010; 'Cool' - #87 2010 
France: 'Biba' - July 2004; 'Vogue' - July 2005; 'Gala' - January 2006; 'Vogue' - June 2008 
Italy: 'Vogue' - August 2000; 'Amica' - December 12, 2001 
Mexico: 'Cosmopolitan' - March 2006 
Spain: 'Elle' - September 2000; 'Vogue' - September & November 2001; 'Ocean Drive' - 2004; 'Elle' - February 2006; 'Marie Claire' - November 2006; 'GQ' - 2007; 'Cosmopolitan' - March 2007; 'SJP' - 2008; 'Yo Donna' - May 2008; 'Ocio Magazine' - January 2011; 'Dominical' - July 17 2011; 'Elle' - July 2012 
UK: 'Nova' - December 2000; 'Elle' - May 2002; 'Vogue' - May 2004; 'GQ' - 2008 
US: 'Elle' - September 2002; 'Sports Illustrated' - 2007; 'Vanity Fair' - 2007","","Raica's career began after she won the Brazillian heat of the 1999 Elite 'Model Look' competition and came second in the world final in Nice, France. - She has two brothers: Givago (economist) and Pablo (lawyer). - In 2006 Raica was unveiled as a spokesmodel for the cosmetics company LancÃŒÃ¶me. - Raica is good friends with fellow Brazilian supermodel Adriana Lima and Brazilian top model Ana Beatriz Barros","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Raica_Oliveira","http://www.fashionmodeldirectory.com/models/Raica_Oliveira"
"327","Anne Vyalitsyna",44.0006851,56.3278517,"Nizhni Novgorod, Russia","http://live.dbpedia.org/resource/Anne_Vyalitsyna","http://live.dbpedia.org/data/Anne_Vyalitsyna.json",2012,NA,NA,"Russian","","Blonde","","Green","3/19/86",1986,"Nizhni Novgorod, Russia","http://live.dbpedia.org/resource/Nizhni_Novgorod,_Russia","http://live.dbpedia.org/data/Nizhni_Novgorod,_Russia.json","Nizhni Novgorod","","Russia","Russian","5'9.5""",69.5,5.79,5.95,176,"32-23.5-34 ",32,23.5,34,"81-60-86",81,60,86,6,36,8,38.5,5.5,"Women Management","http://live.dbpedia.org/resource/Women_Management","http://live.dbpedia.org/data/Women_Management.json","New York","Abbot + Main by Dylan George , Anna Molinari , Antidote , Avon , Belstaff , Blanco , Calvin Klein underwear , Carolina Herrera , Cesare Paciotti 4US , Chanel 'Chance' fragrance , Chloe , D&G , Desigual , Diesel , DKNY , Dylan George , Elie Tahari , Escada , Esprit , Gap , Gottex , Hugo Boss Green , Hugo Boss 'Orange' fragrance , Iceberg , I.N.C. , Lancetti , Louis Vuitton , Mango , Miss Sixty , Naf Naf by Ailanto , Nautica , Pantene Pro-V , Pepe Jeans , Ralph Lauren , Reserved , Revlon , Saks , Sonia Rykiel for H & M , Tommy Hilfiger , True Religion , United Colors of Benetton , Versus , Victoria's Secret , Wâ€°Ã£Â¢rth , Yohji Yamamoto , Zara","Brazil: 'Harper's Bazaar' - December 2012 
Croatia: 'Gloss' - March 2003; 
France: 'Elle' - 2002; 'Gloss' - Winter 2003; 'Elle' - December 15 2009; 'Elle' - May 28 2010; 'Elle' - September 30 2011; 'Num_ro' - #135 August 2012 
Germany: 'Tush' - Spring/Summer 2011; 'Zoo Magazine' - Spring/Summer 2013 
Greece: 'Vogue' - October 2002 
Italy: 'Glamour' - April 2002; 'Glamour' - November 2005; 'Glamour' - October 2008; 'Muse' - June 2011 
UK: 'H & M Magazine' - Summer 2009; 'I-D' - February 2009 
Mexico: 'Vogue' - December 2008; 'Vogue' - July 2012 
Russia: 'Vogue' - May 2003; 'Vogue' - July 2005; 'Elle' - March 2010; 'Vogue' - November 2011; 'Harper's Bazaar' - February 2013; 'Allure' - March 2013 
Spain: 'Vogue' - November 2010; 'Harper's Bazaar' - March 2011; 'Man' - November 2011; 'S Moda' - February 16 2013 
Sweden: 'Elle' - November 2010 
Turkey: 'Harper's Bazaar' - January 2013 
UK: 'Salt' - Spring/Summer 2013 
US: 'Twelv' - November 2012; 'Vs.' - Spring/Summer 2013","","She appeared in the music video \'Out is Through\' by Canadian singer Alanis Morrisette. - She appeared in the 2005, 2006, 2007, 2008, 2009, 2010, 2011 & 2012 Sports Illustrated Swimsuit.","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Anne_Vyalitsyna","http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna"
"328","Anne Vyalitsyna",44.0006851,56.3278517,"Nizhni Novgorod, Russia","http://live.dbpedia.org/resource/Anne_Vyalitsyna","http://live.dbpedia.org/data/Anne_Vyalitsyna.json",2010,NA,NA,"Russian","","Blonde","","Green","3/19/86",1986,"Nizhni Novgorod, Russia","http://live.dbpedia.org/resource/Nizhni_Novgorod,_Russia","http://live.dbpedia.org/data/Nizhni_Novgorod,_Russia.json","Nizhni Novgorod","","Russia","Russian","5'9.5""",69.5,5.79,5.95,176,"32-23.5-34 ",32,23.5,34,"81-60-86",81,60,86,6,36,8,38.5,5.5,"Women Management","http://live.dbpedia.org/resource/Women_Management","http://live.dbpedia.org/data/Women_Management.json","New York","Abbot + Main by Dylan George , Anna Molinari , Antidote , Avon , Belstaff , Blanco , Calvin Klein underwear , Carolina Herrera , Cesare Paciotti 4US , Chanel 'Chance' fragrance , Chloe , D&G , Desigual , Diesel , DKNY , Dylan George , Elie Tahari , Escada , Esprit , Gap , Gottex , Hugo Boss Green , Hugo Boss 'Orange' fragrance , Iceberg , I.N.C. , Lancetti , Louis Vuitton , Mango , Miss Sixty , Naf Naf by Ailanto , Nautica , Pantene Pro-V , Pepe Jeans , Ralph Lauren , Reserved , Revlon , Saks , Sonia Rykiel for H & M , Tommy Hilfiger , True Religion , United Colors of Benetton , Versus , Victoria's Secret , Wâ€°Ã£Â¢rth , Yohji Yamamoto , Zara","Brazil: 'Harper's Bazaar' - December 2012 
Croatia: 'Gloss' - March 2003; 
France: 'Elle' - 2002; 'Gloss' - Winter 2003; 'Elle' - December 15 2009; 'Elle' - May 28 2010; 'Elle' - September 30 2011; 'Num_ro' - #135 August 2012 
Germany: 'Tush' - Spring/Summer 2011; 'Zoo Magazine' - Spring/Summer 2013 
Greece: 'Vogue' - October 2002 
Italy: 'Glamour' - April 2002; 'Glamour' - November 2005; 'Glamour' - October 2008; 'Muse' - June 2011 
UK: 'H & M Magazine' - Summer 2009; 'I-D' - February 2009 
Mexico: 'Vogue' - December 2008; 'Vogue' - July 2012 
Russia: 'Vogue' - May 2003; 'Vogue' - July 2005; 'Elle' - March 2010; 'Vogue' - November 2011; 'Harper's Bazaar' - February 2013; 'Allure' - March 2013 
Spain: 'Vogue' - November 2010; 'Harper's Bazaar' - March 2011; 'Man' - November 2011; 'S Moda' - February 16 2013 
Sweden: 'Elle' - November 2010 
Turkey: 'Harper's Bazaar' - January 2013 
UK: 'Salt' - Spring/Summer 2013 
US: 'Twelv' - November 2012; 'Vs.' - Spring/Summer 2013","","She appeared in the music video \'Out is Through\' by Canadian singer Alanis Morrisette. - She appeared in the 2005, 2006, 2007, 2008, 2009, 2010, 2011 & 2012 Sports Illustrated Swimsuit.","B",FALSE,FALSE,NA,"http://en.wikipedia.org/wiki/Anne_Vyalitsyna","http://www.fashionmodeldirectory.com/models/Anne_Vyalitsyna"
