id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,stadium_date_built,2000,
,,,,,facility_cost,$42 Million,
,,,,,public_financing,0%,
,,,,,facility_financing,"The Stadium Was 100% Privately Financed Through Donations And Gifts By Students, Former Student Athletes, And Other Alumni.",
,,,,,team_stadium_update,"As Smu Is Set To Move To The Big East For 2013, The School Announced The Creation Of The 233-seat Hall Of Champions Club. In Addition, The School Will Add Seven New Suites. No Cost For The Project Has Been Announced.",
,,,,,naming_rights,"The Stadium Is Named After Gerald J. Ford, A Banking Billionaire, Who Provided Significant Contributions To The Stadium Project. This Gerald Ford Is Not To Be Confused With Former President Gerald R. Ford.",
,,,,,team_name,South Florida Bulls,
,,,,,school_name,University Of South Florida,
,,,,,year_team_established,1997 (fcs); 2001 (fbs),
,,,,,stadium_name,Raymond James Stadium,
,,,,,principal_owner,Tampa Bay Sports Authority,
,,,,,facility_cost,$168.5 Million,
,,,,,facility_financing,The Stadium Was Publicly Funded Through A .05% Sales-tax Increase.,
,,,,,team_stadium_update,"In February 2013, The Tampa Bay Buccaneers, The Main Tenant At Raymond James Stadium, Announced That Aramark Sports & Entertainment Will Now Handle Concessions At The Stadium. Aramark Is A Philadelphia Based Company That Handles The Concessions At Several Stadiums Throughout The Country. In Addition, Raymond James Is Expected To Be Remodeled By The Buccaneers To Include A New Team Store And Several Restaurants. Ten Fixed Retail Stores Are Also Expected To Be Added, In An Effort To Attract Patrons On Non-game Days.",
,,,,,naming_rights,Raymond James Financial Purchased The Naming Rights For $32.5 Million Over Thirteen Years. Raymond Jamesâ€™ Naming Rights Extend Through 2015.,
,,,,,team_name,Temple Owls,
,,,,,school_name,Temple University,
,,,,,year_team_established,1894,
,,,,,stadium_name,Lincoln Financial Field,
,,,,,principal_owner,City Of Philadelphia,
,,,,,facility_cost,$512 Million,
,,,,,public_financing,39%,
,,,,,facility_financing,"The Facility, Also Used By The Nflâ€™s Philadelphia Eagles, Was Financed Through The State, The City, The Nfl, And The Eagles. The Mlbâ€™s Philadelphia Phillies' And The Eagles' New Stadiums Were Funded By A Combined $304 Million From The City, $482 Million From The Two Teams, And $170 Million From The State. The Eagles Contributed $310 Million.",
,,,,,team_stadium_update,"In June 2012, The Philadelphia Eagles Announced That Lincoln Financial Field Would Be Undergoing Major Renovations. The Project Is Expected To Increase Seating And Add Additional Suites. The Preliminary Cost Projection Ranges From $60â€“$100 Million. The Project Also Includes The Installation Of New Video Boards And Upgrades To Gate Entries.",
,,,,,naming_rights,"Lincoln Financial Group Agreed To Pay $139.6 Million Over Twenty Years For The Naming Rights To The Stadium. The Agreement Expires In 2022 And Has An Average Annual Payout Of $6.7 Million. The Deal Also Includes Signs In The Stadium, Suites At Home And At Road Games, Tickets For The Pro Bowl, Commercial Time On The Eagles' Preseason Game Broadcasts And Television Shows, And Information Kiosks In The Stadium.",
,,,,,team_name,Ucf Knights,
,,,,,school_name,University Of Central Florida,
,,,,,year_team_established,1979,
,,,,,stadium_name,Bright House Networks Stadium,
,,,,,principal_owner,University Of Central Florida,
,,,,,stadium_date_built,2007,
,,,,,facility_cost,$54 Million,
,,,,,facility_financing,"100% Privately Financed. The Stadium Was Part Of A $60 Million Project That Included Financing Costs, Reserve Requirements, Infrastructure, Roads, Parking, And Practice Fields For Football, Soccer, And Baseball. The Funding Came From The Stadiumâ€™s Naming Rights, Revenues From Suites And Club Seat Leases, Ticket And Concession Sales, Donations, Corporate Sponsorships, And Advertising. No Public Money Or Tuition Was Used To Build Or Operate The Stadium.",
,,,,,team_stadium_update,"In Early 2013, Ucf Announced That They Were Undertaking An Engineering Study To See If An Open-air Tiki Bar On The East Side Of The Stadium. Early Estimates Have The Cost Of The Bar At Just Over $1 Million. The Goal Is To Have The Bar Open By The 2014 Season. Additionally, Ucf Has Proposed A $35 Million Expansion That Includes Additional Suites And Adding An Upper Deck To The Stadiumâ€™s East Side.",
,,,,,naming_rights,"On August 8, 2006, Ucf Announced A Fifteen-year, $15 Million Stadium Naming Rights Deal With Cable Company Bright House. The Deal Expires In 2021.",
,,,,,team_name,Boston College Eagles,
,,,,,school_name,Boston College,
,,,,,year_team_established,1893,
,,,,,stadium_name,Alumni Stadium,
,,,,,principal_owner,Boston College,
,,,,,stadium_date_built,1957 (renovated In 1995),
,,,,,facility_cost,"$250,000 ",
,,,,,facility_financing,"Former Boston College Athletic Director William Flynn Led A Fundraising Campaign When The Eagles Could No Longer Play Their Games At Fenway Park. He Was Able To Raise $370,000 In Donations To Finance The Costs Of Alumni Stadium.",
,,,,,team_stadium_update,"In The Summer Of 2012, The Artificial Surface Was Replace With A New Field. The Gameday Grass 3d60h Field Is Made From Horseshoe Fiber. The Mechanical Memory Of The Fiber Will Allow The Grass To Stand Upright Longer.",
,,,,,naming_rights,Boston College Owns The Naming Rights To Alumni Stadium.,
,,,,,team_name,Clemson Tigers,
,,,,,school_name,Clemson University,
,,,,,year_team_established,1889,
,,,,,stadium_name,Clemson Memorial Stadium (â€œdeath Valleyâ€ù),
,,,,,principal_owner,Clemson University,
,,,,,stadium_date_built,1942,
,,,,,facility_cost,"$125,000 ",
,,,,,team_stadium_update,"Prior To The 2012 Season, Clemson University Announced That Daktronics, Inc. Would Be Installing A New Video, Scoring, And Sound System. The Large Screen Is Twenty-five Feet Tall By Sixty-one Feet Wide. The Screen Is Divided Into Multiple Windows In Order To Show Statistics, Highlights/replays, And Various Graphics. In Addition, Daktronics Also Installed Two More Screens Measuring Nineteen Feet Tall By Thirty-one Feet Wide In Two Of The Corners.",
,,,,,naming_rights,Clemson Owns The Naming Rights To Clemson Memorial Stadium.,
,,,,,team_name,Duke Blue Devils,
,,,,,school_name,Duke University,
,,,,,year_team_established,1895,
,,,,,stadium_name,Wallace Wade Stadium,
,,,,,principal_owner,Duke University,
,,,,,stadium_date_built,1929,
,,,,,facility_cost,$4 Million,
,,,,,facility_financing,The Facility Was Paid For Through Private Donations.,
,,,,,team_stadium_update,"In October 2012, Duke University Announced A $250 Million Fundraising Campaign That Will See Upgrades To Several Athletic Faciltiies Including Wallace Wade Stadium. During The Project, The University Is Looking To Remove The Track Around The Football Field, Which Will Add Additional Seating, Press Boxes, And Suites. In Addition, A New Building Will Be Erected Between The Football And Basketball Stadiums That Will House Athletics Offices, Training And Weight Rooms, And A New Store. The Horshoe Stadium Will Also Be Enclosed To Form A Bowl.",
,,,,,naming_rights,"From 1929 To 1967 The Stadium Was Named Duke Stadium. Then, In 1967 The Board Of Trustees Unanimously Agreed To Rename The Stadium After Former Legendary Coach Wallace Wade.",
,,,,,team_name,Florida State Seminoles,
,,,,,school_name,Florida State University,
,,,,,year_team_established,1947,
,,,,,stadium_name,Bobby Bowden Field At Doak S. Campbell Stadium,
,,,,,principal_owner,Florida State University,
,,,,,stadium_date_built,1950,
,,,,,public_financing,80%,
,,,,,facility_financing,"Local Boosters Were Able To Raise $50,000 Of The Costs By Selling 1,000 Five-year Season Tickets At The Price Of $50 Per Ticket.",
,,,,,naming_rights,Florida State University Owns The Naming Rights To The Field And Stadium. It Named The Stadium After Former University President Doak Campbell And Renamed The Field After Former Head Coach Bobby Bowden In 2004.,
,,,,,team_name,Georgia Tech Yellow Jackets,
,,,,,school_name,Georgia Institute Of Technology,
,,,,,year_team_established,1892,
,,,,,stadium_name,Bobby Dodd Stadium At Historic Grant Field,
,,,,,principal_owner,Georgia Tech,
,,,,,stadium_date_built,1913; Major Renovations In 2003,
,,,,,facility_cost,"$15,000; $75 Million In Renovations",
,,,,,facility_financing,"The Facility Was Entirely Financed By Georgia Tech. The Major Donation For Construction Came From John W. Grant, Who Gave $15,000.",
,,,,,naming_rights,"Georgia Techâ€™s Football Facility Was Known As Grant Field Until April 1988, When The Georgia State Board Of Regents Voted To Add The Name Bobby Dodd To The Stadium In Honor Of The Legendary Coach. Georgia Tech Students Assisted With The Original Construction. Georgia Tech Owns The Naming Rights To The Stadium.",
,,,,,team_name,Maryland Terrapins,
,,,,,school_name,The University Of Maryland,
,,,,,stadium_name,Capital One Field At Byrd Stadium,
,,,,,principal_owner,University System Of Maryland,
,,,,,stadium_date_built,1950; Expansion In 2007,
,,,,,facility_cost,$1 Million; $50.8 Million In Expansion Costs,
,,,,,team_stadium_update,"Prior To The 2012 Season, Maryland University Announced That The Playing Surface At Capital One Field Had Been Replaced. The Field Was Replaced With A Heat-reducing Synthetic Turf.",
,,,,,naming_rights,"The Stadium Was Originally Named After Harry â€œcurleyâ€ù Byrd, A Multi-sport Athlete, Football Coach, And University President In The First Half Of The 20th Century. In 2006, Maryland Entered Into A Naming Rights Agreement With Chevy Chase Bank For $20 Million. The Stadium Name Was Changed When Capital One Acquired Chevy Chase Bank.",
,,,,,team_name,Miami Hurricanes,
,,,,,school_name,The University Of Miami,
,,,,,year_team_established,1926,
,,,,,stadium_name,Sun Life Stadium,
,,,,,principal_owner,Stephen Ross (principal) And H. Wayne Huizenga,
,,,,,stadium_date_built,1987,
,,,,,facility_cost,$115 Million; Completed $250 Million Of Capital Improvements In 2007,
,,,,,public_financing,10%,
,,,,,facility_financing,90% Privately Funded With Money Generated By Leasing Luxury Boxes And Clubhouse Seats. The Remaining 10% Came From The State Of Florida.,
,,,,,team_stadium_update,"In March 2013, The Florida State Government Approved A Bill That Will Provide A $3 Million Per Year Tax Rebate And County Wide 1-cent Tax Increase In Order To Help Fund Renovation Projects At Sun Life Stadium. The Upgrades Are Expected To Include The Addition Of A Canopy Over The Stadium, Increased Seating, And The Addition Of New Video Board Around The Stadium. In May 2013, The Expected Renovations Were Halted By The Florida State Government By Rejecting A Bill That Included A Bid For Public Financing.",
,,,,,naming_rights,"In 2010, Sun Life Financial Entered Into A Five-year Contract For Naming Rights To The Stadium. The Contract Will Pay $7.5 Million Per Year For The Naming Rights.",
,,,,,team_name,North Carolina Tar Heels,
,,,,,school_name,University Of North Carolina At Chapel Hill,
,,,,,year_team_established,1888,
,,,,,stadium_name,Kenan Memorial Stadium,
,,,,,principal_owner,University Of North Carolina At Chapel Hill,
,,,,,stadium_date_built,1927,
,,,,,facility_cost,"$303,000 ",
,,,,,facility_financing,"The University Of North Carolina Completely Financed The Stadium. In June 1926, Nearly Forty Alumni Contributed Just Under $30,000. When William Kenan Visited The Facility In November, He Decided To Fund The Rest Of The Stadium To Establish A Memorial For His Late Parents.",
,,,,,naming_rights,The University Decided To Name The Stadium After The Kenan Family For Their Generous Donations And Dedication To The University And Its Athletic Programs.,
,,,,,team_name,North Carolina State Wolfpack,
,,,,,school_name,North Carolina State University,
,,,,,stadium_name,Carter-finley Stadium,
,,,,,principal_owner,North Carolina State University,
,,,,,stadium_date_built,1966,
,,,,,facility_cost,$3.2 Million; $97 Million In Renovations,
,,,,,facility_financing,North Carolina State University Completely Financed The Stadium.,
,,,,,naming_rights,"North Carolina State University Initially Named The Stadium After Harry And Wilbert Carter, Both Graduates Of The University And Then Added The Name Of Albert E. Finley, Another Major Contributor To The University. North Carolina State Owns The Naming Rights.",
,,,,,team_name,Pittsburgh Panthers,
,,,,,school_name,University Of Pittsburgh,
,,,,,year_team_established,1890,
,,,,,stadium_name,Heinz Field,
,,,,,principal_owner,Sports & Exhibition Authority Of Pittsburgh And Allegheny County (nflâ€™s Pittsburgh Steelers),
,,,,,stadium_date_built,2001,
,,,,,facility_cost,$281 Million,
,,,,,public_financing,69%,
,,,,,facility_financing,"The Steelers Contributed $76.5 Million For The Stadium, The State Provided $75 Million, And The Remainder Came From The Allegheny Regional Asset District, Which Administered A 1% County Sales Tax.",
,,,,,team_stadium_update,"In September 2012, The Pittsburgh Steelers Announced That An Additional 3,000 Seats Would Be Added To Heinz Field.",
