id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,naming_rights,The University Of Texas At Austin Owns The Naming Rights.,
,,,,,team_name,Texas Tech Red Raiders,
,,,,,school_name,Texas Tech University,
,,,,,year_team_established,1925,
,,,,,stadium_name,Jones At&t Stadium,
,,,,,principal_owner,Texas Tech University,
,,,,,stadium_date_built,1947; Major Renovations In 2003 And 2006,
,,,,,facility_cost,"$400,000; $53.9 Million In Renovations",
,,,,,facility_financing,Completely Financed By Private Gifts. At&t Was The Main Contributor.,
,,,,,team_stadium_update,"In January 2013, Construction At Jones At&t Stadium Commenced. Texas Tech Announced A $5 Million Project That Will Add 368 Seats And An Observation Deck. In Addition, The School Announced The Addition Of Eleven Columns To The North End Of The Stadium That Will Retain Techâ€™s Spanish Renaissance Style.",
,,,,,naming_rights,The Stadium Was Officially Renamed From Jones Stadium To Jones Sbc Stadium In 2000 Following Major Corporate Gifts (in Excess Of $25 Million) From Sbc Communications (now At&t). The Stadium Was Renamed Again In 2006 To Jones At&t Stadium After Sbc Changed Its Name To At&t. The â€œjonesâ€ù In Jones Stadium Comes From Former Texas Tech President Clifford B. Jones.,
,,,,,team_name,West Virginia Mountaineers,
,,,,,school_name,West Virginia University,
,,,,,year_team_established,1891,
,,,,,stadium_name,Mountaineer Field At Milan Puskar Stadium,
,,,,,principal_owner,West Virginia University,
,,,,,facility_cost,$22 Million; $29.25 Million In Renovations,
,,,,,facility_financing,"The University Completely Funded The Stadium, While Milan Puskar Completely Funded The Renovations.",
,,,,,naming_rights,The Stadium Was Renamed â€œmilan Puskar Stadiumâ€ù In 2004 After Puskar Made A $20 Million Donation To The University.,
,,,,,cfb_conference,Big Ten Conference,
,,,,,team_name,Illinois Fighting Illini,
,,,,,school_name,University Of Illinois At Urbana-champaign,
,,,,,principal_owner,University Of Illinois At Urbana-champaign,
,,,,,stadium_date_built,1923,
,,,,,facility_cost,$1.7 Million,
,,,,,public_financing,0%,
,,,,,facility_financing,"Donations Of Approximately $1.7 Million Contributed By More Than 200,000 Students, Alumni, And Other Friends Of The University Made The Construction Possible. The Athletic Association Later Allocated $509,850 To The Project For The Construction Of The South Stands And Other Stadium Additions.",
,,,,,team_stadium_update,"At The Commencement Of The 2013 Football Season, The Fighting Illini Will Unveil A New Thirty-six Feet Tall By Ninety-six Feet Wide Hd Video Display, As Well As Two Auxillary Video Displays And Several Led Ribbon Displays Throughout The Stadium.",
,,,,,naming_rights,The Stadium Was Built And Named As A Memorial To Illinois Men And Women Who Gave Their Lives For Their Country During World War I. Their Names Appear On 200 Columns That Support The East And West Sides Of The Stadium,
,,,,,team_name,Indiana Hoosiers,
,,,,,school_name,Indiana University Bloomington,
,,,,,year_team_established,1887,
,,,,,stadium_name,Memorial Stadium (â€œthe Rockâ€ù),
,,,,,principal_owner,Indiana University,
,,,,,stadium_date_built,1960,
,,,,,facility_cost,$4.56 Million,
,,,,,naming_rights,Indiana University Owns The Naming Rights To Memorial Stadium. The Stadium Was Named To Honor Those Who Served In World War I.,
,,,,,team_name,Iowa Hawkeyes,
,,,,,school_name,The University Of Iowa,
,,,,,stadium_name,Kinnick Stadium,
,,,,,principal_owner,The University Of Iowa,
,,,,,facility_cost,"$497,151; $89 Million In Renovations Completed In 2006",
,,,,,facility_financing,100% Privately Financed Through Donations And Gifts To The University.,
,,,,,team_stadium_update,"In April 2013, Iowaâ€™s Board Of Regents Approved An $8 Million Proposal That Will Update The Kinnick Stadium Video Board And Sound Equipment. The Project Has Been Undertaken By Daktronics, Inc.",
,,,,,naming_rights,The University Of Iowa Owns The Naming Rights For The Stadium And Named It After 1939 Heisman Trophy Winner Nile Kinnick After He Died Serving His Country In World War Ii.,
,,,,,team_name,Michigan Wolverines,
,,,,,school_name,University Of Michigan,
,,,,,year_team_established,1879,
,,,,,stadium_name,Michigan Stadium (â€œthe Big Houseâ€ù),
,,,,,principal_owner,University Of Michigan,
,,,,,facility_cost,"$950,000; $226 Million In Renovations In 2010",
,,,,,public_financing,0%,
,,,,,facility_financing,"Fielding Yost, A Successful Businessman Interested In Coal, Oil, And Real Estate, Devised A Plan To Finance The Construction And Facilities Through A $1.5 Million Issue Of 3,000 Bonds At A Par Value Of $500 At 3% Interest. The Money Ended Up Being Not Only Enough For The Stadium, But Also For Other Athletic Facilities.",
,,,,,naming_rights,The University Of Michigan Owns The Naming Rights To Michigan Stadium.,
,,,,,team_name,Michigan State Spartans,
,,,,,school_name,Michigan State University,
,,,,,stadium_name,Spartan Stadium,
,,,,,principal_owner,Michigan State University,
,,,,,facility_cost,$16 Million; $64 Million Expansion Prior To 2005,
,,,,,team_stadium_update,"Final Approval For A $20 Million Renovation Project For Spartan Stadium Is Expected In June Of 2013. The Project Will Include The Addition Of A New $10 Million Scoreboard. New Locker Rooms, Concession Areas, A Media Room, And Sports Recruiting Room Are To Be Added. Funding For The Renovation Will Be Split Between Private Donations And Athletic Department Funds And Is Expected To Be Completed In The Spring Of 2014.",
,,,,,naming_rights,Michigan State University Owns The Naming Rights To The Stadium.,
,,,,,team_name,Minnesota Golden Gophers,
,,,,,school_name,"University Of Minnesota, Twin Cities",
,,,,,year_team_established,1882,
,,,,,stadium_name,Tcf Bank Stadium,
,,,,,principal_owner,"University Of Minnesota, Twin Cities",
,,,,,stadium_date_built,2009,
,,,,,facility_cost,$288.5 Million,
,,,,,public_financing,37%,
,,,,,facility_financing,"On March 24, 2005, Tcf Bank Announced That It Would Contribute $35 Million Toward The Stadium Project, Which Would Give Them Naming Rights As Well. The State Declared That It Would Contribute 48% Of The Stadium Costs While The University Would Raise The Remaining 52%. The Universityâ€™s Portion Of The Funding Came From The Tcf Donation, A $50 Per Semester Student Fee, Private Donations, And The Sale Of University Property. Many Private Corporations Financed The Stadium For Advertising Rights Within. Private Financing Totaled $111 Million.",
,,,,,team_stadium_update,"In 2013, The Minnesota Vikings And University Of Minnesota Announced An Agreement That Will Allow The Vikings To Use Tcf Bank For Two Years ($300,000 Per Game) While A New Stadium For The Vikings Is Completed In Downtown Minneapolis.",
,,,,,naming_rights,Tcf Owns The Naming Rights To The Stadium Worth $35 Million Over Twenty-five Years.,
,,,,,team_name,Nebraska Cornhuskers,
,,,,,school_name,The University Of Nebraska-lincoln,
,,,,,principal_owner,University Of Nebraska-lincoln,
,,,,,facility_cost,"$430,000 ",
,,,,,facility_financing,"In The Fall Of 1922, Faculty, Students, Alumni, And Friends Of The University Held A Fund Drive That Collected $430,000 In Construction Funds For The Stadium.",
,,,,,team_stadium_update,"Expansion Of The East Side Of Memorial Stadium Continued In 2013. Brick And Concrete Work Has Been Completed, And Seating Is Expected To Be Added Next. The Expansion Is Set To Include Thirty-eight New Suites, And 5,000 New Seats.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium. Memorial Stadium Was Named In Honor Of The Men And Women Who Fought And Served In World War I And The Spanish-american War.,
,,,,,team_name,Northwestern Wildcats,
,,,,,school_name,Northwestern University,
,,,,,stadium_name,Ryan Field,
,,,,,principal_owner,Northwestern University,
,,,,,facility_cost,$1.42 Million,
,,,,,facility_financing,The Facility Was 100% Privately Financed Through Fund Raising Drives And Private Donations.,
,,,,,team_stadium_update,"Although Renovations Were Announced In 2010, Progress Has Been Slow. As Of Early 2013, No Physical Progress Has Been Made On Renovating Ryan Field. In Response, The Board Of Trustees Released A Statement Saying That They Want To Do Things Right With The Renovation; Hence, There Has Been A Long Delay In The Renovating Process.",
,,,,,naming_rights,"Patrick Ryan, Who Was The Chairman Of The Schoolâ€™s Board Of Trustees, Paid $8 Million For The Rights In 1997.",
,,,,,team_name,Ohio State Buckeyes,
,,,,,school_name,The Ohio State University,
,,,,,stadium_name,Ohio Stadium (â€œthe Horseshoeâ€ù),
,,,,,principal_owner,The Ohio State University,
,,,,,stadium_date_built,1922,
,,,,,facility_cost,$1.3 Million; Refurbished For $194 Million In 2001,
,,,,,facility_financing,Local Businessmen Raised The $1.3 Million Through Private Donations.,
,,,,,team_stadium_update,"The 2013 Spring Football Game At Ohio Stadium Was Moved As Ohio State University Completes Renovations To The Stadium. The Most Notable Upgrade Is The Replacing Of Seating In The Stadium. In Addition, Ohio State Added A New $7 Million Scoreboard Ahead Of The 2012 Season. Furthermore, The Athletic Department Has Recently Proposed A $9 Million, 2,500-seat Expansion To Ohio Stadium, Which Would Move The Stadium To The Third Largest Stadium In The Country With Capacity Of 104,829.",
,,,,,team_name,Penn State Nittany Lions,
,,,,,school_name,Pennsylvania State University,
,,,,,stadium_name,Beaver Stadium (â€œhappy Valleyâ€ù),
,,,,,principal_owner,Pennsylvania State University,
,,,,,facility_cost,$93 Million Expansion And Renovation In 2001,
,,,,,team_stadium_update,"In 2012, Penn State Announced Plans To Renovate The Scoreboard Have Been Pushed Back Until 2014. The Plan Now Is To Finish Renovations To The Practice Football Facility Before Beginning The Replacement Of The Scoreboard At Beaver Stadium.",
,,,,,naming_rights,"Pennsylvania State University Owns The Naming Rights To The Facility And It Is Named After James A. Beaver, A Former Governor Of Pennsylvania And President Of The Universityâ€™s Board Of Trustees.",
,,,,,team_name,Purdue Boilermakers,
,,,,,school_name,Purdue University,
,,,,,stadium_name,Ross-ade Stadium,
,,,,,principal_owner,Purdue University,
,,,,,facility_cost,$70 Million In Renovations,
,,,,,team_stadium_update,"In May 2013, Purdue Athletic Director Morgan Burke Outlined Potential Plans For Ross-ade Stadium. While No Plans Have Been Approvedat This Point, Some Of The Renovations Discussed Include An Indoor Club With A Rooftop Terrace That Would Seat Approzimately 2,000 As Well As A New Larger Video Board In The South Endzone. No Timetable Or Costs Have Been Released For The Planned Renovations.",
,,,,,naming_rights,"Ross-ade Was Dedicated At The 1924 Game Against In-state Rival Indiana. The Stadium Is Named For Its Two Principal Benefactors, Alumni David E. Ross, The Late President Of The Board Of Trustees, And The Late George Ade, Playwright And Humorist. Ross Conceived The Idea For The Stadium, And Ade Purchased And Presented To The University The Sixty-five-acre Tract On Which The Stadium Is Located.",
,,,,,team_name,Wisconsin Badgers,
,,,,,school_name,University Of Wisconsin-madison,
,,,,,stadium_name,Camp Randall Stadium,
,,,,,principal_owner,University Of Wisconsin-madison,
,,,,,stadium_date_built,1917,
,,,,,facility_cost,"$15,000; $109.5 Million Renovation Concluded In 2005",
,,,,,public_financing,100% Facility Financing," The land was given to the university after the Civil War ended and the track and field teams originally used it until football moved in. The university asked the state for $40,000 and received half of its original request.  "
,,,,,facility_website,,
,,,,,team_stadium_update,"In Early 2012, The University Of Wisconsin Announced An $86 Million Renovation To Camp Randall. Most Of The Renovations Will Take Place Outside Of The Stadium. The Most Notable Project Is A Three-story Academic And Strength Center For Student-athletes. In Addition, The Team Locker Room And Training Rooms Will Be Upgraded And Remodeled. The North Endzone Will Also Be Outfitted With A New Scoreboard.",
,,,,,naming_rights,"The University Of Wisconsin Owns The Naming Rights To The Stadium. The Stadium Received Its Name Because It Lies On The Grounds Of Camp Randall, A Union Army Training Camp During The Civil War.",
,,,,,cfb_conference,Conference Usa,
,,,,,team_name,East Carolina Pirates,
,,,,,school_name,East Carolina University,
,,,,,year_team_established,1932,
,,,,,stadium_name,Dowdy-ficklen Stadium,
,,,,,principal_owner,East Carolina University,
,,,,,stadium_date_built,1963,
,,,,,facility_cost,"$300,000 ",
,,,,,facility_financing,"All Of The Funds For The Facility Were Privately Raised. The Goal Was To Raise $200,000; The Fundraiser Ultimately Collected $238,000.",
,,,,,team_stadium_update,"In The Fall Of 2012, An Ecu Student Vandalized Dowdy-fricklen Stadium. Damage Was Calculated At Nearly $35,000. The Student Vandalized Concession Areas, Then Drove A Cart Over The Field Tearing Up Grass.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. The Stadium Is Named After Ron And Mary Ellen Dowdy After They Pledged A $1 Million Gift To The Ecu Scholarship Foundation. The Stadium Is Also Named For James Skinner Ficklen, The Owner Of Greenvilleâ€™s E.B. Skinner Tobacco Company. Skinner Was A Booster Of The College And Established A Scholarship Fund In His Name.",
,,,,,team_name,Fau Owls,
,,,,,school_name,Florida Atlantic University,
,,,,,year_team_established,2001,
,,,,,stadium_name,Fau Football Stadium,
,,,,,principal_owner,Fau,
,,,,,stadium_date_built,2011,
,,,,,facility_cost,$70 Million,
,,,,,facility_financing,"To Help Fund The Stadium, Fau Secured A $12 Million Development Rights Deal With Crocker Partners, Llc. The Funding From The Deal Provides Fau With The Money It Needs To Secure A Bond For The Stadium. On July 1, 2010, Fau Trustees Voted To Approve A $44.6 Million Finance Plan From Regions Bank.",
,,,,,team_stadium_update,"Fauâ€™s New Stadium Opened In The Fall Of 2011. The $70 Million, 30,000-seat Stadium Is On The Fau Campus.",
,,,,,naming_rights,"Fau Owns The Naming Rights To The Stadium. In April 2013, Plans To Have The Stadium Named For The Geo Group Fell Through After A Public Relations Outcry. The Geo Group Is A Prison Company, And Many Felt The Name Was Inappropriate For A School Systemâ€™s Building. The Naming Deal Was Originally For $6 Million.",
,,,,,team_name,Fiu Golden Panthers,
,,,,,school_name,Florida International University,
,,,,,year_team_established,2002,
,,,,,stadium_name,Fiu Stadium (â€œthe Cageâ€ù),
,,,,,principal_owner,Florida International University,
,,,,,stadium_date_built,1995,
,,,,,facility_cost,$3 Million,
,,,,,facility_financing,The Stadium Was Originally Built As Part Of The County Parks System.,
,,,,,team_stadium_update,"Fiu Has A Four-phase Plan For Renovation. Phases One Through Three Are Complete And Phase Four Is Planned For 2013. Phase Four, Set To Begin In 2013, Will Include Increasing The Seating Capacity To 45,000; Expanding The Upper Concourse, And Constructing Additional Luxury Suites And Club Suites, The Fiu Alumni Center, A Restaurant Overlooking The Field, Main Street Fiu, And A Two-story Expansion Of The Fieldhouse.",
,,,,,naming_rights,Fiu Owns The Naming Rights To The Stadium.,
,,,,,team_name,Louisiana Tech Bulldogs,
,,,,,school_name,Louisiana Tech University,
,,,,,year_team_established,1901,
,,,,,stadium_name,Joe Aillet Stadium,
,,,,,principal_owner,Louisiana Tech University,
,,,,,facility_cost,N/a,
,,,,,facility_financing,100% Privately Financed.,
,,,,,naming_rights,"The Stadium Is Named After Joe Aillet, A Member Of The Louisiana Tech Athletics Hall Of Fame And The National Football Foundation College Football Hall Of Fame. He Guided His Teams To A 151-86-9 Record And Nine Conference Championships During His Coaching Tenure.",
,,,,,team_name,Marshall Thundering Herd,
,,,,,school_name,Marshall University,
,,,,,stadium_name,Joan C. Edwards Stadium,
,,,,,stadium_nickname,â€œthe Joanâ€ù,
,,,,,principal_owner,Marshall University,
,,,,,stadium_date_built,1991,
,,,,,facility_cost,$30 Million,
,,,,,facility_financing,The Stadium Was 100% Privately Funded.,
,,,,,team_name,Middle Tennessee Blue Raiders,
,,,,,school_name,Middle Tennessee State University,
,,,,,year_team_established,1911,
,,,,,stadium_name,Johnny â€œredâ€ù Floyd Stadium,
,,,,,principal_owner,Middle Tennessee State University,
,,,,,stadium_date_built,1933,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. The Stadium Was Officially Named Johnny â€œredâ€ù Floyd Stadium In 1979 To Honor Johnny â€œredâ€ù Floyd, The Schoolâ€™s Most Prominent Football Coach.",
,,,,,team_name,North Texas Mean Green,
,,,,,school_name,University Of North Texas,
,,,,,year_team_established,1913,
,,,,,stadium_name,Apogee Stadium,
,,,,,principal_owner,University Of North Texas,
,,,,,stadium_date_built,2011,
,,,,,facility_cost,Estimated $78 Million,
,,,,,facility_financing,"The Facility Will Be Financed Through The Sale Of Suites, Club, And Luxury Boxes, As Well As Through Gifts And Donations To The University. In May 2009, Governor Rick Perry Signed Into Law A Bill Requiring Unt Students To Pay A $10 Student Athletic Fee To Help Fund The Construction Project.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium And Came To A Twenty-year Deal With Apogee In 2011.,
,,,,,team_name,Rice Owls,
,,,,,school_name,Rice University,
,,,,,stadium_name,Rice Stadium,
,,,,,principal_owner,Rice University,
,,,,,facility_financing,The Stadium Was 100% Privately Financed.,
,,,,,team_stadium_update,"Rice Stadium Is Set To Receive Major Upgrades In A $44.5 Million Project. The Major Changes Will Take Place In The South End Zone. An 80,000-square Foot Complex Will Be Built On The South Side Of The Stadium That Includes Training And Locker Rooms, A Sports Medicine Center, Offices For Coaching Staff And Support Personnel, And A Hall Of Fame.",
,,,,,naming_rights,Rice University Owns The Naming Rights To The Stadium And Chose To Name The Stadium After The University.,
,,,,,team_name,Southern Miss Golden Eagles,
,,,,,school_name,University Of Southern Mississippi,
,,,,,stadium_name,M.M. Roberts Stadium (carlisle-faulkner Field),
,,,,,principal_owner,University Of Southern Mississippi,
,,,,,stadium_date_built,Originally Built In 1932; Demolished And Rebuilt In 1976.,
,,,,,facility_cost,$6.3 Million When It Was Rebuilt In 1976; $32.5 Million Expansion In 2008,
,,,,,facility_financing,"100% Privately Financed. All Funds Were Raised Through A Capital Finance Campaign. The Stadium Paid For Its Reconstruction In 1976 Through A Renovation Capital Campaign Called â€œbuilding Dominance,â€ù Which Financed Several Other Projects On The Campus.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium And Named The Stadium After M.M. Roberts, Who Provided Significant Contributions To The Stadium Refinancing.",
,,,,,team_name,Tulane Green Wave,
,,,,,school_name,Tulane University,
,,,,,stadium_name,Mercedes-benz Superdome,
,,,,,principal_owner,Louisiana Stadium/expo District,
,,,,,facility_cost,$134 Million; $85 Million Renovation In 2011,
,,,,,facility_financing,The Stadium Was Financed Through A Bond Issued Backed By A Hotel Tax.,
,,,,,naming_rights,Mercedes-benz Obtained The Naming Rights For The Superdome In A Ten Year Deal That Is Expected To Expire In 2020. Terms Of The Deal Have Not Been Released.,
,,,,,team_name,Tulsa Golden Hurricane,
,,,,,school_name,The University Of Tulsa,
,,,,,stadium_name,Skelly Field At H.A. Chapman Stadium,
,,,,,principal_owner,University Of Tulsa,
,,,,,facility_cost,"$275,000; Estimated $18 Million In Renovations In 2008",
,,,,,facility_financing,All Financing For The Stadium Was Collected Through Private Gifts And Donations.,
,,,,,naming_rights,"The Chapman Family Trust Provided Major Monetary Contributions For The Naming Rights To The Stadium. William Skelly Also Pledged To Donate $125,000 For The Construction If Another $175,000 Could Be Raised. The Other Money Was Raised And Skelly Donated The Money To The University.",
,,,,,team_name,Uab Blazers,
,,,,,school_name,University Of Alabama At Birmingham,
,,,,,year_team_established,1991,
,,,,,stadium_name,Legion Field,
,,,,,principal_owner,City Of Birmingham,
,,,,,stadium_date_built,1926,
,,,,,facility_cost,"$439,000 ",
,,,,,public_financing,N/a â€“ Likely Publicly Financed Because The City Of Birmingham Owns The Stadium.,
,,,,,team_stadium_update,"Although Legion Field Has Been Home To The Blazers Since Their Inaugural Season In 1991, Uab Is Looking To Add A Football Stadium On Campus. The New Master Plan Includes A Horseshoe-shaped, On-campus Football Stadium. The Proposed Cost For The Stadium Is Near $75 Million.",
,,,,,naming_rights,"Because The City Owns The Stadium, In 1927 It Was Named In Honor Of The American Legion And Stands As A Memorial To Those Who Gave Their Lives In The Service Of America.",
,,,,,team_name,Utep Minors,
,,,,,school_name,University Of Texas At El Paso,
,,,,,year_team_established,1914,
,,,,,stadium_name,Sun Bowl Stadium,
,,,,,principal_owner,Utep,
,,,,,facility_financing,Much Of The Stadium Is Financed Through The Various Sponsorships Generated By The Sun Bowl.,
,,,,,naming_rights,The Sun Bowl Association Owns The Naming Rights To The Stadium.,
,,,,,team_name,Utsa Roadrunners,
,,,,,school_name,University Of Texas At San Antonio,
,,,,,year_team_established,2011,
,,,,,stadium_name,Alamodome,
,,,,,principal_owner,"City Of San Antonio, Texas",
,,,,,stadium_date_built,1993,
,,,,,facility_cost,$186 Million,
,,,,,facility_financing,The Alamodome Was 100% Financed By The City Of San Antonio When It Was Constructed In 1993. The City Still Owns And Operates The Facility.,
,,,,,team_stadium_update,"Utsa, In 2012, Signed A Long-term Lease Deal Until 2035. The Deal Essentially Ends Years Of Talks That The School Would Build Its Own Stadium.",
,,,,,naming_rights,"The City Owns The Naming Rights To The Facility, Which Is Used For Several Different Purposes, And Its Name Comes From The Historical Nickname Given To San Antonio After The Famous â€œbattle Of The Alamo.â€ù",
,,,,,cfb_conference,Fbs Independents,
,,,,,team_name,Army Black Knights,
,,,,,school_name,United States Military Academy,
,,,,,stadium_name,Blaik Field At Michie Stadium,
,,,,,principal_owner,United States Military Academy,
,,,,,naming_rights,"The Original Stadium Was Dedicated In Honor Of Dennis Mahan Michie, Who Was Instrumental In Starting The Game Of Football At Army In 1890. He Organized, Managed, And Coached The First Team. In 1999, The Field Was Named â€œblaik Fieldâ€ù In Honor Of Earl ""red"" Blaik, The Winningest Coach In Army Annals.",
,,,,,team_name,Byu Cougars,
,,,,,school_name,Brigham Young University,
,,,,,year_team_established,1922,
,,,,,stadium_name,Lavell Edwards Stadium,
,,,,,principal_owner,Brigham Young University,
,,,,,stadium_date_built,1964,
,,,,,facility_financing,The Facility Was 100% Privately Financed Through Donations And Gifts.,
,,,,,team_stadium_update,Prior To The 2012 Season Byu Installed New Video Boards On Both Ends Of The Stadium.,
,,,,,naming_rights,"Originally Known As Cougar Stadium, The Stadium Was Renamed For Legendary Head Football Coach Lavell Edwards Upon His Retirement At The Conclusion Of The 2000 Season.",
,,,,,team_name,Idaho Vandals,
,,,,,school_name,Idaho University,
,,,,,year_team_established,N/a,
,,,,,stadium_name,William H. Kibbie-asui Activity Center (â€œkibbie Domeâ€ù),
,,,,,principal_owner,Idaho University,
,,,,,stadium_date_built,1971,
,,,,,facility_cost,$4 Million; $27 Million In Renovations In 2011.,
,,,,,facility_financing,100% Privately Financed Through University Donations And Gifts.,
,,,,,naming_rights,"The Kibbie-asui Activity Center Was Named After William H. Kibbie, A Former Student Who Donated $300,000 Toward Building Of The Facility. Kibbie Attended The University Of Idaho For A Few Weeks In 1936 Before Having To Withdraw Due To Family Hardship.",
,,,,,team_name,Navy Midshipmen,
,,,,,school_name,United States Naval Academy,
,,,,,stadium_name,Navy-marine Corps Memorial Stadium,
,,,,,principal_owner,U.S. Naval Academy,
,,,,,stadium_date_built,1959,
,,,,,facility_financing,The Facility Was 100% Privately Financed. Most Of The Financing For Construction And Renovations Has Come Through The Naval Academy Foundation And The Naval Academy Athletic Association.,
,,,,,team_stadium_update,"In June 2012 Navy Announced Plans To Expand The Stadium By 4,000 Seats. The $16 Million Dollar Project Will Also Include New Video Boards In The End Zones And New Club Level Seating. Inside The Stadium, The Press Box And Locker Rooms Will Be Renovated.",
,,,,,naming_rights,The Facility Is Named In Memory And Honor Of Those Who Died While Serving United States.,
,,,,,team_name,New Mexico State Aggies,
,,,,,school_name,New Mexico State University,
,,,,,stadium_name,Aggie Memorial Stadium,
,,,,,principal_owner,New Mexico State University,
,,,,,stadium_date_built,1978,
,,,,,facility_financing,Funded By The New Mexico Legislature As Part Of A Capital Outlay Project.,
,,,,,team_stadium_update,"In 2012, A Request For $6 Million For Improvements To Aggie Memorial Stadium Was Approved. $2.5 Million Will Go Towards Press Box Upgrades, While The Remaining $3.5 Million Will Go Towards Concession And Restroom Improvements.",
,,,,,team_name,Notre Dame Fighting Irish,
,,,,,school_name,University Of Notre Dame,
,,,,,stadium_name,Notre Dame Stadium,
,,,,,principal_owner,University Of Notre Dame,
,,,,,facility_cost,"$750,000 ",
,,,,,facility_financing,"The Facility Was 100% Privately Financed Through University Donors And Alumni. The Subsequent Renovations Were Financed By $53 Million In Tax-exempt, Fixed-rate Bonds. The Bonds Were Sold In Twenty-six States.",
,,,,,team_stadium_update,"In May Of 2013, The University Released A Proposed Plan To Expand Notre Dame Stadium. The Proposal Includes Building New Student Assembly, Visitor And Media Centers, As Well As The Addition Of 3,000 Club Seats.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium.,
,,,,,cfb_conference,Mid-american Conference,
,,,,,team_name,Akron Zips,
,,,,,school_name,The University Of Akron,
,,,,,stadium_name,Infocision Stadium,
,,,,,principal_owner,The University Of Akron,
,,,,,stadium_date_built,2009,
,,,,,facility_cost,$61.6 Million,
,,,,,facility_financing,100% School Financed.,
,,,,,naming_rights,"Infocision Paid $10 Million For Naming Rights To The Stadium, Summa Health System Paid $5 Million For The Naming Rights To The Field, Firstmerit Foundation Paid $1 Million For The Naming Rights To The Club Level, And Towpath Credit Union Paid $100,000 For The Naming Rights To The Press Box.",
,,,,,team_name,Ball State Cardinals,
,,,,,school_name,Ball State University,
,,,,,stadium_name,Scheumann Stadium,
,,,,,principal_owner,Ball State University,
,,,,,stadium_date_built,1967,
,,,,,facility_cost,$13.6 Million Renovation Completed In 2007,
,,,,,facility_financing,"The Facility And Its Renovations Were Funded By Private Donors And Gifts Provided To The University By Students, Faculty, And Alumni.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. After The 2007 Renovations, The Stadium Was Renamed For Former Athletic Standout John Scheumann And His Wife June In Recognition Of Their $4 Million Gift To The Project.",
,,,,,team_name,Bowling Green Falcons,
,,,,,school_name,Bowling Green State University,
,,,,,year_team_established,1919,
,,,,,stadium_name,Doyt L. Perry Stadium,
,,,,,principal_owner,Bowling Green State University,
,,,,,facility_financing,100% Privately Financed By The University.,
,,,,,naming_rights,Bowling Green State Owns The Naming Rights To The Stadium And The Stadium Is Named After Former Coaching Great Doyt L. Perry For His Work With The Team From 1955 To 1964.,
,,,,,team_name,Buffalo Bulls,
,,,,,school_name,University At Buffalo,
,,,,,stadium_name,Ub Stadium,
,,,,,principal_owner,University At Buffalo,
,,,,,facility_cost,$23 Million,
,,,,,facility_financing,"100% School Financed. The Funding Was Provided Through The New York State Dormitory Authority, Which Provides Financing And Construction Services To Public And Private Universities, Not For Profit Healthcare Facilities And Other Institutions That Serve The Public Good.",
,,,,,team_stadium_update,"In Late 2012, The University Unveiled Plans To Expand Ub Stadium. The Plans Suggest An Addition To The Stadiums East Side And Premium Amenities, Including A Hospitality Area. The University Hopes To Complete The Project By 2015. Additionally, The University Of Buffalo Announced That The Equipment Room Would Be Named After The Ronald Balter Family.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium.,
,,,,,team_name,Central Michigan Chippewas,
,,,,,school_name,Central Michigan University,
,,,,,stadium_name,Kelly/shorts Stadium,
,,,,,principal_owner,Central Michigan University,
,,,,,stadium_date_built,1972,
,,,,,facility_cost,$2.2 Million,
,,,,,facility_financing,100% School Financed.,
,,,,,team_stadium_update,"As Of 2013, Progress Has Stalled On The Stadium Hotel Project. Once Fully Financed, The Hotel Will Be Built Near The Stadium.",
,,,,,naming_rights,"The Stadium Was Dedicated In November 1972 And Named Perry Shorts Stadium In Honor Of R. Perry Shorts, A Former Cmu Athlete. In 1983, The Cmu Board Of Trustees Voted To Rename The Facility Kelly/shorts Stadium In Honor Of Bill Kelly, Who Coached At Cmu From 1951 To 1966.",
,,,,,team_name,Eastern Michigan Eagles,
,,,,,school_name,Eastern Michigan University,
,,,,,stadium_name,Rynearson Stadium,
,,,,,principal_owner,Eastern Michigan University,
,,,,,stadium_date_built,1969,
,,,,,facility_cost,$1.4 Million; $13 Million In Renovations In 1991â€“92,
,,,,,naming_rights,"Emu Owns The Rights To The Stadium, And It Is Named For The Late Elton J. Rynearson, Sr., Who Coached Football At Emu For Twenty-six Seasons.",
,,,,,team_name,Kent State Golden Flashes,
,,,,,school_name,Kent State University,
,,,,,year_team_established,1920,
,,,,,stadium_name,Dix Stadium,
,,,,,principal_owner,Kent State,
,,,,,facility_financing,100% University Financed.,
,,,,,naming_rights,Kent State Owns The Naming Rights To The Stadium And The Stadium Is Named In Honor Of Former Kent State Board Of Trustees Member Robert Dix. The Stadium Was Originally Named Memorial Stadium.,
,,,,,team_name,Massachusetts Minutemen,
,,,,,school_name,University Of Massachusetts,
,,,,,stadium_name,Gillette Stadium,
,,,,,stadium_date_built,2002,
,,,,,facility_cost,$325 ,
