,Sport,School_ID,Year,Number,Player,Last_Name,First_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,Prior_College,URL,Height_Inches
29,FBALL,OKState,2012-2013,16,Colby Ellis,Ellis,Colby,IR,5'9'',185,SR,"Tonkawa, OK",Tonkawa,OK,Tonkawa,NEO A&M JC,http://www.okstate.com/sports/m-footbl/mtt/colby_ellis_748351.html,69
30,FBALL,OKState,2012-2013,60,Evan Epstein,Epstein,Evan,OL,6'3'',295,SR,"McKinney, TX",McKinney,TX,Bishop Lynch,,http://www.okstate.com/sports/m-footbl/mtt/evan_epstein_462742.html,75
31,FBALL,OKState,2012-2013,83,Brendan Fagan,Fagan,Brendan,WR,6'2'',187,RS FR,"Flower Mound, TX",Flower Mound,TX,Marcus,,http://www.okstate.com/sports/m-footbl/mtt/brendan_fagan_796925.html,74
32,FBALL,OKState,2012-2013,48,Tyler Fields,Fields,Tyler,LB,5'11'',221,SR,"Detroit, MI",Detroit,MI,Hugo,,http://www.okstate.com/sports/m-footbl/mtt/tyler_fields_414637.html,71
33,FBALL,OKState,2012-2013,28,DeShawn Franklin,Franklin,DeShawn,WR,5'11'',189,SO,"Gainesville, TX",Gainesville,TX,Gainesville,,http://www.okstate.com/sports/m-footbl/mtt/deshawn_franklin_748352.html,71
34,FBALL,OKState,2012-2013,32,Zach Fullingim,Fullingim,Zach,FB,6'1'',220,SO,"Tulsa, OK",Tulsa,OK,Lincoln Christian,,http://www.okstate.com/sports/m-footbl/mtt/zach_fullingim_819714.html,73
35,FBALL,OKState,2012-2013,12,Daxx Garman,Garman,Daxx,QB,6'2'',200,SO,"Southlake, TX",Southlake,TX,Carroll,Arizona,http://www.okstate.com/sports/m-footbl/mtt/daxx_garman_796926.html,74
36,FBALL,OKState,2012-2013,7,Shamiel Gary,Gary,Shamiel,S,6'1'',210,JR,"Tulsa, OK",Tulsa,OK,Washington,Wyoming,http://www.okstate.com/sports/m-footbl/mtt/shamiel_gary_748353.html,73
37,FBALL,OKState,2012-2013,22,Otis Gates,Gates,Otis,RB,5'7'',195,FR,"Newnan, GA",Newnan,GA,Newnan,,http://www.okstate.com/sports/m-footbl/mtt/otis_gates_819705.html,67
38,FBALL,OKState,2012-2013,4,Justin Gilbert,Gilbert,Justin,CB,6'1'',194,JR,"Huntsville, TX",Huntsville,TX,Huntsville,,http://www.okstate.com/sports/m-footbl/mtt/justin_gilbert_652766.html,73
