year,team,rank,value,debt_value,value_change,debt_percent,revenue,expense,operating_income,player_expense,gate_receipt,revenue_multiple,ebitda_multiple,league
2004,Calgary Flames,28,97.00,19.40,0.03,0.20,51.00,57.00,-6.00,NA,NA,1.90,0.00,NHL
2004,Buffalo Sabres,29,95.00,50.35,0.03,0.53,50.00,55.00,-5.00,NA,NA,1.90,0.00,NHL
2004,Edmonton Oilers,30,91.00,31.85,0.05,0.35,48.00,48.00,0.00,NA,NA,1.90,NA,NHL
2003,Detroit Red Wings,1,266.00,0.45,0.00,0.00,114.00,117.40,-3.40,NA,NA,2.33,0.00,NHL
2003,New York Rangers,2,263.00,249.85,-0.05,0.95,103.00,105.30,-2.30,NA,NA,2.55,0.00,NHL
2003,Philadelphia Flyers,3,262.00,65.50,0.05,0.25,97.00,92.30,4.70,NA,NA,2.70,55.74,NHL
2003,Dallas Stars,4,254.00,137.16,0.23,0.54,96.00,89.70,6.30,NA,NA,2.65,40.32,NHL
2003,Colorado Avalanche,5,250.00,57.50,0.03,0.23,93.00,87.80,5.20,NA,NA,2.69,48.08,NHL
2003,Boston Bruins,6,243.00,119.07,0.06,0.49,87.00,80.30,6.70,NA,NA,2.79,36.27,NHL
2003,Toronto Maple Leafs,7,241.00,62.66,0.12,0.26,112.00,87.80,24.20,NA,NA,2.15,9.96,NHL
2003,Chicago Blackhawks,8,218.00,0.00,0.09,0.00,78.00,71.30,6.70,NA,NA,2.79,32.54,NHL
2003,Los Angeles Kings,9,205.00,131.20,0.08,0.64,81.00,73.90,7.10,NA,NA,2.53,28.87,NHL
2003,Montreal Canadiens,10,187.00,59.84,0.03,0.32,75.00,68.60,6.40,NA,NA,2.49,29.22,NHL
2003,New Jersey Devils,11,159.00,66.78,-0.09,0.42,61.00,64.60,-3.60,NA,NA,2.61,0.00,NHL
2003,San Jose Sharks,12,158.00,45.82,0.06,0.29,71.00,71.80,-0.80,NA,NA,2.23,0.00,NHL
2003,New York Islanders,13,156.00,99.84,0.00,0.64,51.00,55.50,-4.50,NA,NA,3.06,0.00,NHL
2003,Columbus Blue Jackets,14,150.00,40.50,0.03,0.27,64.00,58.00,6.00,NA,NA,2.34,25.00,NHL
2003,St Louis Blues,15,148.00,96.20,-0.03,0.65,70.00,88.00,-18.00,NA,NA,2.11,0.00,NHL
2003,Washington Capitals,16,140.00,85.40,0.01,0.61,61.00,86.40,-25.40,NA,NA,2.30,0.00,NHL
2003,Minnesota Wild,17,139.00,157.07,0.03,1.13,61.00,48.90,12.10,NA,NA,2.28,11.49,NHL
2003,Pittsburgh Penguins,18,137.00,39.73,-0.08,0.29,59.00,56.00,3.00,NA,NA,2.32,45.67,NHL
2003,Atlanta Thrashers,19,134.00,52.26,0.00,0.39,58.00,55.10,2.90,NA,NA,2.31,46.21,NHL
2003,Nashville Predators,20,132.00,39.60,0.00,0.30,53.00,44.00,9.00,NA,NA,2.49,14.67,NHL
2003,Carolina Hurricanes,21,128.00,60.16,0.23,0.47,67.00,71.60,-4.60,NA,NA,1.91,0.00,NHL
2003,Florida Panthers,22,127.00,50.80,0.10,0.40,67.00,73.50,-6.50,NA,NA,1.90,0.00,NHL
2003,Tampa Bay Lightning,23,124.00,49.60,0.03,0.40,59.00,60.30,-1.30,NA,NA,2.10,0.00,NHL
2003,Phoenix Coyotes,24,117.00,59.67,0.48,0.51,42.00,51.60,-9.60,NA,NA,2.79,0.00,NHL
2003,Mighty Ducks of Anaheim¾,25,111.00,0.00,-0.06,0.00,48.00,61.70,-13.70,NA,NA,2.31,0.00,NHL
2003,Vancouver Canucks,26,110.00,94.60,0.04,0.86,56.00,56.80,-0.80,NA,NA,1.96,0.00,NHL
2003,Ottawa Senators,27,95.00,93.10,-0.01,0.98,57.00,55.00,2.00,NA,NA,1.67,47.50,NHL
2003,Calgary Flames,28,94.00,26.32,0.03,0.28,47.00,50.70,-3.70,NA,NA,2.00,0.00,NHL
2003,Buffalo Sabres,29,92.00,156.40,-0.21,1.70,46.00,57.50,-11.50,NA,NA,2.00,0.00,NHL
2003,Edmonton Oilers,30,86.00,31.82,0.07,0.37,43.00,43.80,-0.80,NA,NA,2.00,0.00,NHL
2002,New York Rangers,1,277.00,1.50,0.00,0.01,103.00,99.40,3.60,59.90,NA,2.69,76.94,NHL
2002,Philadelphia Flyers,2,250.00,62.50,0.04,0.25,90.00,77.40,12.60,45.10,NA,2.78,19.84,NHL
2002,Colorado Avalanche,3,243.00,68.04,0.23,0.28,93.00,87.10,5.90,53.50,NA,2.61,41.19,NHL
2002,Boston Bruins,4,230.00,119.60,0.06,0.52,80.00,69.50,10.50,33.50,NA,2.88,21.90,NHL
2002,Detroit Red Wings,5,225.00,45.00,0.03,0.20,83.00,89.40,-6.40,56.30,NA,2.71,0.00,NHL
2002,Toronto Maple Leafs,6,216.00,138.24,0.06,0.64,90.00,74.60,15.40,45.90,NA,2.40,14.03,NHL
2002,Dallas Stars,7,207.00,105.57,0.14,0.51,70.00,74.30,-4.30,52.90,NA,2.96,0.00,NHL
2002,Chicago Blackhawks,8,200.00,0.00,0.02,0.00,72.00,58.70,13.30,32.40,NA,2.78,15.04,NHL
2002,Los Angeles Kings,9,189.00,122.85,0.18,0.65,73.00,69.60,3.40,37.70,NA,2.59,55.59,NHL
2002,Montreal Canadiens,10,182.00,20.02,-0.05,0.11,70.00,57.80,12.20,32.80,NA,2.60,14.92,NHL
2002,New Jersey Devils,11,175.00,66.50,0.07,0.38,70.00,63.70,6.30,37.70,NA,2.50,27.78,NHL
2002,New York Islanders,12,156.00,99.84,0.12,0.64,44.00,42.60,1.40,26.20,NA,3.55,111.43,NHL
2002,St Louis Blues,13,153.00,96.39,0.13,0.63,64.00,73.20,-9.20,44.60,NA,2.39,0.00,NHL
2002,Pittsburgh Penguins,14,149.00,22.35,0.12,0.15,64.00,56.80,7.20,36.30,NA,2.33,20.69,NHL
2002,San Jose Sharks,15,148.00,39.96,0.05,0.27,63.00,59.00,4.00,39.10,NA,2.35,37.00,NHL
2002,Columbus Blue Jackets,16,145.00,40.60,NA,0.28,60.00,48.70,11.30,24.40,NA,2.42,12.83,NHL
2002,Washington Capitals ,17,138.00,95.22,0.03,0.69,50.00,65.50,-15.50,38.50,NA,2.76,0.00,NHL
2002,Minnesota Wild,18,135.00,75.60,NA,0.56,56.00,44.90,11.10,18.40,NA,2.41,12.16,NHL
2002,Atlanta Thrashers,19,134.00,60.30,-0.03,0.45,58.00,51.40,6.60,24.70,NA,2.31,20.30,NHL
2002,Nashville Predators,20,131.00,39.30,0.02,0.30,53.00,43.20,9.80,24.10,NA,2.47,13.37,NHL
2002,Tampa Bay Lightning,21,120.00,50.40,0.12,0.42,53.00,50.10,2.90,21.80,NA,2.26,41.38,NHL
2002,Mighty Ducks of Anaheim,22,118.00,0.00,0.02,0.00,49.00,54.50,-5.50,37.90,NA,2.41,0.00,NHL
2002,Buffalo Sabres,23,117.00,80.73,0.20,0.69,56.00,65.70,-9.70,39.80,NA,2.09,0.00,NHL
2002,Florida Panthers,24,115.00,49.45,-0.22,0.43,64.00,67.20,-3.20,38.00,NA,1.80,0.00,NHL
2002,Vancouver Canucks,25,106.00,99.64,0.06,0.94,48.00,51.00,-3.00,29.50,NA,2.21,0.00,NHL
2002,Carolina Hurricanes,26,103.00,59.74,0.30,0.58,52.00,57.40,-5.40,34.30,NA,1.98,0.00,NHL
2002,Ottawa Senators,27,96.00,90.24,0.14,0.94,50.00,54.50,-4.50,32.70,NA,1.92,0.00,NHL
2002,Calgary Flames,28,92.00,50.60,0.11,0.55,46.00,43.70,2.30,27.80,NA,2.00,40.00,NHL
2002,Edmonton Oilers,29,81.00,45.36,0.05,0.56,43.00,40.50,2.50,28.80,NA,1.88,32.40,NHL
2002,Phoenix Coyotes,30,79.00,60.04,-0.08,0.76,39.00,52.90,-13.90,38.00,NA,2.03,0.00,NHL
2001,New York Rangers,1,263.00,149.91,0.12,0.57,97.60,99.00,-1.40,62.00,22.50,2.69,0.00,NHL
2001,Philadelphia Flyers,2,240.00,69.60,0.14,0.29,88.90,85.70,3.20,49.90,43.80,2.70,75.00,NHL
2001,Detroit Red Wings,3,218.00,0.00,0.12,0.00,80.70,78.70,2.00,48.90,40.60,2.70,109.00,NHL
2001,Boston Bruins,4,217.00,130.20,0.10,0.60,77.60,61.70,15.90,25.40,21.60,2.80,13.65,NHL
2001,Toronto Maple Leafs,5,203.00,138.04,0.35,0.68,84.40,66.90,17.50,37.30,41.90,2.41,11.60,NHL
2001,Colorado Avalanche,6,198.00,67.32,0.23,0.34,82.30,78.90,3.40,49.70,43.20,2.41,58.24,NHL
2001,Chicago Blackhawks,7,197.00,0.00,0.07,0.00,70.40,58.00,12.40,32.80,17.40,2.80,15.89,NHL
2001,Montreal Canadiens,8,191.00,42.02,0.09,0.22,73.50,60.80,12.70,36.00,25.70,2.60,15.04,NHL
2001,Dallas Stars,9,182.00,107.38,0.22,0.59,72.70,70.60,2.10,46.40,48.70,2.50,86.67,NHL
2001,New Jersey Devils,10,163.00,66.83,0.21,0.41,62.50,61.60,0.90,35.70,39.30,2.61,181.11,NHL
2001,Los Angeles Kings,11,160.00,124.80,0.47,0.78,63.90,55.50,8.40,36.60,21.00,2.50,19.05,NHL
2001,Florida Panthers,12,147.00,35.28,-0.09,0.24,64.00,63.80,0.20,35.90,20.00,2.30,735.00,NHL
2001,San Jose Sharks,13,141.00,29.61,0.15,0.21,61.30,57.90,3.40,37.00,24.50,2.30,41.47,NHL
2001,New York Islanders,14,139.00,87.57,-0.02,0.63,40.70,35.30,5.40,20.40,12.20,3.42,25.74,NHL
2001,Atlanta Thrashers,15,138.00,60.72,NA,0.44,59.90,44.00,15.90,20.60,25.10,2.30,8.68,NHL
2001,St Louis Blues,16,136.00,96.56,-0.01,0.71,56.50,62.40,-5.90,34.80,28.20,2.41,0.00,NHL
2001,Washington Capitals,17,134.00,88.44,-0.07,0.66,48.80,59.30,-10.50,32.00,20.10,2.75,0.00,NHL
2001,Pittsburgh Penguins,18,132.00,22.44,0.33,0.17,57.50,54.30,3.20,35.40,21.90,2.30,41.25,NHL
2001,Nashville Predators,19,129.00,39.99,-0.01,0.31,51.60,43.00,8.60,21.20,17.60,2.50,15.00,NHL
2001,Mighty Ducks of Anaheim,20,116.00,0.00,-0.01,0.00,48.10,55.60,-7.50,38.40,20.30,2.41,0.00,NHL
2001,Tampa Bay Lightning,21,107.00,50.29,-0.05,0.47,44.60,49.70,-5.10,21.40,9.50,2.40,0.00,NHL
2001,Vancouver Canucks,22,100.00,99.00,0.05,0.99,45.50,56.80,-11.30,36.60,14.60,2.20,0.00,NHL
2001,Buffalo Sabres,23,97.00,79.54,0.07,0.82,48.60,58.70,-10.10,32.40,19.30,2.00,0.00,NHL
2001,Phoenix Coyotes,24,86.00,60.20,-0.04,0.70,41.90,48.20,-6.30,32.80,18.30,2.05,0.00,NHL
2001,Ottawa Senators,25,84.00,73.92,0.06,0.88,46.70,48.80,-2.10,25.40,16.70,1.80,0.00,NHL
2001,Calgary Flames,26,82.00,50.02,0.06,0.61,41.20,43.50,-2.30,26.50,11.20,1.99,0.00,NHL
2001,Carolina Hurricanes,27,79.00,49.77,0.14,0.63,45.40,47.80,-2.40,31.50,20.20,1.74,0.00,NHL
2001,Edmonton Oilers,28,77.00,45.43,0.06,0.59,40.40,36.80,3.60,25.20,13.20,1.91,21.39,NHL
2000,New York Rangers,1,234.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Philadelphia Flyers,2,210.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Boston Bruins,3,197.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Detroit Red Wings,4,194.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Chicago Blackhawks,5,184.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Montreal Canadiens,6,175.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Florida Panthers,7,161.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Colorado Avalanche,8,161.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Toronto Maple Leafs,9,150.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Dallas Stars,10,149.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Washington Capitals,11,144.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,New York Islanders,12,141.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,St Louis Blues,13,137.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,New Jersey Devils,14,134.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Nashville Predators,15,130.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,San Jose Sharks,16,122.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Mighty Ducks of Anaheim,17,117.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Tampa Bay Lightning,18,112.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Los Angeles Kings,19,108.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Pittsburgh Penguins,20,99.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Vancouver Canucks,21,95.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Buffalo Sabres,22,90.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Phoenix Coyotes,23,89.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Ottawa Senators,24,79.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Calgary Flames,25,77.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Edmonton Oilers,26,72.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
2000,Carolina Hurricanes,27,69.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1999,New York Rangers,1,195.00,185.25,NA,0.95,69.60,73.50,-3.90,NA,NA,2.80,0.00,NHL
1999,Philadelphia Flyers,2,187.00,69.19,NA,0.37,74.60,72.60,2.00,NA,NA,2.51,93.50,NHL
1999,Boston Bruins,3,185.00,129.50,NA,0.70,66.10,48.10,18.00,NA,NA,2.80,10.28,NHL
1999,Detroit Red Wings,4,184.00,0.00,NA,0.00,80.10,82.00,-1.90,NA,NA,2.30,0.00,NHL
1999,Washington Capitals,5,178.00,99.68,NA,0.56,74.20,60.10,14.10,NA,NA,2.40,12.62,NHL
1999,Chicago Blackhawks,6,170.00,0.00,NA,0.00,63.10,49.50,13.60,NA,NA,2.69,12.50,NHL
1999,Montreal Canadiens,7,167.00,NA,NA,NA,61.80,53.50,8.30,NA,NA,2.70,20.12,NHL
1999,St Louis Blues,8,154.00,98.56,NA,0.64,70.00,56.40,13.60,NA,NA,2.20,11.32,NHL
1999,Colorado Avalanche,9,138.00,70.38,NA,0.51,53.20,60.10,-6.90,NA,NA,2.59,0.00,NHL
1999,New Jersey Devils,10,125.00,0.00,NA,0.00,54.40,50.00,4.40,NA,NA,2.30,28.41,NHL
1999,Toronto Maple Leafs,11,119.00,70.21,NA,0.59,47.50,40.70,6.80,NA,NA,2.51,17.50,NHL
1999,Dallas Stars,12,118.00,89.68,NA,0.76,45.60,48.20,-2.60,NA,NA,2.59,0.00,NHL
1999,New York Islanders,13,111.00,39.96,NA,0.36,46.20,33.30,12.90,NA,NA,2.40,8.60,NHL
1999,Anaheim Mighty Ducks,14,109.00,0.00,NA,0.00,49.60,43.30,6.30,NA,NA,2.20,17.30,NHL
1999,San Jose Sharks,15,108.00,NA,NA,NA,49.20,51.80,-2.60,NA,NA,2.20,0.00,NHL
1999,Florida Panthers,16,105.00,34.65,NA,0.33,32.70,42.00,-9.30,NA,NA,3.21,0.00,NHL
1999,Los Angeles Kings,17,104.00,238.16,NA,2.29,38.50,39.50,-1.00,NA,NA,2.70,0.00,NHL
1999,Tampa Bay Lightning,18,101.00,0.00,NA,0.00,41.90,43.60,-1.70,NA,NA,2.41,0.00,NHL
1999,Vancouver Canucks,19,100.00,69.00,NA,0.69,41.80,52.20,-10.40,NA,NA,2.39,0.00,NHL
1999,Ottawa Senators,20,94.00,66.74,NA,0.71,42.80,41.60,1.20,NA,NA,2.20,78.33,NHL
1999,Buffalo Sabres,21,91.00,121.94,NA,1.34,41.50,42.80,-1.30,NA,NA,2.19,0.00,NHL
1999,Pittsburgh PenguinsŠ—¾ ,22,89.00,136.17,NA,1.53,52.60,43.90,8.70,NA,NA,1.69,10.23,NHL
1999,Phoenix Coyotes,23,87.00,NA,NA,NA,41.20,40.50,0.70,NA,NA,2.11,124.29,NHL
1999,Carolina Hurricanes,24,80.00,20.00,NA,0.25,25.10,38.50,-13.40,NA,NA,3.19,0.00,NHL
1999,Calgary Flames,25,78.00,22.62,NA,0.29,38.90,38.30,0.60,NA,NA,2.01,130.00,NHL
1999,Edmonton Oilers,26,67.00,44.89,NA,0.67,33.60,31.30,2.30,NA,NA,1.99,29.13,NHL
1997,Chicago Blackhawks,1,151.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,New York Rangers,2,147.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Detroit Red Wings,3,146.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Boston Bruins,4,130.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Philadelphia Flyers,5,128.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Toronto Maple Leafs,6,105.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,San Jose Sharks,8,104.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Anaheim Mighty Ducks,7,104.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Pittsburgh Penguins,9,96.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,St. Louis Blues,10,95.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Montreal Canadiens,11,95.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Vancouver Canucks,12,91.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Washington Capitals,13,85.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Los Angeles Kings,14,83.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Colorado Avalanche,15,81.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,New Jersey Devils,16,79.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,New York Islanders,17,74.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Buffalo Sabres,18,74.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Calgary Flames,19,72.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Ottawa Senators,21,67.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Florida Panthers,20,67.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Tampa Bay Lightning,22,64.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Dallas Stars,23,63.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Edmonton Oilers,24,52.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Hartford Whalers,25,48.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1997,Phoenix Coyotes,26,43.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Detroit Red Wings,1,126.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Chicago Blackhawks,2,122.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,New York Rangers,3,118.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Boston Bruins,4,111.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Philadelphia Flyers,5,102.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Anaheim Mighty Ducks,6,99.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Toronto Maple Leafs,7,96.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Vancouver Canucks,8,91.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Montreal Canadiens,9,86.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Los Angeles Kings,10,78.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,San Jose Sharks,11,77.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Pittsburgh Penguins,12,76.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,St. Louis Blues,13,74.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Washington Capitals,14,70.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Buffalo Sabres,15,65.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,New York Islanders,16,60.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,New Jersey Devils,17,58.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Ottawa Senators,18,56.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Calgary Flames,19,54.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Dallas Stars,20,53.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Tampa Bay Lightning,21,48.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Colorado Avalanche,22,47.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Florida Panthers,23,45.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Edmonton Oilers,24,42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Hartford Whalers,25,40.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1996,Phoenix Coyotes,26,34.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Detroit Red Wings,1,124.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,New York Rangers,3,108.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Anaheim Mighty Ducks,2,108.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Boston Bruins,4,106.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Chicago Black Hawks,5,102.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Toronto Maple Leafs,6,90.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Vancouver Canucks,7,87.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Montreal Canadiens,8,86.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Philadelphia Flyers,9,85.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Los Angeles Kings,10,81.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Pittsburgh Penguins,11,75.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,St. Louis Blues,12,69.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,San Jose Sharks,13,66.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Buffalo Sabres,14,60.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Washington Capitals,15,59.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Ottawa Senators,16,56.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Tampa Bay Lightning,17,55.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,New Jersey Devils,18,54.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,New York Islanders,19,53.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Dallas Stars,21,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Calgary Flames,20,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Quebec Nordiques,22,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Florida Panthers,23,47.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Hartford Whalers,24,43.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Edmonton Oilers,25,42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1995,Winnepeg Jets,26,35.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Detroit Red Wings,1,104.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Boston Bruins,2,88.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Los Angeles Kings,3,85.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Montreal Canadiens,4,82.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,New York Rangers,5,81.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Chicago Black Hawks,6,80.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Toronto Maple Leafs,7,77.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Vancouver Canucks,9,69.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Philadelphia Flyers,8,69.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Pittsburgh Penguins,10,62.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,St. Louis Blues,11,59.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Buffalo Sabres,12,55.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,New York Islanders,13,53.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,San Jose Sharks,14,52.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,New Jersey Devils,15,51.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Ottawa Senators,17,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Calgary Flames,16,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Washington Capitals,18,47.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Hartford Whalers,20,46.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Edmonton Oilers,19,46.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Dallas Stars,21,46.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
1994,Quebec Nordiques,22,43.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NHL
