id,university,season,school_year,sport,revenue_thousands,expense_thousands,profit_thousands,athletes,revenue_athlete,expense_athlete,profit_athlete
1,Abilene Christian University,2000,2000-2001,Football,1186.13,1073.72,112.41,102,11628.73,10526.67,1102.06
2,Adams State College,2000,2000-2001,Football,61.49,363.73,-302.24,96,640.52,3788.85,-3148.33
3,Adrian College,2000,2000-2001,Football,40.5,156.24,-115.74,128,316.41,1220.63,-904.22
4,Albany State University,2000,2000-2001,Football,194.84,568.77,-373.93,70,2783.43,8125.29,-5341.86
5,Albion College,2000,2000-2001,Football,271.06,269.62,1.44,108,2509.81,2496.48,13.33
6,Albright College,2000,2000-2001,Football,231.93,56.58,175.35,104,2230.1,544.04,1686.06
7,Alcorn State University,2000,2000-2001,Football,223.77,155.01,68.75,90,2486.33,1722.33,763.89
8,Alfred University,2000,2000-2001,Football,299.24,271.7,27.54,94,3183.4,2890.43,292.98
9,Allan Hancock College,2000,2000-2001,Football,14.02,46.67,-32.65,75,186.93,622.27,-435.33
10,Allegheny College,2000,2000-2001,Football,NA,43.35,NA,105,0,412.86,0
11,Alma College,2000,2000-2001,Football,72.71,188.24,-115.53,126,577.06,1493.97,-916.9
12,American River College,2000,2000-2001,Football,38.3,29.32,8.98,67,571.64,437.61,134.03
13,Amherst College,2000,2000-2001,Football,72.91,50.08,22.83,83,878.43,603.37,275.06
14,Anderson University,2000,2000-2001,Football,143.86,143.86,0,79,1821.01,1821.01,0
15,Angelo State University,2000,2000-2001,Football,51.1,525.21,-474.11,101,505.94,5200.1,-4694.16
16,Appalachian State University,2000,2000-2001,Football,680.9,1483.18,-802.28,110,6190,13483.45,-7293.45
17,Arizona State University-Main Campus,2000,2000-2001,Football,20048.11,11798.45,8249.66,107,187365.51,110265.89,77099.63
18,Arizona Western College,2000,2000-2001,Football,5.4,308,-302.6,69,78.26,4463.77,-4385.51
19,Arkansas State University-Main Campus,2000,2000-2001,Football,1364.58,2769.28,-1404.69,87,15684.83,31830.8,-16145.86
20,Arkansas Tech University,2000,2000-2001,Football,295.65,541.92,-246.26,89,3321.91,6088.99,-2766.97
21,Ashland University,2000,2000-2001,Football,8,884,-876,104,76.92,8500,-8423.08
22,Assumption College,2000,2000-2001,Football,95.91,153.87,-57.96,78,1229.62,1972.69,-743.08
23,Auburn University Main Campus,2000,2000-2001,Football,28802.49,10348.88,18453.61,102,282377.35,101459.61,180917.75
24,Augsburg College,2000,2000-2001,Football,188.58,160.44,28.15,88,2142.95,1823.18,319.89
25,Augustana College,2000,2000-2001,Football,17.67,322.25,-304.58,117,151.03,2754.27,-2603.25
26,Augustana College,2000,2000-2001,Football,292.82,893.69,-600.87,80,3660.25,11171.13,-7510.88
27,Aurora University,2000,2000-2001,Football,15.45,40.81,-25.36,99,156.06,412.22,-256.16
28,Austin College,2000,2000-2001,Football,1,64.83,-63.83,73,13.7,888.08,-874.38
29,Austin Peay State University,2000,2000-2001,Football,84.95,262.19,-177.23,97,875.77,2702.99,-1827.11
30,Averett College,2000,2000-2001,Football,183.92,241.8,-57.89,90,2043.56,2686.67,-643.22
31,Azusa Pacific University,2000,2000-2001,Football,11.37,371.9,-360.54,71,160.14,5238.03,-5078.03
32,Baker University College of Arts And Sciences,2000,2000-2001,Football,280.88,414.27,-133.39,88,3191.82,4707.61,-1515.8
33,Bakersfield College,2000,2000-2001,Football,129,50.91,78.09,87,1482.76,585.17,897.59
34,Baldwin-Wallace College,2000,2000-2001,Football,332.32,68.39,263.93,153,2172.03,446.99,1725.03
35,Ball State University,2000,2000-2001,Football,950.85,2445.41,-1494.56,107,8886.45,22854.3,-13967.85
36,Bates College,2000,2000-2001,Football,0,49.06,-49.06,61,0,804.26,-804.26
37,Baylor University,2000,2000-2001,Football,6049.56,5115.76,933.8,151,40063.31,33879.21,6184.11
38,Belhaven College,2000,2000-2001,Football,NA,421.89,NA,104,0,4056.63,0
39,Beloit College,2000,2000-2001,Football,0,26.24,-26.24,55,0,477.09,-477.09
40,Bemidji State University,2000,2000-2001,Football,305.25,305.25,0,92,3317.93,3317.93,0
41,Benedict College,2000,2000-2001,Football,55.54,507.7,-452.16,65,854.46,7810.77,-6956.31
42,Benedictine College,2000,2000-2001,Football,39.6,56.75,-17.15,138,286.96,411.23,-124.28
43,Benedictine University,2000,2000-2001,Football,142.25,172.94,-30.69,74,1922.3,2337.03,-414.73
44,Bentley College,2000,2000-2001,Football,376.94,373.03,3.91,82,4596.83,4549.15,47.68
45,Bethany College,2000,2000-2001,Football,4.09,69.25,-65.16,117,34.96,591.88,-556.92
46,Bethany College,2000,2000-2001,Football,166.04,152.94,13.1,85,1953.41,1799.29,154.12
47,Bethel College,2000,2000-2001,Football,2.63,543.24,-540.61,90,29.22,6036,-6006.78
48,Bethel College,2000,2000-2001,Football,5.66,285.08,-279.42,55,102.91,5183.27,-5080.36
49,Bethel College,2000,2000-2001,Football,274.32,274.32,0,105,2612.57,2612.57,0
50,Bethune Cookman College,2000,2000-2001,Football,1743.49,1841.12,-97.63,79,22069.49,23305.32,-1235.82
51,Blackburn College,2000,2000-2001,Football,129.07,129.07,0,56,2304.82,2304.82,0
52,Blinn College,2000,2000-2001,Football,53.88,425.01,-371.13,65,828.92,6538.62,-5709.69
53,Bloomsburg University of Pennsylvania,2000,2000-2001,Football,232.55,443.34,-210.79,88,2642.61,5037.95,-2395.34
54,Bluffton College,2000,2000-2001,Football,160.12,140.22,19.9,92,1740.43,1524.13,216.3
55,Boise State University,2000,2000-2001,Football,4061.11,2799.86,1261.25,105,38677.24,26665.33,12011.9
56,Boston College,2000,2000-2001,Football,10829.59,9332.25,1497.33,105,103138.95,88878.57,14260.29
57,Bowdoin College,2000,2000-2001,Football,274.21,274.21,0,69,3974.06,3974.06,0
58,Bowie State University,2000,2000-2001,Football,23,236,-213,48,479.17,4916.67,-4437.5
59,Bowling Green State University-Main Campus,2000,2000-2001,Football,924.87,2529.72,-1604.85,107,8643.64,23642.24,-14998.6
60,Bridgewater College,2000,2000-2001,Football,283.59,241.03,42.57,113,2509.65,2133.01,376.73
61,Bridgewater State College,2000,2000-2001,Football,6.35,32.51,-26.15,70,90.71,464.43,-373.57
62,Brigham Young University,2000,2000-2001,Football,8111,1033.76,7077.24,109,74412.84,9484.04,64928.81
63,Brown University,2000,2000-2001,Football,1487.31,1448.74,38.58,98,15176.63,14783.06,393.67
64,Bryant College,2000,2000-2001,Football,233.01,508.54,-275.53,99,2353.64,5136.77,-2783.13
