id,university,season,school_year,sport,revenue_thousands,expense_thousands,profit_thousands,athletes,revenue_athlete,expense_athlete,profit_athlete
65,Bucknell University,2000,2000-2001,Football,2716.24,2548.51,167.73,96,28294.17,26546.98,1747.19
66,Buena Vista University,2000,2000-2001,Football,211.52,230.47,-18.95,95,2226.53,2426,-199.47
67,Butler County Community College,2000,2000-2001,Football,18.08,352.77,-334.69,93,194.41,3793.23,-3598.82
68,Butler University,2000,2000-2001,Football,82.05,272.21,-190.16,92,891.85,2958.8,-2066.96
69,Butte College,2000,2000-2001,Football,9,85.67,-76.67,74,121.62,1157.7,-1036.08
70,Cabrillo College,2000,2000-2001,Football,27.23,29.32,-2.09,51,533.92,574.9,-40.98
71,California Lutheran University,2000,2000-2001,Football,239.07,238.61,0.46,65,3678,3670.92,7.08
72,California Polytechnic State Univ-San Luis Obispo,2000,2000-2001,Football,116.81,1197.58,-1080.78,81,1442.1,14784.94,-13342.96
73,California State University-Fresno,2000,2000-2001,Football,4449.75,3258.52,1191.24,99,44946.97,32914.34,12032.73
74,California State University-Northridge,2000,2000-2001,Football,185.1,1104.89,-919.79,64,2892.19,17263.91,-14371.72
75,California State University-Sacramento,2000,2000-2001,Football,470.42,296.27,174.15,90,5226.89,3291.89,1935
76,California University of Pennsylvania,2000,2000-2001,Football,505.09,674.8,-169.71,89,5675.17,7582.02,-1906.85
77,Campbellsville University,2000,2000-2001,Football,4.04,261,-256.97,112,36.07,2330.36,-2294.38
78,Canisius College,2000,2000-2001,Football,310.6,106.5,204.1,70,4437.14,1521.43,2915.71
79,Capital University,2000,2000-2001,Football,193.67,65.51,128.16,99,1956.26,661.72,1294.55
80,Carleton College,2000,2000-2001,Football,187.79,187.79,0,63,2980.79,2980.79,0
81,Carnegie Mellon University,2000,2000-2001,Football,503.62,110.04,393.59,123,4094.47,894.63,3199.92
82,Carroll College,2000,2000-2001,Football,19.63,559.58,-539.95,73,268.9,7665.48,-7396.58
83,Carroll College,2000,2000-2001,Football,150.06,151.52,-1.46,84,1786.43,1803.81,-17.38
84,Carson-Newman College,2000,2000-2001,Football,50.64,747.5,-696.85,133,380.75,5620.3,-5239.47
85,Carthage College,2000,2000-2001,Football,1.69,243.05,-241.36,148,11.42,1642.23,-1630.81
86,Case Western Reserve University,2000,2000-2001,Football,307.05,102.16,204.88,58,5293.97,1761.38,3532.41
87,Catawba College,2000,2000-2001,Football,167.45,1031.99,-864.54,128,1308.2,8062.42,-6754.22
88,Catholic University of America,2000,2000-2001,Football,69,59,10,85,811.76,694.12,117.65
89,Central College,2000,2000-2001,Football,100.43,194.82,-94.39,128,784.61,1522.03,-737.42
90,Central Connecticut State University,2000,2000-2001,Football,30.01,510.38,-480.37,72,416.81,7088.61,-6671.81
91,Central Lakes College-Brainerd,2000,2000-2001,Football,3.5,26.18,-22.68,37,94.59,707.57,-612.97
92,Central Methodist College,2000,2000-2001,Football,3.41,48.84,-45.43,89,38.31,548.76,-510.45
93,Central Michigan University,2000,2000-2001,Football,2640.06,2640.06,0,107,24673.46,24673.46,0
94,Central Missouri State University,2000,2000-2001,Football,879.17,879.17,0,93,9453.44,9453.44,0
95,Central Washington University,2000,2000-2001,Football,655.72,661.58,-5.87,92,7127.39,7191.09,-63.8
96,Centre College of Kentucky,2000,2000-2001,Football,186.88,186.88,0,74,2525.41,2525.41,0
97,Cerritos College,2000,2000-2001,Football,9.04,21.52,-12.48,110,82.18,195.64,-113.45
98,Chabot College,2000,2000-2001,Football,6.2,11.53,-5.33,73,84.93,157.95,-73.01
99,Chadron State College,2000,2000-2001,Football,485.01,530.54,-45.53,94,5159.68,5644.04,-484.36
100,Chaffey Community College,2000,2000-2001,Football,85.98,16.08,69.9,83,1035.9,193.73,842.17
101,Chapman University,2000,2000-2001,Football,203.48,177.47,26.01,76,2677.37,2335.13,342.24
102,Charleston Southern University,2000,2000-2001,Football,85.15,891.01,-805.86,87,978.74,10241.49,-9262.76
103,Cheyney University of Pennsylvania,2000,2000-2001,Football,214.13,257.21,-43.08,42,5098.33,6124.05,-1025.71
104,Chowan College,2000,2000-2001,Football,12.11,180.1,-167.99,104,116.44,1731.73,-1615.29
105,Christopher Newport University,2000,2000-2001,Football,130,255.85,-125.85,NA,#VALUE!,#VALUE!,#VALUE!
106,Cisco Junior College,2000,2000-2001,Football,5.54,93,-87.46,122,45.41,762.3,-716.89
107,Citadel Military College of South Carolina,2000,2000-2001,Football,657.77,2044.78,-1387.01,104,6324.71,19661.35,-13336.63
108,Citrus College,2000,2000-2001,Football,88,88,0,48,1833.33,1833.33,0
109,Claremont Mckenna College,2000,2000-2001,Football,220.56,220.56,0,57,3869.47,3869.47,0
110,Clarion University of Pennsylvania,2000,2000-2001,Football,389.6,570.74,-181.14,98,3975.51,5823.88,-1848.37
111,Clemson University,2000,2000-2001,Football,19770.54,9651.35,10119.19,114,173425.79,84660.96,88764.82
112,Coe College,2000,2000-2001,Football,177.23,197.68,-20.45,83,2135.3,2381.69,-246.39
113,Coffeyville Community College,2000,2000-2001,Football,40.43,373.92,-333.49,84,481.31,4451.43,-3970.12
114,Colby College,2000,2000-2001,Football,231.14,246.01,-14.87,63,3668.89,3904.92,-236.03
115,Colgate University,2000,2000-2001,Football,2884.67,173.19,2711.48,99,29138.08,1749.39,27388.69
116,College of Dupage,2000,2000-2001,Football,1.87,87.46,-85.59,74,25.27,1181.89,-1156.62
117,College of Marin,2000,2000-2001,Football,1.16,27.64,-26.47,41,28.29,674.15,-645.61
118,College of Mount Saint Joseph,2000,2000-2001,Football,185.94,186.74,-0.81,68,2734.41,2746.18,-11.91
119,College of San Mateo,2000,2000-2001,Football,3,79.78,-76.78,68,44.12,1173.24,-1129.12
120,College of The Canyons,2000,2000-2001,Football,46.24,41.33,4.91,71,651.27,582.11,69.15
121,College of The Desert,2000,2000-2001,Football,2.26,103.3,-101.04,70,32.29,1475.71,-1443.43
122,College of The Holy Cross,2000,2000-2001,Football,176.5,2334.67,-2158.17,98,1801.02,23823.16,-22022.14
123,College of The Redwoods,2000,2000-2001,Football,3.93,108.78,-104.86,81,48.52,1342.96,-1294.57
124,College of The Sequoias,2000,2000-2001,Football,6.3,21.55,-15.25,64,98.44,336.72,-238.28
125,College of The Siskiyous,2000,2000-2001,Football,0.64,145.58,-144.94,84,7.62,1733.1,-1725.48
126,College of William And Mary,2000,2000-2001,Football,1846.61,2146.55,-299.94,98,18842.96,21903.57,-3060.61
127,College of Wooster,2000,2000-2001,Football,5.59,163.81,-158.22,101,55.35,1621.88,-1566.53
128,Colorado College,2000,2000-2001,Football,216.67,233.7,-17.03,59,3672.37,3961.02,-288.64
129,Colorado School of Mines,2000,2000-2001,Football,17.95,472.19,-454.24,84,213.69,5621.31,-5407.62
130,Colorado State University,2000,2000-2001,Football,5923.36,6006.26,-82.9,123,48157.4,48831.38,-673.98
131,Columbia University In The City of New York,2000,2000-2001,Football,444.69,1119.13,-674.44,111,4006.22,10082.25,-6076.04
132,Concord College,2000,2000-2001,Football,23.09,269.86,-246.77,80,288.63,3373.25,-3084.63
133,Concordia College at Moorhead,2000,2000-2001,Football,14.02,221.73,-207.72,97,144.54,2285.88,-2141.44
134,Concordia University,2000,2000-2001,Football,5.61,150.76,-145.15,78,71.92,1932.82,-1860.9
135,Concordia University,2000,2000-2001,Football,7.57,45.59,-38.03,100,75.7,455.9,-380.3
136,Concordia University,2000,2000-2001,Football,174.44,179.13,-4.69,42,4153.33,4265,-111.67
137,Contra Costa College,2000,2000-2001,Football,12,9.5,2.5,72,166.67,131.94,34.72
138,Copiah-Lincoln Community College,2000,2000-2001,Football,12,284.56,-272.56,55,218.18,5173.82,-4955.64
139,Cornell College,2000,2000-2001,Football,95.93,90.47,5.45,59,1625.93,1533.39,92.37
140,Cornell University-Endowed Colleges,2000,2000-2001,Football,491.75,206.58,285.17,89,5525.28,2321.12,3204.16
141,Crown College,2000,2000-2001,Football,3.4,29.8,-26.4,41,82.93,726.83,-643.9
142,Culver-Stockton College,2000,2000-2001,Football,2.6,6.93,-4.33,101,25.74,68.61,-42.87
143,Cumberland College,2000,2000-2001,Football,4.7,787.22,-782.52,104,45.19,7569.42,-7524.23
144,Cumberland University,2000,2000-2001,Football,6,61.55,-55.55,78,76.92,789.1,-712.18
145,Curry College,2000,2000-2001,Football,59.78,98.8,-39.02,75,797.07,1317.33,-520.27
146,Dakota State University,2000,2000-2001,Football,15.55,6.88,8.67,86,180.81,80,100.81
147,Dakota Wesleyan University,2000,2000-2001,Football,6.55,193.14,-186.59,71,92.25,2720.28,-2628.03
148,Dana College,2000,2000-2001,Football,2.17,540.8,-538.63,85,25.53,6362.35,-6336.82
149,Dartmouth College,2000,2000-2001,Football,409.25,909.11,-499.86,97,4219.07,9372.27,-5153.2
150,Davidson College,2000,2000-2001,Football,73.11,380.4,-307.3,66,1107.73,5763.64,-4656.06
151,De Anza College,2000,2000-2001,Football,3,21.82,-18.82,60,50,363.67,-313.67
152,Dean College,2000,2000-2001,Football,30.09,261.43,-231.35,77,390.78,3395.19,-3004.55
153,Defiance College,2000,2000-2001,Football,179.51,152.93,26.58,93,1930.22,1644.41,285.81
154,Delaware State University,2000,2000-2001,Football,97.22,998.63,-901.41,65,1495.69,15363.54,-13867.85
155,Delaware Valley College,2000,2000-2001,Football,10,94.42,-84.42,117,85.47,807.01,-721.54
156,Delta State University,2000,2000-2001,Football,515.26,572.87,-57.61,87,5922.53,6584.71,-662.18
157,Denison University,2000,2000-2001,Football,131.89,131.89,0,73,1806.71,1806.71,0
158,Depauw University,2000,2000-2001,Football,338.63,340.02,-1.39,107,3164.77,3177.76,-12.99
159,Diablo Valley College,2000,2000-2001,Football,7.98,24.17,-16.19,68,117.35,355.44,-238.09
160,Dickinson College,2000,2000-2001,Football,6.23,141.72,-135.49,67,92.99,2115.22,-2022.24
161,Dickinson State University,2000,2000-2001,Football,18.82,36.29,-17.48,93,202.37,390.22,-187.96
162,Dixie State College of Utah,2000,2000-2001,Football,20.5,69.36,-48.86,75,273.33,924.8,-651.47
163,Doane College,2000,2000-2001,Football,5.75,516.12,-510.37,65,88.46,7940.31,-7851.85
164,Dodge City Community College,2000,2000-2001,Football,5.1,315.98,-310.88,70,72.86,4514,-4441.14
165,Drake University,2000,2000-2001,Football,91.61,143.15,-51.54,101,907.03,1417.33,-510.3
166,Duke University,2000,2000-2001,Football,6640.21,6101.25,538.96,93,71400.11,65604.84,5795.27
167,Duquesne University,2000,2000-2001,Football,198.18,339.74,-141.56,89,2226.74,3817.3,-1590.56
168,Earlham College,2000,2000-2001,Football,0.8,129.45,-128.65,52,15.38,2489.42,-2474.04
169,East Carolina University,2000,2000-2001,Football,5683.34,5095.35,587.99,130,43718,39195,4523
170,East Central Community College,2000,2000-2001,Football,8.6,144.03,-135.42,56,153.57,2571.96,-2418.21
171,East Central University,2000,2000-2001,Football,306.3,364.8,-58.5,114,2686.84,3200,-513.16
172,East Los Angeles College,2000,2000-2001,Football,NA,0,NA,73,0,0,0
173,East Mississippi Community College,2000,2000-2001,Football,6.11,192.2,-186.09,55,111.09,3494.55,-3383.45
174,East Stroudsburg University of Pennsylvania,2000,2000-2001,Football,379.19,380.36,-1.17,75,5055.87,5071.47,-15.6
175,East Tennessee State University,2000,2000-2001,Football,301.47,1469,-1167.53,90,3349.67,16322.22,-12972.56
176,East Texas Baptist University,2000,2000-2001,Football,29.28,343.01,-313.73,100,292.8,3430.1,-3137.3
177,Eastern Arizona College,2000,2000-2001,Football,7.46,347.22,-339.76,75,99.47,4629.6,-4530.13
178,Eastern Illinois University,2000,2000-2001,Football,910.36,1072.52,-162.16,87,10463.91,12327.82,-1863.91
179,Eastern Kentucky University,2000,2000-2001,Football,1407.78,1407.78,0,90,15642,15642,0
180,Eastern Michigan University,2000,2000-2001,Football,2753.42,2568.7,184.72,104,26475.19,24699.04,1776.15
181,Eastern New Mexico University-Main Campus,2000,2000-2001,Football,20.22,541.68,-521.46,106,190.75,5110.19,-4919.43
182,Eastern Oregon University,2000,2000-2001,Football,200.57,200.19,0.39,80,2507.13,2502.38,4.88
183,Eastern Washington University,2000,2000-2001,Football,1484.3,1368.4,115.9,59,25157.63,23193.22,1964.41
184,Edinboro University of Pennsylvania,2000,2000-2001,Football,554.29,554.29,0,78,7106.28,7106.28,0
185,El Camino College,2000,2000-2001,Football,10.54,22,-11.46,86,122.56,255.81,-133.26
186,Elizabeth City State University,2000,2000-2001,Football,240.52,412.43,-171.91,56,4295,7364.82,-3069.82
187,Elmhurst College,2000,2000-2001,Football,137.48,146.66,-9.18,71,1936.34,2065.63,-129.3
188,Elon College,2000,2000-2001,Football,102.46,1488.28,-1385.82,99,1034.95,15033.13,-13998.18
189,Emory And Henry College,2000,2000-2001,Football,221.51,189.37,32.14,121,1830.66,1565.04,265.62
190,Emporia State University,2000,2000-2001,Football,332.26,678,-345.74,102,3257.45,6647.06,-3389.61
191,Eureka College,2000,2000-2001,Football,5.04,94.83,-89.79,57,88.42,1663.68,-1575.26
192,Evangel University,2000,2000-2001,Football,8.08,623.53,-615.45,63,128.25,9897.3,-9769.05
193,Fairfield University,2000,2000-2001,Football,526.07,526.07,0,104,5058.37,5058.37,0
194,Fairleigh Dickinson University,2000,2000-2001,Football,186.91,149.16,37.76,88,2123.98,1695,429.09
195,Fairmont State College,2000,2000-2001,Football,101.09,409.39,-308.3,108,936.02,3790.65,-2854.63
196,Fayetteville State University,2000,2000-2001,Football,64.8,393.62,-328.82,69,939.13,5704.64,-4765.51
197,Fergus Falls Community College,2000,2000-2001,Football,3.65,47.08,-43.42,56,65.18,840.71,-775.36
198,Ferris State University,2000,2000-2001,Football,697.64,707.01,-9.36,120,5813.67,5891.75,-78
199,Ferrum College,2000,2000-2001,Football,296.15,238.1,58.04,108,2742.13,2204.63,537.41
200,Fitchburg State College,2000,2000-2001,Football,4.07,49.79,-45.72,44,92.5,1131.59,-1039.09
201,Florida Agricultural And Mechanical University,2000,2000-2001,Football,2908.13,1401.16,1506.97,76,38264.87,18436.32,19828.55
202,Florida Atlantic University-Boca Raton,2000,2000-2001,Football,4536.78,1141.57,3395.21,220,20621.73,5188.95,15432.77
203,Florida International University,2000,2000-2001,Football,1149.66,449.26,700.4,0,#DIV/0!,#DIV/0!,#DIV/0!
204,Florida State University,2000,2000-2001,Football,16404.4,8072.23,8332.18,118,139020.34,68408.73,70611.69
205,Foothill College,2000,2000-2001,Football,4.2,19.57,-15.37,46,91.3,425.43,-334.13
206,Fordham University,2000,2000-2001,Football,2653.58,2642.58,11,128,20731.09,20645.16,85.94
207,Fort Hays State University,2000,2000-2001,Football,236.37,469.72,-233.36,75,3151.6,6262.93,-3111.47
208,Fort Lewis College,2000,2000-2001,Football,199.36,266.12,-66.76,69,2889.28,3856.81,-967.54
209,Fort Scott Community College,2000,2000-2001,Football,4.57,185.22,-180.65,80,57.13,2315.25,-2258.13
210,Fort Valley State University,2000,2000-2001,Football,637.05,647.76,-10.7,72,8847.92,8996.67,-148.61
211,Framingham State College,2000,2000-2001,Football,3.2,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!
212,Franklin And Marshall College,2000,2000-2001,Football,206.81,206.29,0.51,75,2757.47,2750.53,6.8
213,Franklin College of Indiana,2000,2000-2001,Football,17.4,152.61,-135.21,87,200,1754.14,-1554.14
214,Fresno City College,2000,2000-2001,Football,45.22,37.92,7.3,84,538.33,451.43,86.9
215,Friends University,2000,2000-2001,Football,2.56,31.13,-28.57,59,43.39,527.63,-484.24
216,Frostburg State University,2000,2000-2001,Football,308.53,257.99,50.54,112,2754.73,2303.48,451.25
217,Fullerton College,2000,2000-2001,Football,30,28.65,1.35,82,365.85,349.39,16.46
218,Furman University,2000,2000-2001,Football,839.36,2415.21,-1575.85,96,8743.33,25158.44,-16415.1
219,Gallaudet University,2000,2000-2001,Football,6.65,10.72,-4.08,39,170.51,274.87,-104.62
220,Gannon University,2000,2000-2001,Football,12.78,556.1,-543.32,110,116.18,5055.45,-4939.27
221,Garden City Community College,2000,2000-2001,Football,31.67,149.07,-117.4,55,575.82,2710.36,-2134.55
222,Gardner-Webb University,2000,2000-2001,Football,105.12,144.36,-39.24,81,1297.78,1782.22,-484.44
223,Gavilan College,2000,2000-2001,Football,4.05,22.55,-18.5,45,90,501.11,-411.11
224,Geneva College,2000,2000-2001,Football,7.79,83.52,-75.73,82,95,1018.54,-923.54
225,Georgetown College,2000,2000-2001,Football,9.85,62.25,-52.4,112,87.95,555.8,-467.86
226,Georgetown University,2000,2000-2001,Football,211.28,720.71,-509.43,93,2271.83,7749.57,-5477.74
227,Georgia Institute of Technology-Main Campus,2000,2000-2001,Football,10998.86,5143.48,5855.37,114,96481.23,45118.25,51362.89
228,Georgia Military College-Main Campus,2000,2000-2001,Football,30.1,191.44,-161.34,77,390.91,2486.23,-2095.32
229,Georgia Southern University,2000,2000-2001,Football,1101.96,1769.47,-667.51,135,8162.67,13107.19,-4944.52
230,Gettysburg College,2000,2000-2001,Football,259.58,261.07,-1.49,86,3018.37,3035.7,-17.33
231,Glendale Community College,2000,2000-2001,Football,3.66,61.04,-57.39,74,49.46,824.86,-775.54
232,Glendale Community College,2000,2000-2001,Football,7.34,32.44,-25.1,75,97.87,432.53,-334.67
233,Glenville State College,2000,2000-2001,Football,116.2,331.49,-215.28,81,1434.57,4092.47,-2657.78
234,Golden West College,2000,2000-2001,Football,154.27,164.28,-10.01,63,2448.73,2607.62,-158.89
235,Graceland University-Lamoni,2000,2000-2001,Football,9.25,433.21,-423.97,83,111.45,5219.4,-5108.07
236,Grambling State University,2000,2000-2001,Football,2005.79,1534.53,471.26,106,18922.55,14476.7,4445.85
237,Grand Rapids Community College,2000,2000-2001,Football,0,57.54,-57.54,60,0,959,-959
238,Grand Valley State University,2000,2000-2001,Football,86.68,857.55,-770.87,110,788,7795.91,-7007.91
239,Greensboro College,2000,2000-2001,Football,138.75,139.95,-1.2,81,1712.96,1727.78,-14.81
240,Greenville College,2000,2000-2001,Football,200.97,189.64,11.34,50,4019.4,3792.8,226.8
241,Grinnell College,2000,2000-2001,Football,0,119.16,-119.16,52,0,2291.54,-2291.54
242,Grossmont College,2000,2000-2001,Football,6.44,22.23,-15.79,105,61.33,211.71,-150.38
243,Guilford College,2000,2000-2001,Football,0,62,-62,76,0,815.79,-815.79
244,Gustavus Adolphus College,2000,2000-2001,Football,241.11,248.11,-7,105,2296.29,2362.95,-66.67
245,Hamilton College,2000,2000-2001,Football,59.75,149.54,-89.79,66,905.3,2265.76,-1360.45
246,Hamline University,2000,2000-2001,Football,2.53,79.88,-77.35,65,38.92,1228.92,-1190
247,Hampton University,2000,2000-2001,Football,402,287.79,114.21,85,4729.41,3385.76,1343.65
248,Hanover College,2000,2000-2001,Football,342.91,336.25,6.66,121,2833.97,2778.93,55.04
249,Hardin-Simmons University,2000,2000-2001,Football,28.73,97.63,-68.91,160,179.56,610.19,-430.69
250,Harding University,2000,2000-2001,Football,31.75,127.04,-95.29,106,299.53,1198.49,-898.96
251,Hartnell College,2000,2000-2001,Football,20.3,23.59,-3.29,64,317.19,368.59,-51.41
252,Hartwick College,2000,2000-2001,Football,226.68,226.68,0,66,3434.55,3434.55,0
253,Harvard University,2000,2000-2001,Football,787.3,1417.35,-630.05,111,7092.79,12768.92,-5676.13
254,Haskell Indian Nations University,2000,2000-2001,Football,5,29.43,-24.43,103,48.54,285.73,-237.18
255,Hastings College,2000,2000-2001,Football,7.6,68.72,-61.12,127,59.84,541.1,-481.26
256,Heidelberg College,2000,2000-2001,Football,13.21,53.43,-40.22,126,104.84,424.05,-319.21
257,Henderson State University,2000,2000-2001,Football,52.03,44.7,7.33,88,591.25,507.95,83.3
258,Hibbing Community College-A Tech And Comm Coll,2000,2000-2001,Football,1.12,32.79,-31.67,46,24.35,712.83,-688.48
259,Highland Community College,2000,2000-2001,Football,4.25,87.25,-83,97,43.81,899.48,-855.67
260,Hiram College,2000,2000-2001,Football,6.51,60.98,-54.47,74,87.97,824.05,-736.08
261,Hobart William Smith Colleges,2000,2000-2001,Football,102.29,199.97,-97.68,77,1328.44,2597.01,-1268.57
262,Hofstra University,2000,2000-2001,Football,135.12,2630.28,-2495.16,85,1589.65,30944.47,-29354.82
263,Hope College,2000,2000-2001,Football,174.92,164.25,10.68,118,1482.37,1391.95,90.51
264,Howard Payne University,2000,2000-2001,Football,362.02,101.75,260.27,118,3067.97,862.29,2205.68
265,Howard University,2000,2000-2001,Football,1001.06,1642.33,-641.27,79,12671.65,20788.99,-8117.34
266,Hudson Valley Community College,2000,2000-2001,Football,2.56,73.53,-70.97,68,37.65,1081.32,-1043.68
267,Humboldt State University,2000,2000-2001,Football,142.44,413.69,-271.25,95,1499.37,4354.63,-2855.26
268,Huron University,2000,2000-2001,Football,4,32.82,-28.82,90,44.44,364.67,-320.22
269,Hutchinson Community College,2000,2000-2001,Football,156.85,156.85,0,81,1936.42,1936.42,0
270,Idaho State University,2000,2000-2001,Football,1118.52,1648.68,-530.15,89,12567.64,18524.49,-5956.74
271,Illinois College,2000,2000-2001,Football,0,47.31,-47.31,65,0,727.85,-727.85
272,Illinois State University,2000,2000-2001,Football,717.15,1365.55,-648.4,88,8149.43,15517.61,-7368.18
