Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
A.C. Green,Los Angeles Lakers,"$269,000.00 ",1988-1989,,,,,
A.C. Green,Los Angeles Lakers,"$269,000.00 ",1989-1990,,,,,
A.C. Green,Los Angeles Lakers,"$1,750,000.00 ",1991-1992,,,,,
A.C. Green,Los Angeles Lakers,"$1,750,000.00 ",1992-1993,,,,,
A.C. Green,Phoenix Suns,"$1,885,000.00 ",1993-1994,,,,,
A.C. Green,Phoenix Suns,"$6,472,600.00 ",1994-1995,,,,,
A.C. Green,Phoenix Suns,"$6,473,000.00 ",1995-1996,,,,,
A.C. Green,Phoenix Suns,"$4,851,000.00 ",1996-1997,,,,,
A.C. Green,Dallas Mavericks,"$5,095,088.00 ",1997-1998,,,,,
A.C. Green,Dallas Mavericks,"$3,107,000.00 ",1998-1999,,,,,
A.C. Green,Los Angeles Lakers,"$1,700,000.00 ",1999-2000,,,,,
A.C. Green,Miami Heat,"$2,250,000.00 ",2000-2001,2000-2001,,1,"$1,000,000 ",
A.J. Bramlett,Cleveland Cavaliers,"$118,974.00 ",1999-2000,,,,,
A.J. English,Washington Bullets,"$325,000.00 ",1991-1992,,,,,
A.J. English,Chicago Bulls,"$150,000.00 ",1993-1994,,,,,
A.J. English,Portland Trail Blazers,"$150,000.00 ",1993-1994,,,,,
A.J. Guyton,Chicago Bulls,"$320,000.00 ",2000-2001,2001-2002,,2,"$2,000,000 ",
A.J. Guyton,Chicago Bulls,"$465,850.00 ",2001-2002,2001-2002,,2,"$2,000,000 ",
A.J. Price,Indiana Pacers,"$457,588.00 ",2009-2010,,,,,
A.J. Price,Indiana Pacers,"$762,195.00 ",2010-2011,,,,,
A.J. Price,Indiana Pacers,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,"$854,389.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,"$1,085,120.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
Aaron Brooks,Houston Rockets,"$972,720.00 ",2007-2008,2011-2012,,5,"$6,113,436 ",
Aaron Brooks,Houston Rockets,"$1,118,520.00 ",2009-2010,,,,,
Aaron Brooks,Phoenix Suns,"$2,016,692.00 ",2010-2011,,,,,
Aaron Brooks,Houston Rockets,"$1,045,560.00 ",2008-2009,2011-2012,,5,"$6,113,436 ",
Aaron Gray,Chicago Bulls,"$427,163.00 ",2007-2008,2009-2010,,3,"$1,138,680 ",
Aaron Gray,New Orleans Hornets,"$1,000,497.00 ",2009-2010,,,,,
Aaron Gray,New Orleans Hornets,"$1,028,840.00 ",2010-2011,,,,,
Aaron Gray,Toronto Raptors,$0.00 ,2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,"$2,500,000.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Chicago Bulls,"$711,517.00 ",2008-2009,2009-2010,,3,"$1,138,680 ",
Aaron McKie,Portland Trail Blazers,"$650,000.00 ",1994-1995,,,,,
Aaron McKie,Portland Trail Blazers,"$845,000.00 ",1995-1996,,,,,
Aaron McKie,Portland Trail Blazers,"$1,040,000.00 ",1996-1997,,,,,
Aaron McKie,Philadelphia 76ers,"$1,235,000.00 ",1997-1998,,,,,
Aaron McKie,Philadelphia 76ers,"$871,951.00 ",1998-1999,,,,,
Aaron McKie,Philadelphia 76ers,"$1,624,000.00 ",1999-2000,,,,,
Aaron McKie,Philadelphia 76ers,"$1,818,000.00 ",2000-2001,2000-2001,,6,"$6,000,000 ",
Aaron McKie,Philadelphia 76ers,"$4,000,000.00 ",2001-2002,2007-2008,,7,"$7,000,000 ",
Aaron McKie,Philadelphia 76ers,"$4,500,000.00 ",2002-2003,2005-2006 ,Player,7,"$7,000,000 ",
Aaron McKie,Philadelphia 76ers,"$5,000,000.00 ",2003-2004,2005-2006 ,Player,7,"$38,500,000 ",
Aaron McKie,Philadelphia 76ers,"$5,500,000.00 ",2004-2005,2005-2006 ,Player,7,"$38,500,000 ",
Aaron McKie,Los Angeles Lakers,"$2,500,000.00 ",2005-2006,2006-2007,,2,"$5,000,000 ",
Aaron McKie,Los Angeles Lakers,"$2,500,000.00 ",2006-2007,2006-2007,,2,"$5,000,000 ",
Aaron Swinson,Phoenix Suns,"$102,424.00 ",1994-1995,,,,,
Aaron Williams,Milwaukee Bucks,"$150,000.00 ",1994-1995,,,,,
Aaron Williams,Vancouver Grizzlies,"$169,000.00 ",1996-1997,,,,,
Aaron Williams,Seattle Supersonics,"$500,000.00 ",1997-1998,,,,,
Aaron Williams,Seattle Supersonics,"$350,610.00 ",1998-1999,,,,,
Aaron Williams,Washington Bullets,"$1,100,000.00 ",1999-2000,,,,,
Aaron Williams,New Jersey Nets,"$2,250,000.00 ",2000-2001,2005-2006,,6,"$6,000,000 ",
Aaron Williams,New Jersey Nets,"$2,475,000.00 ",2001-2002,2005-2006,,6,"$6,000,000 ",
Aaron Williams,New Jersey Nets,"$2,700,000.00 ",2002-2003,2004-2005,,6,"$6,000,000 ",
Aaron Williams,New Jersey Nets,"$2,925,000.00 ",2003-2004,2004-2005,,6,"$17,000,000 ",
Aaron Williams,Toronto Raptors,"$3,790,000.00 ",2004-2005,2004-2005 ,Player,6,"$17,000,000 ",
Aaron Williams,New Orleans Hornets,"$3,375,000.00 ",2005-2006,2005-2006,,6,"$17,000,000 ",
Aaron Williams,Los Angeles Clippers,"$1,750,000.00 ",2006-2007,2007-2008,,2,"$3,540,000 ",
Aaron Williams,Los Angeles Clippers,"$1,890,000.00 ",2007-2008,2007-2008,,2,"$3,540,000 ",
Acie Earl,Boston Celtics,"$650,000.00 ",1993-1994,,,,,
Acie Earl,Boston Celtics,"$845,000.00 ",1994-1995,,,,,
Acie Earl,Toronto Raptors,"$1,040,000.00 ",1995-1996,,,,,
Acie Earl,Toronto Raptors,"$1,235,000.00 ",1996-1997,,,,,
Acie Law,Atlanta Hawks,"$1,927,080.00 ",2007-2008,2009-2010,,3,"$6,214,920 ",
Acie Law,Chicago Bulls,"$2,216,160.00 ",2009-2010,,,,,
Acie Law,Memphis Grizzlies,"$500,000.00 ",2010-2011,,,,,
Acie Law,Golden State Warriors,"$656,030.00 ",2010-2011,,,,,
Acie Law,Atlanta Hawks,"$2,071,680.00 ",2008-2009,2009-2010,,3,"$6,214,920 ",
Adam Keefe,Atlanta Hawks,"$1,000,000.00 ",1992-1993,,,,,
Adam Keefe,Atlanta Hawks,"$1,200,000.00 ",1993-1994,,,,,
Adam Keefe,Utah Jazz,"$1,500,000.00 ",1994-1995,,,,,
Adam Keefe,Utah Jazz,"$1,650,000.00 ",1995-1996,,,,,
Adam Keefe,Utah Jazz,"$1,950,000.00 ",1996-1997,,,,,
Adam Keefe,Utah Jazz,"$2,300,000.00 ",1997-1998,,,,,
Adam Keefe,Utah Jazz,"$1,616,000.00 ",1998-1999,,,,,
Adam Keefe,Utah Jazz,"$3,000,000.00 ",1999-2000,,,,,
Adam Keefe,Golden State Warriors,"$3,390,000.00 ",2000-2001,2000-2001,,3,"$3,000,000 ",
Adam Morrison,Charlotte Bobcats,"$3,616,680.00 ",2006-2007,2009-2010 ,Team,4,"$16,920,000 ",
Adam Morrison,Los Angeles Lakers,"$5,257,229.00 ",2009-2010,,,,,
Ademola Okulaja,Philadelphia 76ers,"$317,000.00 ",2000-2001,2000-2001,,1,"$1,000,000 ",
Adonal Foyle,Golden State Warriors,"$1,495,000.00 ",1997-1998,,,,,
Adonal Foyle,Golden State Warriors,"$1,037,000.00 ",1998-1999,,,,,
Adonal Foyle,Golden State Warriors,"$1,922,520.00 ",1999-2000,,,,,
Adonal Foyle,Golden State Warriors,"$3,580,000.00 ",2000-2001,2003-2004,,4,"$4,000,000 ",
Adonal Foyle,Golden State Warriors,"$4,400,000.00 ",2001-2002,2003-2004,,4,"$4,000,000 ",
Adonal Foyle,Golden State Warriors,"$4,400,000.00 ",2002-2003,2003-2004,,4,"$4,000,000 ",
Adonal Foyle,Golden State Warriors,"$4,400,000.00 ",2003-2004,2003-2004,,4,"$18,000,000 ",
Adonal Foyle,Golden State Warriors,"$6,500,000.00 ",2004-2005,2009-2010,,6,"$51,200,000 ",
Adonal Foyle,Golden State Warriors,"$7,310,000.00 ",2005-2006,2009-2010,,6,"$51,200,000 ",
Adonal Foyle,Golden State Warriors,"$8,125,000.00 ",2006-2007,2009-2010,,6,"$51,200,000 ",
Adonal Foyle,Orlando Magic,"$6,519,590.00 ",2007-2008,2009-2010,,6,"$42,000,000 ",
Adonal Foyle,Golden State Warriors,"$645,097.00 ",2009-2010,,,,,
Adonal Foyle,Orlando Magic,"$1,306,455.00 ",2009-2010,,,,,
Adonal Foyle,Orlando Magic,"$8,200,000.00 ",2008-2009,2009-2010,,2,"$7,600,000 ",
Adonis Jordan,Milwaukee Bucks,"$213,395.00 ",1998-1999,,,,,
Adrian Branch,New Jersey Nets,"$150,000.00 ",1988-1989,,,,,
Adrian Branch,Portland Trail Blazers,"$150,000.00 ",1988-1989,,,,,
Adrian Branch,New Jersey Nets,"$150,000.00 ",1989-1990,,,,,
Adrian Branch,Portland Trail Blazers,"$150,000.00 ",1989-1990,,,,,
Adrian Caldwell,Houston Rockets,"$150,000.00 ",1994-1995,,,,,
Adrian Caldwell,Indiana Pacers,"$225,000.00 ",1995-1996,,,,,
Adrian Caldwell,Dallas Mavericks,"$20,000.00 ",1997-1998,,,,,
Adrian Caldwell,Indiana Pacers,"$50,000.00 ",1999-2000,,,,,
Adrian Dantley,Detroit Pistons,"$1,250,000.00 ",1988-1989,,,,,
Adrian Dantley,Detroit Pistons,"$1,250,000.00 ",1989-1990,,,,,
Adrian Griffin,Boston Celtics,"$385,000.00 ",1999-2000,,,,,
Adrian Griffin,Boston Celtics,"$500,000.00 ",2000-2001,2000-2001,,2,"$2,000,000 ",
Adrian Griffin,Dallas Mavericks,"$550,000.00 ",2001-2002,2002-2003,,2,"$2,000,000 ",
Adrian Griffin,Dallas Mavericks,"$637,435.00 ",2002-2003,2002-2003,,1,"$1,000,000 ",
Adrian Griffin,Houston Rockets,"$688,679.00 ",2003-2004,2004-2005,,2,"$1,500,000 ",
Adrian Griffin,Chicago Bulls,"$870,046.00 ",2004-2005,2004-2005,,2,"$1,500,000 ",
Adrian Griffin,Dallas Mavericks,"$900,498.00 ",2005-2006,2005-2006,,1,"$900,498 ",
Adrian Griffin,Chicago Bulls,"$1,475,000.00 ",2006-2007,2008-2009,,3,"$4,780,000 ",
Adrian Griffin,Seattle Supersonics,"$1,593,000.00 ",2007-2008,2008-2009,,3,"$4,780,000 ",
Akeem Olajuwon,Houston Rockets,"$1,677,666.00 ",1988-1989,,,,,
Akeem Olajuwon,Houston Rockets,"$1,677,666.00 ",1989-1990,,,,,
Al Harrington,Indiana Pacers,"$331,000.00 ",1998-1999,,,,,
Al Harrington,Indiana Pacers,"$745,800.00 ",1999-2000,,,,,
Al Harrington,Indiana Pacers,"$800,000.00 ",2000-2001,2001-2002,,4,"$4,000,000 ",
Al Harrington,Indiana Pacers,"$5,060,000.00 ",2002-2003,2005-2006,,4,"$4,000,000 ",
Al Harrington,Indiana Pacers,"$5,690,000.00 ",2003-2004,2005-2006,,4,"$24,000,000 ",
Al Harrington,Atlanta Hawks,"$6,325,000.00 ",2004-2005,2005-2006,,4,"$24,000,000 ",
Al Harrington,Atlanta Hawks,"$5,880,000.00 ",2005-2006,2005-2006,,4,"$24,000,000 ",
Al Harrington,Golden State Warriors,"$7,625,000.00 ",2006-2007,2009-2010,,4,"$39,300,000 ",
Al Harrington,Golden State Warriors,"$8,425,625.00 ",2007-2008,2009-2010 ,Player,4,"$35,300,000 ",
Al Harrington,New York Knicks,"$10,026,875.00 ",2009-2010,,,,,
Al Harrington,Denver Nuggets,"$5,765,000.00 ",2010-2011,,,,,
Al Harrington,Denver Nuggets,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,Denver Nuggets,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,Denver Nuggets,"$6,226,200.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,Denver Nuggets,"$6,687,400.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,Denver Nuggets,"$7,148,600.00 ",2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,Denver Nuggets,"$7,609,800.00 ",2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=5
Al Harrington,New York Knicks,"$9,226,550.00 ",2008-2009,2009-2010 ,Player,4,"$35,300,000 ",
Al Harrington,Indiana Pacers,"$1,436,982.00 ",2001-2002,2005-2006,,4,"$4,000,000 ",
Al Horford,Atlanta Hawks,"$3,745,800.00 ",2007-2008,2009-2010,,3,"$12,080,160 ",
Al Horford,Atlanta Hawks,"$4,307,640.00 ",2009-2010,,,,,
Al Horford,Atlanta Hawks,"$5,444,857.00 ",2010-2011,,,,,
Al Horford,Atlanta Hawks,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$12,000,000.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$12,000,000.00 ",2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$12,000,000.00 ",2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$12,000,000.00 ",2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$12,498,483.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=832
Al Horford,Atlanta Hawks,"$4,023,720.00 ",2008-2009,2009-2010,,3,"$12,080,160 ",
Al Jefferson,Boston Celtics,"$1,407,200.00 ",2004-2005,2007-2008 ,Team,4,"$7,020,000 ",
Al Jefferson,Boston Celtics,"$1,512,840.00 ",2005-2006,2007-2008 ,Team,4,"$7,020,000 ",
Al Jefferson,Boston Celtics,"$1,618,320.00 ",2006-2007,2007-2008 ,Team,4,"$7,020,000 ",
Al Jefferson,Minnesota Timberwolves,"$2,480,885.00 ",2007-2008,2011-2012,,5,"$65,000,000 ",
Al Jefferson,Minnesota Timberwolves,"$12,000,000.00 ",2009-2010,,,,,
Al Jefferson,Utah Jazz,"$13,000,000.00 ",2010-2011,,,,,
Al Jefferson,Utah Jazz,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Utah Jazz,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Utah Jazz,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Utah Jazz,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Utah Jazz,"$14,000,000.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Utah Jazz,"$15,000,000.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=24
Al Jefferson,Minnesota Timberwolves,"$11,000,000.00 ",2008-2009,2011-2012,,5,"$65,000,000 ",
Al Thornton,Los Angeles Clippers,"$1,652,280.00 ",2007-2008,2011-2012 ,Team,5,"$9,243,267 ",
Al Thornton,Washington Wizards,"$1,900,200.00 ",2009-2010,,,,,
Al Thornton,Golden State Warriors,"$218,677.00 ",2010-2011,,,,,
Al Thornton,Washington Wizards,"$2,714,196.00 ",2010-2011,,,,,
Al Thornton,Los Angeles Clippers,"$1,776,240.00 ",2008-2009,2011-2012 ,Team,5,"$9,243,267 ",
Alaa Abdelnaby,Portland Trail Blazers,"$494,000.00 ",1991-1992,,,,,
Alaa Abdelnaby,Boston Celtics,"$500,000.00 ",1992-1993,,,,,
Alaa Abdelnaby,Boston Celtics,"$805,000.00 ",1993-1994,,,,,
Alaa Abdelnaby,Sacramento Kings,"$650,000.00 ",1994-1995,,,,,
Alade Aminu,Miami Heat,"$26,917.00 ",2009-2010,,,,,
Alan Anderson,Charlotte Bobcats,"$398,762.00 ",2005-2006,2006-2007 ,Team,2,"$1,062,971 ",
Alan Anderson,Toronto Raptors,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Anderson,Toronto Raptors,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Anderson,Toronto Raptors,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Anderson,Toronto Raptors,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Anderson,Toronto Raptors,"$213,597.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Anderson,Toronto Raptors,"$1,085,120.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=32
Alan Henderson,Atlanta Hawks,"$791,000.00 ",1995-1996,,,,,
Alan Henderson,Atlanta Hawks,"$910,000.00 ",1996-1997,,,,,
Alan Henderson,Atlanta Hawks,"$1,028,400.00 ",1997-1998,,,,,
Alan Henderson,Atlanta Hawks,"$2,881,000.00 ",1998-1999,,,,,
Alan Henderson,Atlanta Hawks,"$5,318,437.00 ",1999-2000,,,,,
Alan Henderson,Atlanta Hawks,"$5,910,000.00 ",2000-2001,2004-2005,,7,"$7,000,000 ",
Alan Henderson,Atlanta Hawks,"$6,500,313.00 ",2001-2002,2004-2005,,7,"$7,000,000 ",
Alan Henderson,Atlanta Hawks,"$7,091,000.00 ",2002-2003,2002-2003 ,Player,7,"$7,000,000 ",
Alan Henderson,Atlanta Hawks,"$7,682,188.00 ",2003-2004,2004-2005,,7,"$45,000,000 ",
Alan Henderson,Dallas Mavericks,"$8,273,125.00 ",2004-2005,2004-2005,,7,"$45,000,000 ",
Alan Henderson,Cleveland Cavaliers,"$1,140,000.00 ",2005-2006,2005-2006,,1,"$1,140,000 ",
Alan Ogg,Miami Heat,"$202,000.00 ",1991-1992,,,,,
Alan Ogg,Washington Bullets,,1992-1993,,,,,
Alando Tucker,Phoenix Suns,"$931,920.00 ",2007-2008,2011-2012 ,Team,5,"$5,907,202 ",
Alando Tucker,Minnesota Timberwolves,"$1,071,720.00 ",2009-2010,,,,,
Alando Tucker,Phoenix Suns,"$1,001,880.00 ",2008-2009,2011-2012 ,Team,5,"$5,907,202 ",
Albert King,Philadelphia 76ers,"$425,000.00 ",1988-1989,,,,,
Albert King,San Antonio Spurs,"$425,000.00 ",1988-1989,,,,,
Albert King,Philadelphia 76ers,"$425,000.00 ",1989-1990,,,,,
Albert King,San Antonio Spurs,"$425,000.00 ",1989-1990,,,,,
Albert King,Washington Bullets,"$14,000.00 ",1991-1992,,,,,
Alec Burks,Utah Jazz,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Burks,Utah Jazz,"$2,020,200.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Burks,Utah Jazz,"$2,111,160.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Burks,Utah Jazz,"$2,202,000.00 ",2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Burks,Utah Jazz,"$3,034,356.00 ",2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Burks,Utah Jazz,"$4,175,274.00 ",2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1771
Alec Kessler,Miami Heat,"$1,122,000.00 ",1991-1992,,,,,
Alec Kessler,Miami Heat,"$762,000.00 ",1992-1993,,,,,
Alec Kessler,Miami Heat,"$922,000.00 ",1993-1994,,,,,
Alek Radojevic,Toronto Raptors,"$1,430,000.00 ",2000-2001,2002-2003,,4,"$4,000,000 ",
Aleksandar Pavlovic,Utah Jazz,"$1,107,960.00 ",2003-2004,2006-2007 ,Team,4,"$5,540,000 ",
Aleksandar Pavlovic,Cleveland Cavaliers,"$1,270,000.00 ",2005-2006,2006-2007,,4,"$5,576,000 ",
Aleksandar Pavlovic,Phoenix Suns,"$1,250,000.00 ",2009-2010,,,,,
Aleksandar Pavlovic,Minnesota Timberwolves,"$1,500,000.00 ",2009-2010,,,,,
Aleksandar Radojevic,Toronto Raptors,"$1,325,760.00 ",1999-2000,,,,,
Alex Acker,Detroit Pistons,"$398,762.00 ",2005-2006,2005-2006,,1,"$398,762 ",
Alex Acker,Los Angeles Clippers,"$711,517.00 ",2008-2009,2008-2009,,1,"$711,517 ",
Alex Blackwell,Los Angeles Lakers,"$140,000.00 ",1992-1993,,,,,
Alex English,Denver Nuggets,"$1,650,000.00 ",1988-1989,,,,,
Alex English,Denver Nuggets,"$1,650,000.00 ",1989-1990,,,,,
Alex Garcia,San Antonio Spurs,"$366,931.00 ",2003-2004,2003-2004,,1,"$366,931 ",
Alex Stivrins,Phoenix Suns,"$140,000.00 ",1992-1993,,,,,
Alexander Johnson,Memphis Grizzlies,"$412,718.00 ",2006-2007,2007-2008,,2,"$1,100,000 ",
Alexander Johnson,Miami Heat,"$687,456.00 ",2007-2008,2007-2008,,2,"$1,100,000 ",
Alexander Johnson,Houston Rockets,"$29,135.00 ",2009-2010,,,,,
Alexander Johnson,Miami Heat,"$797,581.00 ",2008-2009,2008-2009,,1,"$797,581 ",
Alexander Volkov,Atlanta Hawks,"$675,000.00 ",1991-1992,,,,,
Alexis Ajinca,Dallas Mavericks,"$5,200,000.00 ",2007-2008,2007-2008,,1,"$5,200,000 ",
Alexis Ajinca,Charlotte Bobcats,"$1,372,080.00 ",2009-2010,,,,,
Alexis Ajinca,Toronto Raptors,"$1,467,840.00 ",2010-2011,,,,,
Alexis Ajinca,Charlotte Bobcats,"$1,276,320.00 ",2008-2009,2012-2013,,5,"$9,623,114 ",
Al-Farouq Aminu,Los Angeles Clippers,"$2,563,320.00 ",2010-2011,,,,,
Al-Farouq Aminu,New Orleans Hornets,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Al-Farouq Aminu,New Orleans Hornets,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Al-Farouq Aminu,New Orleans Hornets,"$2,755,560.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Al-Farouq Aminu,New Orleans Hornets,"$2,947,800.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Al-Farouq Aminu,New Orleans Hornets,"$3,749,602.00 ",2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Al-Farouq Aminu,New Orleans Hornets,"$5,054,463.00 ",2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1338
Allan Houston,Detroit Pistons,"$956,000.00 ",1994-1995,,,,,
Allan Houston,Detroit Pistons,"$1,177,000.00 ",1995-1996,,,,,
Allan Houston,New York Knicks,"$5,000,000.00 ",1996-1997,,,,,
Allan Houston,New York Knicks,"$6,000,000.00 ",1997-1998,,,,,
Allan Houston,New York Knicks,"$4,268,000.00 ",1998-1999,,,,,
Allan Houston,New York Knicks,"$8,000,000.00 ",1999-2000,,,,,
Allan Houston,New York Knicks,"$9,000,000.00 ",2000-2001,2002-2003,,7,"$7,000,000 ",
Allan Houston,New York Knicks,"$12,750,000.00 ",2001-2002,2006-2007,,6,"$6,000,000 ",
Allan Houston,New York Knicks,"$14,343,750.00 ",2002-2003,2006-2007,,7,"$7,000,000 ",
Allan Houston,New York Knicks,"$15,937,500.00 ",2003-2004,2006-2007,,6,"$100,410,000 ",
Allan Houston,New York Knicks,"$17,531,250.00 ",2004-2005,2006-2007,,6,"$100,410,000 ",
Allan Ray,Boston Celtics,"$412,718.00 ",2006-2007,2007-2008,,2,"$1,100,174 ",
Allen Houston,Detroit Pistons,"$736,000.00 ",1993-1994,,,,,
Allen Iverson,Philadelphia 76ers,"$2,267,000.00 ",1996-1997,,,,,
Allen Iverson,Philadelphia 76ers,"$3,128,640.00 ",1997-1998,,,,,
Allen Iverson,Philadelphia 76ers,"$2,156,000.00 ",1998-1999,,,,,
Allen Iverson,Philadelphia 76ers,"$9,000,000.00 ",1999-2000,,,,,
Allen Iverson,Philadelphia 76ers,"$10,130,000.00 ",2000-2001,2004-2005,,6,"$6,000,000 ",
Allen Iverson,Philadelphia 76ers,"$11,250,000.00 ",2001-2002,2004-2005,,6,"$6,000,000 ",
Allen Iverson,Philadelphia 76ers,"$12,375,000.00 ",2002-2003,2003-2004 ,Player,6,"$6,000,000 ",
Allen Iverson,Philadelphia 76ers,"$13,500,000.00 ",2003-2004,2008-2009,,6,"$90,200,000 ",
Allen Iverson,Philadelphia 76ers,"$14,625,000.00 ",2004-2005,2008-2009,,6,"$90,200,000 ",
Allen Iverson,Philadelphia 76ers,"$16,450,000.00 ",2005-2006,2008-2009,,6,"$90,200,000 ",
Allen Iverson,Denver Nuggets,"$17,184,375.00 ",2006-2007,2008-2009,,6,"$90,200,000 ",
Allen Iverson,Denver Nuggets,"$19,195,312.00 ",2007-2008,2008-2009,,6,"$90,200,000 ",
Allen Iverson,Philadelphia 76ers,"$1,029,794.00 ",2009-2010,,,,,
Allen Iverson,Memphis Grizzlies,"$3,099,729.00 ",2009-2010,,,,,
Allen Iverson,Detroit Pistons,"$20,840,625.00 ",2008-2009,2008-2009,,6,"$90,200,000 ",
