,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
300,122755,San Jose State University,1998-1999,SJ.ST,MWC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,7,7,7,5,2,1,0,1,2,1,1,3,1,2,0,0,0,1,0,1,0,0,0,1999Sports.csv
301,122755,San Jose State University,1998-1999,SJ.ST,MWC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
386,123961,University of Southern California,1998-1999,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
387,123961,University of Southern California,1998-1999,USC,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
388,123961,University of Southern California,1998-1999,USC,PAC12,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
396,123961,University of Southern California,1998-1999,USC,PAC12,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,1,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1999Sports.csv
397,123961,University of Southern California,1998-1999,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
398,123961,University of Southern California,1998-1999,USC,PAC12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,4,7,9,4,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1999Sports.csv
430,123961,University of Southern California,1998-1999,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
431,123961,University of Southern California,1998-1999,USC,PAC12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
432,123961,University of Southern California,1998-1999,USC,PAC12,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
448,123961,University of Southern California,1998-1999,USC,PAC12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,7,11,16,7,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1999Sports.csv
449,123961,University of Southern California,1998-1999,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
450,123961,University of Southern California,1998-1999,USC,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
484,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,1,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
492,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,1,5,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1999Sports.csv
503,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
504,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
513,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,8,10,16,7,9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
525,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,1,5,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1999Sports.csv
527,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,1,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
530,131496,Georgetown University,1998-1999,GTOWN,BIGEAST,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,8,9,15,7,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
569,134097,Florida State University,1998-1999,FSU,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
571,134097,Florida State University,1998-1999,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),27,27,0,6,6,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
578,134097,Florida State University,1998-1999,FSU,ACC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,3,10,11,2,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
583,134097,Florida State University,1998-1999,FSU,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
584,134097,Florida State University,1998-1999,FSU,ACC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,6,7,8,4,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
623,134097,Florida State University,1998-1999,FSU,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
626,134097,Florida State University,1998-1999,FSU,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
627,134097,Florida State University,1998-1999,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
641,134097,Florida State University,1998-1999,FSU,ACC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,5,7,7,3,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
644,134097,Florida State University,1998-1999,FSU,ACC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
676,134097,Florida State University,1998-1999,FSU,ACC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,7,17,21,6,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1999Sports.csv
701,134130,University of Florida,1998-1999,FLA,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
702,134130,University of Florida,1998-1999,FLA,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,3,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1999Sports.csv
710,134130,University of Florida,1998-1999,FLA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
720,134130,University of Florida,1998-1999,FLA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,1,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
726,134130,University of Florida,1998-1999,FLA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
740,134130,University of Florida,1998-1999,FLA,SEC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,11,13,18,10,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,4,1999Sports.csv
754,134130,University of Florida,1998-1999,FLA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
765,134130,University of Florida,1998-1999,FLA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
795,134130,University of Florida,1998-1999,FLA,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,7,6,5,3,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1999Sports.csv
802,134130,University of Florida,1998-1999,FLA,SEC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,7,7,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1999Sports.csv
823,134130,University of Florida,1998-1999,FLA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,4,4,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
859,135726,University of Miami,1998-1999,UOFM,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
863,135726,University of Miami,1998-1999,UOFM,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
877,135726,University of Miami,1998-1999,UOFM,ACC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
882,135726,University of Miami,1998-1999,UOFM,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,3,3,0,14,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
911,135726,University of Miami,1998-1999,UOFM,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
916,135726,University of Miami,1998-1999,UOFM,ACC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1999Sports.csv
921,135726,University of Miami,1998-1999,UOFM,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
924,135726,University of Miami,1998-1999,UOFM,ACC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
929,135726,University of Miami,1998-1999,UOFM,ACC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,1,6,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1999Sports.csv
935,135726,University of Miami,1998-1999,UOFM,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,2,1,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
940,139959,University of Georgia,1998-1999,UGA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,1,5,1,0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
946,139959,University of Georgia,1998-1999,UGA,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,3,6,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1999Sports.csv
948,139959,University of Georgia,1998-1999,UGA,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,5,11,3,1,2,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1999Sports.csv
949,139959,University of Georgia,1998-1999,UGA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,5,5,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
951,139959,University of Georgia,1998-1999,UGA,SEC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,9,10,15,7,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1999Sports.csv
962,139959,University of Georgia,1998-1999,UGA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,1,7,1,0,1,6,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
963,139959,University of Georgia,1998-1999,UGA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
964,139959,University of Georgia,1998-1999,UGA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
967,139959,University of Georgia,1998-1999,UGA,SEC,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,11,12,18,8,10,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1999Sports.csv
972,139959,University of Georgia,1998-1999,UGA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,15,0,4,4,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1135,147767,Northwestern University,1998-1999,NWST,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1148,147767,Northwestern University,1998-1999,NWST,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1160,147767,Northwestern University,1998-1999,NWST,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1179,147767,Northwestern University,1998-1999,NWST,BIG12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),26,8,18,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1999Sports.csv
1181,147767,Northwestern University,1998-1999,NWST,BIG12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,26,8,18,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1999Sports.csv
1187,147767,Northwestern University,1998-1999,NWST,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,17,0,11,11,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1190,147767,Northwestern University,1998-1999,NWST,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,12,12,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1203,147767,Northwestern University,1998-1999,NWST,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1277,152080,University of Notre Dame,1998-1999,ND,IND,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),42,17,25,36,12,24,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4,0,1999Sports.csv
1300,152080,University of Notre Dame,1998-1999,ND,IND,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
1315,152080,University of Notre Dame,1998-1999,ND,IND,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,4,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1316,152080,University of Notre Dame,1998-1999,ND,IND,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
1321,152080,University of Notre Dame,1998-1999,ND,IND,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,18,18,0,8,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1322,152080,University of Notre Dame,1998-1999,ND,IND,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,3,4,4,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1324,152080,University of Notre Dame,1998-1999,ND,IND,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,11,0,9,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1334,152080,University of Notre Dame,1998-1999,ND,IND,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1335,152080,University of Notre Dame,1998-1999,ND,IND,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,40,16,24,34,11,23,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4,0,1999Sports.csv
1336,152080,University of Notre Dame,1998-1999,ND,IND,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,9,9,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1382,155399,Kansas State University,1998-1999,KAN.ST,BIG12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1395,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1401,155399,Kansas State University,1998-1999,KAN.ST,BIG12,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1403,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1409,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1433,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1438,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,3,3,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1439,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1440,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1443,155399,Kansas State University,1998-1999,KAN.ST,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1459,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1474,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,4,13,15,2,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
1482,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,14,0,5,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1491,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,12,5,11,8,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1510,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1520,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1530,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,All other sports combined,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),27,8,19,25,6,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1999Sports.csv
1532,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1537,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1548,157289,University of Louisville,1998-1999,LOUIS,BIGEAST,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1568,159391,Louisiana State University and Agricultural & Mechanical College,1998-1999,LSU,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1595,159391,Louisiana State University and Agricultural & Mechanical College,1998-1999,LSU,SEC,Cross country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
1617,159391,Louisiana State University and Agricultural & Mechanical College,1998-1999,LSU,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Sports.csv
